Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Azerbaijan,https://www.sofascore.com/azerbaijan-austria/tUbsRUb#id:10752539,54%,No information,3,5,2,4,11,444,13,13,5,0,0,1,4,1,3,2,0,3,0,No information,2,1,364,17,50,28/53 (53%),2/10 (20%),49%,9,34/66 (52%),15/34 (44%),9/14 (64%),38%,13,7,56,16,No information,2,8,1,"16/10/2023, 09:00"
Austria,https://www.sofascore.com/azerbaijan-austria/tUbsRUb#id:10752539,46%,No information,4,13,0,9,13,376,14,10,4,1,3,0,6,4,10,3,1,3,1,No information,4,3,307,20,44,26/46 (57%),4/14 (29%),51%,9,32/66 (48%),19/34 (56%),9/13 (69%),50%,14,8,60,12,No information,0,5,0,"16/10/2023, 09:00"

Estonia,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752556,31%,No information,1,6,2,1,7,335,10,5,No information,No information,0,0,5,1,3,3,0,1,0,No information,0,5,234,18,35,22/52 (42%),0/6 (0%),44%,10,23/56 (41%),9/17 (53%),8/17 (47%),20%,10,12,56,20,No information,2,13,2,"16/11/2023, 09:00"
Austria,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752556,69%,No information,3,16,0,3,5,737,19,6,No information,No information,4,0,7,5,12,4,2,1,1,No information,2,1,640,15,58,24/39 (62%),7/16 (44%),56%,5,33/56 (59%),8/17 (47%),8/13 (62%),53%,19,3,54,6,No information,0,9,0,"16/11/2023, 09:00"

Austria,https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,44%,No information,3,16,3,2,12,421,18,16,1,0,7,0,8,1,10,6,1,2,2,No information,2,2,333,16,41,27/52 (52%),0/9 (0%),47%,14,41/83 (49%),9/24 (38%),7/14 (50%),39%,18,14,67,16,No information,3,9,2,"21/11/2023, 11:45"
Germany,https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,56%,No information,0,8,5,2,17,551,21,12,1,1,3,0,4,1,2,6,0,0,1,No information,2,2,446,13,70,45/72 (63%),1/6 (17%),53%,8,42/83 (51%),15/24 (63%),9/19 (47%),33%,21,6,63,20,No information,5,12,0,"21/11/2023, 11:45"

Slovakia,https://www.sofascore.com/austria-slovakia/XTbstUb#id:12021300,47%,No information,3,13,2,1,12,442,12,14,0,No information,2,0,6,5,6,7,0,3,1,No information,4,1,381,26,44,20/36 (56%),2/15 (13%),52%,8,31/63 (49%),7/10 (70%),6/13 (46%),42%,12,12,56,13,No information,2,4,2,"23/03/2024, 10:00"
