Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Belgium,https://www.sofascore.com/belgium-sweden/NTbsrUb#id:10752542,66%,No information,1,9,5,2,5,303,3,8,0,No information,3,0,3,3,7,2,1,0,No information,No information,2,1,262,3,26,10/17 (59%),3/9 (33%),53%,6,17/36 (47%),8/11 (73%),6/9 (67%),67%,3,8,29,9,No information,5,2,1,"16/10/2023, 11:45"
Sweden,https://www.sofascore.com/belgium-sweden/NTbsrUb#id:10752542,34%,No information,2,13,3,2,8,156,9,5,1,No information,6,1,3,4,7,6,1,1,No information,No information,3,0,121,8,36,16/28 (57%),3/5 (60%),47%,3,19/36 (53%),3/11 (27%),5/5 (100%),56%,9,7,29,10,No information,3,3,1,"16/10/2023, 11:45"

Belgium,https://www.sofascore.com/serbia-belgium/rUbsfCc#id:11638298,51%,No information,3,9,0,2,13,575,10,12,0,No information,7,0,1,1,6,3,1,2,2,No information,0,4,515,9,26,35/57 (61%),0/3 (0%),45%,1,26/56 (46%),5/13 (38%),4/11 (36%),50%,10,8,53,15,No information,0,12,1,"15/11/2023, 11:45"
Serbia,https://www.sofascore.com/serbia-belgium/rUbsfCc#id:11638298,49%,No information,1,11,6,3,12,536,8,12,1,No information,0,2,8,3,7,4,0,1,0,No information,2,4,463,21,48,25/45 (56%),8/19 (42%),55%,3,30/56 (54%),8/13 (62%),11/18 (61%),75%,8,8,49,8,No information,6,1,0,"15/11/2023, 11:45"

Ireland,https://www.sofascore.com/belgium-ireland/TTbsrUb#id:12021301,36%,No information,3,11,2,4,11,324,20,10,No information,No information,1,0,7,3,10,1,No information,3,0,No information,2,0,241,12,42,12/48 (25%),4/15 (27%),51%,7,33/61 (54%),9/22 (41%),3/10 (30%),80%,20,13,49,15,No information,2,9,0,"23/03/2024, 10:00"
Belgium,https://www.sofascore.com/belgium-ireland/TTbsrUb#id:12021301,64%,No information,0,9,1,6,11,605,14,11,No information,No information,2,0,5,2,4,5,No information,0,2,No information,1,1,524,20,55,25/52 (48%),1/14 (7%),49%,10,28/61 (46%),13/22 (59%),3/13 (23%),64%,14,6,45,17,No information,1,11,0,"23/03/2024, 10:00"

England,https://www.sofascore.com/belgium-england/nUbsrUb#id:11900204,63%,No information,6,19,1,6,13,657,13,12,2,No information,7,0,5,7,14,5,2,4,1,No information,2,2,603,15,56,12/22 (55%),6/19 (32%),48%,6,31/66 (47%),7/13 (54%),6/14 (43%),77%,13,4,47,6,No information,1,4,2,"26/03/2024, 12:45"
