Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Latvia,https://www.sofascore.com/croatia-latvia/gUbspUb#id:10752571,31%,No information,0,1,4,4,10,316,15,8,2,No information,0,0,1,0,0,1,No information,0,No information,No information,0,2,211,18,44,18/65 (28%),0/16 (0%),46%,9,32/67 (48%),9/22 (41%),9/15 (60%),67%,15,13,67,20,No information,4,10,2,"18/11/2023, 09:00"
Croatia,https://www.sofascore.com/croatia-latvia/gUbspUb#id:10752571,69%,No information,1,14,0,1,9,720,15,10,0,No information,6,1,7,1,9,5,No information,1,No information,No information,3,0,620,23,53,28/50 (56%),3/11 (27%),54%,6,35/67 (52%),13/22 (59%),10/19 (53%),53%,15,9,71,14,No information,0,4,0,"18/11/2023, 09:00"

Croatia,https://www.sofascore.com/armenia-croatia/pUbsPUb#id:10752595,67%,No information,3,21,2,11,6,714,20,8,0,No information,11,0,7,3,12,9,1,2,1,No information,No information,3,639,16,78,32/41 (78%),7/38 (18%),64%,5,40/58 (69%),11/22 (50%),12/14 (86%),70%,20,14,60,5,No information,2,1,1,"21/11/2023, 11:45"
Armenia,https://www.sofascore.com/armenia-croatia/pUbsPUb#id:10752595,33%,No information,1,6,11,3,10,358,7,6,1,No information,2,0,0,4,3,3,0,1,0,No information,No information,0,271,19,24,18/51 (35%),0/4 (0%),36%,6,18/58 (31%),11/22 (50%),6/20 (30%),86%,7,11,59,37,No information,11,7,0,"21/11/2023, 11:45"

Tunisia,https://www.sofascore.com/tunisia-croatia/pUbsEUb#id:12169574,30%,No information,2,5,4,1,6,290,13,11,1,No information,1,0,2,2,5,0,No information,2,No information,No information,2,3,221,24,37,16/39 (41%),3/11 (27%),58%,4,31/54 (57%),19/32 (59%),7/11 (64%),46%,13,9,47,34,No information,4,5,0,"23/03/2024, 13:00"
Croatia,https://www.sofascore.com/tunisia-croatia/pUbsEUb#id:12169574,70%,No information,2,14,1,10,13,670,8,6,1,No information,4,0,6,4,6,8,No information,2,No information,No information,2,0,618,14,85,25/32 (78%),6/32 (19%),42%,7,23/54 (43%),13/32 (41%),9/15 (60%),63%,8,10,41,10,No information,1,2,0,"23/03/2024, 13:00"

Egypt,https://www.sofascore.com/egypt-croatia/pUbsiVb#id:12189925,44%,No information,4,12,3,3,10,422,16,8,1,No information,5,1,5,2,7,5,2,2,No information,No information,2,2,362,18,46,31/53 (58%),3/10 (30%),51%,3,31/61 (51%),7/13 (54%),7/16 (44%),63%,16,6,46,10,No information,3,9,4,"26/03/2024, 13:00"
Croatia,https://www.sofascore.com/egypt-croatia/pUbsiVb#id:12189925,56%,No information,6,19,3,5,8,543,12,10,0,No information,7,1,8,4,14,5,2,4,No information,No information,3,0,488,11,40,21/33 (64%),8/18 (44%),49%,7,30/61 (49%),6/13 (46%),8/17 (47%),83%,12,16,53,7,No information,3,7,2,"26/03/2024, 13:00"

Portugal,https://www.sofascore.com/croatia-portugal/eUbspUb#id:12076183,55%,No information,2,15,5,10,10,535,23,7,1,No information,4,0,5,6,9,6,1,1,2,41,1,2,495,13,65,31/42 (74%),5/26 (19%),53%,7,38/72 (53%),9/16 (56%),9/18 (50%),70%,23,2,37,16,No information,5,4,2,"08/06/2024, 09:45"
Croatia,https://www.sofascore.com/croatia-portugal/eUbspUb#id:12076183,45%,No information,4,16,3,7,7,442,16,10,3,No information,7,1,4,5,12,4,2,2,0,25,2,0,395,13,30,24/39 (62%),1/15 (7%),47%,19,34/72 (47%),7/16 (44%),8/12 (67%),63%,16,7,43,20,No information,3,8,1,"08/06/2024, 09:45"

Spain,https://www.sofascore.com/croatia-spain/YTbspUb#id:11873907,47%,2.01,4,11,5,5,14,457,14,11,1,No information,5,0,3,3,8,3,2,2,1,21,2,2,383,14,41,20/43 (47%),4/9 (44%),54%,8,36/73 (49%),19/29 (66%),12/18 (67%),71%,14,5,48,10,2.40,5,9,3,"15/06/2024, 09:00"
Croatia,https://www.sofascore.com/croatia-spain/YTbspUb#id:11873907,53%,2.38,3,16,2,0,13,517,14,13,0,No information,5,0,8,3,10,6,0,3,1,27,2,0,456,23,45,21/39 (54%),4/14 (29%),46%,11,37/73 (51%),10/29 (34%),10/13 (77%),71%,14,9,38,4,-0.31,2,9,0,"15/06/2024, 09:00"

Croatia,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,67%,2.69,4,22,5,3,15,634,17,11,1,No information,10,0,7,5,15,7,1,3,1,36,3,0,572,14,80,12/29 (41%),9/29 (31%),64%,6,44/72 (61%),20/28 (71%),16/21 (76%),71%,17,14,60,7,0.43,5,4,2,"19/06/2024, 06:00"
Albania,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,33%,1.36,4,15,8,1,11,311,11,14,3,No information,7,0,2,6,9,6,2,2,0,19,2,4,247,8,28,29/60 (48%),4/12 (33%),36%,11,28/72 (39%),8/28 (29%),3/9 (33%),64%,11,9,57,26,0.92,8,11,2,"19/06/2024, 06:00"

Croatia,https://www.sofascore.com/north-macedonia-croatia/pUbsCVb#id:12076185,63%,No information,3,8,3,5,14,636,14,16,No information,No information,4,0,2,2,6,2,2,1,No information,17,2,4,562,18,53,32/51 (63%),4/16 (25%),50%,15,40/82 (49%),8/14 (57%),11/19 (58%),50%,14,11,45,4,No information,3,4,3,"03/06/2024, 10:00"
North macedonia,https://www.sofascore.com/north-macedonia-croatia/pUbsCVb#id:12076185,37%,No information,0,10,1,1,17,378,23,14,No information,No information,3,0,4,3,3,7,0,0,No information,7,1,1,312,11,46,30/60 (50%),2/2 (100%),50%,7,42/82 (51%),6/14 (43%),6/13 (46%),48%,23,7,42,11,No information,1,5,0,"03/06/2024, 10:00"

Argentina,https://www.sofascore.com/argentina-croatia/pUbsuWb#id:10230580,39%,2.34,6,9,3,2,15,399,22,8,2,No information,7,0,1,1,6,3,3,3,1,No information,3,1,333,19,43,20/43 (47%),1/6 (17%),43%,13,35/82 (43%),6/13 (46%),5/11 (45%),41%,22,8,No information,21,0.42,3,9,3,"13/12/2022, 11:00"
Croatia,https://www.sofascore.com/argentina-croatia/pUbsuWb#id:10230580,61%,0.52,0,12,4,4,8,607,19,15,2,No information,2,0,7,3,6,6,0,0,0,No information,4,0,531,21,55,17/31 (55%),4/20 (20%),57%,16,47/82 (57%),7/13 (54%),13/19 (68%),79%,19,5,No information,7,0.28,4,4,0,"13/12/2022, 11:00"

Croatia,https://www.sofascore.com/morocco-croatia/pUbsDVb#id:10230637,51%,0.66,1,12,1,6,13,487,20,11,0,No information,4,0,5,3,5,7,0,1,1,No information,2,2,411,14,52,33/49 (67%),3/14 (21%),53%,6,37/67 (55%),6/14 (43%),6/10 (60%),70%,20,8,No information,19,0.19,1,12,2,"17/12/2022, 07:00"
Morocco,https://www.sofascore.com/morocco-croatia/pUbsDVb#id:10230637,49%,1.19,2,9,2,3,11,472,10,13,2,No information,2,0,5,2,7,2,1,1,0,No information,2,2,403,19,44,25/41 (61%),4/18 (22%),47%,11,30/67 (45%),8/14 (57%),7/16 (44%),80%,10,10,No information,17,-0.94,2,11,1,"17/12/2022, 07:00"

