Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Poland,https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752567,61%,No information,2,18,2,3,12,549,16,10,1,No information,5,0,4,9,10,8,1,1,No information,No information,2,4,442,21,56,29/50 (58%),6/23 (26%),60%,3,29/62 (47%),36/46 (78%),3/12 (25%),50%,16,10,64,17,No information,2,8,1,"17/11/2023, 11:45"
Czechia,https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752567,39%,No information,4,15,5,3,10,354,12,12,1,No information,3,0,9,3,11,4,1,3,No information,No information,2,0,245,16,60,19/72 (26%),5/16 (31%),40%,14,33/62 (53%),10/46 (22%),9/11 (82%),42%,12,15,67,18,No information,5,6,1,"17/11/2023, 11:45"

Czechia,https://www.sofascore.com/moldova-czech-republic/oUbsHVb#id:10752588,55%,No information,4,22,3,4,16,393,22,16,1,0,7,0,8,7,13,9,1,3,No information,No information,4,1,315,25,56,28/57 (49%),4/15 (27%),54%,8,44/87 (51%),24/40 (60%),6/11 (55%),73%,22,6,47,30,No information,3,6,3,"20/11/2023, 11:45"
Moldova,https://www.sofascore.com/moldova-czech-republic/oUbsHVb#id:10752588,45%,No information,1,10,4,4,16,323,13,14,6,1,3,0,5,2,4,6,0,1,No information,No information,1,0,240,29,47,41/76 (54%),4/18 (22%),46%,12,43/87 (49%),16/40 (40%),16/26 (62%),62%,13,5,36,16,No information,4,12,0,"20/11/2023, 11:45"

Norway,https://www.sofascore.com/czech-republic-norway/AObsoUb#id:12021299,60%,No information,2,9,3,4,13,540,18,10,2,No information,3,0,5,1,9,0,0,2,1,No information,2,2,449,19,68,27/53 (51%),5/13 (38%),56%,11,42/75 (56%),13/23 (57%),14/15 (93%),78%,18,6,49,15,No information,3,3,2,"22/03/2024, 10:00"
Czechia,https://www.sofascore.com/czech-republic-norway/AObsoUb#id:12021299,40%,No information,2,13,2,5,11,353,12,13,0,No information,5,0,3,5,10,3,1,1,0,No information,1,2,277,17,31,22/47 (47%),6/19 (32%),44%,7,33/75 (44%),10/23 (43%),8/19 (42%),67%,12,15,49,14,No information,2,5,1,"22/03/2024, 10:00"

Czechia,https://www.sofascore.com/czech-republic-malta/IObsoUb#id:12255948,57%,No information,3,12,0,4,14,253,7,8,1,No information,5,0,4,3,10,2,2,1,No information,21,3,0,209,12,38,25/34 (74%),8/16 (50%),46%,7,16/43 (37%),10/13 (77%),1/5 (20%),29%,7,4,28,2,No information,0,7,4,"07/06/2024, 08:30"
