Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
San marino,https://www.sofascore.com/san-marino-denmark/BObsIWb#id:10752553,18%,No information,0,5,1,3,14,172,29,8,4,No information,2,0,3,0,3,2,0,No information,0,No information,1,No information,87,12,33,12/52 (23%),1/7 (14%),46%,7,42/82 (51%),5/20 (25%),5/14 (36%),66%,29,16,82,50,No information,1,6,2,"17/10/2023, 11:45"
Denmark,https://www.sofascore.com/san-marino-denmark/BObsIWb#id:10752553,82%,No information,1,10,0,6,10,783,16,14,1,No information,4,0,3,3,5,5,1,No information,1,No information,3,No information,681,44,111,23/49 (47%),5/21 (24%),54%,10,40/82 (49%),15/20 (75%),10/29 (34%),56%,16,4,69,9,No information,0,5,1,"17/10/2023, 11:45"

Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752569,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,2,"17/11/2023, 11:45"
Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752569,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"17/11/2023, 11:45"

Northern ireland,https://www.sofascore.com/northern-ireland-denmark/BObsLVb#id:10752590,20%,No information,1,7,5,2,6,198,15,8,2,No information,2,1,3,2,5,2,1,0,No information,No information,0,1,105,16,42,19/64 (30%),2/8 (25%),48%,9,27/60 (45%),23/44 (52%),4/15 (27%),53%,15,8,43,47,No information,5,18,2,"20/11/2023, 11:45"
Denmark,https://www.sofascore.com/northern-ireland-denmark/BObsLVb#id:10752590,80%,No information,2,14,0,10,8,760,20,5,2,No information,3,0,7,4,8,6,0,2,No information,No information,2,0,664,22,68,21/51 (41%),12/39 (31%),52%,9,33/60 (55%),21/44 (48%),8/14 (57%),65%,20,6,53,16,No information,0,4,0,"20/11/2023, 11:45"

Denmark,https://www.sofascore.com/switzerland-denmark/BObsZTb#id:12021302,47%,No information,No information,7,2,2,10,491,13,9,2,No information,2,0,5,0,3,4,No information,No information,No information,No information,3,1,416,18,44,20/43 (47%),3/13 (23%),45%,9,24/53 (45%),5/11 (45%),2/9 (22%),62%,13,10,51,18,No information,2,6,0,"23/03/2024, 12:00"
Switzerland,https://www.sofascore.com/switzerland-denmark/BObsZTb#id:12021302,53%,No information,No information,9,2,3,9,564,16,10,3,No information,2,0,3,4,4,5,No information,No information,No information,No information,1,2,494,14,43,30/51 (59%),0/7 (0%),55%,7,29/53 (55%),6/11 (55%),3/9 (33%),44%,16,19,51,24,No information,2,7,0,"23/03/2024, 12:00"

Denmark,https://www.sofascore.com/faroe-islands-denmark/BObskVb#id:12021306,64%,No information,4,19,1,8,8,692,14,7,No information,No information,8,0,3,8,14,5,2,2,No information,No information,1,2,600,19,106,54/70 (77%),11/32 (34%),58%,5,28/53 (53%),18/26 (69%),7/13 (54%),71%,14,5,53,10,No information,1,4,2,"26/03/2024, 12:15"
Faroe islands,https://www.sofascore.com/faroe-islands-denmark/BObskVb#id:12021306,36%,No information,0,7,6,3,7,389,11,8,No information,No information,2,0,4,1,4,3,0,0,No information,No information,0,2,308,18,39,25/50 (50%),2/7 (29%),42%,5,25/53 (47%),8/26 (31%),6/15 (40%),64%,11,14,51,37,No information,6,7,0,"26/03/2024, 12:15"

Denmark,https://www.sofascore.com/sweden-denmark/BObsNTb#id:12076175,50%,No information,3,20,1,12,6,502,22,16,0,No information,9,0,6,5,15,5,1,2,3,45,3,0,427,15,60,20/42 (48%),11/22 (50%),59%,7,48/84 (57%),11/16 (69%),11/21 (52%),73%,22,13,53,18,No information,1,4,2,"05/06/2024, 10:00"
Sweden,https://www.sofascore.com/sweden-denmark/BObsNTb#id:12076175,50%,No information,2,10,7,6,16,514,17,6,2,No information,2,0,2,6,8,2,1,1,0,28,1,1,450,7,43,16/37 (43%),2/14 (14%),41%,14,36/84 (43%),5/16 (31%),13/21 (62%),47%,17,8,51,27,No information,7,10,1,"05/06/2024, 10:00"

Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:11873971,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,1,"16/06/2024, 09:00"
Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:11873971,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"16/06/2024, 09:00"

Denmark,https://www.sofascore.com/denmark-norway/AObsBOb#id:12076182,43%,No information,2,11,2,4,9,446,18,11,1,No information,6,0,2,3,8,3,2,0,0,19,1,1,385,14,47,17/40 (43%),4/12 (33%),49%,6,28/55 (51%),5/12 (42%),0/3 (0%),83%,18,4,42,21,No information,2,6,3,"08/06/2024, 10:30"
Norway,https://www.sofascore.com/denmark-norway/AObsBOb#id:12076182,57%,No information,2,7,3,6,11,606,9,7,1,No information,3,0,3,1,7,0,1,1,1,21,3,1,543,13,64,27/52 (52%),2/14 (14%),51%,11,27/55 (49%),7/12 (58%),11/18 (61%),89%,9,6,46,9,No information,3,3,1,"08/06/2024, 10:30"

Denmark,https://www.sofascore.com/tunisia-denmark/BObsEUb#id:10230576,61%,1.60,1,11,1,11,9,595,12,9,2,No information,5,1,3,3,7,4,No information,1,0,No information,3,1,501,24,74,35/67 (52%),8/25 (32%),44%,12,22/62 (35%),20/33 (61%),1/13 (8%),50%,12,11,No information,11,0.93,1,6,0,"22/11/2022, 05:00"
Tunisia,https://www.sofascore.com/tunisia-denmark/BObsEUb#id:10230576,39%,0.92,1,13,5,9,10,374,24,9,1,No information,1,0,5,7,8,5,No information,1,1,No information,0,1,280,24,47,20/58 (34%),4/13 (31%),56%,9,40/62 (65%),13/33 (39%),7/10 (70%),67%,24,8,No information,37,0.88,5,7,0,"22/11/2022, 05:00"

Australia,https://www.sofascore.com/australia-denmark/BObsQUb#id:10230560,31%,0.59,No information,8,3,2,11,304,15,9,2,No information,4,0,2,2,4,4,No information,No information,No information,No information,0,1,195,32,48,28/67 (42%),2/11 (18%),56%,4,28/53 (53%),26/43 (60%),4/11 (36%),47%,15,12,No information,32,0.43,3,10,1,"30/11/2022, 07:00"
Denmark,https://www.sofascore.com/australia-denmark/BObsQUb#id:10230560,69%,0.65,No information,13,3,6,10,664,11,10,1,No information,3,0,5,5,11,2,No information,No information,No information,No information,3,3,548,27,85,49/87 (56%),4/26 (15%),44%,3,25/53 (47%),17/43 (40%),4/16 (25%),82%,11,7,No information,20,0.28,3,4,0,"30/11/2022, 07:00"

Denmark,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752369,36%,No information,No information,4,5,1,10,430,18,5,3,No information,0,0,2,2,2,2,No information,No information,No information,No information,0,3,329,21,42,34/69 (49%),1/4 (25%),53%,7,25/47 (53%),14/26 (54%),3/6 (50%),61%,18,2,64,18,No information,5,13,3,"23/03/2023, 12:45"
Finland,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752369,64%,No information,No information,16,0,6,6,757,10,9,4,No information,6,0,5,5,8,8,No information,No information,No information,No information,4,1,676,17,123,24/51 (47%),10/23 (43%),47%,8,22/47 (47%),12/26 (46%),4/14 (29%),90%,10,9,73,9,No information,0,2,1,"23/03/2023, 12:45"

Kazakhstan,https://www.sofascore.com/kazakhstan-denmark/BObsxVb#id:10752390,64%,No information,4,18,0,5,5,675,11,11,2,No information,4,0,8,6,10,8,3,1,1,No information,5,1,589,19,79,29/48 (60%),4/14 (29%),63%,9,28/48 (58%),19/27 (70%),6/9 (67%),64%,11,3,63,9,No information,0,8,3,"26/03/2023, 06:00"
Denmark,https://www.sofascore.com/kazakhstan-denmark/BObsxVb#id:10752390,36%,No information,2,6,1,1,11,385,12,5,1,No information,1,0,3,2,3,3,1,1,2,No information,1,6,294,24,40,22/59 (37%),2/9 (22%),37%,6,20/48 (42%),8/27 (30%),4/9 (44%),58%,12,9,61,13,No information,1,12,2,"26/03/2023, 06:00"

Denmark,https://www.sofascore.com/northern-ireland-denmark/BObsLVb#id:10752419,20%,No information,1,7,5,2,6,198,15,8,2,No information,2,1,3,2,5,2,1,0,No information,No information,0,1,105,16,42,19/64 (30%),2/8 (25%),48%,9,27/60 (45%),23/44 (52%),4/15 (27%),53%,15,8,43,47,No information,5,18,1,"16/06/2023, 11:45"
Northern ireland,https://www.sofascore.com/northern-ireland-denmark/BObsLVb#id:10752419,80%,No information,2,14,0,10,8,760,20,5,2,No information,3,0,7,4,8,6,0,2,No information,No information,2,0,664,22,68,21/51 (41%),12/39 (31%),52%,9,33/60 (55%),21/44 (48%),8/14 (57%),65%,20,6,53,16,No information,0,4,0,"16/06/2023, 11:45"

Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752445,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,1,"19/06/2023, 11:45"
Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752445,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"19/06/2023, 11:45"

Denmark,https://www.sofascore.com/san-marino-denmark/BObsIWb#id:10752468,18%,No information,0,5,1,3,14,172,29,8,4,No information,2,0,3,0,3,2,0,No information,0,No information,1,No information,87,12,33,12/52 (23%),1/7 (14%),46%,7,42/82 (51%),5/20 (25%),5/14 (36%),66%,29,16,82,50,No information,1,6,4,"07/09/2023, 11:45"
