Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Greece,https://www.sofascore.com/greece-france/GObskUb#id:10752593,33%,No information,1,8,5,2,5,354,13,11,3,No information,2,0,3,3,5,3,1,0,1,No information,1,3,301,9,31,19/48 (40%),1/7 (14%),52%,4,32/56 (57%),6/17 (35%),8/14 (57%),77%,13,14,50,29,No information,5,6,2,"21/11/2023, 11:45"
France,https://www.sofascore.com/greece-france/GObskUb#id:10752593,67%,No information,4,15,0,9,11,703,10,5,3,No information,7,2,6,2,10,5,0,4,2,No information,2,1,642,21,58,17/24 (71%),7/31 (23%),48%,7,24/56 (43%),11/17 (65%),9/15 (60%),70%,10,2,46,7,No information,0,3,2,"21/11/2023, 11:45"

France,https://www.sofascore.com/scotland-france/GObsVTb#id:11277344,52%,No information,7,17,3,2,13,581,12,22,0,No information,8,2,5,4,13,4,4,3,2,No information,5,4,523,12,62,35/54 (65%),2/8 (25%),62%,4,45/70 (64%),7/14 (50%),12/17 (71%),58%,12,12,48,8,No information,3,3,4,"17/10/2023, 12:00"
Scotland,https://www.sofascore.com/scotland-france/GObsVTb#id:11277344,48%,No information,1,6,4,1,23,523,9,13,3,No information,4,0,2,0,4,2,1,0,0,No information,4,1,460,16,35,17/34 (50%),2/8 (25%),38%,8,25/70 (36%),7/14 (50%),4/8 (50%),56%,9,6,42,8,No information,4,4,1,"17/10/2023, 12:00"

France,https://www.sofascore.com/gibraltar-france/GObsoKbb#id:10752573,73%,No information,12,39,0,7,10,635,15,4,No information,0,20,0,14,5,30,9,8,4,5,No information,1,4,580,18,73,4/6 (67%),13/29 (45%),65%,4,28/49 (57%),16/19 (84%),9/15 (60%),53%,15,3,71,0,No information,0,0,14,"18/11/2023, 11:45"
Gibraltar,https://www.sofascore.com/gibraltar-france/GObsoKbb#id:10752573,27%,No information,0,0,6,0,5,244,10,9,No information,1,0,0,0,0,0,0,0,0,0,No information,0,1,173,7,18,16/57 (28%),0/1 (0%),35%,9,21/49 (43%),3/19 (16%),3/9 (33%),80%,10,12,44,30,No information,6,15,0,"18/11/2023, 11:45"

France,https://www.sofascore.com/germany-france/GObslUb#id:11896617,42%,No information,2,11,4,2,8,511,22,9,2,No information,2,0,9,0,8,3,0,2,0,No information,2,3,443,27,33,12/19 (63%),3/13 (23%),55%,7,44/85 (52%),9/11 (82%),13/29 (45%),68%,22,13,56,14,No information,4,10,2,"23/03/2024, 13:00"
Germany,https://www.sofascore.com/germany-france/GObslUb#id:11896617,58%,No information,2,15,2,5,10,709,23,8,1,No information,6,0,6,3,8,7,1,1,3,No information,2,2,642,14,54,18/32 (56%),2/7 (29%),45%,16,41/85 (48%),2/11 (18%),10/16 (63%),78%,23,12,60,14,No information,2,11,0,"23/03/2024, 13:00"

France,https://www.sofascore.com/chile-france/GObseVb#id:12018149,59%,No information,4,14,2,3,10,657,18,14,No information,No information,4,0,7,3,11,3,2,2,No information,No information,4,1,606,11,56,26/36 (72%),5/10 (50%),59%,4,38/70 (54%),8/8 (100%),6/20 (30%),78%,18,9,49,8,No information,2,4,3,"26/03/2024, 13:00"
Chile,https://www.sofascore.com/chile-france/GObseVb#id:12018149,41%,No information,1,9,1,4,14,450,18,10,No information,No information,4,1,3,2,6,3,0,1,No information,No information,0,1,403,18,37,29/47 (62%),2/12 (17%),41%,13,32/70 (46%),0/8 (0%),4/9 (44%),72%,18,11,36,6,No information,1,8,2,"26/03/2024, 13:00"

France,https://www.sofascore.com/france-luxembourg/DObsGOb#id:12325285,62%,No information,3,21,1,9,6,645,12,9,0,No information,7,1,9,5,13,8,2,1,1,44,5,2,601,18,100,18/22 (82%),6/23 (26%),54%,15,37/65 (57%),8/18 (44%),16/18 (89%),75%,12,7,50,5,No information,1,0,3,"05/06/2024, 12:00"
Luxembourg,https://www.sofascore.com/france-luxembourg/DObsGOb#id:12325285,38%,No information,0,3,5,3,9,400,17,5,1,No information,1,1,1,1,2,1,0,0,0,6,1,2,337,15,35,21/44 (48%),3/7 (43%),46%,8,28/65 (43%),10/18 (56%),6/10 (60%),65%,17,7,40,17,No information,5,10,0,"05/06/2024, 12:00"

Austria,https://www.sofascore.com/austria-france/GObstUb#id:11873975,52%,0.76,2,6,3,6,18,476,27,10,5,No information,3,0,2,1,4,2,No information,2,No information,19,3,0,401,18,68,14/34 (41%),4/27 (15%),43%,8,40/85 (47%),8/27 (30%),4/11 (36%),48%,27,3,51,19,-0.61,3,6,1,"17/06/2024, 12:00"
France,https://www.sofascore.com/austria-france/GObstUb#id:11873975,48%,2.13,2,14,3,2,11,453,15,18,2,No information,3,0,6,5,12,2,No information,2,No information,35,6,1,390,23,33,24/45 (53%),2/12 (17%),57%,15,45/85 (53%),19/27 (70%),12/24 (50%),47%,15,6,50,31,1.50,3,7,0,"17/06/2024, 12:00"

France,https://www.sofascore.com/canada-france/GObscVb#id:12325287,51%,No information,3,13,0,7,18,521,25,5,1,No information,4,0,6,3,10,3,No information,3,2,32,2,4,468,21,40,31/43 (72%),10/19 (53%),53%,11,45/94 (48%),15/19 (79%),15/32 (47%),56%,25,5,42,13,No information,0,8,0,"09/06/2024, 12:15"
Canada,https://www.sofascore.com/canada-france/GObscVb#id:12325287,49%,No information,0,7,4,1,7,513,28,18,1,No information,0,1,3,4,2,5,No information,0,0,16,3,2,457,16,51,11/34 (32%),1/14 (7%),47%,15,49/94 (52%),4/19 (21%),4/14 (29%),75%,28,6,42,15,No information,4,5,0,"09/06/2024, 12:15"

France,https://www.sofascore.com/morocco-france/GObsDVb#id:10230578,39%,2.10,3,14,2,2,11,363,21,10,0,No information,3,1,6,5,12,2,1,2,1,No information,2,4,293,14,46,19/49 (39%),3/6 (50%),58%,5,42/75 (56%),15/24 (63%),11/21 (52%),67%,21,18,No information,18,0.57,2,8,2,"14/12/2022, 11:00"
Morocco,https://www.sofascore.com/morocco-france/GObsDVb#id:10230578,61%,1.00,1,13,0,3,11,576,15,11,1,No information,3,1,5,5,8,5,0,1,1,No information,2,3,500,17,41,23/35 (66%),1/15 (7%),42%,10,33/75 (44%),9/24 (38%),7/18 (39%),53%,15,7,No information,2,-0.99,0,10,0,"14/12/2022, 11:00"

France,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752375,41%,No information,2,12,5,3,12,421,13,14,4,No information,8,0,3,1,10,2,2,0,1,No information,2,2,363,14,29,12/24 (50%),6/10 (60%),47%,12,37/79 (47%),8/16 (50%),10/23 (43%),77%,13,14,No information,17,No information,5,6,4,"24/03/2023, 12:45"
Netherlands,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752375,59%,No information,3,11,4,5,14,615,25,9,2,No information,5,0,3,3,7,4,0,3,1,No information,6,0,545,17,53,24/38 (63%),3/14 (21%),53%,4,42/79 (53%),8/16 (50%),8/17 (47%),52%,25,6,No information,7,No information,4,5,0,"24/03/2023, 12:45"

Argentina,https://www.sofascore.com/argentina-france/GObsuWb#id:10230635,54%,3.23,5,20,2,6,26,635,23,18,5,No information,10,0,7,3,12,8,3,2,1,No information,1,4,525,26,58,28/64 (44%),1/17 (6%),40%,16,48/114 (42%),10/32 (31%),8/18 (44%),78%,23,10,No information,21,-0.17,2,6,3,"18/12/2022, 07:00"
France,https://www.sofascore.com/argentina-france/GObsuWb#id:10230635,46%,2.27,3,10,7,5,19,532,26,23,3,No information,5,0,2,3,7,3,2,1,1,No information,6,4,409,21,78,38/75 (51%),3/24 (13%),60%,10,66/114 (58%),22/32 (69%),17/30 (57%),58%,26,9,No information,18,0.87,7,13,3,"18/12/2022, 07:00"

England,https://www.sofascore.com/england-france/GObsnUb#id:10230634,57%,2.41,3,16,3,5,10,503,16,14,1,No information,8,1,4,4,8,8,1,2,No information,No information,6,1,441,16,51,23/41 (56%),6/18 (33%),55%,5,34/58 (59%),18/37 (49%),4/9 (44%),63%,16,8,No information,13,-0.40,3,9,2,"10/12/2022, 11:00"
France,https://www.sofascore.com/england-france/GObsnUb#id:10230634,43%,1.01,2,8,6,2,14,377,10,10,3,No information,5,0,2,1,5,3,1,1,No information,No information,3,2,306,14,62,23/55 (42%),4/11 (36%),45%,11,24/58 (41%),19/37 (51%),4/9 (44%),70%,10,5,No information,15,1.01,6,5,1,"10/12/2022, 11:00"

Ireland,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,68%,No information,3,25,2,6,11,755,17,8,2,No information,5,1,10,10,16,9,1,2,No information,No information,1,3,700,14,63,30/43 (70%),5/21 (24%),56%,4,40/68 (59%),8/17 (47%),15/23 (65%),35%,17,4,55,7,No information,2,1,1,"27/03/2023, 11:45"
