Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Georgia,https://www.sofascore.com/georgia-thailand/FUbsnVb#id:11072067,52%,No information,13,34,1,12,8,505,17,6,1,No information,22,1,8,4,28,6,6,7,3,No information,2,2,441,14,52,30/49 (61%),8/18 (44%),56%,6,40/75 (53%),5/5 (100%),17/33 (52%),76%,17,14,74,5,No information,1,3,8,"12/10/2023, 09:00"
Thailand,https://www.sofascore.com/georgia-thailand/FUbsnVb#id:11072067,48%,No information,0,5,14,1,6,476,21,7,1,No information,1,0,2,2,1,4,0,0,2,No information,0,0,411,11,29,25/40 (63%),1/4 (25%),44%,9,35/75 (47%),0/5 (0%),6/14 (43%),48%,21,8,54,18,No information,14,14,0,"12/10/2023, 09:00"

Georgia,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752554,37%,No information,1,8,3,4,17,323,8,13,3,No information,6,0,1,1,6,2,1,0,1,No information,1,1,251,18,17,15/56 (27%),2/8 (25%),40%,5,30/67 (45%),5/20 (25%),11/23 (48%),50%,8,11,38,19,No information,3,10,2,"16/11/2023, 09:00"
Scotland,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752554,63%,No information,2,16,4,4,15,553,17,17,3,No information,5,0,8,3,11,5,0,2,1,No information,5,0,495,27,59,16/33 (48%),10/24 (42%),60%,3,37/67 (55%),15/20 (75%),3/8 (38%),71%,17,4,43,8,No information,4,2,2,"16/11/2023, 09:00"

Georgia,https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752530,60%,No information,2,12,5,2,16,622,12,10,1,No information,6,0,3,3,8,4,2,No information,2,No information,2,0,557,15,58,32/57 (56%),2/15 (13%),38%,6,28/66 (42%),6/23 (26%),6/16 (38%),67%,12,11,60,9,No information,5,9,4,"15/10/2023, 06:00"
Cyprus,https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752530,40%,No information,0,10,2,4,12,404,16,16,2,No information,5,0,5,0,5,5,0,No information,1,No information,6,1,335,17,43,26/45 (58%),4/15 (27%),62%,7,38/66 (58%),17/23 (74%),6/11 (55%),56%,16,12,53,9,No information,2,8,0,"15/10/2023, 06:00"

Spain,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752581,76%,No information,3,20,0,9,9,792,16,9,2,No information,9,0,7,4,11,9,2,1,0,No information,5,2,730,15,88,27/33 (82%),6/29 (21%),52%,8,37/72 (51%),7/12 (58%),13/25 (52%),63%,16,2,62,5,No information,0,2,3,"19/11/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752581,24%,No information,0,8,7,3,9,255,20,9,2,No information,1,0,5,2,2,6,0,0,1,No information,2,0,194,10,27,21/49 (43%),1/4 (25%),48%,7,35/72 (49%),5/12 (42%),7/16 (44%),55%,20,13,59,27,No information,7,9,1,"19/11/2023, 11:45"

Georgia,https://www.sofascore.com/georgia-luxembourg/DObsnVb#id:11848531,56%,No information,4,13,1,2,17,508,19,20,4,0,4,2,6,3,8,5,2,2,1,No information,3,0,436,15,48,39/63 (62%),6/19 (32%),54%,8,50/94 (53%),12/21 (57%),11/23 (48%),63%,19,14,54,4,No information,1,4,2,"21/03/2024, 10:00"
Luxembourg,https://www.sofascore.com/georgia-luxembourg/DObsnVb#id:11848531,44%,No information,0,5,2,0,21,403,20,16,7,1,1,0,2,2,2,3,0,0,0,No information,1,2,335,13,35,25/51 (49%),1/6 (17%),46%,7,44/94 (47%),9/21 (43%),9/21 (43%),80%,20,9,49,10,No information,2,6,0,"21/03/2024, 10:00"

Georgia,https://www.sofascore.com/georgia-greece/kUbsnVb#id:12182590,36%,No information,1,16,2,3,13,453,21,16,2,1,3,0,6,7,9,7,No information,1,No information,No information,2,2,349,30,60,29/68 (43%),4/15 (27%),53%,10,53/100 (53%),17/31 (55%),16/27 (59%),52%,21,17,73,32,No information,2,10,0,"26/03/2024, 10:00"
Greece,https://www.sofascore.com/georgia-greece/kUbsnVb#id:12182590,64%,No information,1,13,3,8,16,798,21,13,5,0,2,1,4,7,4,9,No information,1,No information,No information,1,2,694,33,85,31/67 (46%),5/36 (14%),47%,9,47/100 (47%),14/31 (45%),13/25 (52%),57%,21,12,68,18,No information,3,8,0,"26/03/2024, 10:00"

Montenegro,https://www.sofascore.com/montenegro-georgia/nVbsORc#id:12258883,56%,No information,No information,11,7,3,12,No information,No information,23,1,0,3,No information,7,1,No information,No information,No information,No information,No information,No information,No information,0,No information,15,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,7,4,3,"09/06/2024, 11:45"
Georgia,https://www.sofascore.com/montenegro-georgia/nVbsORc#id:12258883,44%,No information,No information,13,2,7,21,No information,No information,12,0,0,10,No information,3,0,No information,No information,No information,No information,No information,No information,No information,0,No information,15,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,10,1,"09/06/2024, 11:45"

Türkiye,https://www.sofascore.com/georgia-turkey/aUbsnVb#id:12198159,56%,3.01,5,22,3,5,10,573,18,7,2,No information,8,1,7,7,11,11,1,4,1,24,3,2,511,14,72,13/24 (54%),4/17 (24%),47%,9,28/67 (42%),19/32 (59%),3/17 (18%),83%,18,6,50,18,0.13,3,6,3,"18/06/2024, 09:00"
Georgia,https://www.sofascore.com/georgia-turkey/aUbsnVb#id:12198159,44%,1.37,5,14,5,5,7,441,23,10,1,No information,5,2,6,3,11,3,1,4,0,22,1,1,379,18,34,21/46 (46%),6/20 (30%),53%,4,39/67 (58%),13/32 (41%),6/20 (30%),70%,23,8,40,27,0.06,5,8,1,"18/06/2024, 09:00"

Georgia,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,62%,No information,2,16,1,10,8,519,17,11,1,No information,2,0,7,7,9,7,No information,2,No information,No information,4,2,435,37,83,28/51 (55%),7/27 (26%),58%,14,49/79 (62%),14/30 (47%),21/25 (84%),47%,17,6,No information,3,No information,1,6,0,"12/06/2022, 09:00"
Bulgaria,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,38%,No information,0,3,1,0,11,335,18,8,2,No information,1,0,2,0,2,1,No information,0,No information,No information,0,3,253,18,40,23/61 (38%),2/5 (40%),42%,6,30/79 (38%),16/30 (53%),4/15 (27%),61%,18,7,No information,32,No information,1,19,0,"12/06/2022, 09:00"

Gibraltar,https://www.sofascore.com/gibraltar-georgia/nVbsoKbb#id:10023416,31%,No information,1,9,8,6,12,258,17,10,3,No information,5,0,2,2,6,3,1,0,No information,No information,3,1,172,17,36,16/53 (30%),2/15 (13%),51%,8,35/62 (56%),4/14 (29%),8/10 (80%),59%,17,17,No information,30,No information,8,10,2,"26/09/2022, 11:45"
Georgia,https://www.sofascore.com/gibraltar-georgia/nVbsoKbb#id:10023416,69%,No information,3,23,4,7,10,612,10,10,3,No information,10,0,7,6,10,13,2,1,No information,No information,2,2,544,26,79,26/44 (59%),0/18 (0%),49%,5,27/62 (44%),10/14 (71%),7/19 (37%),90%,10,5,No information,24,No information,4,2,1,"26/09/2022, 11:45"

Georgia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023426,35%,No information,1,8,6,4,14,301,18,10,1,No information,2,0,4,2,5,3,1,0,No information,No information,1,1,222,17,34,27/53 (51%),1/8 (13%),49%,15,41/88 (47%),8/12 (67%),13/20 (65%),72%,18,21,No information,15,No information,6,11,2,"23/09/2022, 09:00"
North macedonia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023426,65%,No information,1,19,1,9,12,571,22,13,1,No information,6,0,9,4,4,15,0,1,No information,No information,4,1,492,21,61,47/72 (65%),3/16 (19%),51%,9,47/88 (53%),4/12 (33%),12/21 (57%),82%,22,16,No information,3,No information,1,6,0,"23/09/2022, 09:00"

Morocco,https://www.sofascore.com/morocco-georgia/nVbsDVb#id:10874287,No information,No information,No information,12,4,7,11,No information,No information,6,No information,No information,9,No information,3,No information,No information,No information,No information,No information,No information,No information,No information,4,No information,8,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,6,3,"11/17/2022, 16:00"
Georgia,https://www.sofascore.com/morocco-georgia/nVbsDVb#id:10874287,No information,No information,No information,8,6,2,5,No information,No information,15,No information,No information,4,No information,4,No information,No information,No information,No information,No information,No information,No information,No information,1,No information,8,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,6,0,"11/17/2022, 16:00"

Georgia,https://www.sofascore.com/mongolia-georgia/nVbsWuj#id:11090717,70%,No information,No information,29,1,7,6,No information,No information,9,0,0,14,No information,10,5,No information,No information,No information,No information,No information,No information,No information,2,No information,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,1,6,"25/03/2023, 07:00"
Mongolia,https://www.sofascore.com/mongolia-georgia/nVbsWuj#id:11090717,30%,No information,No information,2,8,0,9,No information,No information,8,1,0,2,No information,0,0,No information,No information,No information,No information,No information,No information,No information,0,No information,14,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,8,16,1,"25/03/2023, 07:00"

Georgia,https://www.sofascore.com/georgia-norway/AObsnVb#id:10752406,62%,No information,1,17,1,6,5,673,21,6,0,No information,4,0,8,5,9,8,1,No information,No information,No information,1,No information,608,19,85,53/61 (87%),3/21 (14%),43%,13,37/88 (42%),9/18 (50%),10/24 (42%),62%,21,14,55,10,No information,1,3,1,"28/03/2023, 09:00"
Norway,https://www.sofascore.com/georgia-norway/AObsnVb#id:10752406,38%,No information,0,7,2,0,6,408,27,4,2,No information,2,0,2,3,5,2,0,No information,No information,No information,0,No information,340,23,38,27/54 (50%),2/8 (25%),57%,8,51/88 (58%),9/18 (50%),20/33 (61%),70%,27,12,51,19,No information,2,11,1,"28/03/2023, 09:00"

Scotland,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752450,37%,No information,1,8,3,4,17,323,8,13,3,No information,6,0,1,1,6,2,1,0,1,No information,1,1,251,18,17,15/56 (27%),2/8 (25%),40%,5,30/67 (45%),5/20 (25%),11/23 (48%),50%,8,11,38,19,No information,3,10,2,"20/06/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752450,63%,No information,2,16,4,4,15,553,17,17,3,No information,5,0,8,3,11,5,0,2,1,No information,5,0,495,27,59,16/33 (48%),10/24 (42%),60%,3,37/67 (55%),15/20 (75%),3/8 (38%),71%,17,4,43,8,No information,4,2,0,"20/06/2023, 11:45"

Georgia,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752470,76%,No information,3,20,0,9,9,792,16,9,2,No information,9,0,7,4,11,9,2,1,0,No information,5,2,730,15,88,27/33 (82%),6/29 (21%),52%,8,37/72 (51%),7/12 (58%),13/25 (52%),63%,16,2,62,5,No information,0,2,7,"08/09/2023, 09:00"
Spain,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752470,24%,No information,0,8,7,3,9,255,20,9,2,No information,1,0,5,2,2,6,0,0,1,No information,2,0,194,10,27,21/49 (43%),1/4 (25%),48%,7,35/72 (49%),5/12 (42%),7/16 (44%),55%,20,13,59,27,No information,7,9,1,"08/09/2023, 09:00"

Norway,https://www.sofascore.com/georgia-norway/AObsnVb#id:10752494,62%,No information,1,17,1,6,5,673,21,6,0,No information,4,0,8,5,9,8,1,No information,No information,No information,1,No information,608,19,85,53/61 (87%),3/21 (14%),43%,13,37/88 (42%),9/18 (50%),10/24 (42%),62%,21,14,55,10,No information,1,3,2,"12/09/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-norway/AObsnVb#id:10752494,38%,No information,0,7,2,0,6,408,27,4,2,No information,2,0,2,3,5,2,0,No information,No information,No information,0,No information,340,23,38,27/54 (50%),2/8 (25%),57%,8,51/88 (58%),9/18 (50%),20/33 (61%),70%,27,12,51,19,No information,2,11,1,"12/09/2023, 11:45"

Georgia,https://www.sofascore.com/georgia-greece/kUbsnVb#id:9223921,36%,No information,1,16,2,3,13,453,21,16,2,1,3,0,6,7,9,7,No information,1,No information,No information,2,2,349,30,60,29/68 (43%),4/15 (27%),53%,10,53/100 (53%),17/31 (55%),16/27 (59%),52%,21,17,73,32,No information,2,10,2,"09/10/2021, 09:00"
Greece,https://www.sofascore.com/georgia-greece/kUbsnVb#id:9223921,64%,No information,1,13,3,8,16,798,21,13,5,0,2,1,4,7,4,9,No information,1,No information,No information,1,2,694,33,85,31/67 (46%),5/36 (14%),47%,9,47/100 (47%),14/31 (45%),13/25 (52%),57%,21,12,68,18,No information,3,8,0,"09/10/2021, 09:00"

Kosovo,https://www.sofascore.com/kosovo-georgia/nVbsBNlb#id:9223922,54%,No information,4,12,0,5,9,520,18,7,4,No information,4,0,4,4,9,3,1,3,2,No information,3,0,442,24,60,26/54 (48%),5/32 (16%),57%,2,32/55 (58%),16/29 (55%),7/13 (54%),50%,18,7,No information,10,No information,0,5,2,"12/10/2021, 11:45"
Georgia,https://www.sofascore.com/kosovo-georgia/nVbsBNlb#id:9223922,46%,No information,3,6,2,2,8,460,8,8,5,No information,3,0,3,0,6,0,2,1,0,No information,0,1,379,11,38,20/46 (43%),3/10 (30%),43%,5,23/55 (42%),13/29 (45%),9/22 (41%),75%,8,9,No information,33,No information,2,10,1,"12/10/2021, 11:45"

Georgia,https://www.sofascore.com/georgia-sweden/NTbsnVb#id:9223894,41%,No information,2,10,7,5,14,354,8,9,3,No information,6,0,3,1,8,2,2,0,No information,No information,1,2,287,7,30,24/54 (44%),4/11 (36%),42%,6,28/67 (42%),16/39 (41%),11/18 (61%),75%,8,8,No information,33,No information,7,9,2,"11/11/2021, 09:00"
Sweden,https://www.sofascore.com/georgia-sweden/NTbsnVb#id:9223894,59%,No information,5,20,3,8,10,508,13,14,1,No information,8,0,6,6,16,4,0,5,No information,No information,3,9,437,18,71,22/36 (61%),5/28 (18%),58%,4,39/67 (58%),23/39 (59%),12/16 (75%),54%,13,7,No information,6,No information,3,4,0,"11/11/2021, 09:00"

Cyprus,https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752431,60%,No information,2,12,5,2,16,622,12,10,1,No information,6,0,3,3,8,4,2,No information,2,No information,2,0,557,15,58,32/57 (56%),2/15 (13%),38%,6,28/66 (42%),6/23 (26%),6/16 (38%),67%,12,11,60,9,No information,5,9,2,"17/06/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752431,40%,No information,0,10,2,4,12,404,16,16,2,No information,5,0,5,0,5,5,0,No information,1,No information,6,1,335,17,43,26/45 (58%),4/15 (27%),62%,7,38/66 (58%),17/23 (74%),6/11 (55%),56%,16,12,53,9,No information,2,8,1,"17/06/2023, 11:45"

Bosnia & herzegovina,https://www.sofascore.com/georgia-bosnia-and-herzegovina/EObsnVb#id:10151747,55%,No information,No information,13,0,5,14,No information,No information,9,0,0,4,No information,6,3,No information,No information,No information,No information,No information,No information,No information,3,No information,30,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,3,1,"25/03/2022, 12:45"
Georgia,https://www.sofascore.com/georgia-bosnia-and-herzegovina/EObsnVb#id:10151747,45%,No information,No information,3,4,4,6,No information,No information,17,3,0,1,No information,2,0,No information,No information,No information,No information,No information,No information,No information,3,No information,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,8,0,"25/03/2022, 12:45"

Georgia,https://www.sofascore.com/gibraltar-georgia/nVbsoKbb#id:10023380,31%,No information,1,9,8,6,12,258,17,10,3,No information,5,0,2,2,6,3,1,0,No information,No information,3,1,172,17,36,16/53 (30%),2/15 (13%),51%,8,35/62 (56%),4/14 (29%),8/10 (80%),59%,17,17,No information,30,No information,8,10,4,"02/06/2022, 09:00"
Gibraltar,https://www.sofascore.com/gibraltar-georgia/nVbsoKbb#id:10023380,69%,No information,3,23,4,7,10,612,10,10,3,No information,10,0,7,6,10,13,2,1,No information,No information,2,2,544,26,79,26/44 (59%),0/18 (0%),49%,5,27/62 (44%),10/14 (71%),7/19 (37%),90%,10,5,No information,24,No information,4,2,0,"02/06/2022, 09:00"

Bulgaria,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023401,62%,No information,2,16,1,10,8,519,17,11,1,No information,2,0,7,7,9,7,No information,2,No information,No information,4,2,435,37,83,28/51 (55%),7/27 (26%),58%,14,49/79 (62%),14/30 (47%),21/25 (84%),47%,17,6,No information,3,No information,1,6,5,"05/06/2022, 11:45"
Georgia,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023401,38%,No information,0,3,1,0,11,335,18,8,2,No information,1,0,2,0,2,1,No information,0,No information,No information,0,3,253,18,40,23/61 (38%),2/5 (40%),42%,6,30/79 (38%),16/30 (53%),4/15 (27%),61%,18,7,No information,32,No information,1,19,2,"05/06/2022, 11:45"

North macedonia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,35%,No information,1,8,6,4,14,301,18,10,1,No information,2,0,4,2,5,3,1,0,No information,No information,1,1,222,17,34,27/53 (51%),1/8 (13%),49%,15,41/88 (47%),8/12 (67%),13/20 (65%),72%,18,21,No information,15,No information,6,11,3,"09/06/2022, 11:45"
Georgia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,65%,No information,1,19,1,9,12,571,22,13,1,No information,6,0,9,4,4,15,0,1,No information,No information,4,1,492,21,61,47/72 (65%),3/16 (19%),51%,9,47/88 (53%),4/12 (33%),12/21 (57%),82%,22,16,No information,3,No information,1,6,0,"09/06/2022, 11:45"

Albania,https://www.sofascore.com/georgia-albania/PTbsnVb#id:10102063,54%,No information,No information,15,1,7,13,No information,No information,10,2,0,4,No information,6,5,No information,No information,No information,No information,No information,No information,No information,8,No information,22,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,4,0,"29/03/2022, 09:00"
Georgia,https://www.sofascore.com/georgia-albania/PTbsnVb#id:10102063,46%,No information,No information,5,4,1,8,No information,No information,21,3,0,1,No information,2,2,No information,No information,No information,No information,No information,No information,No information,2,No information,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,10,0,"29/03/2022, 09:00"

Georgia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:9102659,35%,No information,1,8,6,4,14,301,18,10,1,No information,2,0,4,2,5,3,1,0,No information,No information,1,1,222,17,34,27/53 (51%),1/8 (13%),49%,15,41/88 (47%),8/12 (67%),13/20 (65%),72%,18,21,No information,15,No information,6,11,1,"12/11/2020, 09:00"
