Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Austria,https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,44%,No information,3,16,3,2,12,421,18,16,1,0,7,0,8,1,10,6,1,2,2,No information,2,2,333,16,41,27/52 (52%),0/9 (0%),47%,14,41/83 (49%),9/24 (38%),7/14 (50%),39%,18,14,67,16,No information,3,9,2,"21/11/2023, 11:45"
Germany,https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,56%,No information,0,8,5,2,17,551,21,12,1,1,3,0,4,1,2,6,0,0,1,No information,2,2,446,13,70,45/72 (63%),1/6 (17%),53%,8,42/83 (51%),15/24 (63%),9/19 (47%),33%,21,6,63,20,No information,5,12,0,"21/11/2023, 11:45"

Germany,https://www.sofascore.com/germany-turkey/aUbslUb#id:11800822,55%,No information,4,11,2,3,16,518,17,10,0,No information,4,0,3,4,10,1,1,3,2,No information,1,2,449,11,45,22/49 (45%),4/12 (33%),51%,10,41/83 (49%),11/19 (58%),14/24 (58%),76%,17,9,61,15,No information,2,4,3,"18/11/2023, 11:45"
Türkiye,https://www.sofascore.com/germany-turkey/aUbslUb#id:11800822,45%,No information,3,8,2,2,11,432,20,15,5,No information,5,1,2,1,5,3,3,0,2,No information,3,0,355,15,46,30/53 (57%),0/4 (0%),49%,9,42/83 (51%),8/19 (42%),8/16 (50%),60%,20,11,55,16,No information,2,4,2,"18/11/2023, 11:45"

France,https://www.sofascore.com/germany-france/GObslUb#id:11896617,42%,No information,2,11,4,2,8,511,22,9,2,No information,2,0,9,0,8,3,0,2,0,No information,2,3,443,27,33,12/19 (63%),3/13 (23%),55%,7,44/85 (52%),9/11 (82%),13/29 (45%),68%,22,13,56,14,No information,4,10,2,"23/03/2024, 13:00"
Germany,https://www.sofascore.com/germany-france/GObslUb#id:11896617,58%,No information,2,15,2,5,10,709,23,8,1,No information,6,0,6,3,8,7,1,1,3,No information,2,2,642,14,54,18/32 (56%),2/7 (29%),45%,16,41/85 (48%),2/11 (18%),10/16 (63%),78%,23,12,60,14,No information,2,11,0,"23/03/2024, 13:00"

Germany,https://www.sofascore.com/germany-ukraine/bUbslUb#id:12208868,62%,No information,2,27,3,11,12,711,7,4,No information,No information,5,1,13,9,17,10,No information,2,1,44,1,2,658,19,85,12/17 (71%),10/34 (29%),40%,4,17/41 (41%),4/12 (33%),6/8 (75%),71%,7,5,48,13,No information,3,2,0,"03/06/2024, 11:45"
