Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Bulgaria,https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752559,41%,No information,1,3,4,0,14,389,13,12,4,1,2,0,1,0,3,0,1,0,No information,No information,1,2,286,20,35,29/69 (42%),1/5 (20%),53%,1,29/56 (52%),16/29 (55%),4/7 (57%),54%,13,8,51,20,No information,4,11,2,"16/11/2023, 09:00"
Hungary,https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752559,59%,No information,5,20,0,6,14,544,4,13,3,1,5,0,10,5,12,8,1,4,No information,No information,6,2,455,27,70,34/70 (49%),8/25 (32%),47%,5,27/56 (48%),13/29 (45%),10/18 (56%),75%,4,5,56,5,No information,0,1,2,"16/11/2023, 09:00"

Hungary,https://www.sofascore.com/montenegro-hungary/jUbsORc#id:10752577,62%,No information,3,14,5,7,13,545,17,21,4,No information,5,0,5,4,8,6,1,2,1,No information,6,2,462,21,76,35/65 (54%),9/33 (27%),54%,11,45/77 (58%),14/32 (44%),7/13 (54%),82%,17,10,56,24,No information,5,2,3,"19/11/2023, 06:00"
Montenegro,https://www.sofascore.com/montenegro-hungary/jUbsORc#id:10752577,38%,No information,4,7,2,3,21,339,17,13,7,No information,6,0,1,0,6,1,1,3,1,No information,1,2,258,20,45,30/55 (55%),3/18 (17%),46%,7,32/77 (42%),18/32 (56%),2/12 (17%),59%,17,6,52,28,No information,2,8,1,"19/11/2023, 06:00"

Hungary,https://www.sofascore.com/hungary-turkey/aUbsjUb#id:12076353,46%,No information,2,8,6,2,11,446,23,11,2,No information,5,0,2,1,5,3,1,1,0,No information,6,1,369,13,35,23/50 (46%),4/12 (33%),46%,11,38/81 (47%),15/34 (44%),4/13 (31%),83%,23,8,51,19,No information,6,11,1,"22/03/2024, 12:45"
Türkiye,https://www.sofascore.com/hungary-turkey/aUbsjUb#id:12076353,54%,No information,1,16,4,7,12,514,20,11,2,No information,6,0,7,3,11,5,0,1,1,No information,1,3,453,19,46,33/49 (67%),5/20 (25%),54%,11,43/81 (53%),19/34 (56%),12/24 (50%),75%,20,8,54,16,No information,4,3,0,"22/03/2024, 12:45"

Hungary,https://www.sofascore.com/kosovo-hungary/jUbsBNlb#id:12076355,47%,No information,1,9,0,3,8,447,12,13,0,No information,3,0,4,2,5,4,1,No information,No information,No information,3,2,361,19,38,20/47 (43%),5/16 (31%),54%,6,31/59 (53%),13/22 (59%),6/13 (46%),67%,12,9,47,15,No information,0,7,2,"26/03/2024, 11:00"
Kosovo,https://www.sofascore.com/kosovo-hungary/jUbsBNlb#id:12076355,53%,No information,0,11,1,5,13,505,13,8,5,No information,0,0,4,7,6,5,0,No information,No information,No information,0,2,437,21,64,35/59 (59%),4/19 (21%),46%,8,28/59 (47%),9/22 (41%),8/12 (67%),69%,13,4,48,14,No information,1,3,0,"26/03/2024, 11:00"

Hungary,https://www.sofascore.com/hungary-israel/FObsjUb#id:12258881,59%,No information,8,13,4,0,17,589,9,8,3,No information,7,2,6,0,11,2,3,5,No information,18,0,2,545,14,40,27/37 (73%),8/15 (53%),42%,9,20/56 (36%),9/13 (69%),3/7 (43%),67%,9,6,39,16,No information,4,4,3,"08/06/2024, 09:00"
Israel,https://www.sofascore.com/hungary-israel/FObsjUb#id:12258881,41%,No information,0,16,4,6,8,395,13,16,1,No information,4,0,3,9,5,11,0,0,No information,8,3,2,346,10,27,12/33 (36%),2/14 (14%),58%,5,36/56 (64%),4/13 (31%),7/11 (64%),69%,13,5,39,13,No information,4,5,0,"08/06/2024, 09:00"

Hungary,https://www.sofascore.com/hungary-switzerland/ZTbsjUb#id:11873897,50%,1.25,3,6,4,2,9,438,16,12,2,No information,2,0,3,1,5,1,1,2,0,10,2,3,365,20,43,37/56 (66%),5/20 (25%),54%,9,32/58 (55%),16/31 (52%),4/8 (50%),69%,16,5,39,23,-0.59,4,4,3,"15/06/2024, 06:00"
Switzerland,https://www.sofascore.com/hungary-switzerland/ZTbsjUb#id:11873897,50%,2.33,3,15,1,6,13,452,13,9,2,No information,7,0,3,5,11,4,2,1,2,32,0,2,380,24,59,21/45 (47%),2/10 (20%),46%,8,26/58 (45%),15/31 (48%),5/13 (38%),69%,13,6,39,17,-0.02,1,3,1,"15/06/2024, 06:00"

Germany,https://www.sofascore.com/germany-hungary/jUbslUb#id:11873900,70%,1.48,3,19,3,11,12,718,17,10,2,No information,7,0,5,7,11,8,2,1,No information,37,2,0,668,12,65,15/21 (71%),4/27 (15%),51%,7,31/60 (52%),11/23 (48%),4/10 (40%),65%,17,6,41,20,1.08,3,3,2,"19/06/2024, 09:00"
Hungary,https://www.sofascore.com/germany-hungary/jUbslUb#id:11873900,30%,1.01,4,11,5,7,10,308,13,12,2,No information,4,0,4,3,7,4,0,4,No information,15,2,1,248,12,33,15/39 (38%),1/14 (7%),49%,5,29/60 (48%),12/23 (52%),4/16 (25%),46%,13,5,32,31,1.16,5,11,0,"19/06/2024, 09:00"

Ireland,https://www.sofascore.com/hungary-ireland/TTbsjUb#id:12076163,44%,No information,2,4,5,1,13,475,5,13,3,No information,2,0,2,0,4,0,2,No information,No information,9,1,2,383,12,30,17/44 (39%),4/10 (40%),49%,9,24/52 (46%),10/17 (59%),6/10 (60%),80%,5,8,53,12,No information,5,9,2,"04/06/2024, 11:45"
Hungary,https://www.sofascore.com/hungary-ireland/TTbsjUb#id:12076163,56%,No information,1,12,0,7,13,608,13,13,2,No information,6,0,4,2,6,6,1,No information,No information,16,2,2,526,18,61,15/48 (31%),6/16 (38%),51%,3,28/52 (54%),7/17 (41%),3/5 (60%),62%,13,12,52,5,No information,0,2,1,"04/06/2024, 11:45"

Luxembourg,https://www.sofascore.com/hungary-luxembourg/DObsjUb#id:10751618,43%,No information,No information,5,2,1,12,No information,No information,16,1,0,3,No information,1,1,No information,No information,No information,No information,No information,No information,No information,0,No information,26,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,7,2,"17/11/2022, 11:00"
Hungary,https://www.sofascore.com/hungary-luxembourg/DObsjUb#id:10751618,57%,No information,No information,11,1,9,14,No information,No information,12,3,0,4,No information,5,2,No information,No information,No information,No information,No information,No information,No information,2,No information,21,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,5,2,"17/11/2022, 11:00"

Hungary,https://www.sofascore.com/greece-hungary/jUbskUb#id:10751622,40%,No information,0,12,1,3,13,390,13,10,2,No information,7,0,4,1,3,9,0,No information,No information,No information,2,1,318,20,36,22/45 (49%),4/12 (33%),43%,10,25/57 (44%),9/22 (41%),2/7 (29%),69%,13,7,No information,18,No information,1,5,2,"11/20/2022, 19:15"
Greece,https://www.sofascore.com/greece-hungary/jUbskUb#id:10751622,60%,No information,1,8,5,2,10,577,15,13,0,No information,2,0,5,1,4,4,1,No information,No information,No information,2,4,496,21,52,38/63 (60%),5/17 (29%),57%,11,32/57 (56%),13/22 (59%),4/6 (67%),80%,15,8,No information,10,No information,5,6,1,"11/20/2022, 19:15"

Hungary,https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752404,41%,No information,1,3,4,0,14,389,13,12,4,1,2,0,1,0,3,0,1,0,No information,No information,1,2,286,20,35,29/69 (42%),1/5 (20%),53%,1,29/56 (52%),16/29 (55%),4/7 (57%),54%,13,8,51,20,No information,4,11,3,"27/03/2023, 11:45"
Bulgaria,https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752404,59%,No information,5,20,0,6,14,544,4,13,3,1,5,0,10,5,12,8,1,4,No information,No information,6,2,455,27,70,34/70 (49%),8/25 (32%),47%,5,27/56 (48%),13/29 (45%),10/18 (56%),75%,4,5,56,5,No information,0,1,0,"27/03/2023, 11:45"

Montenegro,https://www.sofascore.com/montenegro-hungary/jUbsORc#id:10752430,62%,No information,3,14,5,7,13,545,17,21,4,No information,5,0,5,4,8,6,1,2,1,No information,6,2,462,21,76,35/65 (54%),9/33 (27%),54%,11,45/77 (58%),14/32 (44%),7/13 (54%),82%,17,10,56,24,No information,5,2,0,"17/06/2023, 09:00"
Hungary,https://www.sofascore.com/montenegro-hungary/jUbsORc#id:10752430,38%,No information,4,7,2,3,21,339,17,13,7,No information,6,0,1,0,6,1,1,3,1,No information,1,2,258,20,45,30/55 (55%),3/18 (17%),46%,7,32/77 (42%),18/32 (56%),2/12 (17%),59%,17,6,52,28,No information,2,8,0,"17/06/2023, 09:00"

Hungary,https://www.sofascore.com/estonia-hungary/jUbsjVb#id:11038091,57%,No information,2,18,3,9,8,486,14,13,1,No information,8,0,8,2,9,9,1,1,1,No information,3,1,406,18,35,30/48 (63%),3/13 (23%),49%,8,35/65 (54%),7/20 (35%),8/16 (50%),64%,14,7,No information,16,No information,3,8,1,"23/03/2023, 11:30"
Estonia,https://www.sofascore.com/estonia-hungary/jUbsjVb#id:11038091,43%,No information,0,11,7,4,14,359,16,8,2,No information,3,0,3,5,6,5,0,0,2,No information,1,1,287,24,68,13/45 (29%),4/16 (25%),51%,3,30/65 (46%),13/20 (65%),6/17 (35%),56%,16,8,No information,11,No information,7,7,0,"23/03/2023, 11:30"

