Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Italy,https://www.sofascore.com/north-macedonia-italy/hUbsCVb#id:10752565,64%,No information,5,20,0,7,13,630,16,16,2,No information,11,0,4,5,14,6,1,4,2,No information,3,4,557,10,56,42/64 (66%),7/14 (50%),52%,9,40/75 (53%),10/21 (48%),8/17 (47%),69%,16,4,70,4,No information,0,1,5,"17/11/2023, 11:45"
North macedonia,https://www.sofascore.com/north-macedonia-italy/hUbsCVb#id:10752565,36%,No information,1,4,6,2,18,355,18,12,4,No information,2,0,1,1,2,2,1,0,0,No information,0,0,281,13,35,27/57 (47%),1/5 (20%),48%,10,35/75 (47%),11/21 (52%),5/11 (45%),39%,18,11,60,22,No information,6,7,2,"17/11/2023, 11:45"

England,https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,51%,No information,3,9,3,2,8,508,9,15,1,No information,6,0,3,0,5,4,3,No information,1,No information,3,0,451,11,40,30/55 (55%),3/7 (43%),51%,13,33/64 (52%),5/11 (45%),9/17 (53%),67%,9,12,47,9,No information,3,5,3,"17/10/2023, 11:45"
Italy,https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,49%,No information,1,15,3,2,15,498,21,7,3,No information,4,0,5,6,9,6,1,No information,0,No information,0,1,428,13,50,21/31 (68%),3/7 (43%),49%,3,31/64 (48%),6/11 (55%),3/9 (33%),57%,21,8,46,8,No information,3,6,1,"17/10/2023, 11:45"

Venezuela,https://www.sofascore.com/venezuela-italy/hUbsxUb#id:12065489,33%,No information,5,12,2,3,19,310,11,14,No information,No information,3,0,6,3,9,3,1,4,0,No information,2,2,250,15,35,17/39 (44%),2/12 (17%),44%,9,26/64 (41%),13/24 (54%),1/7 (14%),45%,11,8,40,24,No information,2,7,2,"21/03/2024, 14:00"
Italy,https://www.sofascore.com/venezuela-italy/hUbsxUb#id:12065489,67%,No information,2,12,2,10,14,617,15,18,No information,No information,4,0,4,4,9,3,2,0,1,No information,4,3,559,14,52,34/47 (72%),5/24 (21%),56%,5,38/64 (59%),11/24 (46%),7/13 (54%),47%,15,7,44,9,No information,2,7,1,"21/03/2024, 14:00"

Italy,https://www.sofascore.com/ecuador-italy/hUbshVb#id:12065503,49%,No information,4,9,1,8,15,448,20,18,4,No information,4,0,2,3,6,3,1,3,3,No information,2,2,386,11,36,23/47 (49%),2/14 (14%),51%,12,38/81 (47%),11/16 (69%),1/8 (13%),35%,20,5,47,20,No information,1,6,2,"24/03/2024, 13:00"
Ecuador,https://www.sofascore.com/ecuador-italy/hUbshVb#id:12065503,51%,No information,0,10,2,7,18,457,19,15,0,No information,1,0,6,3,5,5,0,0,0,No information,2,0,397,19,30,30/45 (67%),3/22 (14%),49%,9,43/81 (53%),5/16 (31%),9/20 (45%),53%,19,9,46,9,No information,2,4,0,"24/03/2024, 13:00"

Italy,https://www.sofascore.com/italy-turkey/aUbshUb#id:12076173,53%,No information,0,11,2,4,17,548,10,12,2,No information,2,1,6,3,8,3,No information,0,No information,22,2,1,498,21,56,36/55 (65%),9/18 (50%),49%,5,24/56 (43%),12/17 (71%),2/9 (22%),80%,10,6,37,10,No information,2,5,0,"04/06/2024, 12:00"
Türkiye,https://www.sofascore.com/italy-turkey/aUbshUb#id:12076173,47%,No information,1,10,2,5,12,490,12,16,0,No information,2,0,3,5,6,4,No information,1,No information,14,1,0,429,12,26,16/39 (41%),6/14 (43%),51%,9,32/56 (57%),5/17 (29%),5/6 (83%),67%,12,3,39,11,No information,2,11,0,"04/06/2024, 12:00"

Italy,https://www.sofascore.com/italy-bosnia-and-herzegovina/EObshUb#id:12076162,64%,No information,3,17,3,10,9,647,7,10,0,No information,6,0,6,5,13,4,No information,3,3,33,1,3,590,22,70,32/48 (67%),7/24 (29%),54%,5,21/43 (49%),9/13 (69%),4/10 (40%),71%,7,4,40,5,No information,3,2,1,"09/06/2024, 11:45"
Bosnia & herzegovina,https://www.sofascore.com/italy-bosnia-and-herzegovina/EObshUb#id:12076162,36%,No information,1,8,4,3,10,376,11,7,1,No information,3,0,2,3,3,5,No information,1,0,8,1,0,316,13,20,25/59 (42%),1/4 (25%),46%,4,22/43 (51%),4/13 (31%),4/7 (57%),64%,11,8,32,19,No information,4,8,0,"09/06/2024, 11:45"

Ukraine,https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752586,42%,No information,1,7,2,4,14,386,12,8,1,No information,4,0,2,1,3,4,No information,1,0,No information,2,1,312,7,43,19/47 (40%),1/11 (9%),38%,6,24/59 (41%),7/22 (32%),4/11 (36%),75%,12,8,53,24,No information,2,9,0,"20/11/2023, 11:45"
Italy,https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752586,58%,No information,2,17,4,9,9,535,13,14,1,No information,2,0,8,7,8,9,No information,2,1,No information,0,3,454,16,51,26/44 (59%),7/21 (33%),62%,3,35/59 (59%),15/22 (68%),8/17 (47%),54%,13,7,56,12,No information,4,5,0,"20/11/2023, 11:45"

Italy,https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,68%,1.56,5,17,0,5,7,809,9,7,2,No information,5,1,5,7,12,5,1,4,No information,34,0,2,747,17,72,21/36 (58%),7/15 (47%),54%,4,25/41 (61%),6/16 (38%),9/13 (69%),56%,9,15,37,6,-0.41,0,3,2,"15/06/2024, 12:00"
Albania,https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,32%,0.51,2,8,3,3,7,372,8,7,2,No information,1,0,5,2,4,4,1,1,No information,7,2,1,313,15,25,17/41 (41%),2/9 (22%),46%,4,16/41 (39%),10/16 (63%),2/7 (29%),63%,8,13,32,15,-0.41,3,8,1,"15/06/2024, 12:00"

Hungary,https://www.sofascore.com/hungary-italy/hUbsjUb#id:10023328,53%,No information,3,13,1,6,16,522,12,10,2,No information,6,0,2,5,6,7,0,3,No information,No information,3,2,417,19,52,33/63 (52%),5/23 (22%),43%,6,24/59 (41%),10/20 (50%),2/9 (22%),50%,12,10,No information,10,No information,1,9,2,"26/09/2022, 11:45"
Italy,https://www.sofascore.com/hungary-italy/hUbsjUb#id:10023328,47%,No information,2,11,6,2,12,465,13,15,1,No information,3,0,7,1,10,1,2,0,No information,No information,1,6,377,18,37,19/48 (40%),5/13 (38%),57%,5,35/59 (59%),10/20 (50%),7/14 (50%),54%,13,14,No information,26,No information,6,5,0,"26/09/2022, 11:45"

Albania,https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,68%,1.56,5,17,0,5,7,809,9,7,2,No information,5,1,5,7,12,5,1,4,No information,34,0,2,747,17,72,21/36 (58%),7/15 (47%),54%,4,25/41 (61%),6/16 (38%),9/13 (69%),56%,9,15,37,6,-0.41,0,3,3,"16/11/2022, 11:45"
Italy,https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,32%,0.51,2,8,3,3,7,372,8,7,2,No information,1,0,5,2,4,4,1,1,No information,7,2,1,313,15,25,17/41 (41%),2/9 (22%),46%,4,16/41 (39%),10/16 (63%),2/7 (29%),63%,8,13,32,15,-0.41,3,8,1,"16/11/2022, 11:45"

Austria,https://www.sofascore.com/austria-italy/hUbstUb#id:10751626,40%,No information,2,17,3,5,15,380,17,7,2,No information,6,1,6,5,11,6,1,1,No information,No information,1,1,303,13,36,22/46 (48%),1/13 (8%),47%,7,32/64 (50%),3/11 (27%),8/14 (57%),47%,17,13,No information,31,No information,3,14,2,"11/20/2022, 19:45"
Italy,https://www.sofascore.com/austria-italy/hUbstUb#id:10751626,60%,No information,1,16,4,12,9,573,13,15,1,No information,3,0,11,2,10,6,0,1,No information,No information,4,1,496,18,47,26/40 (65%),7/30 (23%),53%,10,32/64 (50%),8/11 (73%),4/11 (36%),69%,13,8,No information,12,No information,4,8,0,"11/20/2022, 19:45"

Italy,https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,51%,No information,3,9,3,2,8,508,9,15,1,No information,6,0,3,0,5,4,3,No information,1,No information,3,0,451,11,40,30/55 (55%),3/7 (43%),51%,13,33/64 (52%),5/11 (45%),9/17 (53%),67%,9,12,47,9,No information,3,5,2,"23/03/2023, 12:45"
England,https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,49%,No information,1,15,3,2,15,498,21,7,3,No information,4,0,5,6,9,6,1,No information,0,No information,0,1,428,13,50,21/31 (68%),3/7 (43%),49%,3,31/64 (48%),6/11 (55%),3/9 (33%),57%,21,8,46,8,No information,3,6,1,"23/03/2023, 12:45"

Malta,https://www.sofascore.com/italy-malta/IObshUb#id:10752394,67%,No information,No information,18,No information,12,13,677,10,12,0,No information,4,1,9,5,11,7,No information,No information,0,No information,2,2,615,15,94,41/51 (80%),5/24 (21%),44%,10,29/66 (44%),5/12 (42%),7/16 (44%),70%,10,3,57,2,No information,No information,1,2,"26/03/2023, 11:45"
Italy,https://www.sofascore.com/italy-malta/IObshUb#id:10752394,33%,No information,No information,2,No information,1,12,340,19,12,3,No information,0,0,0,2,2,0,No information,No information,1,No information,0,0,273,18,25,17/43 (40%),0/7 (0%),56%,7,37/66 (56%),7/12 (58%),6/9 (67%),53%,19,12,43,25,No information,No information,9,0,"26/03/2023, 11:45"

