Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Greece,https://www.sofascore.com/greece-netherlands/fUbskUb#id:10752540,40%,No information,0,8,5,2,12,351,16,14,4,No information,2,0,5,1,6,2,0,0,No information,No information,0,2,284,15,50,43/66 (65%),7/20 (35%),55%,5,34/59 (58%),12/25 (48%),4/10 (40%),94%,16,15,47,21,No information,5,5,1,"16/10/2023, 11:45"
Netherlands,https://www.sofascore.com/greece-netherlands/fUbskUb#id:10752540,60%,No information,2,11,2,8,15,531,11,11,2,No information,6,0,4,1,7,4,1,1,No information,No information,3,1,461,23,61,22/37 (59%),3/18 (17%),45%,12,25/59 (42%),13/25 (52%),3/7 (43%),36%,11,7,38,11,No information,2,10,0,"16/10/2023, 11:45"

Netherlands,https://www.sofascore.com/netherlands-ireland/TTbsfUb#id:10752574,55%,No information,2,19,1,5,13,613,15,4,0,No information,5,1,5,9,10,9,1,1,No information,No information,1,0,542,15,47,24/43 (56%),1/14 (7%),44%,9,27/65 (42%),16/33 (48%),8/16 (50%),53%,15,14,52,16,No information,1,3,1,"18/11/2023, 11:45"
Ireland,https://www.sofascore.com/netherlands-ireland/TTbsfUb#id:10752574,45%,No information,0,3,4,3,5,484,16,13,1,No information,1,0,1,1,2,1,0,0,No information,No information,2,4,409,14,58,28/48 (58%),1/17 (6%),56%,9,38/65 (58%),17/33 (52%),8/14 (57%),56%,16,14,59,19,No information,4,4,0,"18/11/2023, 11:45"

Gibraltar,https://www.sofascore.com/gibraltar-netherlands/fUbsoKbb#id:10752594,21%,No information,0,0,3,0,14,198,11,11,1,No information,0,0,0,0,0,0,0,0,No information,No information,0,3,118,11,29,17/63 (27%),0/2 (0%),40%,3,25/56 (45%),5/19 (26%),3/8 (38%),73%,11,5,44,28,No information,3,13,6,"21/11/2023, 11:45"
Netherlands,https://www.sofascore.com/gibraltar-netherlands/fUbsoKbb#id:10752594,79%,No information,4,23,0,9,11,717,8,13,1,No information,9,0,7,7,19,4,2,2,No information,No information,5,1,660,13,116,19/26 (73%),11/37 (30%),60%,8,31/56 (55%),14/19 (74%),10/13 (77%),63%,8,7,57,1,No information,0,1,0,"21/11/2023, 11:45"

Netherlands,https://www.sofascore.com/netherlands-scotland/VTbsfUb#id:11900205,53%,No information,5,13,2,2,10,570,12,12,1,No information,6,0,4,3,9,4,3,2,3,No information,1,3,500,13,43,20/37 (54%),2/7 (29%),61%,1,32/54 (59%),10/15 (67%),8/13 (62%),75%,12,6,58,17,No information,2,10,4,"22/03/2024, 12:45"
Scotland,https://www.sofascore.com/netherlands-scotland/VTbsfUb#id:11900205,47%,No information,3,13,2,2,12,483,6,10,2,No information,2,2,9,2,8,5,0,3,0,No information,3,2,416,16,53,31/54 (57%),6/20 (30%),39%,5,22/54 (41%),5/15 (33%),6/13 (46%),67%,6,14,59,10,No information,2,5,0,"22/03/2024, 12:45"

Netherlands,https://www.sofascore.com/canada-netherlands/fUbscVb#id:12258876,61%,No information,6,20,2,4,11,601,13,12,0,No information,11,0,5,4,17,3,3,3,2,40,4,2,537,17,59,27/37 (73%),8/19 (42%),49%,5,37/77 (48%),5/8 (63%),12/29 (41%),92%,13,12,53,6,No information,2,6,4,"06/06/2024, 11:45"
Canada,https://www.sofascore.com/canada-netherlands/fUbscVb#id:12258876,39%,No information,2,6,6,5,13,387,22,11,1,No information,2,0,4,0,4,2,0,2,1,20,0,2,318,18,24,13/32 (41%),2/10 (20%),51%,6,40/77 (52%),3/8 (38%),7/14 (50%),45%,22,9,48,24,No information,6,6,0,"06/06/2024, 11:45"

Germany,https://www.sofascore.com/germany-netherlands/fUbslUb#id:11896613,62%,No information,2,11,3,6,12,726,8,6,2,No information,7,0,3,1,6,5,No information,2,2,No information,1,2,669,12,44,20/33 (61%),3/10 (30%),43%,9,24/57 (42%),4/8 (50%),10/15 (67%),75%,8,10,43,11,No information,3,5,2,"26/03/2024, 12:45"
Netherlands,https://www.sofascore.com/germany-netherlands/fUbslUb#id:11896613,38%,No information,1,9,5,2,6,443,14,12,1,No information,4,0,4,1,6,3,No information,1,0,No information,3,1,391,13,28,23/39 (59%),2/10 (20%),57%,6,33/57 (58%),4/8 (50%),7/9 (78%),43%,14,8,41,8,No information,5,5,1,"26/03/2024, 12:45"

Poland,https://www.sofascore.com/netherlands-poland/dUbsfUb#id:12198302,34%,1.32,2,12,2,3,10,295,15,8,0,No information,7,0,4,1,8,4,0,2,0,17,1,2,232,13,28,12/39 (31%),4/17 (24%),42%,5,30/68 (44%),9/25 (36%),7/16 (44%),60%,15,7,37,26,-0.85,2,15,2,"16/06/2024, 06:00"
Netherlands,https://www.sofascore.com/netherlands-poland/dUbsfUb#id:12198302,66%,1.46,3,21,6,6,8,579,14,10,1,No information,4,0,14,3,14,7,1,2,2,44,1,0,514,29,68,24/45 (53%),6/21 (29%),58%,9,38/68 (56%),16/25 (64%),14/20 (70%),79%,14,3,43,21,0.41,6,2,1,"16/06/2024, 06:00"

Netherlands,https://www.sofascore.com/qatar-netherlands/fUbsRVb#id:10230538,63%,1.61,2,13,3,4,19,783,16,7,1,No information,4,1,6,3,10,3,1,1,1,No information,0,5,718,13,93,26/35 (74%),1/6 (17%),47%,8,27/58 (47%),10/20 (50%),4/6 (67%),38%,16,10,No information,10,0.41,3,7,2,"29/11/2022, 07:00"
Qatar,https://www.sofascore.com/qatar-netherlands/fUbsRVb#id:10230538,37%,0.14,0,5,2,2,9,452,10,18,0,No information,3,0,2,0,1,4,0,0,0,No information,2,0,371,13,37,35/69 (51%),4/14 (29%),53%,8,31/58 (53%),10/20 (50%),4/12 (33%),70%,10,12,No information,9,0.27,2,9,0,"29/11/2022, 07:00"

Netherlands,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,42%,1.67,3,11,5,4,10,414,22,4,2,No information,6,0,4,1,7,4,1,2,1,No information,0,0,315,16,37,26/62 (42%),2/8 (25%),52%,6,31/58 (53%),12/24 (50%),5/13 (38%),50%,22,12,No information,27,0.53,5,7,3,"03/12/2022, 07:00"
Usa,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,58%,1.49,3,17,4,5,5,569,14,9,0,No information,8,0,5,4,11,6,0,3,1,No information,2,3,473,21,69,30/53 (57%),3/27 (11%),48%,12,27/58 (47%),12/24 (50%),5/15 (33%),50%,14,11,No information,11,-1.28,4,6,1,"03/12/2022, 07:00"

Netherlands,https://www.sofascore.com/argentina-netherlands/fUbsuWb#id:10230639,52%,0.55,0,6,3,2,30,634,18,16,8,1,2,0,1,3,4,2,0,No information,0,No information,7,1,529,29,70,39/68 (57%),6/25 (24%),45%,8,36/91 (40%),19/32 (59%),2/13 (15%),50%,18,15,No information,14,0.14,3,9,2,"09/12/2022, 11:00"
Argentina,https://www.sofascore.com/argentina-netherlands/fUbsuWb#id:10230639,48%,1.92,2,14,0,8,18,602,19,30,8,0,5,1,5,4,5,9,2,No information,1,No information,5,2,499,19,45,17/52 (33%),2/12 (17%),55%,15,55/91 (60%),13/32 (41%),7/10 (70%),68%,19,6,No information,19,-1.62,0,9,2,"09/12/2022, 11:00"

Netherlands,https://www.sofascore.com/iceland-netherlands/fUbsiUb#id:12258886,56%,No information,6,22,1,8,8,483,9,10,No information,No information,8,0,11,3,17,5,4,2,5,34,3,2,432,13,48,19/33 (58%),6/22 (27%),57%,3,21/39 (54%),20/33 (61%),3/7 (43%),67%,9,5,34,18,No information,1,5,4,"10/06/2024, 11:45"
Iceland,https://www.sofascore.com/iceland-netherlands/fUbsiUb#id:12258886,44%,No information,0,3,4,4,10,378,7,7,No information,No information,1,1,1,1,1,2,0,0,0,13,1,1,320,21,36,26/54 (48%),2/16 (13%),43%,5,18/39 (46%),13/33 (39%),4/8 (50%),57%,7,5,29,13,No information,4,10,0,"10/06/2024, 11:45"

France,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752375,41%,No information,2,12,5,3,12,421,13,14,4,No information,8,0,3,1,10,2,2,0,1,No information,2,2,363,14,29,12/24 (50%),6/10 (60%),47%,12,37/79 (47%),8/16 (50%),10/23 (43%),77%,13,14,No information,17,No information,5,6,4,"24/03/2023, 12:45"
Netherlands,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752375,59%,No information,3,11,4,5,14,615,25,9,2,No information,5,0,3,3,7,4,0,3,1,No information,6,0,545,17,53,24/38 (63%),3/14 (21%),53%,4,42/79 (53%),8/16 (50%),8/17 (47%),52%,25,6,No information,7,No information,4,5,0,"24/03/2023, 12:45"

Netherlands,https://www.sofascore.com/croatia-netherlands/fUbspUb#id:11014034,46%,No information,1,14,1,4,25,557,21,11,3,No information,6,0,5,3,13,1,0,1,0,No information,2,1,449,35,81,45/81 (56%),5/18 (28%),45%,14,35/88 (40%),22/39 (56%),3/9 (33%),43%,21,15,60,11,No information,1,6,4,"14/06/2023, 11:45"
Croatia,https://www.sofascore.com/croatia-netherlands/fUbspUb#id:11014034,54%,No information,5,14,4,8,13,661,20,24,4,No information,5,1,5,4,9,5,3,2,3,No information,3,4,567,19,52,33/63 (52%),2/15 (13%),55%,11,53/88 (60%),17/39 (44%),9/19 (47%),55%,20,7,74,31,No information,4,9,2,"14/06/2023, 11:45"

Netherlands,https://www.sofascore.com/italy-netherlands/fUbshUb#id:11353240,61%,No information,4,19,0,9,15,559,10,15,1,No information,6,0,4,9,13,6,2,2,3,No information,4,1,474,15,58,22/39 (56%),7/29 (24%),57%,5,38/69 (55%),21/34 (62%),13/22 (59%),60%,10,6,61,12,No information,0,5,3,"18/06/2023, 06:00"
Italy,https://www.sofascore.com/italy-netherlands/fUbshUb#id:11353240,39%,No information,2,13,4,3,16,369,14,13,3,No information,3,0,5,5,7,6,1,1,1,No information,2,0,290,13,34,25/51 (49%),2/11 (18%),43%,6,31/69 (45%),13/34 (38%),4/8 (50%),71%,14,11,60,29,No information,4,7,2,"18/06/2023, 06:00"

Netherlands,https://www.sofascore.com/greece-netherlands/fUbskUb#id:10752463,40%,No information,0,8,5,2,12,351,16,14,4,No information,2,0,5,1,6,2,0,0,No information,No information,0,2,284,15,50,43/66 (65%),7/20 (35%),55%,5,34/59 (58%),12/25 (48%),4/10 (40%),94%,16,15,47,21,No information,5,5,3,"07/09/2023, 11:45"
Greece,https://www.sofascore.com/greece-netherlands/fUbskUb#id:10752463,60%,No information,2,11,2,8,15,531,11,11,2,No information,6,0,4,1,7,4,1,1,No information,No information,3,1,461,23,61,22/37 (59%),3/18 (17%),45%,12,25/59 (42%),13/25 (52%),3/7 (43%),36%,11,7,38,11,No information,2,10,0,"07/09/2023, 11:45"

Netherlands,https://www.sofascore.com/gibraltar-netherlands/fUbsoKbb#id:10752398,21%,No information,0,0,3,0,14,198,11,11,1,No information,0,0,0,0,0,0,0,0,No information,No information,0,3,118,11,29,17/63 (27%),0/2 (0%),40%,3,25/56 (45%),5/19 (26%),3/8 (38%),73%,11,5,44,28,No information,3,13,3,"27/03/2023, 11:45"
Gibraltar,https://www.sofascore.com/gibraltar-netherlands/fUbsoKbb#id:10752398,79%,No information,4,23,0,9,11,717,8,13,1,No information,9,0,7,7,19,4,2,2,No information,No information,5,1,660,13,116,19/26 (73%),11/37 (30%),60%,8,31/56 (55%),14/19 (74%),10/13 (77%),63%,8,7,57,1,No information,0,1,0,"27/03/2023, 11:45"

Ireland,https://www.sofascore.com/netherlands-ireland/TTbsfUb#id:10752488,55%,No information,2,19,1,5,13,613,15,4,0,No information,5,1,5,9,10,9,1,1,No information,No information,1,0,542,15,47,24/43 (56%),1/14 (7%),44%,9,27/65 (42%),16/33 (48%),8/16 (50%),53%,15,14,52,16,No information,1,3,2,"10/09/2023, 11:45"
Netherlands,https://www.sofascore.com/netherlands-ireland/TTbsfUb#id:10752488,45%,No information,0,3,4,3,5,484,16,13,1,No information,1,0,1,1,2,1,0,0,No information,No information,2,4,409,14,58,28/48 (58%),1/17 (6%),56%,9,38/65 (58%),17/33 (52%),8/14 (57%),56%,16,14,59,19,No information,4,4,1,"10/09/2023, 11:45"

Netherlands,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752516,46%,No information,2,8,5,2,14,460,15,9,2,No information,4,0,3,1,5,3,0,2,0,No information,3,5,386,23,53,23/47 (49%),3/15 (20%),48%,9,29/63 (46%),10/19 (53%),6/9 (67%),60%,15,11,62,9,No information,5,6,2,"13/10/2023, 11:45"
France,https://www.sofascore.com/netherlands-france/GObsfUb#id:10752516,54%,No information,1,15,3,3,9,564,12,14,2,No information,7,1,3,5,8,7,1,0,1,No information,2,2,490,14,49,24/49 (49%),3/12 (25%),52%,5,34/63 (54%),9/19 (47%),9/19 (47%),42%,12,11,65,18,No information,3,4,1,"13/10/2023, 11:45"

Netherlands,https://www.sofascore.com/germany-netherlands/fUbslUb#id:10102067,41%,No information,No information,9,4,6,10,No information,No information,14,2,0,3,No information,5,1,No information,No information,No information,No information,No information,No information,No information,2,No information,12,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,12,1,"29/03/2022, 11:45"
Germany,https://www.sofascore.com/germany-netherlands/fUbslUb#id:10102067,59%,No information,No information,14,2,4,14,No information,No information,12,2,0,5,No information,7,2,No information,No information,No information,No information,No information,No information,No information,0,No information,13,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,7,1,"29/03/2022, 11:45"

Belgium,https://www.sofascore.com/belgium-netherlands/fUbsrUb#id:10023414,46%,No information,3,13,4,4,12,454,16,9,2,No information,5,0,5,3,11,2,1,2,2,No information,2,3,393,13,43,25/45 (56%),3/10 (30%),53%,9,30/61 (49%),6/7 (86%),5/8 (63%),56%,16,7,No information,17,No information,4,7,4,"03/06/2022, 11:45"
Netherlands,https://www.sofascore.com/belgium-netherlands/fUbsrUb#id:10023414,54%,No information,2,11,4,2,9,552,12,11,2,No information,4,1,5,2,7,4,0,2,1,No information,2,3,482,14,58,36/58 (62%),2/13 (15%),47%,11,31/61 (51%),1/7 (14%),8/13 (62%),50%,12,12,No information,11,No information,4,8,1,"03/06/2022, 11:45"

