Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Poland,https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752567,61%,No information,2,18,2,3,12,549,16,10,1,No information,5,0,4,9,10,8,1,1,No information,No information,2,4,442,21,56,29/50 (58%),6/23 (26%),60%,3,29/62 (47%),36/46 (78%),3/12 (25%),50%,16,10,64,17,No information,2,8,1,"17/11/2023, 11:45"
Czechia,https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752567,39%,No information,4,15,5,3,10,354,12,12,1,No information,3,0,9,3,11,4,1,3,No information,No information,2,0,245,16,60,19/72 (26%),5/16 (31%),40%,14,33/62 (53%),10/46 (22%),9/11 (82%),42%,12,15,67,18,No information,5,6,1,"17/11/2023, 11:45"

Poland,https://www.sofascore.com/latvia-poland/dUbsgUb#id:11638299,64%,No information,2,18,3,8,11,564,12,15,2,No information,9,1,5,4,12,6,1,1,0,No information,3,0,494,18,62,30/50 (60%),6/30 (20%),49%,12,34/66 (52%),11/25 (44%),8/13 (62%),58%,12,12,66,14,No information,3,5,2,"21/11/2023, 11:45"
Latvia,https://www.sofascore.com/latvia-poland/dUbsgUb#id:11638299,36%,No information,1,9,7,4,15,316,17,11,3,No information,3,0,5,1,5,4,0,1,1,No information,2,1,229,20,35,23/58 (40%),4/17 (24%),51%,7,32/66 (48%),14/25 (56%),6/11 (55%),65%,17,12,61,30,No information,7,7,0,"21/11/2023, 11:45"

Poland,https://www.sofascore.com/estonia-poland/dUbsjVb#id:11850689,85%,No information,5,25,0,17,6,718,5,8,1,0,10,1,7,8,14,11,3,2,1,No information,3,1,658,21,83,15/22 (68%),8/45 (18%),58%,7,19/35 (54%),23/38 (61%),7/8 (88%),80%,5,8,35,9,No information,0,0,5,"21/03/2024, 12:45"
Estonia,https://www.sofascore.com/estonia-poland/dUbsjVb#id:11850689,15%,No information,0,1,6,1,8,133,8,5,2,1,1,0,0,0,1,0,0,0,0,No information,0,0,76,15,31,10/46 (22%),0/3 (0%),42%,3,16/35 (46%),15/38 (39%),4/6 (67%),50%,8,12,22,51,No information,6,12,1,"21/03/2024, 12:45"

Wales,https://www.sofascore.com/poland-wales/cUbsdUb#id:12182592,42%,No information,0,12,0,3,18,493,18,13,3,1,4,0,4,4,10,2,No information,0,0,No information,2,3,376,27,71,23/65 (35%),5/16 (31%),50%,9,35/75 (47%),25/45 (56%),4/13 (31%),61%,18,7,57,24,No information,0,12,0,"26/03/2024, 12:45"
