Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Liechtenstein,https://www.sofascore.com/liechtenstein-portugal/eUbsFWb#id:10752562,16%,No information,0,5,5,0,9,175,16,9,1,No information,1,0,4,0,2,3,No information,0,1,No information,0,0,108,13,23,20/56 (36%),0/2 (0%),40%,4,27/66 (41%),5/15 (33%),2/9 (22%),50%,16,3,48,36,No information,5,18,2,"16/11/2023, 11:45"
Portugal,https://www.sofascore.com/liechtenstein-portugal/eUbsFWb#id:10752562,84%,No information,2,29,1,6,9,882,11,9,1,No information,8,1,11,10,19,10,No information,2,1,No information,4,3,805,32,104,50/60 (83%),10/28 (36%),60%,4,39/66 (59%),10/15 (67%),19/31 (61%),73%,11,2,61,4,No information,1,4,0,"16/11/2023, 11:45"

Portugal,https://www.sofascore.com/portugal-sweden/NTbseUb#id:11900209,54%,No information,4,13,5,5,10,492,17,14,No information,No information,8,1,2,3,11,2,3,1,No information,No information,0,1,433,14,32,24/38 (63%),4/9 (44%),53%,5,38/70 (54%),6/13 (46%),7/15 (47%),59%,17,8,45,24,No information,5,7,5,"21/03/2024, 12:45"
Sweden,https://www.sofascore.com/portugal-sweden/NTbseUb#id:11900209,46%,No information,2,13,3,3,15,421,13,10,No information,No information,6,0,6,1,7,6,2,0,No information,No information,4,0,357,15,44,16/22 (73%),1/10 (10%),47%,5,32/70 (46%),7/13 (54%),9/21 (43%),46%,13,5,51,9,No information,3,5,2,"21/03/2024, 12:45"

Portugal,https://www.sofascore.com/iceland-portugal/eUbsiUb#id:10752583,74%,No information,4,23,4,14,9,787,10,6,2,No information,11,1,8,4,16,7,1,3,2,No information,2,3,710,15,68,27/42 (64%),6/30 (20%),50%,1,28/58 (48%),17/32 (53%),12/22 (55%),60%,10,8,59,17,No information,4,3,2,"19/11/2023, 11:45"
Iceland,https://www.sofascore.com/iceland-portugal/eUbsiUb#id:10752583,26%,No information,0,9,9,0,7,275,11,9,4,No information,4,1,3,2,6,3,0,0,0,No information,0,0,199,12,39,23/50 (46%),1/8 (13%),50%,5,30/58 (52%),15/32 (47%),11/16 (69%),55%,11,12,48,38,No information,9,9,0,"19/11/2023, 11:45"

Slovenia,https://www.sofascore.com/portugal-slovenia/JObseUb#id:12018144,36%,No information,1,8,2,2,13,410,25,12,2,No information,4,0,2,2,6,2,1,0,No information,No information,1,3,332,13,29,25/50 (50%),1/7 (14%),50%,3,41/78 (53%),8/20 (40%),4/12 (33%),64%,25,7,58,21,No information,2,6,2,"26/03/2024, 12:45"
