Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Romania,https://www.sofascore.com/andorra-romania/CObstWb#id:10752537,79%,No information,3,17,0,5,8,654,12,12,1,0,9,0,6,2,9,8,2,1,2,No information,6,2,588,21,81,62/76 (82%),7/16 (44%),60%,8,31/59 (53%),25/35 (71%),7/14 (50%),42%,12,9,45,4,No information,0,5,4,"15/10/2023, 11:45"
Andorra,https://www.sofascore.com/andorra-romania/CObstWb#id:10752537,21%,No information,0,3,5,0,12,178,14,7,7,1,0,0,2,1,3,0,0,0,0,No information,1,3,97,22,31,12/65 (18%),1/4 (25%),40%,7,28/59 (47%),10/35 (29%),7/12 (58%),43%,14,7,40,14,No information,5,11,0,"15/10/2023, 11:45"

Israel,https://www.sofascore.com/israel-romania/CObsFOb#id:10752576,65%,No information,1,17,6,6,10,554,18,11,3,0,5,0,10,2,9,8,1,0,No information,No information,2,3,456,30,87,35/72 (49%),6/21 (29%),45%,7,37/80 (46%),12/29 (41%),8/22 (36%),50%,18,10,62,16,No information,6,7,2,"18/11/2023, 11:45"
Romania,https://www.sofascore.com/israel-romania/CObsFOb#id:10752576,35%,No information,4,18,4,2,11,299,21,9,2,1,8,2,7,3,13,5,1,3,No information,No information,0,2,206,28,43,21/58 (36%),3/8 (38%),55%,11,43/80 (54%),17/29 (59%),14/21 (67%),57%,21,19,56,22,No information,4,14,1,"18/11/2023, 11:45"

Romania,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752597,36%,No information,1,9,4,1,13,336,16,11,4,No information,4,0,3,2,3,6,1,0,0,No information,1,3,272,24,31,22/47 (47%),2/6 (33%),51%,8,40/77 (52%),5/12 (42%),13/21 (62%),31%,16,6,47,20,No information,4,10,1,"21/11/2023, 11:45"
Switzerland,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752597,64%,No information,3,11,3,6,11,579,16,12,2,No information,4,0,5,2,7,4,0,3,1,No information,2,1,508,21,56,25/41 (61%),6/23 (26%),49%,6,37/77 (48%),7/12 (58%),9/19 (47%),63%,16,5,56,9,No information,3,4,0,"21/11/2023, 11:45"

Romania,https://www.sofascore.com/northern-ireland-romania/CObsLVb#id:11900220,71%,No information,0,11,1,5,9,667,15,15,3,No information,3,0,4,4,2,9,0,No information,No information,No information,0,2,577,29,68,38/65 (58%),1/9 (11%),49%,10,34/62 (55%),14/35 (40%),5/8 (63%),80%,15,4,46,19,No information,1,4,1,"22/03/2024, 12:45"
Northern ireland,https://www.sofascore.com/northern-ireland-romania/CObsLVb#id:11900220,29%,No information,1,5,2,1,15,270,13,9,2,No information,2,0,0,3,3,2,1,No information,No information,No information,1,3,183,25,40,19/51 (37%),1/5 (20%),51%,7,28/62 (45%),21/35 (60%),6/14 (43%),54%,13,15,51,24,No information,2,9,1,"22/03/2024, 12:45"

Romania,https://www.sofascore.com/bulgaria-romania/CObsqUb#id:11986159,57%,No information,No information,9,4,5,16,No information,No information,12,1,0,2,No information,3,4,No information,No information,No information,No information,No information,No information,No information,2,No information,25,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,10,0,"04/06/2024, 11:30"
Bulgaria,https://www.sofascore.com/bulgaria-romania/CObsqUb#id:11986159,43%,No information,No information,6,2,5,12,No information,No information,18,1,0,4,No information,2,0,No information,No information,No information,No information,No information,No information,No information,0,No information,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,8,0,"04/06/2024, 11:30"

Romania,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:12076359,80%,No information,5,31,0,7,11,636,14,19,0,No information,11,0,10,10,15,16,No information,5,No information,No information,9,1,553,35,102,48/55 (87%),16/37 (43%),61%,9,48/81 (59%),10/14 (71%),15/27 (56%),79%,14,3,56,2,No information,0,0,0,"07/06/2024, 11:00"
Liechtenstein,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:12076359,20%,No information,0,1,11,1,19,158,21,11,5,No information,0,0,0,1,0,1,No information,0,No information,No information,1,2,81,9,24,15/60 (25%),0/4 (0%),39%,10,33/81 (41%),4/14 (29%),2/6 (33%),71%,21,11,53,48,No information,11,17,0,"07/06/2024, 11:00"

