Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Georgia,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752554,37%,No information,1,8,3,4,17,323,8,13,3,No information,6,0,1,1,6,2,1,0,1,No information,1,1,251,18,17,15/56 (27%),2/8 (25%),40%,5,30/67 (45%),5/20 (25%),11/23 (48%),50%,8,11,38,19,No information,3,10,2,"16/11/2023, 09:00"
Scotland,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752554,63%,No information,2,16,4,4,15,553,17,17,3,No information,5,0,8,3,11,5,0,2,1,No information,5,0,495,27,59,16/33 (48%),10/24 (42%),60%,3,37/67 (55%),15/20 (75%),3/8 (38%),71%,17,4,43,8,No information,4,2,2,"16/11/2023, 09:00"

Netherlands,https://www.sofascore.com/netherlands-scotland/VTbsfUb#id:11900205,53%,No information,5,13,2,2,10,570,12,12,1,No information,6,0,4,3,9,4,3,2,3,No information,1,3,500,13,43,20/37 (54%),2/7 (29%),61%,1,32/54 (59%),10/15 (67%),8/13 (62%),75%,12,6,58,17,No information,2,10,4,"22/03/2024, 12:45"
Scotland,https://www.sofascore.com/netherlands-scotland/VTbsfUb#id:11900205,47%,No information,3,13,2,2,12,483,6,10,2,No information,2,2,9,2,8,5,0,3,0,No information,3,2,416,16,53,31/54 (57%),6/20 (30%),39%,5,22/54 (41%),5/15 (33%),6/13 (46%),67%,6,14,59,10,No information,2,5,0,"22/03/2024, 12:45"

Scotland,https://www.sofascore.com/scotland-norway/AObsVTb#id:10752582,50%,No information,2,9,3,6,14,447,10,19,1,No information,2,0,3,4,6,3,1,1,No information,No information,2,No information,390,14,45,28/45 (62%),3/21 (14%),50%,7,32/66 (48%),11/20 (55%),4/10 (40%),70%,10,5,38,9,No information,3,7,3,"19/11/2023, 11:45"
Norway,https://www.sofascore.com/scotland-norway/AObsVTb#id:10752582,50%,No information,4,13,0,4,20,455,13,14,3,No information,7,0,3,3,10,3,2,2,No information,No information,1,No information,396,19,44,24/49 (49%),6/18 (33%),50%,5,34/66 (52%),9/20 (45%),7/12 (58%),69%,13,8,40,15,No information,0,7,3,"19/11/2023, 11:45"

Scotland,https://www.sofascore.com/northern-ireland-scotland/VTbsLVb#id:11900221,82%,No information,1,14,0,7,7,794,15,13,1,No information,2,0,4,8,7,7,No information,1,No information,No information,3,2,711,34,88,29/50 (58%),10/29 (34%),61%,8,40/64 (63%),17/29 (59%),14/22 (64%),87%,15,4,45,4,No information,0,4,1,"26/03/2024, 12:45"
Northern ireland,https://www.sofascore.com/northern-ireland-scotland/VTbsLVb#id:11900221,18%,No information,1,4,2,1,13,172,16,7,1,No information,1,0,3,0,2,2,No information,1,No information,No information,0,4,108,14,42,8/42 (19%),0/4 (0%),39%,9,24/64 (38%),12/29 (41%),3/9 (33%),75%,16,8,44,29,No information,2,14,0,"26/03/2024, 12:45"

Scotland,https://www.sofascore.com/finland-scotland/VTbsmUb#id:12076186,65%,No information,2,16,2,7,10,702,10,8,1,No information,6,0,7,3,13,3,1,1,0,36,1,3,631,17,81,31/50 (62%),9/36 (25%),54%,4,28/55 (51%),13/21 (62%),10/20 (50%),70%,10,7,54,2,No information,2,2,2,"07/06/2024, 11:45"
Finland,https://www.sofascore.com/finland-scotland/VTbsmUb#id:12076186,35%,No information,3,7,5,2,8,383,14,10,1,No information,4,0,2,1,6,1,2,1,1,11,1,3,308,17,39,20/52 (38%),3/7 (43%),46%,7,27/55 (49%),8/21 (38%),3/6 (50%),64%,14,6,49,33,No information,5,13,2,"07/06/2024, 11:45"

Germany,https://www.sofascore.com/germany-scotland/VTbslUb#id:11873905,73%,2.15,1,20,0,5,15,683,10,9,2,0,10,0,5,5,10,10,1,No information,1,31,3,4,643,12,68,19/28 (68%),5/21 (24%),45%,5,25/59 (42%),9/16 (56%),6/16 (38%),90%,10,2,45,16,-1.00,0,2,5,"14/06/2024, 12:00"
Scotland,https://www.sofascore.com/germany-scotland/VTbslUb#id:11873905,27%,0.02,0,1,5,0,9,251,15,14,1,1,0,0,1,0,1,0,0,No information,0,2,2,0,189,14,26,18/47 (38%),1/8 (13%),55%,6,34/59 (58%),7/16 (44%),5/9 (56%),53%,15,6,34,22,-1.67,5,10,1,"14/06/2024, 12:00"

Gibraltar,https://www.sofascore.com/gibraltar-scotland/VTbsoKbb#id:12076187,24%,No information,0,1,3,0,8,212,20,8,No information,No information,1,0,0,0,0,1,0,0,No information,No information,0,2,135,13,27,17/62 (27%),0/1 (0%),45%,6,32/59 (54%),9/32 (28%),4/11 (36%),70%,20,5,42,28,No information,3,24,2,"03/06/2024, 09:00"
Scotland,https://www.sofascore.com/gibraltar-scotland/VTbsoKbb#id:12076187,76%,No information,7,25,1,12,8,628,13,8,No information,No information,5,0,15,5,21,4,2,5,No information,No information,4,1,566,19,88,29/35 (83%),17/47 (36%),55%,8,27/59 (46%),23/32 (72%),6/18 (33%),77%,13,6,52,3,No information,1,1,0,"03/06/2024, 09:00"

Scotland,https://www.sofascore.com/switzerland-scotland/VTbsZTb#id:11873903,48%,0.78,2,12,3,5,11,374,8,11,3,No information,3,1,5,4,9,3,No information,2,No information,25,4,0,287,24,41,23/57 (40%),9/23 (39%),55%,8,21/46 (46%),25/38 (66%),2/3 (67%),63%,8,2,34,18,-0.17,3,9,1,"19/06/2024, 12:00"
Switzerland,https://www.sofascore.com/switzerland-scotland/VTbsZTb#id:11873903,52%,0.88,2,11,2,8,11,420,9,11,2,No information,4,0,6,1,9,2,No information,2,No information,17,1,5,344,22,51,29/56 (52%),2/15 (13%),45%,4,25/46 (54%),13/38 (34%),5/9 (56%),56%,9,8,39,24,0.22,2,4,1,"19/06/2024, 12:00"

Türkiye,https://www.sofascore.com/turkey-scotland/VTbsaUb#id:10751616,53%,No information,1,16,0,6,14,507,13,12,2,No information,7,1,4,5,11,5,No information,1,3,No information,2,4,426,18,41,34/65 (52%),4/14 (29%),52%,6,28/57 (49%),13/22 (59%),3/7 (43%),62%,13,6,No information,18,No information,0,10,2,"16/11/2022, 09:00"
Scotland,https://www.sofascore.com/turkey-scotland/VTbsaUb#id:10751616,47%,No information,1,9,5,6,12,440,10,14,2,No information,1,0,5,3,7,2,No information,1,2,No information,0,1,359,12,45,34/62 (55%),5/16 (31%),48%,4,29/57 (51%),9/22 (41%),5/14 (36%),70%,10,7,No information,12,No information,5,7,1,"16/11/2022, 09:00"

Scotland,https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752383,43%,No information,0,5,1,0,12,461,14,10,3,No information,3,0,1,1,1,4,0,0,0,No information,2,3,399,19,42,26/52 (50%),0/6 (0%),48%,4,29/62 (47%),10/20 (50%),6/16 (38%),71%,14,8,46,13,No information,1,8,3,"25/03/2023, 07:00"
Cyprus,https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752383,57%,No information,3,14,3,2,11,597,14,12,0,No information,4,1,6,4,7,7,2,1,1,No information,3,1,542,20,54,48/71 (68%),4/13 (31%),52%,7,33/62 (53%),10/20 (50%),7/14 (50%),64%,14,6,56,4,No information,3,8,0,"25/03/2023, 07:00"

Scotland,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,74%,No information,4,18,1,7,15,637,8,8,4,No information,5,1,8,5,14,4,2,2,1,No information,1,3,574,16,69,39/52 (75%),6/31 (19%),45%,4,20/46 (43%),14/30 (47%),6/11 (55%),38%,8,0,51,10,No information,1,5,2,"28/03/2023, 11:45"
Spain,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,26%,No information,3,4,2,1,8,223,9,15,3,No information,1,0,2,1,4,0,0,3,0,No information,1,1,153,11,35,26/59 (44%),1/8 (13%),55%,5,26/46 (57%),16/30 (53%),3/6 (50%),78%,9,12,44,24,No information,2,16,0,"28/03/2023, 11:45"

Norway,https://www.sofascore.com/scotland-norway/AObsVTb#id:10752428,50%,No information,2,9,3,6,14,447,10,19,1,No information,2,0,3,4,6,3,1,1,No information,No information,2,No information,390,14,45,28/45 (62%),3/21 (14%),50%,7,32/66 (48%),11/20 (55%),4/10 (40%),70%,10,5,38,9,No information,3,7,2,"17/06/2023, 09:00"
Scotland,https://www.sofascore.com/scotland-norway/AObsVTb#id:10752428,50%,No information,4,13,0,4,20,455,13,14,3,No information,7,0,3,3,10,3,2,2,No information,No information,1,No information,396,19,44,24/49 (49%),6/18 (33%),50%,5,34/66 (52%),9/20 (45%),7/12 (58%),69%,13,8,40,15,No information,0,7,1,"17/06/2023, 09:00"

Scotland,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752450,37%,No information,1,8,3,4,17,323,8,13,3,No information,6,0,1,1,6,2,1,0,1,No information,1,1,251,18,17,15/56 (27%),2/8 (25%),40%,5,30/67 (45%),5/20 (25%),11/23 (48%),50%,8,11,38,19,No information,3,10,2,"20/06/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752450,63%,No information,2,16,4,4,15,553,17,17,3,No information,5,0,8,3,11,5,0,2,1,No information,5,0,495,27,59,16/33 (48%),10/24 (42%),60%,3,37/67 (55%),15/20 (75%),3/8 (38%),71%,17,4,43,8,No information,4,2,0,"20/06/2023, 11:45"

Ukraine,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023418,54%,No information,4,12,1,5,14,467,13,6,4,No information,3,0,7,2,8,4,No information,4,1,No information,1,5,379,30,53,26/55 (47%),5/18 (28%),47%,5,26/52 (50%),11/26 (42%),7/10 (70%),46%,13,16,No information,12,No information,1,5,0,"27/09/2022, 11:45"
