Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Serbia,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,64%,No information,3,19,2,6,18,604,16,13,1,No information,7,1,8,4,10,9,1,2,No information,No information,3,No information,530,14,58,21/42 (50%),9/29 (31%),57%,4,36/71 (51%),23/32 (72%),7/14 (50%),69%,16,7,57,20,No information,2,7,3,"17/10/2023, 11:45"
Montenegro,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,36%,No information,0,9,4,3,13,340,11,18,3,No information,3,0,4,2,4,5,0,0,No information,No information,0,No information,266,17,58,28/53 (53%),4/17 (24%),43%,6,35/71 (49%),9/32 (28%),7/17 (41%),64%,11,8,52,25,No information,4,9,1,"17/10/2023, 11:45"

Belgium,https://www.sofascore.com/serbia-belgium/rUbsfCc#id:11638298,51%,No information,3,9,0,2,13,575,10,12,0,No information,7,0,1,1,6,3,1,2,2,No information,0,4,515,9,26,35/57 (61%),0/3 (0%),45%,1,26/56 (46%),5/13 (38%),4/11 (36%),50%,10,8,53,15,No information,0,12,1,"15/11/2023, 11:45"
Serbia,https://www.sofascore.com/serbia-belgium/rUbsfCc#id:11638298,49%,No information,1,11,6,3,12,536,8,12,1,No information,0,2,8,3,7,4,0,1,0,No information,2,4,463,21,48,25/45 (56%),8/19 (42%),55%,3,30/56 (54%),8/13 (62%),11/18 (61%),75%,8,8,49,8,No information,6,1,0,"15/11/2023, 11:45"

Russia,https://www.sofascore.com/serbia-russia/UTbsfCc#id:12122791,65%,No information,4,15,2,8,11,748,4,6,No information,0,7,2,4,4,8,7,4,0,No information,No information,3,1,681,19,67,31/41 (76%),3/13 (23%),38%,3,12/35 (34%),6/12 (50%),2/11 (18%),50%,4,20,46,6,No information,2,6,4,"21/03/2024, 10:00"
Serbia,https://www.sofascore.com/serbia-russia/UTbsfCc#id:12122791,35%,No information,1,7,3,1,6,400,12,11,No information,1,2,0,5,0,5,2,0,1,No information,No information,1,0,311,15,42,26/61 (43%),2/7 (29%),62%,3,23/35 (66%),6/12 (50%),0/1 (0%),75%,12,16,47,23,No information,3,6,0,"21/03/2024, 10:00"

Serbia,https://www.sofascore.com/serbia-bulgaria/qUbsfCc#id:10752578,58%,No information,3,18,0,11,12,496,17,9,1,No information,8,1,6,4,15,3,2,1,0,No information,2,4,421,23,48,29/51 (57%),10/42 (24%),44%,12,31/66 (47%),13/35 (37%),5/13 (38%),71%,17,7,45,13,No information,0,4,2,"19/11/2023, 06:00"
Bulgaria,https://www.sofascore.com/serbia-bulgaria/qUbsfCc#id:10752578,42%,No information,1,4,6,3,10,393,20,12,1,No information,2,1,0,2,3,1,1,0,1,No information,3,2,303,19,46,33/61 (54%),1/6 (17%),56%,12,35/66 (53%),22/35 (63%),4/9 (44%),55%,20,11,46,30,No information,6,7,2,"19/11/2023, 06:00"

Sweden,https://www.sofascore.com/serbia-sweden/NTbsfCc#id:12076168,63%,No information,3,20,1,10,12,654,16,14,1,No information,9,0,4,7,14,6,0,3,1,44,2,1,580,19,55,16/28 (57%),7/28 (25%),52%,14,43/83 (52%),13/25 (52%),13/20 (65%),75%,16,8,53,4,No information,1,3,3,"08/06/2024, 09:00"
Serbia,https://www.sofascore.com/serbia-sweden/NTbsfCc#id:12076168,37%,No information,5,8,9,0,15,388,21,12,3,No information,5,0,3,0,7,1,3,2,5,15,0,1,316,8,31,24/58 (41%),4/5 (80%),48%,12,40/83 (48%),12/25 (48%),8/12 (67%),62%,21,16,58,32,No information,9,7,0,"08/06/2024, 09:00"

Austria,https://www.sofascore.com/serbia-austria/tUbsfCc#id:12076170,53%,No information,1,5,0,1,19,462,24,14,3,No information,3,0,1,1,2,3,1,0,1,10,0,2,364,26,38,18/58 (31%),0/11 (0%),51%,10,41/85 (48%),16/26 (62%),4/15 (27%),54%,24,5,51,24,No information,0,6,2,"04/06/2024, 11:45"
Serbia,https://www.sofascore.com/serbia-austria/tUbsfCc#id:12076170,47%,No information,2,7,1,6,14,398,21,18,1,No information,1,1,4,2,4,3,1,1,0,20,3,1,311,23,64,22/57 (39%),5/23 (22%),49%,3,44/85 (52%),10/26 (38%),6/27 (22%),52%,21,8,53,13,No information,1,5,1,"04/06/2024, 11:45"

