Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Luxembourg,https://www.sofascore.com/slovakia-luxembourg/DObsXTb#id:10752546,54%,No information,1,15,1,5,13,436,10,19,4,No information,3,0,8,4,9,6,0,1,No information,No information,1,3,354,22,42,40/80 (50%),2/13 (15%),49%,8,32/56 (57%),5/19 (26%),6/7 (86%),80%,10,8,47,8,No information,1,9,1,"16/10/2023, 11:45"
Slovakia,https://www.sofascore.com/slovakia-luxembourg/DObsXTb#id:10752546,46%,No information,1,8,3,4,20,373,9,13,4,No information,2,0,4,2,4,4,1,0,No information,No information,4,2,302,14,52,29/56 (52%),5/17 (29%),51%,6,24/56 (43%),14/19 (74%),2/6 (33%),56%,9,6,56,22,No information,3,12,0,"16/10/2023, 11:45"

Slovakia,https://www.sofascore.com/iceland-slovakia/XTbsiUb#id:10752560,57%,No information,3,17,0,12,7,483,8,14,1,No information,8,0,4,5,8,9,2,1,No information,No information,3,2,383,15,71,41/77 (53%),5/20 (25%),57%,4,29/53 (55%),24/40 (60%),7/15 (47%),88%,8,8,57,10,No information,0,4,4,"16/11/2023, 11:45"
Iceland,https://www.sofascore.com/iceland-slovakia/XTbsiUb#id:10752560,43%,No information,1,5,4,2,14,371,12,7,0,No information,2,0,2,1,3,2,1,0,No information,No information,0,1,256,30,33,28/83 (34%),2/6 (33%),43%,4,24/53 (45%),16/40 (40%),6/10 (60%),67%,12,8,47,18,No information,4,7,2,"16/11/2023, 11:45"

Bosnia & herzegovina,https://www.sofascore.com/slovakia-bosnia-and-herzegovina/EObsXTb#id:10752584,44%,No information,0,5,1,1,16,404,18,14,4,1,2,0,2,1,3,2,0,No information,No information,No information,0,2,323,25,39,40/78 (51%),2/9 (22%),48%,8,38/73 (52%),6/19 (32%),6/9 (67%),67%,18,9,48,12,No information,1,9,2,"19/11/2023, 11:45"
Slovakia,https://www.sofascore.com/slovakia-bosnia-and-herzegovina/EObsXTb#id:10752584,56%,No information,2,10,2,7,15,518,11,16,1,0,3,0,5,2,9,1,2,No information,No information,No information,3,2,436,26,58,31/56 (55%),7/18 (39%),52%,9,35/73 (48%),13/19 (68%),9/18 (50%),55%,11,3,55,8,No information,2,4,1,"19/11/2023, 11:45"

Norway,https://www.sofascore.com/slovakia-norway/AObsXTb#id:12021305,58%,No information,5,19,1,10,13,538,6,13,1,No information,6,1,7,6,18,1,1,4,No information,No information,4,0,468,14,42,30/52 (58%),8/28 (29%),54%,1,30/65 (46%),14/17 (82%),13/26 (50%),50%,6,7,43,10,No information,1,7,1,"26/03/2024, 11:00"
Slovakia,https://www.sofascore.com/slovakia-norway/AObsXTb#id:12021305,42%,No information,3,11,4,3,13,397,14,13,1,No information,2,0,8,1,7,4,1,2,No information,No information,2,1,336,13,36,22/39 (56%),2/12 (17%),46%,3,35/65 (54%),3/17 (18%),8/11 (73%),43%,14,18,43,30,No information,4,7,1,"26/03/2024, 11:00"

Slovakia,https://www.sofascore.com/san-marino-slovakia/XTbsIWb#id:12383251,70%,No information,3,21,0,5,20,672,10,10,0,No information,11,3,9,1,12,9,2,1,No information,28,5,2,609,16,104,24/34 (71%),6/14 (43%),38%,15,25/73 (34%),5/6 (83%),5/15 (33%),70%,10,7,54,2,No information,0,3,4,"05/06/2024, 09:00"
San marino,https://www.sofascore.com/san-marino-slovakia/XTbsIWb#id:12383251,30%,No information,0,0,7,0,10,287,25,19,2,No information,0,0,0,0,0,0,0,0,No information,1,1,0,208,14,16,15/58 (26%),0/3 (0%),62%,4,48/73 (66%),1/6 (17%),4/10 (40%),68%,25,12,40,16,No information,7,16,0,"05/06/2024, 09:00"

Slovakia,https://www.sofascore.com/austria-slovakia/XTbstUb#id:12021300,47%,No information,3,13,2,1,12,442,12,14,0,No information,2,0,6,5,6,7,0,3,1,No information,4,1,381,26,44,20/36 (56%),2/15 (13%),52%,8,31/63 (49%),7/10 (70%),6/13 (46%),42%,12,12,56,13,No information,2,4,2,"23/03/2024, 10:00"
Austria,https://www.sofascore.com/austria-slovakia/XTbstUb#id:12021300,53%,No information,3,9,2,6,14,501,15,12,1,No information,5,0,2,2,5,4,1,2,1,No information,2,0,413,23,40,25/53 (47%),3/16 (19%),48%,9,32/63 (51%),3/10 (30%),5/8 (63%),73%,15,9,51,10,No information,2,9,0,"23/03/2024, 10:00"

Slovakia,https://www.sofascore.com/wales-slovakia/XTbscUb#id:12258885,59%,No information,2,14,2,8,13,610,11,11,1,No information,8,1,3,3,7,7,1,1,0,25,1,2,554,13,49,21/38 (55%),7/20 (35%),49%,8,23/50 (46%),7/11 (64%),3/5 (60%),45%,11,5,43,4,No information,2,4,4,"09/06/2024, 11:45"
Wales,https://www.sofascore.com/wales-slovakia/XTbscUb#id:12258885,41%,No information,1,8,5,4,11,418,10,13,2,No information,2,0,3,3,5,3,0,1,1,10,2,3,369,12,25,16/36 (44%),5/8 (63%),51%,7,27/50 (54%),4/11 (36%),4/8 (50%),60%,10,8,41,14,No information,5,7,0,"09/06/2024, 11:45"

Belgium,https://www.sofascore.com/belgium-slovakia/XTbsrUb#id:11873978,60%,1.70,4,16,3,5,14,573,14,10,3,No information,5,0,6,5,10,6,0,4,2,34,1,2,488,18,58,22/44 (50%),4/14 (29%),52%,2,32/59 (54%),8/18 (44%),8/14 (57%),50%,14,2,48,15,0.37,3,6,1,"17/06/2024, 09:00"
Slovakia,https://www.sofascore.com/belgium-slovakia/XTbsrUb#id:11873978,40%,0.57,1,10,5,7,10,367,8,13,1,No information,4,0,4,2,6,4,1,0,0,15,0,1,283,19,41,25/63 (40%),6/17 (35%),48%,11,27/59 (46%),10/18 (56%),6/9 (67%),50%,8,9,44,19,1.02,5,10,0,"17/06/2024, 09:00"

Montenegro,https://www.sofascore.com/montenegro-slovakia/XTbsORc#id:10784970,45%,No information,No information,17,0,14,17,No information,No information,15,3,0,5,No information,7,5,No information,No information,No information,No information,No information,No information,No information,5,No information,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,9,2,"17/11/2022, 09:00"
Slovakia,https://www.sofascore.com/montenegro-slovakia/XTbsORc#id:10784970,55%,No information,No information,7,3,1,14,No information,No information,22,5,1,2,No information,3,2,No information,No information,No information,No information,No information,No information,No information,1,No information,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,14,2,"17/11/2022, 09:00"

Slovakia,https://www.sofascore.com/belarus-slovakia/XTbsTUb#id:10023400,84%,No information,1,16,0,12,12,745,9,13,1,No information,4,0,8,4,10,6,1,No information,No information,No information,6,3,666,22,100,29/44 (66%),9/37 (24%),51%,9,27/56 (48%),13/22 (59%),5/14 (36%),78%,9,1,No information,1,No information,0,3,1,"25/09/2022, 09:00"
Belarus,https://www.sofascore.com/belarus-slovakia/XTbsTUb#id:10023400,16%,No information,1,2,3,1,13,143,18,11,5,No information,1,0,1,0,2,0,1,No information,No information,No information,1,0,70,12,29,11/61 (18%),1/4 (25%),49%,5,29/56 (52%),9/22 (41%),0/4 (0%),61%,18,15,No information,34,No information,3,18,1,"25/09/2022, 09:00"

Slovakia,https://www.sofascore.com/chile-slovakia/XTbseVb#id:10830447,43%,No information,1,10,6,5,9,458,14,19,0,No information,4,0,3,3,7,3,No information,1,1,No information,2,1,389,16,30,30/49 (61%),3/16 (19%),50%,17,36/72 (50%),10/20 (50%),3/4 (75%),50%,14,11,No information,20,No information,6,6,0,"20/11/2022, 04:30"
Chile,https://www.sofascore.com/chile-slovakia/XTbseVb#id:10830447,57%,No information,1,19,4,8,20,617,18,9,2,No information,7,0,5,7,9,10,No information,1,0,No information,2,0,546,5,63,32/49 (65%),6/26 (23%),50%,7,36/72 (50%),10/20 (50%),9/16 (56%),44%,18,16,No information,11,No information,4,6,0,"20/11/2022, 04:30"

Slovakia,https://www.sofascore.com/slovakia-luxembourg/DObsXTb#id:10752372,54%,No information,1,15,1,5,13,436,10,19,4,No information,3,0,8,4,9,6,0,1,No information,No information,1,3,354,22,42,40/80 (50%),2/13 (15%),49%,8,32/56 (57%),5/19 (26%),6/7 (86%),80%,10,8,47,8,No information,1,9,0,"23/03/2023, 12:45"
Luxembourg,https://www.sofascore.com/slovakia-luxembourg/DObsXTb#id:10752372,46%,No information,1,8,3,4,20,373,9,13,4,No information,2,0,4,2,4,4,1,0,No information,No information,4,2,302,14,52,29/56 (52%),5/17 (29%),51%,6,24/56 (43%),14/19 (74%),2/6 (33%),56%,9,6,56,22,No information,3,12,0,"23/03/2023, 12:45"

Slovakia,https://www.sofascore.com/slovakia-bosnia-and-herzegovina/EObsXTb#id:10752397,44%,No information,0,5,1,1,16,404,18,14,4,1,2,0,2,1,3,2,0,No information,No information,No information,0,2,323,25,39,40/78 (51%),2/9 (22%),48%,8,38/73 (52%),6/19 (32%),6/9 (67%),67%,18,9,48,12,No information,1,9,2,"26/03/2023, 11:45"
Bosnia & herzegovina,https://www.sofascore.com/slovakia-bosnia-and-herzegovina/EObsXTb#id:10752397,56%,No information,2,10,2,7,15,518,11,16,1,0,3,0,5,2,9,1,2,No information,No information,No information,3,2,436,26,58,31/56 (55%),7/18 (39%),52%,9,35/73 (48%),13/19 (68%),9/18 (50%),55%,11,3,55,8,No information,2,4,0,"26/03/2023, 11:45"

Iceland,https://www.sofascore.com/iceland-slovakia/XTbsiUb#id:10752435,57%,No information,3,17,0,12,7,483,8,14,1,No information,8,0,4,5,8,9,2,1,No information,No information,3,2,383,15,71,41/77 (53%),5/20 (25%),57%,4,29/53 (55%),24/40 (60%),7/15 (47%),88%,8,8,57,10,No information,0,4,2,"17/06/2023, 11:45"
Slovakia,https://www.sofascore.com/iceland-slovakia/XTbsiUb#id:10752435,43%,No information,1,5,4,2,14,371,12,7,0,No information,2,0,2,1,3,2,1,0,No information,No information,0,1,256,30,33,28/83 (34%),2/6 (33%),43%,4,24/53 (45%),16/40 (40%),6/10 (60%),67%,12,8,47,18,No information,4,7,1,"17/06/2023, 11:45"

Liechtenstein,https://www.sofascore.com/liechtenstein-slovakia/XTbsFWb#id:10752460,80%,No information,3,13,0,7,14,675,9,9,3,No information,5,0,4,4,11,2,2,1,No information,No information,1,6,598,36,85,47/61 (77%),4/20 (20%),56%,3,27/54 (50%),12/16 (75%),9/18 (50%),67%,9,7,51,7,No information,0,1,1,"20/06/2023, 11:45"
Slovakia,https://www.sofascore.com/liechtenstein-slovakia/XTbsFWb#id:10752460,20%,No information,0,1,2,2,10,169,12,12,1,No information,0,0,1,0,0,1,0,0,No information,No information,0,2,100,24,24,20/51 (39%),0/3 (0%),44%,5,27/54 (50%),4/16 (25%),3/7 (43%),67%,12,5,38,31,No information,2,11,0,"20/06/2023, 11:45"

Slovakia,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752474,58%,No information,10,25,2,11,10,562,16,8,2,No information,12,1,10,3,18,7,3,7,3,No information,2,3,480,9,53,30/49 (61%),6/20 (30%),56%,7,36/67 (54%),13/21 (62%),12/22 (55%),44%,16,7,64,20,No information,2,6,1,"08/09/2023, 11:45"
Portugal,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752474,42%,No information,0,9,9,2,10,402,17,10,5,No information,3,0,5,1,1,8,0,0,0,No information,3,1,331,15,44,23/37 (62%),0/16 (0%),44%,7,31/67 (46%),8/21 (38%),4/13 (31%),47%,17,11,54,21,No information,9,7,0,"08/09/2023, 11:45"

Portugal,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752521,58%,No information,10,25,2,11,10,562,16,8,2,No information,12,1,10,3,18,7,3,7,3,No information,2,3,480,9,53,30/49 (61%),6/20 (30%),56%,7,36/67 (54%),13/21 (62%),12/22 (55%),44%,16,7,64,20,No information,2,6,3,"13/10/2023, 11:45"
Slovakia,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752521,42%,No information,0,9,9,2,10,402,17,10,5,No information,3,0,5,1,1,8,0,0,0,No information,3,1,331,15,44,23/37 (62%),0/16 (0%),44%,7,31/67 (46%),8/21 (38%),4/13 (31%),47%,17,11,54,21,No information,9,7,2,"13/10/2023, 11:45"

Croatia,https://www.sofascore.com/croatia-slovakia/XTbspUb#id:9223899,68%,No information,3,21,0,10,12,586,15,14,1,No information,10,2,7,4,14,7,1,2,No information,No information,5,4,507,19,74,23/35 (66%),6/40 (15%),55%,9,45/77 (58%),16/33 (48%),16/23 (70%),47%,15,5,No information,11,No information,0,5,2,"11/10/2021, 11:45"
Slovakia,https://www.sofascore.com/croatia-slovakia/XTbspUb#id:9223899,32%,No information,2,6,8,3,16,279,16,11,4,No information,2,0,3,1,5,1,2,0,No information,No information,1,2,196,21,35,31/58 (53%),4/11 (36%),45%,10,32/77 (42%),17/33 (52%),5/10 (50%),44%,16,13,No information,38,No information,8,11,2,"11/10/2021, 11:45"

Slovakia,https://www.sofascore.com/slovakia-slovenia/JObsXTb#id:9223927,64%,No information,2,21,1,8,17,609,12,14,2,0,6,0,7,8,13,8,1,1,No information,No information,5,1,553,21,61,22/30 (73%),12/38 (32%),48%,6,38/82 (46%),10/19 (53%),12/22 (55%),58%,12,2,No information,6,No information,1,1,2,"11/11/2021, 11:45"
Slovenia,https://www.sofascore.com/slovakia-slovenia/JObsXTb#id:9223927,36%,No information,1,5,4,3,17,350,16,16,3,1,3,0,0,2,3,2,1,0,No information,No information,3,0,282,9,35,23/50 (46%),1/6 (17%),52%,3,44/82 (54%),9/19 (47%),12/21 (57%),38%,16,12,No information,29,No information,4,8,2,"11/11/2021, 11:45"

Malta,https://www.sofascore.com/slovakia-malta/IObsXTb#id:9223933,30%,No information,0,1,10,0,11,265,13,5,6,2,0,0,1,0,0,1,0,0,No information,No information,0,0,196,13,33,12/41 (29%),1/3 (33%),40%,7,26/62 (42%),5/15 (33%),8/18 (44%),38%,13,13,No information,23,No information,10,11,6,"14/11/2021, 06:00"
