Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752569,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,2,"17/11/2023, 11:45"
Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752569,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"17/11/2023, 11:45"

Slovenia,https://www.sofascore.com/kazakhstan-slovenia/JObsxVb#id:10752591,60%,No information,2,13,2,4,11,532,28,17,1,No information,6,0,3,4,8,5,1,1,1,No information,7,1,403,35,67,34/74 (46%),3/16 (19%),57%,7,51/80 (64%),23/49 (47%),6/11 (55%),71%,28,10,56,18,No information,2,5,2,"20/11/2023, 11:45"
Kazakhstan,https://www.sofascore.com/kazakhstan-slovenia/JObsxVb#id:10752591,40%,No information,2,8,3,3,17,355,12,9,4,No information,3,0,3,2,5,3,1,1,0,No information,1,1,247,26,57,31/78 (40%),5/13 (38%),43%,12,29/80 (36%),26/49 (53%),8/24 (33%),75%,12,12,60,29,No information,3,6,1,"20/11/2023, 11:45"

Usa,https://www.sofascore.com/usa-slovenia/JObszUb#id:11894898,68%,No information,No information,15,3,5,7,755,17,18,1,No information,3,0,8,4,14,1,No information,No information,1,No information,3,0,695,14,82,43/57 (75%),8/32 (25%),55%,13,44/80 (55%),15/28 (54%),9/22 (41%),53%,17,7,53,10,No information,3,5,1,"20/01/2024, 12:00"
Slovenia,https://www.sofascore.com/usa-slovenia/JObszUb#id:11894898,32%,No information,No information,9,3,5,18,351,26,7,2,No information,4,0,4,1,7,2,No information,No information,0,No information,2,3,273,17,40,23/51 (45%),1/12 (8%),45%,14,36/80 (45%),13/28 (46%),3/6 (50%),50%,26,10,57,25,No information,3,11,0,"20/01/2024, 12:00"

Malta,https://www.sofascore.com/slovenia-malta/IObsJOb#id:12018154,39%,No information,No information,6,2,1,10,No information,No information,17,5,No information,3,No information,2,1,No information,No information,No information,No information,No information,No information,No information,No information,No information,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,6,2,"21/03/2024, 11:00"
Slovenia,https://www.sofascore.com/slovenia-malta/IObsJOb#id:12018154,61%,No information,No information,10,1,11,15,No information,No information,10,1,No information,4,No information,4,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,25,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,3,2,"21/03/2024, 11:00"

Slovenia,https://www.sofascore.com/portugal-slovenia/JObseUb#id:12018144,36%,No information,1,8,2,2,13,410,25,12,2,No information,4,0,2,2,6,2,1,0,No information,No information,1,3,332,13,29,25/50 (50%),1/7 (14%),50%,3,41/78 (53%),8/20 (40%),4/12 (33%),64%,25,7,58,21,No information,2,6,2,"26/03/2024, 12:45"
Portugal,https://www.sofascore.com/portugal-slovenia/JObseUb#id:12018144,64%,No information,1,10,2,4,13,742,11,13,2,No information,2,1,7,1,7,3,0,1,No information,No information,3,2,689,9,78,26/36 (72%),5/23 (22%),50%,10,37/78 (47%),12/20 (60%),14/29 (48%),64%,11,14,51,7,No information,2,5,0,"26/03/2024, 12:45"

Slovenia,https://www.sofascore.com/armenia-slovenia/JObsPUb#id:12076358,51%,No information,1,7,4,1,17,433,16,15,1,No information,4,0,2,1,5,2,0,1,1,11,2,3,359,20,58,26/47 (55%),2/11 (18%),46%,4,33/73 (45%),14/29 (48%),2/9 (22%),63%,16,2,42,18,No information,4,10,2,"04/06/2024, 09:00"
Armenia,https://www.sofascore.com/armenia-slovenia/JObsPUb#id:12076358,49%,No information,3,19,2,10,15,399,11,17,2,No information,5,0,8,6,13,6,1,2,0,36,2,1,332,19,40,20/40 (50%),7/19 (37%),54%,11,40/73 (55%),15/29 (52%),13/18 (72%),82%,11,6,41,18,No information,2,5,1,"04/06/2024, 09:00"

Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:11873971,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,1,"16/06/2024, 09:00"
Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:11873971,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"16/06/2024, 09:00"

Romania,https://www.sofascore.com/slovenia-romania/CObsJOb#id:10751595,51%,No information,No information,16,4,6,22,No information,No information,22,2,0,6,No information,7,3,No information,No information,No information,No information,No information,No information,No information,4,No information,23,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,3,2,"17/11/2022, 08:30"
Slovenia,https://www.sofascore.com/slovenia-romania/CObsJOb#id:10751595,49%,No information,No information,12,6,6,21,No information,No information,26,6,0,7,No information,3,2,No information,No information,No information,No information,No information,No information,No information,1,No information,14,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,7,1,"17/11/2022, 08:30"

Slovenia,https://www.sofascore.com/bulgaria-slovenia/JObsqUb#id:12076340,55%,No information,1,8,3,4,18,513,19,9,No information,No information,6,0,1,1,5,3,1,0,2,23,2,2,434,27,72,24/47 (51%),5/16 (31%),53%,5,32/65 (49%),14/22 (64%),5/13 (38%),53%,19,4,48,8,No information,3,4,1,"08/06/2024, 06:00"
Bulgaria,https://www.sofascore.com/bulgaria-slovenia/JObsqUb#id:12076340,45%,No information,2,9,5,2,10,425,13,17,No information,No information,4,0,3,2,6,3,1,1,0,10,3,1,354,18,43,20/49 (41%),2/8 (25%),47%,9,33/65 (51%),8/22 (36%),3/13 (23%),54%,13,8,49,26,No information,5,7,1,"08/06/2024, 06:00"

Kazakhstan,https://www.sofascore.com/kazakhstan-slovenia/JObsxVb#id:10752363,40%,No information,1,5,4,3,17,311,15,11,2,No information,2,0,2,1,3,2,1,No information,0,No information,3,1,216,26,50,25/60 (42%),3/15 (20%),43%,11,30/73 (41%),22/47 (47%),4/8 (50%),60%,15,7,No information,18,No information,4,10,2,"23/03/2023, 08:00"
Slovenia,https://www.sofascore.com/kazakhstan-slovenia/JObsxVb#id:10752363,60%,No information,1,15,1,4,11,484,15,16,1,No information,6,0,4,5,11,4,1,No information,1,No information,4,0,391,22,72,48/87 (55%),6/18 (33%),57%,9,43/73 (59%),25/47 (53%),12/18 (67%),67%,15,7,No information,14,No information,1,10,1,"23/03/2023, 08:00"

Slovenia,https://www.sofascore.com/san-marino-slovenia/JObsIWb#id:10752392,19%,No information,0,2,4,0,9,190,9,18,3,No information,1,0,1,0,0,2,0,0,0,No information,0,0,126,6,22,8/41 (20%),0/1 (0%),50%,5,34/59 (58%),4/17 (24%),7/10 (70%),89%,9,5,48,34,No information,4,5,2,"26/03/2023, 09:00"
San marino,https://www.sofascore.com/san-marino-slovenia/JObsIWb#id:10752392,81%,No information,5,19,1,5,18,807,8,9,1,No information,8,1,6,5,10,9,3,2,3,No information,4,6,739,16,96,43/51 (84%),12/25 (48%),50%,3,25/59 (42%),13/17 (76%),8/14 (57%),63%,8,6,57,1,No information,1,1,0,"26/03/2023, 09:00"

Finland,https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752420,42%,No information,2,12,3,4,8,411,14,14,1,No information,5,0,6,1,8,4,2,0,1,No information,5,1,329,12,59,31/69 (45%),2/12 (17%),55%,5,32/63 (51%),22/35 (63%),4/13 (31%),50%,14,10,69,20,No information,3,5,2,"16/06/2023, 09:00"
Slovenia,https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752420,58%,No information,2,8,2,4,14,573,14,7,1,No information,3,0,0,5,5,3,0,2,0,No information,0,1,455,24,69,19/53 (36%),4/9 (44%),45%,7,31/63 (49%),13/35 (37%),10/17 (59%),79%,14,2,56,7,No information,2,9,0,"16/06/2023, 09:00"

Slovenia,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752445,32%,1.10,2,11,3,5,12,311,14,9,2,No information,2,1,7,2,5,6,0,2,3,12,2,3,241,14,43,30/52 (58%),5/14 (36%),47%,2,26/45 (58%),9/30 (30%),3/8 (38%),50%,14,13,39,30,0.97,3,9,1,"19/06/2023, 11:45"
Denmark,https://www.sofascore.com/slovenia-denmark/BObsJOb#id:10752445,68%,1.66,2,16,1,9,9,658,7,11,1,No information,4,0,6,6,12,4,1,1,0,33,2,1,583,16,53,17/39 (44%),9/25 (36%),53%,6,19/45 (42%),21/30 (70%),1/9 (11%),29%,7,5,37,17,-0.61,1,9,1,"19/06/2023, 11:45"

Slovenia,https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752526,42%,No information,2,12,3,4,8,411,14,14,1,No information,5,0,6,1,8,4,2,0,1,No information,5,1,329,12,59,31/69 (45%),2/12 (17%),55%,5,32/63 (51%),22/35 (63%),4/13 (31%),50%,14,10,69,20,No information,3,5,3,"14/10/2023, 09:00"
Finland,https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752526,58%,No information,2,8,2,4,14,573,14,7,1,No information,3,0,0,5,5,3,0,2,0,No information,0,1,455,24,69,19/53 (36%),4/9 (44%),45%,7,31/63 (49%),13/35 (37%),10/17 (59%),79%,14,2,56,7,No information,2,9,0,"14/10/2023, 09:00"

San marino,https://www.sofascore.com/san-marino-slovenia/JObsIWb#id:10752492,19%,No information,0,2,4,0,9,190,9,18,3,No information,1,0,1,0,0,2,0,0,0,No information,0,0,126,6,22,8/41 (20%),0/1 (0%),50%,5,34/59 (58%),4/17 (24%),7/10 (70%),89%,9,5,48,34,No information,4,5,4,"10/09/2023, 11:45"
Slovenia,https://www.sofascore.com/san-marino-slovenia/JObsIWb#id:10752492,81%,No information,5,19,1,5,18,807,8,9,1,No information,8,1,6,5,10,9,3,2,3,No information,4,6,739,16,96,43/51 (84%),12/25 (48%),50%,3,25/59 (42%),13/17 (76%),8/14 (57%),63%,8,6,57,1,No information,1,1,0,"10/09/2023, 11:45"

Slovenia,https://www.sofascore.com/northern-ireland-slovenia/JObsLVb#id:10752469,42%,No information,0,6,3,6,11,343,10,11,5,1,2,0,2,2,5,1,No information,0,0,No information,2,1,277,23,40,27/52 (52%),5/16 (31%),54%,6,32/56 (57%),20/40 (50%),11/18 (61%),70%,10,5,48,7,No information,3,8,4,"07/09/2023, 11:45"
