Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Norway,https://www.sofascore.com/spain-norway/AObsYTb#id:10752533,33%,No information,0,5,1,3,11,354,13,8,2,No information,2,0,2,1,5,0,No information,0,No information,No information,1,0,279,13,37,23/46 (50%),1/14 (7%),42%,9,31/69 (45%),7/21 (33%),10/20 (50%),69%,13,4,63,17,No information,1,8,1,"15/10/2023, 11:45"
Spain,https://www.sofascore.com/spain-norway/AObsYTb#id:10752533,67%,No information,1,13,2,1,9,730,19,11,4,No information,2,0,7,4,9,4,No information,1,No information,No information,1,3,657,20,81,57/79 (72%),5/15 (33%),58%,6,38/69 (55%),14/21 (67%),10/17 (59%),26%,19,3,65,17,No information,2,6,0,"15/10/2023, 11:45"

Cyprus,https://www.sofascore.com/spain-cyprus/HObsYTb#id:10752557,23%,No information,1,4,2,0,10,237,10,9,4,No information,3,0,0,1,1,3,1,0,1,No information,0,2,167,19,26,23/51 (45%),0/2 (0%),40%,8,23/56 (41%),6/16 (38%),4/11 (36%),90%,10,6,44,21,No information,2,8,3,"16/11/2023, 09:00"
Spain,https://www.sofascore.com/spain-cyprus/HObsYTb#id:10752557,77%,No information,4,14,2,8,11,771,15,9,1,No information,5,1,5,4,10,4,3,1,1,No information,3,1,707,13,94,22/31 (71%),11/25 (44%),60%,4,33/56 (59%),10/16 (63%),9/15 (60%),67%,15,6,51,2,No information,2,3,1,"16/11/2023, 09:00"

Spain,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752581,76%,No information,3,20,0,9,9,792,16,9,2,No information,9,0,7,4,11,9,2,1,0,No information,5,2,730,15,88,27/33 (82%),6/29 (21%),52%,8,37/72 (51%),7/12 (58%),13/25 (52%),63%,16,2,62,5,No information,0,2,3,"19/11/2023, 11:45"
Georgia,https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752581,24%,No information,0,8,7,3,9,255,20,9,2,No information,1,0,5,2,2,6,0,0,1,No information,2,0,194,10,27,21/49 (43%),1/4 (25%),48%,7,35/72 (49%),5/12 (42%),7/16 (44%),55%,20,13,59,27,No information,7,9,1,"19/11/2023, 11:45"

Spain,https://www.sofascore.com/colombia-spain/YTbsvWb#id:12065496,58%,No information,1,13,4,6,15,565,18,17,No information,No information,3,0,6,4,10,3,No information,1,1,No information,3,0,481,16,57,27/44 (61%),10/22 (45%),46%,14,38/87 (44%),13/25 (52%),3/14 (21%),78%,18,4,53,9,No information,4,1,1,"22/03/2024, 13:30"
Colombia,https://www.sofascore.com/colombia-spain/YTbsvWb#id:12065496,42%,No information,0,7,3,1,17,421,25,15,No information,No information,5,0,1,1,5,2,No information,0,0,No information,2,3,344,19,47,28/56 (50%),1/10 (10%),54%,5,49/87 (56%),12/25 (48%),9/22 (41%),52%,25,8,51,14,No information,3,11,0,"22/03/2024, 13:30"

Spain,https://www.sofascore.com/brazil-spain/YTbsYUb#id:12021308,59%,No information,4,19,3,6,20,544,19,16,3,No information,8,0,9,2,9,10,3,1,1,No information,6,3,502,11,65,28/42 (67%),3/18 (17%),52%,7,51/91 (56%),3/12 (25%),16/22 (73%),58%,19,6,50,7,No information,3,2,3,"26/03/2024, 13:30"
Brazil,https://www.sofascore.com/brazil-spain/YTbsYUb#id:12021308,41%,No information,4,12,5,2,16,389,13,17,6,No information,6,0,2,4,8,4,2,2,1,No information,2,1,328,15,22,20/38 (53%),2/4 (50%),48%,13,40/91 (44%),9/12 (75%),10/16 (63%),69%,13,8,40,13,No information,5,10,3,"26/03/2024, 13:30"

Spain,https://www.sofascore.com/andorra-spain/YTbstWb#id:12120202,84%,No information,4,21,2,8,8,764,10,5,No information,No information,10,0,7,4,19,2,3,1,1,55,No information,3,694,18,101,31/39 (79%),7/29 (24%),56%,7,24/48 (50%),15/22 (68%),9/16 (56%),90%,10,6,51,8,No information,2,2,5,"05/06/2024, 12:30"
