Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Switzerland,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,77%,No information,2,18,2,14,10,777,11,3,2,No information,5,0,5,8,9,9,1,1,2,No information,0,3,713,22,88,23/30 (77%),4/40 (10%),43%,6,25/52 (48%),5/18 (28%),11/20 (55%),73%,11,4,54,9,No information,2,6,1,"18/11/2023, 11:45"
Kosovo,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,23%,No information,1,7,5,0,4,227,15,9,2,No information,3,0,3,1,4,3,1,0,2,No information,3,2,164,9,39,22/52 (42%),4/15 (27%),57%,4,27/52 (52%),13/18 (72%),3/10 (30%),73%,15,8,55,40,No information,5,10,1,"18/11/2023, 11:45"

Ireland,https://www.sofascore.com/switzerland-ireland/TTbsZTb#id:12021307,49%,No information,0,8,2,4,8,472,19,13,1,No information,1,0,5,2,7,1,No information,0,No information,No information,4,3,389,23,52,25/54 (46%),5/18 (28%),57%,6,36/64 (56%),14/23 (61%),4/12 (33%),42%,19,2,58,15,No information,2,2,1,"26/03/2024, 12:45"
Switzerland,https://www.sofascore.com/switzerland-ireland/TTbsZTb#id:12021307,51%,No information,1,8,1,3,13,509,14,8,2,No information,3,1,3,2,2,6,No information,1,No information,No information,2,0,435,16,26,22/47 (47%),1/8 (13%),43%,10,28/64 (44%),9/23 (39%),6/15 (40%),71%,14,6,45,23,No information,1,6,0,"26/03/2024, 12:45"

Denmark,https://www.sofascore.com/switzerland-denmark/BObsZTb#id:12021302,47%,No information,No information,7,2,2,10,491,13,9,2,No information,2,0,5,0,3,4,No information,No information,No information,No information,3,1,416,18,44,20/43 (47%),3/13 (23%),45%,9,24/53 (45%),5/11 (45%),2/9 (22%),62%,13,10,51,18,No information,2,6,0,"23/03/2024, 12:00"
Switzerland,https://www.sofascore.com/switzerland-denmark/BObsZTb#id:12021302,53%,No information,No information,9,2,3,9,564,16,10,3,No information,2,0,3,4,4,5,No information,No information,No information,No information,1,2,494,14,43,30/51 (59%),0/7 (0%),55%,7,29/53 (55%),6/11 (55%),3/9 (33%),44%,16,19,51,24,No information,2,7,0,"23/03/2024, 12:00"

Switzerland,https://www.sofascore.com/estonia-switzerland/ZTbsjVb#id:12076178,69%,No information,4,16,3,4,4,716,7,8,0,No information,9,0,3,4,10,6,3,1,No information,35,2,1,634,22,70,27/47 (57%),5/13 (38%),45%,4,19/38 (50%),6/18 (33%),4/11 (36%),71%,7,5,45,7,No information,3,6,4,"04/06/2024, 11:15"
Estonia,https://www.sofascore.com/estonia-switzerland/ZTbsjVb#id:12076178,31%,No information,0,10,5,4,9,316,11,4,1,No information,3,0,4,3,4,6,0,0,No information,10,0,2,241,12,46,25/61 (41%),3/13 (23%),55%,6,19/38 (50%),12/18 (67%),4/5 (80%),82%,11,9,42,16,No information,5,9,0,"04/06/2024, 11:15"

Switzerland,https://www.sofascore.com/austria-switzerland/ZTbstUb#id:12076164,58%,No information,1,4,2,3,12,560,15,15,2,No information,2,0,1,1,2,2,1,0,No information,14,4,2,488,18,50,28/48 (58%),3/9 (33%),50%,22,39/80 (49%),7/12 (58%),9/13 (69%),73%,15,8,58,10,No information,2,7,1,"08/06/2024, 09:00"
Austria,https://www.sofascore.com/austria-switzerland/ZTbstUb#id:12076164,42%,No information,2,11,1,4,16,409,26,12,2,No information,3,0,2,6,5,6,1,1,No information,12,0,1,344,20,44,12/34 (35%),0/13 (0%),50%,10,41/80 (51%),5/12 (42%),3/8 (38%),62%,26,14,53,10,No information,1,6,1,"08/06/2024, 09:00"

Romania,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752597,36%,No information,1,9,4,1,13,336,16,11,4,No information,4,0,3,2,3,6,1,0,0,No information,1,3,272,24,31,22/47 (47%),2/6 (33%),51%,8,40/77 (52%),5/12 (42%),13/21 (62%),31%,16,6,47,20,No information,4,10,1,"21/11/2023, 11:45"
Switzerland,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752597,64%,No information,3,11,3,6,11,579,16,12,2,No information,4,0,5,2,7,4,0,3,1,No information,2,1,508,21,56,25/41 (61%),6/23 (26%),49%,6,37/77 (48%),7/12 (58%),9/19 (47%),63%,16,5,56,9,No information,3,4,0,"21/11/2023, 11:45"

Scotland,https://www.sofascore.com/switzerland-scotland/VTbsZTb#id:11873903,48%,0.78,2,12,3,5,11,374,8,11,3,No information,3,1,5,4,9,3,No information,2,No information,25,4,0,287,24,41,23/57 (40%),9/23 (39%),55%,8,21/46 (46%),25/38 (66%),2/3 (67%),63%,8,2,34,18,-0.17,3,9,1,"19/06/2024, 12:00"
Switzerland,https://www.sofascore.com/switzerland-scotland/VTbsZTb#id:11873903,52%,0.88,2,11,2,8,11,420,9,11,2,No information,4,0,6,1,9,2,No information,2,No information,17,1,5,344,22,51,29/56 (52%),2/15 (13%),45%,4,25/46 (54%),13/38 (34%),5/9 (56%),56%,9,8,39,24,0.22,2,4,1,"19/06/2024, 12:00"

Hungary,https://www.sofascore.com/hungary-switzerland/ZTbsjUb#id:11873897,50%,1.25,3,6,4,2,9,438,16,12,2,No information,2,0,3,1,5,1,1,2,0,10,2,3,365,20,43,37/56 (66%),5/20 (25%),54%,9,32/58 (55%),16/31 (52%),4/8 (50%),69%,16,5,39,23,-0.59,4,4,3,"15/06/2024, 06:00"
Switzerland,https://www.sofascore.com/hungary-switzerland/ZTbsjUb#id:11873897,50%,2.33,3,15,1,6,13,452,13,9,2,No information,7,0,3,5,11,4,2,1,2,32,0,2,380,24,59,21/45 (47%),2/10 (20%),46%,8,26/58 (45%),15/31 (48%),5/13 (38%),69%,13,6,39,17,-0.02,1,3,1,"15/06/2024, 06:00"

Belarus,https://www.sofascore.com/belarus-switzerland/ZTbsTUb#id:10752385,78%,No information,7,24,0,9,10,663,6,14,1,No information,7,1,14,3,15,9,2,5,No information,No information,1,4,591,21,96,25/39 (64%),10/41 (24%),62%,5,26/43 (60%),15/23 (65%),6/7 (86%),83%,6,6,56,5,No information,0,3,5,"25/03/2023, 10:00"
Switzerland,https://www.sofascore.com/belarus-switzerland/ZTbsTUb#id:10752385,22%,No information,2,7,4,2,14,194,6,10,5,No information,3,0,3,1,6,1,2,0,No information,No information,0,2,121,9,24,24/64 (38%),3/4 (75%),38%,3,17/43 (40%),8/23 (35%),1/4 (25%),17%,6,8,40,51,No information,4,20,0,"25/03/2023, 10:00"

Switzerland,https://www.sofascore.com/switzerland-israel/FObsZTb#id:10752410,50%,No information,1,10,7,9,9,463,22,12,3,0,2,1,5,3,7,3,0,1,1,No information,1,No information,397,19,47,28/51 (55%),6/18 (33%),57%,8,38/68 (56%),13/21 (62%),4/11 (36%),45%,22,8,60,22,No information,7,7,3,"28/03/2023, 11:45"
Israel,https://www.sofascore.com/switzerland-israel/FObsZTb#id:10752410,50%,No information,3,16,1,6,13,471,15,9,4,1,8,2,5,3,12,4,1,2,1,No information,3,No information,411,20,56,20/40 (50%),5/16 (31%),43%,10,30/68 (44%),8/21 (38%),6/18 (33%),67%,15,9,61,24,No information,1,3,0,"28/03/2023, 11:45"

Andorra,https://www.sofascore.com/andorra-switzerland/ZTbstWb#id:10752422,85%,No information,4,22,No information,8,4,712,6,7,3,No information,3,0,16,3,12,10,2,2,No information,No information,4,3,649,34,105,23/38 (61%),10/39 (26%),57%,6,18/34 (53%),15/24 (63%),5/10 (50%),50%,6,3,52,8,No information,No information,2,2,"16/06/2023, 11:45"
Switzerland,https://www.sofascore.com/andorra-switzerland/ZTbstWb#id:10752422,15%,No information,0,0,No information,2,7,131,11,4,2,No information,0,0,0,0,0,0,0,0,No information,No information,1,0,59,13,31,11/62 (18%),0/5 (0%),43%,4,16/34 (47%),9/24 (38%),1/3 (33%),27%,11,6,37,37,No information,No information,20,1,"16/06/2023, 11:45"

Switzerland,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752446,36%,No information,1,9,4,1,13,336,16,11,4,No information,4,0,3,2,3,6,1,0,0,No information,1,3,272,24,31,22/47 (47%),2/6 (33%),51%,8,40/77 (52%),5/12 (42%),13/21 (62%),31%,16,6,47,20,No information,4,10,2,"19/06/2023, 11:45"
Romania,https://www.sofascore.com/switzerland-romania/CObsZTb#id:10752446,64%,No information,3,11,3,6,11,579,16,12,2,No information,4,0,5,2,7,4,0,3,1,No information,2,1,508,21,56,25/41 (61%),6/23 (26%),49%,6,37/77 (48%),7/12 (58%),9/19 (47%),63%,16,5,56,9,No information,3,4,2,"19/06/2023, 11:45"

