Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Poland,https://www.sofascore.com/football/match/poland-turkiye/aUbsdUb#id:12322870,43%,No information,4,11,6,4,16,401,6,10,2,No information,5,0,3,3,11,0,1,3,1,30,0,1,347,12,32,23/40 (58%),5/14 (36%),36%,8,21/69 (30%),10/17 (59%),5/20 (25%),50%,6,8,43,29,No information,6,12,2,"06/10/2024, 18:45"
Türkiye,https://www.sofascore.com/football/match/poland-turkiye/aUbsdUb#id:12322870,57%,No information,1,22,3,8,10,537,23,16,2,No information,7,1,10,5,15,7,0,1,1,34,1,2,479,11,45,19/40 (48%),4/19 (21%),64%,5,48/69 (70%),7/17 (41%),9/10 (90%),74%,23,11,48,11,No information,3,2,1,"06/10/2024, 18:45"
Czechia ,https://www.sofascore.com/football/match/czechia-turkiye/aUbsoUb#id:11873986,32%,1.62,4,12,3,3,16,229,9,7,7,2,7,0,3,2,8,4,1,3,0,25,2,0,160,19,48,28/63 (44%),5/16 (31%),39%,6,22/64 (34%),17/35 (49%),7/16 (44%),67%,9,2,49,19,0.32,3,9,2,"06/26/2024, 19:00"
Türkiye,https://www.sofascore.com/football/match/czechia-turkiye/aUbsoUb#id:11873986,68%,1.46,1,18,5,7,9,512,15,15,11,0,5,0,6,7,11,7,0,1,1,33,0,1,447,14,61,25/58 (43%),2/13 (15%),61%,3,42/64 (66%),18/35 (51%),12/18 (67%),73%,15,4,44,19,0.67,5,8,1,"06/26/2024, 19:00"

Türkiye,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,44%,0.72,1,11,1,9,16,433,21,7,3,No information,3,0,4,4,4,7,0,1,0,13,0,0,373,11,47,18/38 (47%),2/16 (13%),47%,9,38/77 (49%),6/16 (38%),10/16 (63%),48%,21,8,45,13,-1.37,1,6,3,"06/22/2024, 16:00"
Portugal,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,56%,1.86,3,12,3,1,8,566,15,16,2,No information,3,0,7,2,9,3,2,1,1,33,1,4,505,17,44,18/34 (53%),6/14 (43%),53%,7,39/77 (51%),10/16 (63%),8/22 (36%),40%,15,9,43,18,0.72,3,8,0,"06/22/2024, 16:00"

Türkiye,https://www.sofascore.com/football/match/georgia-turkiye/aUbsnVb#id:12198159,56%,3.01,5,22,3,5,10,573,18,7,2,No information,8,1,7,7,11,11,1,4,1,24,3,2,511,14,72,13/24 (54%),4/17 (24%),47%,9,28/67 (42%),19/32 (59%),3/17 (18%),83%,18,6,50,18,0.13,3,6,3,"06/18/2024, 16:00"
Georgia,https://www.sofascore.com/football/match/georgia-turkiye/aUbsnVb#id:12198159,44%,1.37,5,14,5,5,7,441,23,10,1,No information,5,2,6,3,11,3,1,4,0,22,1,1,379,18,34,21/46 (46%),6/20 (30%),53%,4,39/67 (58%),13/32 (41%),6/20 (30%),70%,23,8,40,27,0.06,5,8,1,"06/18/2024, 16:00"

Austria,https://www.sofascore.com/football/match/austria-turkiye/aUbstUb#id:11874025,60%,3.14,5,21,2,10,12,564,12,5,2,No information,5,0,9,7,14,7,1,4,3,31,1,2,470,24,69,23/43 (53%),13/38 (34%),44%,10,24/63 (38%),20/37 (54%),7/17 (41%),42%,12,5,62,13,-0.22,2,2,2,"07/02/2024, 19:00"
Türkiye,https://www.sofascore.com/football/match/austria-turkiye/aUbstUb#id:11874025,40%,0.92,2,6,4,4,5,379,20,12,2,No information,3,0,2,1,5,1,2,0,0,10,1,1,303,16,39,21/57 (37%),4/14 (29%),56%,7,39/63 (62%),17/37 (46%),7/12 (58%),40%,20,13,51,55,1.10,4,12,1,"07/02/2024, 19:00"

Netherlands,https://www.sofascore.com/football/match/netherlands-turkiye/aUbsfUb#id:11874021,59%,1.09,2,11,2,3,16,536,11,7,4,0,4,0,4,3,7,4,1,1,1,22,0,4,476,10,65,12/28 (43%),3/15 (20%),44%,6,25/62 (40%),12/22 (55%),8/19 (42%),91%,11,8,41,20,-0.25,2,10,2,"07/06/2024, 19:00"
Türkiye,https://www.sofascore.com/football/match/netherlands-turkiye/aUbsfUb#id:11874021,41%,1.31,3,15,3,7,7,361,17,15,1,1,4,1,8,3,9,6,1,2,0,17,3,2,294,8,41,22/48 (46%),5/20 (25%),56%,4,37/62 (60%),10/22 (45%),5/12 (42%),41%,17,12,38,15,-0.70,3,9,1,"07/06/2024, 19:00"

Türkiye,https://www.sofascore.com/football/match/wales-turkiye/aUbscUb#id:10752442,67%,No information,4,15,1,4,12,602,9,19,2,0,1,0,11,3,9,6,No information,4,No information,27,4,4,529,22,52,22/40 (55%),8/21 (38%),54%,1,31/55 (56%),10/21 (48%),5/11 (45%),89%,9,7,41,5,No information,1,5,2,"06/19/2023, 18:45"
Wales,https://www.sofascore.com/football/match/wales-turkiye/aUbscUb#id:10752442,33%,No information,0,5,1,3,20,302,7,12,6,1,1,0,2,2,5,0,No information,0,No information,12,2,3,234,10,27,22/51 (43%),3/7 (43%),46%,3,24/55 (44%),11/21 (52%),5/11 (45%),71%,7,8,31,16,No information,1,15,0,"06/19/2023, 18:45"

Croatia,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752510,63%,No information,1,17,6,5,5,657,11,8,4,No information,5,0,5,7,10,7,0,1,0,No information,1,6,595,17,60,24/35 (69%),5/22 (23%),46%,19,29/69 (42%),14/25 (56%),10/17 (59%),64%,11,9,58,6,No information,6,5,1,"10/12/2023, 18:45"
Türkiye,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752510,37%,No information,5,14,4,4,9,394,26,5,5,No information,6,0,5,3,9,5,1,4,4,No information,0,2,321,15,49,20/50 (40%),2/8 (25%),54%,7,40/69 (58%),11/25 (44%),9/13 (69%),62%,26,8,64,23,No information,4,4,0,"10/12/2023, 18:45"

Türkiye,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:10752534,67%,No information,7,18,1,9,9,580,5,12,4,No information,8,1,10,0,12,6,3,4,1,No information,3,1,501,28,76,41/65 (63%),10/36 (28%),51%,9,26/48 (54%),17/36 (47%),9/13 (69%),100%,5,7,51,15,No information,1,5,4,"10/15/2023, 18:45"
Latvia,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:10752534,33%,No information,3,9,4,5,12,280,13,9,4,No information,2,1,6,1,7,2,0,3,0,No information,1,3,198,15,32,22/47 (47%),6/17 (35%),49%,4,22/48 (46%),19/36 (53%),1/2 (50%),46%,13,9,46,41,No information,4,13,0,"10/15/2023, 18:45"

Germany,https://www.sofascore.com/football/match/germany-turkiye/aUbslUb#id:11800822,55%,No information,4,11,2,3,16,518,17,10,0,No information,4,0,3,4,10,1,1,3,2,No information,1,2,449,11,45,22/49 (45%),4/12 (33%),51%,10,41/83 (49%),11/19 (58%),14/24 (58%),76%,17,9,61,15,No information,2,4,3,"11/18/2023, 19:45"
Türkiye,https://www.sofascore.com/football/match/germany-turkiye/aUbslUb#id:11800822,45%,No information,3,8,2,2,11,432,20,15,5,No information,5,1,2,1,5,3,3,0,2,No information,3,0,355,15,46,30/53 (57%),0/4 (0%),49%,9,42/83 (51%),8/19 (42%),8/16 (50%),60%,20,11,55,16,No information,2,4,2,"11/18/2023, 19:45"

Wales,https://www.sofascore.com/football/match/wales-turkiye/aUbscUb#id:10752596,67%,No information,4,15,1,4,12,602,9,19,2,0,1,0,11,3,9,6,No information,4,No information,27,4,4,529,22,52,22/40 (55%),8/21 (38%),54%,1,31/55 (56%),10/21 (48%),5/11 (45%),89%,9,7,41,5,No information,1,5,1,"11/21/2023, 19:45"
Türkiye,https://www.sofascore.com/football/match/wales-turkiye/aUbscUb#id:10752596,33%,No information,0,5,1,3,20,302,7,12,6,1,1,0,2,2,5,0,No information,0,No information,12,2,3,234,10,27,22/51 (43%),3/7 (43%),46%,3,24/55 (44%),11/21 (52%),5/11 (45%),71%,7,8,31,16,No information,1,15,1,"11/21/2023, 19:45"

Austria,https://www.sofascore.com/football/match/austria-turkiye/aUbstUb#id:12076357,60%,3.14,5,21,2,10,12,564,12,5,2,No information,5,0,9,7,14,7,1,4,3,31,1,2,470,24,69,23/43 (53%),13/38 (34%),44%,10,24/63 (38%),20/37 (54%),7/17 (41%),42%,12,5,62,13,-0.22,2,2,6,"03/26/2024, 19:45"
Türkiye,https://www.sofascore.com/football/match/austria-turkiye/aUbstUb#id:12076357,40%,0.92,2,6,4,4,5,379,20,12,2,No information,3,0,2,1,5,1,2,0,0,10,1,1,303,16,39,21/57 (37%),4/14 (29%),56%,7,39/63 (62%),17/37 (46%),7/12 (58%),40%,20,13,51,55,1.10,4,12,1,"03/26/2024, 19:45"

Italy,https://www.sofascore.com/football/match/italy-turkiye/aUbshUb#id:12076173,53%,No information,0,11,2,4,17,548,10,12,2,No information,2,1,6,3,8,3,No information,0,No information,22,2,1,498,21,56,36/55 (65%),9/18 (50%),49%,5,24/56 (43%),12/17 (71%),2/9 (22%),80%,10,6,37,10,No information,2,5,0,"06/04/2024, 19:00"
Türkiye,https://www.sofascore.com/football/match/italy-turkiye/aUbshUb#id:12076173,47%,No information,1,10,2,5,12,490,12,16,0,No information,2,0,3,5,6,4,No information,1,No information,14,1,0,429,12,26,16/39 (41%),6/14 (43%),51%,9,32/56 (57%),5/17 (29%),5/6 (83%),67%,12,3,39,11,No information,2,11,0,"06/04/2024, 19:00"

Hungary,https://www.sofascore.com/football/match/hungary-turkiye/aUbsjUb#id:12076353,46%,No information,2,8,6,2,11,446,23,11,2,No information,5,0,2,1,5,3,1,1,0,No information,6,1,369,13,35,23/50 (46%),4/12 (33%),46%,11,38/81 (47%),15/34 (44%),4/13 (31%),83%,23,8,51,19,No information,6,11,1,"03/22/2024, 19:45"
Türkiye,https://www.sofascore.com/football/match/hungary-turkiye/aUbsjUb#id:12076353,54%,No information,1,16,4,7,12,514,20,11,2,No information,6,0,7,3,11,5,0,1,1,No information,1,3,453,19,46,33/49 (67%),5/20 (25%),54%,11,43/81 (53%),19/34 (56%),12/24 (50%),75%,20,8,54,16,No information,4,3,0,"03/22/2024, 19:45"

Lithuania,https://www.sofascore.com/football/match/lithuania-turkiye/aUbsBVb#id:10023342,75%,No information,4,37,1,12,4,634,8,19,0,No information,12,1,16,9,19,18,1,3,No information,No information,5,1,573,23,82,37/51 (73%),10/31 (32%),57%,12,46/78 (59%),15/29 (52%),19/32 (59%),63%,8,5,No information,10,No information,1,5,6,"06/07/2022, 18:45"
Türkiye,https://www.sofascore.com/football/match/lithuania-turkiye/aUbsBVb#id:10023342,25%,No information,0,7,10,2,19,220,25,4,4,No information,1,0,3,3,3,4,0,0,No information,No information,0,0,149,14,39,16/45 (36%),1/4 (25%),43%,5,32/78 (41%),14/29 (48%),3/6 (50%),56%,25,9,No information,30,No information,10,18,0,"06/07/2022, 18:45"

