Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Bosnia & herzegovina,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,34%,No information,2,7,1,2,14,271,15,19,4,No information,2,0,5,0,7,0,0,2,2,No information,3,0,164,24,44,21/67 (31%),3/9 (33%),55%,9,39/70 (56%),15/28 (54%),6/9 (67%),47%,15,7,47,26,No information,1,5,2,"21/03/2024, 12:45"
Ukraine,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,66%,No information,3,12,1,4,20,530,12,12,4,No information,4,0,5,3,7,5,2,1,1,No information,5,2,439,23,61,39/69 (57%),3/18 (17%),45%,10,31/70 (44%),13/28 (46%),8/13 (62%),83%,12,9,48,17,No information,1,11,1,"21/03/2024, 12:45"

Ukraine,https://www.sofascore.com/iceland-ukraine/bUbsiUb#id:12182591,60%,No information,1,13,2,7,8,525,4,12,2,No information,5,0,7,1,7,6,No information,1,3,No information,2,3,437,17,59,16/44 (36%),6/22 (27%),51%,9,25/52 (48%),16/29 (55%),9/11 (82%),75%,4,5,42,13,No information,2,3,2,"26/03/2024, 12:45"
Iceland,https://www.sofascore.com/iceland-ukraine/bUbsiUb#id:12182591,40%,No information,1,6,3,2,12,348,11,7,3,No information,3,0,2,1,2,4,No information,1,1,No information,0,1,267,12,46,25/62 (40%),1/12 (8%),49%,3,27/52 (52%),13/29 (45%),9/10 (90%),64%,11,10,42,24,No information,3,10,1,"26/03/2024, 12:45"

Germany,https://www.sofascore.com/germany-ukraine/bUbslUb#id:12208868,62%,No information,2,27,3,11,12,711,7,4,No information,No information,5,1,13,9,17,10,No information,2,1,44,1,2,658,19,85,12/17 (71%),10/34 (29%),40%,4,17/41 (41%),4/12 (33%),6/8 (75%),71%,7,5,48,13,No information,3,2,0,"03/06/2024, 11:45"
Ukraine,https://www.sofascore.com/germany-ukraine/bUbslUb#id:12208868,38%,No information,0,6,5,2,4,456,6,12,No information,No information,3,0,2,1,5,1,No information,0,0,8,0,1,389,15,33,29/55 (53%),0/5 (0%),60%,5,24/41 (59%),8/12 (67%),7/9 (78%),50%,6,12,38,37,No information,5,14,0,"03/06/2024, 11:45"

Poland,https://www.sofascore.com/poland-ukraine/bUbsdUb#id:12253167,43%,No information,4,19,2,6,6,400,13,11,0,No information,9,0,5,5,7,12,1,3,0,16,2,0,339,11,42,23/40 (58%),4/16 (25%),57%,5,29/55 (53%),12/17 (71%),5/17 (29%),62%,13,7,48,27,No information,2,6,3,"07/06/2024, 11:45"
