Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/albania-israel/FObsPTb#id:10023298,Albania,Israel,"10/06/2022, 11:45",51%,49%,3,1,14,9,3,2,4,9,13,11,408,389,16,22,11,11,2,3,No information,No information,4,4,0,0,7,2,3,3,7,8,7,1,2,0,1,1,No information,No information,No information,No information,2,2,3,1,322,286,23,23,57,67,24/57 (42%),35/70 (50%),1/22 (5%),4/17 (24%),49%,51%,8,8,32/73 (44%),41/73 (56%),18/29 (62%),11/29 (38%),5/19 (26%),8/16 (50%),56%,64%,16,22,9,10,No information,No information,24,15,No information,No information,3,17,2,1
https://www.sofascore.com/albania-israel/FObsPTb#id:10023436,Albania,Israel,"24/09/2022, 11:45",49%,51%,1,3,9,14,2,3,9,4,11,13,389,408,22,16,11,11,3,2,No information,No information,4,4,0,0,2,7,3,3,8,7,1,7,0,2,1,1,No information,No information,No information,No information,2,2,1,3,286,322,23,23,67,57,35/70 (50%),24/57 (42%),4/17 (24%),1/22 (5%),51%,49%,8,8,41/73 (56%),32/73 (44%),11/29 (38%),18/29 (62%),8/16 (50%),5/19 (26%),64%,56%,22,16,10,9,No information,No information,15,24,No information,No information,17,3,1,2
https://www.sofascore.com/albania-sweden/NTbsPTb#id:12076354,Albania,Sweden,"25/03/2024, 11:00",49%,51%,1,1,8,11,5,1,4,2,8,22,489,501,13,17,21,8,2,1,No information,No information,1,6,0,1,6,3,1,2,3,8,5,3,0,1,1,0,No information,No information,No information,No information,4,1,2,1,424,440,17,11,39,52,29/56 (52%),11/26 (42%),1/15 (7%),4/11 (36%),58%,42%,10,5,46/79 (58%),33/79 (42%),8/14 (57%),6/14 (43%),12/19 (63%),8/16 (50%),54%,47%,13,17,12,7,54,53,16,12,No information,No information,10,9,0,1
https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,Albania,Andorra,"25/03/2019, 12:45",25%,75%,0,5,9,19,4,3,4,4,18,8,187,563,10,13,7,17,3,1,No information,No information,3,6,0,1,5,7,1,6,3,13,6,6,0,1,0,4,No information,No information,No information,No information,1,5,4,3,98,466,18,25,38,68,17/71 (24%),30/56 (54%),1/11 (9%),13/32 (41%),29%,71%,10,5,23/69 (33%),46/69 (67%),9/40 (23%),31/40 (78%),6/9 (67%),16/21 (76%),60%,77%,10,13,9,3,No information,No information,40,9,No information,No information,14,7,0,3
https://www.sofascore.com/andorra-albania/PTbstWb#id:9223736,Albania,Andorra,"25/03/2021, 12:45",25%,75%,0,5,9,19,4,3,4,4,18,8,187,563,10,13,7,17,3,1,No information,No information,3,6,0,1,5,7,1,6,3,13,6,6,0,1,0,4,No information,No information,No information,No information,1,5,4,3,98,466,18,25,38,68,17/71 (24%),30/56 (54%),1/11 (9%),13/32 (41%),29%,71%,10,5,23/69 (33%),46/69 (67%),9/40 (23%),31/40 (78%),6/9 (67%),16/21 (76%),60%,77%,10,13,9,3,No information,No information,40,9,No information,No information,14,7,0,1
https://www.sofascore.com/andorra-albania/PTbstWb#id:9223950,Albania,Andorra,"15/11/2021, 11:45",75%,25%,5,0,19,9,3,4,4,4,8,18,563,187,13,10,17,7,1,3,No information,No information,6,3,1,0,7,5,6,1,13,3,6,6,1,0,4,0,No information,No information,No information,No information,5,1,3,4,466,98,25,18,68,38,30/56 (54%),17/71 (24%),13/32 (41%),1/11 (9%),71%,29%,5,10,46/69 (67%),23/69 (33%),31/40 (78%),9/40 (23%),16/21 (76%),6/9 (67%),77%,60%,13,10,3,9,No information,No information,9,40,No information,No information,7,14,1,0
https://www.sofascore.com/armenia-albania/PTbsPUb#id:10839838,Albania,Armenia,"19/11/2022, 08:30",48%,52%,No information,No information,9,11,1,4,2,6,13,11,No information,No information,No information,No information,12,16,1,1,0,0,6,1,No information,No information,3,9,0,1,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,1,No information,No information,18,12,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,15,8,2,0
https://www.sofascore.com/azerbaijan-albania/PTbsRUb#id:12258877,Albania,Azerbaijan,"07/06/2024, 10:00",40%,60%,No information,No information,11,9,2,2,4,3,5,10,No information,No information,No information,No information,11,7,0,1,0,0,5,3,No information,No information,4,4,2,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,1,No information,No information,18,13,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,6,3,1
https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,Albania,Belarus,"04/09/2020, 11:45",55%,45%,3,3,11,10,1,2,6,9,16,12,480,385,17,17,11,16,5,4,No information,No information,4,4,0,0,3,4,4,2,6,6,5,4,2,2,1,1,No information,No information,No information,No information,3,3,2,1,383,288,28,21,41,40,22/50 (44%),33/61 (54%),3/17 (18%),5/17 (29%),46%,54%,7,16,37/77 (48%),40/77 (52%),15/36 (42%),21/36 (58%),9/19 (47%),8/9 (89%),59%,65%,17,17,16,15,No information,No information,18,22,No information,No information,5,6,0,2
https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600901,Albania,Belarus,"18/11/2020, 07:00",45%,55%,3,3,10,11,2,1,9,6,12,16,385,480,17,17,16,11,4,5,No information,No information,4,4,0,0,4,3,2,4,6,6,4,5,2,2,1,1,No information,No information,No information,No information,3,3,1,2,288,383,21,28,40,41,33/61 (54%),22/50 (44%),5/17 (29%),3/17 (18%),54%,46%,16,7,40/77 (52%),37/77 (48%),21/36 (58%),15/36 (42%),8/9 (89%),9/19 (47%),65%,59%,17,17,15,16,No information,No information,22,18,No information,No information,6,5,3,2
