Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-austria/tUbstWb#id:10751624,Austria,Andorra,"16/11/2022, 09:00",81%,19%,6,0,23,1,1,4,4,0,6,15,765,189,10,7,14,4,0,2,0,1,6,1,3,0,10,0,7,0,14,0,9,1,1,0,5,0,No information,No information,No information,No information,5,0,6,3,661,75,27,18,101,51,44/63 (70%),14/83 (17%),12/39 (31%),0/0 (0%),68%,32%,1,8,25/38 (66%),13/38 (34%),23/33 (70%),10/33 (30%),1/7 (14%),2/4 (50%),40%,57%,10,7,8,15,No information,No information,4,34,No information,No information,3,14,0,1
https://www.sofascore.com/austria-belgium/rUbstUb#id:10752434,Austria,Belgium,"17/06/2023, 11:45",42%,58%,2,1,8,17,2,2,3,6,14,15,342,460,16,16,15,13,5,4,1,0,5,5,1,0,2,9,1,3,5,10,3,7,1,1,1,0,1,0,No information,No information,2,1,0,1,271,387,13,16,38,62,24/56 (43%),17/32 (53%),1/6 (17%),7/22 (32%),55%,45%,7,6,50/85 (59%),35/85 (41%),9/22 (41%),13/22 (59%),19/28 (68%),6/16 (38%),88%,88%,16,16,9,4,54,64,18,12,No information,No information,16,2,1,1
https://www.sofascore.com/austria-belgium/rUbstUb#id:10752518,Austria,Belgium,"13/10/2023, 11:45",58%,42%,1,2,17,8,2,2,6,3,15,14,460,342,16,16,13,15,4,5,0,1,5,5,0,1,9,2,3,1,10,5,7,3,1,1,0,1,0,1,No information,No information,1,2,1,0,387,271,16,13,62,38,17/32 (53%),24/56 (43%),7/22 (32%),1/6 (17%),45%,55%,6,7,35/85 (41%),50/85 (59%),13/22 (59%),9/22 (41%),6/16 (38%),19/28 (68%),88%,88%,16,16,4,9,64,54,12,18,No information,No information,2,16,3,2
https://www.sofascore.com/austria-croatia/pUbstUb#id:10023332,Austria,Croatia,"25/09/2022, 11:45",46%,54%,2,2,18,10,2,5,4,5,12,9,464,535,16,11,8,12,2,2,No information,No information,6,5,0,1,4,2,8,3,11,6,7,4,0,2,2,0,No information,No information,No information,No information,2,0,5,2,378,452,11,17,63,56,29/62 (47%),25/44 (57%),3/12 (25%),4/13 (31%),53%,47%,8,9,27/57 (47%),30/57 (53%),14/21 (67%),7/21 (33%),3/6 (50%),7/14 (50%),69%,45%,16,11,12,3,No information,No information,10,16,No information,No information,8,9,3,1
https://www.sofascore.com/austria-croatia/pUbstUb#id:10023384,Austria,Croatia,"03/06/2022, 11:45",54%,46%,2,2,10,18,5,2,5,4,9,12,535,464,11,16,12,8,2,2,No information,No information,5,6,1,0,2,4,3,8,6,11,4,7,2,0,0,2,No information,No information,No information,No information,0,2,2,5,452,378,17,11,56,63,25/44 (57%),29/62 (47%),4/13 (31%),3/12 (25%),47%,53%,9,8,30/57 (53%),27/57 (47%),7/21 (33%),14/21 (67%),7/14 (50%),3/6 (50%),45%,69%,11,16,3,12,No information,No information,16,10,No information,No information,9,8,0,3
https://www.sofascore.com/austria-denmark/BObstUb#id:10023443,Austria,Denmark,"13/06/2022, 11:45",47%,53%,0,2,9,15,4,2,4,5,13,9,508,588,19,8,9,12,2,1,No information,No information,2,6,0,1,4,7,3,2,3,9,6,6,0,2,No information,No information,0,1,No information,No information,0,3,2,0,422,504,14,15,60,72,31/56 (55%),33/63 (52%),1/17 (6%),5/12 (42%),45%,55%,5,10,32/67 (48%),35/67 (52%),13/32 (41%),19/32 (59%),4/7 (57%),15/24 (63%),58%,63%,19,8,11,8,No information,No information,18,18,No information,No information,10,7,0,2
https://www.sofascore.com/austria-denmark/BObstUb#id:10023453,Austria,Denmark,"06/06/2022, 11:45",53%,47%,2,0,15,9,2,4,5,4,9,13,588,508,8,19,12,9,1,2,No information,No information,6,2,1,0,7,4,2,3,9,3,6,6,2,0,No information,No information,1,0,No information,No information,3,0,0,2,504,422,15,14,72,60,33/63 (52%),31/56 (55%),5/12 (42%),1/17 (6%),55%,45%,10,5,35/67 (52%),32/67 (48%),19/32 (59%),13/32 (41%),15/24 (63%),4/7 (57%),63%,58%,8,19,8,11,No information,No information,18,18,No information,No information,7,10,2,1
https://www.sofascore.com/austria-denmark/BObstUb#id:9223711,Austria,Denmark,"31/03/2021, 11:45",53%,47%,2,0,15,9,2,4,5,4,9,13,588,508,8,19,12,9,1,2,No information,No information,6,2,1,0,7,4,2,3,9,3,6,6,2,0,No information,No information,1,0,No information,No information,3,0,0,2,504,422,15,14,72,60,33/63 (52%),31/56 (55%),5/12 (42%),1/17 (6%),55%,45%,10,5,35/67 (52%),32/67 (48%),19/32 (59%),13/32 (41%),15/24 (63%),4/7 (57%),63%,58%,8,19,8,11,No information,No information,18,18,No information,No information,7,10,4,0
https://www.sofascore.com/austria-denmark/BObstUb#id:9223923,Austria,Denmark,"12/10/2021, 11:45",47%,53%,0,2,9,15,4,2,4,5,13,9,508,588,19,8,9,12,2,1,No information,No information,2,6,0,1,4,7,3,2,3,9,6,6,0,2,No information,No information,0,1,No information,No information,0,3,2,0,422,504,14,15,60,72,31/56 (55%),33/63 (52%),1/17 (6%),5/12 (42%),45%,55%,5,10,32/67 (48%),35/67 (52%),13/32 (41%),19/32 (59%),4/7 (57%),15/24 (63%),58%,63%,19,8,11,8,No information,No information,18,18,No information,No information,10,7,0,1
https://www.sofascore.com/austria-england/nUbstUb#id:9529065,Austria,England,"02/06/2021, 12:00",55%,45%,No information,No information,6,7,3,2,4,4,19,11,No information,No information,No information,No information,11,19,3,2,0,0,2,4,No information,No information,4,3,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,0,No information,No information,28,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,4,0,1
https://www.sofascore.com/austria-france/GObstUb#id:10023387,Austria,France,"22/09/2022, 11:45",48%,52%,2,2,14,6,3,3,2,6,11,18,453,476,15,27,18,10,2,5,No information,No information,3,3,0,0,6,2,5,1,12,4,2,2,No information,No information,2,2,No information,No information,35,19,6,3,1,0,390,401,23,18,33,68,24/45 (53%),14/34 (41%),2/12 (17%),4/27 (15%),57%,43%,15,8,45/85 (53%),40/85 (47%),19/27 (70%),8/27 (30%),12/24 (50%),4/11 (36%),47%,48%,15,27,6,3,50,51,31,19,1.50,-0.61,7,6,0,2
https://www.sofascore.com/austria-france/GObstUb#id:10023445,Austria,France,"10/06/2022, 11:45",52%,48%,2,2,6,14,3,3,6,2,18,11,476,453,27,15,10,18,5,2,No information,No information,3,3,0,0,2,6,1,5,4,12,2,2,No information,No information,2,2,No information,No information,19,35,3,6,0,1,401,390,18,23,68,33,14/34 (41%),24/45 (53%),4/27 (15%),2/12 (17%),43%,57%,8,15,40/85 (47%),45/85 (53%),8/27 (30%),19/27 (70%),4/11 (36%),12/24 (50%),48%,47%,27,15,3,6,51,50,19,31,-0.61,1.50,6,7,1,1
https://www.sofascore.com/austria-france/GObstUb#id:11873975,Austria,France,"17/06/2024, 12:00",52%,48%,2,2,6,14,3,3,6,2,18,11,476,453,27,15,10,18,5,2,No information,No information,3,3,0,0,2,6,1,5,4,12,2,2,No information,No information,2,2,No information,No information,19,35,3,6,0,1,401,390,18,23,68,33,14/34 (41%),24/45 (53%),4/27 (15%),2/12 (17%),43%,57%,8,15,40/85 (47%),45/85 (53%),8/27 (30%),19/27 (70%),4/11 (36%),12/24 (50%),48%,47%,27,15,3,6,51,50,19,31,-0.61,1.50,6,7,1,0
https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,Austria,Germany,"21/11/2023, 11:45",44%,56%,3,0,16,8,3,5,2,2,12,17,421,551,18,21,16,12,1,1,0,1,7,3,0,0,8,4,1,1,10,2,6,6,1,0,2,0,2,1,No information,No information,2,2,2,2,333,446,16,13,41,70,27/52 (52%),45/72 (63%),0/9 (0%),1/6 (17%),47%,53%,14,8,41/83 (49%),42/83 (51%),9/24 (38%),15/24 (63%),7/14 (50%),9/19 (47%),39%,33%,18,21,14,6,67,63,16,20,No information,No information,9,12,2,0
https://www.sofascore.com/austria-greece/kUbstUb#id:8803182,Austria,Greece,"10/07/2020, 18:30",55%,45%,No information,No information,12,3,0,2,13,5,12,7,No information,No information,No information,No information,7,14,2,3,0,0,4,1,No information,No information,8,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,0,No information,No information,11,19,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,10,2,1
https://www.sofascore.com/austria-israel/FObstUb#id:9223835,Austria,Israel,"04/09/2021, 11:45",37%,63%,0,5,6,25,9,1,2,4,13,15,313,537,10,6,15,13,1,1,No information,No information,3,13,0,0,3,7,0,5,1,15,5,10,0,2,0,3,0,1,No information,No information,3,4,1,5,221,452,16,17,28,67,14/50 (28%),21/33 (64%),0/6 (0%),4/12 (33%),49%,51%,3,5,33/66 (50%),33/66 (50%),7/16 (44%),9/16 (56%),8/11 (73%),14/19 (74%),80%,50%,10,6,17,15,No information,No information,23,6,No information,No information,8,3,2,5
https://www.sofascore.com/austria-israel/FObstUb#id:9223871,Austria,Israel,"12/11/2021, 11:45",63%,37%,5,0,25,6,1,9,4,2,15,13,537,313,6,10,13,15,1,1,No information,No information,13,3,0,0,7,3,5,0,15,1,10,5,2,0,3,0,1,0,No information,No information,4,3,5,1,452,221,17,16,67,28,21/33 (64%),14/50 (28%),4/12 (33%),0/6 (0%),51%,49%,5,3,33/66 (50%),33/66 (50%),9/16 (56%),7/16 (44%),14/19 (74%),8/11 (73%),50%,80%,6,10,15,17,No information,No information,6,23,No information,No information,3,8,4,2
https://www.sofascore.com/austria-italy/hUbstUb#id:10751626,Austria,Italy,"11/20/2022, 19:45",40%,60%,2,1,17,16,3,4,5,12,15,9,380,573,17,13,7,15,2,1,No information,No information,6,3,1,0,6,11,5,2,11,10,6,6,1,0,1,1,No information,No information,No information,No information,1,4,1,1,303,496,13,18,36,47,22/46 (48%),26/40 (65%),1/13 (8%),7/30 (23%),47%,53%,7,10,32/64 (50%),32/64 (50%),3/11 (27%),8/11 (73%),8/14 (57%),4/11 (36%),47%,69%,17,13,13,8,No information,No information,31,12,No information,No information,14,8,2,0
https://www.sofascore.com/austria-italy/hUbstUb#id:8594165,Austria,Italy,"26/06/2021, 12:00",60%,40%,1,2,16,17,4,3,12,5,9,15,573,380,13,17,15,7,1,2,No information,No information,3,6,0,1,11,6,2,5,10,11,6,6,0,1,1,1,No information,No information,No information,No information,4,1,1,1,496,303,18,13,47,36,26/40 (65%),22/46 (48%),7/30 (23%),1/13 (8%),53%,47%,10,7,32/64 (50%),32/64 (50%),8/11 (73%),3/11 (27%),4/11 (36%),8/14 (57%),69%,47%,13,17,8,13,No information,No information,12,31,No information,No information,8,14,1,2
https://www.sofascore.com/austria-netherlands/fUbstUb#id:8513123,Austria,Netherlands,"17/06/2021, 12:00",53%,47%,1,5,9,14,1,1,5,2,9,13,531,480,16,14,13,9,2,1,No information,No information,1,4,0,0,6,6,2,4,6,10,3,4,0,2,1,3,1,2,No information,No information,1,1,0,1,437,379,18,17,50,50,16/42 (38%),21/51 (41%),5/21 (24%),1/5 (20%),48%,52%,12,6,35/68 (51%),33/68 (49%),9/23 (39%),14/23 (61%),6/8 (75%),10/20 (50%),56%,57%,16,14,9,9,No information,No information,4,9,0.43,0.44,8,9,0,2
https://www.sofascore.com/austria-norway/AObstUb#id:8600778,Austria,Norway,"18/11/2020, 11:45",68%,32%,1,4,21,9,3,5,8,4,9,14,629,297,14,16,14,9,1,3,No information,No information,6,4,0,0,10,3,5,2,9,9,12,0,0,1,1,3,No information,No information,No information,No information,1,2,1,0,507,174,28,17,81,66,49/87 (56%),21/75 (28%),5/28 (18%),2/8 (25%),47%,53%,11,10,32/65 (49%),33/65 (51%),17/39 (44%),22/39 (56%),6/12 (50%),7/11 (64%),64%,56%,14,16,18,24,No information,No information,8,22,No information,No information,4,10,1,1
https://www.sofascore.com/austria-romania/CObstUb#id:8600786,Austria,Romania,"14/10/2020, 11:45",50%,50%,2,0,9,8,2,2,3,3,12,8,513,537,25,14,8,12,4,2,No information,No information,3,2,2,1,5,3,1,3,8,4,1,4,No information,No information,2,0,No information,No information,No information,No information,0,1,3,4,404,430,22,29,49,57,38/66 (58%),31/61 (51%),7/22 (32%),3/8 (38%),51%,49%,3,15,39/76 (51%),37/76 (49%),8/16 (50%),8/16 (50%),6/17 (35%),11/21 (52%),40%,50%,25,14,10,20,No information,No information,9,17,No information,No information,7,10,0,1
https://www.sofascore.com/austria-romania/CObstUb#id:8600877,Austria,Romania,"07/09/2020, 11:45",50%,50%,0,2,8,9,2,2,3,3,8,12,537,513,14,25,12,8,2,4,No information,No information,2,3,1,2,3,5,3,1,4,8,4,1,No information,No information,0,2,No information,No information,No information,No information,1,0,4,3,430,404,29,22,57,49,31/61 (51%),38/66 (58%),3/8 (38%),7/22 (32%),49%,51%,15,3,37/76 (49%),39/76 (51%),8/16 (50%),8/16 (50%),11/21 (52%),6/17 (35%),50%,40%,14,25,20,10,No information,No information,17,9,No information,No information,10,7,3,2
https://www.sofascore.com/austria-scotland/VTbstUb#id:10216611,Austria,Scotland,"29/03/2022, 11:45",55%,45%,No information,No information,25,9,3,10,11,2,16,9,No information,No information,No information,No information,10,18,0,0,0,0,12,5,No information,No information,9,4,4,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,1,No information,No information,20,11,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,9,11,2,2
https://www.sofascore.com/austria-scotland/VTbstUb#id:9223733,Austria,Scotland,"25/03/2021, 12:45",45%,55%,No information,No information,9,25,10,3,2,11,9,16,No information,No information,No information,No information,18,10,0,0,0,0,5,12,No information,No information,4,9,0,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,2,No information,No information,11,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,11,9,2,2
https://www.sofascore.com/austria-scotland/VTbstUb#id:9223836,Austria,Scotland,"07/09/2021, 11:45",55%,45%,No information,No information,25,9,3,10,11,2,16,9,No information,No information,No information,No information,10,18,0,0,0,0,12,5,No information,No information,9,4,4,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,1,No information,No information,20,11,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,9,11,1,0
https://www.sofascore.com/austria-slovakia/XTbstUb#id:12021300,Austria,Slovakia,"23/03/2024, 10:00",53%,47%,3,3,9,13,2,2,6,1,14,12,501,442,15,12,12,14,1,0,No information,No information,5,2,0,0,2,6,2,5,5,6,4,7,1,0,2,3,1,1,No information,No information,2,4,0,1,413,381,23,26,40,44,25/53 (47%),20/36 (56%),3/16 (19%),2/15 (13%),48%,52%,9,8,32/63 (51%),31/63 (49%),3/10 (30%),7/10 (70%),5/8 (63%),6/13 (46%),73%,42%,15,12,9,12,51,56,10,13,No information,No information,9,4,0,2
