Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/austria-belgium/rUbstUb#id:10752434,Belgium,Austria,"17/06/2023, 11:45",58%,42%,1,2,17,8,2,2,6,3,15,14,460,342,16,16,13,15,4,5,0,1,5,5,0,1,9,2,3,1,10,5,7,3,1,1,0,1,0,1,No information,No information,1,2,1,0,387,271,16,13,62,38,17/32 (53%),24/56 (43%),7/22 (32%),1/6 (17%),45%,55%,6,7,35/85 (41%),50/85 (59%),13/22 (59%),9/22 (41%),6/16 (38%),19/28 (68%),88%,88%,16,16,4,9,64,54,12,18,No information,No information,2,16,1,1
https://www.sofascore.com/austria-belgium/rUbstUb#id:10752518,Belgium,Austria,"13/10/2023, 11:45",42%,58%,2,1,8,17,2,2,3,6,14,15,342,460,16,16,15,13,5,4,1,0,5,5,1,0,2,9,1,3,5,10,3,7,1,1,1,0,1,0,No information,No information,2,1,0,1,271,387,13,16,38,62,24/56 (43%),17/32 (53%),1/6 (17%),7/22 (32%),55%,45%,7,6,50/85 (59%),35/85 (41%),9/22 (41%),13/22 (59%),19/28 (68%),6/16 (38%),88%,88%,16,16,9,4,54,64,18,12,No information,No information,16,2,2,3
https://www.sofascore.com/azerbaijan-belgium/rUbsRUb#id:10752477,Belgium,Azerbaijan,"09/09/2023, 06:00",25%,75%,0,6,1,22,2,0,0,9,7,13,216,648,8,9,13,7,3,2,1,0,0,7,0,1,0,8,1,7,0,16,1,6,0,4,0,2,0,1,No information,No information,1,3,0,2,156,590,10,15,23,71,17/45 (38%),23/30 (77%),0/4 (0%),3/20 (15%),36%,64%,5,5,21/61 (34%),40/61 (66%),5/11 (45%),6/11 (55%),0/4 (0%),24/27 (89%),63%,56%,8,9,8,3,39,55,27,3,No information,No information,13,2,0,1
https://www.sofascore.com/azerbaijan-belgium/rUbsRUb#id:10752579,Belgium,Azerbaijan,"19/11/2023, 09:00",75%,25%,6,0,22,1,0,2,9,0,13,7,648,216,9,8,7,13,2,3,0,1,7,0,1,0,8,0,7,1,16,0,6,1,4,0,2,0,1,0,No information,No information,3,1,2,0,590,156,15,10,71,23,23/30 (77%),17/45 (38%),3/20 (15%),0/4 (0%),64%,36%,5,5,40/61 (66%),21/61 (34%),6/11 (55%),5/11 (45%),24/27 (89%),0/4 (0%),56%,63%,9,8,3,8,55,39,3,27,No information,No information,2,13,5,0
https://www.sofascore.com/belarus-belgium/rUbsTUb#id:9223722,Belgium,Belarus,"30/03/2021, 11:45",25%,75%,No information,No information,4,12,4,2,1,4,13,7,256,754,13,22,6,13,4,1,No information,No information,2,5,0,1,2,6,0,1,2,6,2,6,No information,No information,No information,No information,No information,No information,No information,No information,1,4,1,5,168,672,21,22,44,89,21/65 (32%),24/41 (59%),1/5 (20%),5/27 (19%),37%,63%,10,8,27/73 (37%),46/73 (63%),9/25 (36%),16/25 (64%),8/20 (40%),11/16 (69%),46%,50%,13,22,10,5,No information,No information,23,12,No information,No information,7,2,8,0
https://www.sofascore.com/belarus-belgium/rUbsTUb#id:9223805,Belgium,Belarus,"08/09/2021, 11:45",75%,25%,No information,No information,12,4,2,4,4,1,7,13,754,256,22,13,13,6,1,4,No information,No information,5,2,1,0,6,2,1,0,6,2,6,2,No information,No information,No information,No information,No information,No information,No information,No information,4,1,5,1,672,168,22,21,89,44,24/41 (59%),21/65 (32%),5/27 (19%),1/5 (20%),63%,37%,8,10,46/73 (63%),27/73 (37%),16/25 (64%),9/25 (36%),11/16 (69%),8/20 (40%),50%,46%,22,13,5,10,No information,No information,12,23,No information,No information,2,7,0,1
https://www.sofascore.com/belgium-croatia/pUbsrUb#id:10230535,Belgium,Croatia,"01/12/2022, 07:00",52%,48%,5,0,16,11,4,3,4,2,9,7,593,554,14,9,7,9,1,0,No information,No information,3,4,1,0,8,6,5,1,13,7,3,4,No information,No information,5,0,1,0,No information,No information,1,0,0,4,521,471,15,27,66,56,35/62 (56%),34/56 (61%),5/24 (21%),5/21 (24%),55%,45%,6,6,28/49 (57%),21/49 (43%),10/20 (50%),10/20 (50%),7/10 (70%),3/11 (27%),64%,22%,14,9,7,6,No information,No information,24,22,1.14,1.24,8,7,0,0
https://www.sofascore.com/belgium-croatia/pUbsrUb#id:9529457,Belgium,Croatia,"06/06/2021, 11:45",48%,52%,0,5,11,16,3,4,2,4,7,9,554,593,9,14,9,7,0,1,No information,No information,4,3,0,1,6,8,1,5,7,13,4,3,No information,No information,0,5,0,1,No information,No information,0,1,4,0,471,521,27,15,56,66,34/56 (61%),35/62 (56%),5/21 (24%),5/24 (21%),45%,55%,6,6,21/49 (43%),28/49 (57%),10/20 (50%),10/20 (50%),3/11 (27%),7/10 (70%),22%,64%,9,14,6,7,No information,No information,22,24,1.24,1.14,7,8,1,0
https://www.sofascore.com/belgium-czech-republic/oUbsrUb#id:9223742,Belgium,Czechia,"27/03/2021, 12:45",47%,53%,2,4,12,16,3,4,3,4,15,8,480,560,7,14,8,12,1,3,No information,No information,4,6,0,0,4,7,4,3,8,10,4,6,0,3,2,1,1,1,No information,No information,2,0,2,2,390,479,19,15,57,51,25/53 (47%),32/55 (58%),4/23 (17%),3/12 (25%),38%,62%,7,1,21/56 (38%),35/56 (63%),12/30 (40%),18/30 (60%),6/13 (46%),9/15 (60%),43%,71%,7,14,15,7,No information,No information,12,20,No information,No information,8,6,1,1
https://www.sofascore.com/belgium-czech-republic/oUbsrUb#id:9223794,Belgium,Czechia,"05/09/2021, 11:45",53%,47%,4,2,16,12,4,3,4,3,8,15,560,480,14,7,12,8,3,1,No information,No information,6,4,0,0,7,4,3,4,10,8,6,4,3,0,1,2,1,1,No information,No information,0,2,2,2,479,390,15,19,51,57,32/55 (58%),25/53 (47%),3/12 (25%),4/23 (17%),62%,38%,1,7,35/56 (63%),21/56 (38%),18/30 (60%),12/30 (40%),9/15 (60%),6/13 (46%),71%,43%,14,7,7,15,No information,No information,20,12,No information,No information,6,8,3,0
