Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/argentina-croatia/pUbsuWb#id:10230580,Croatia,Argentina,"13/12/2022, 11:00",61%,39%,0,6,12,9,4,3,4,2,8,15,607,399,19,22,15,8,2,2,No information,No information,2,7,0,0,7,1,3,1,6,6,6,3,0,3,0,3,0,1,No information,No information,4,3,0,1,531,333,21,19,55,43,17/31 (55%),20/43 (47%),4/20 (20%),1/6 (17%),57%,43%,16,13,47/82 (57%),35/82 (43%),7/13 (54%),6/13 (46%),13/19 (68%),5/11 (45%),79%,41%,19,22,5,8,No information,No information,7,21,0.28,0.42,4,9,0,3
https://www.sofascore.com/armenia-croatia/pUbsPUb#id:10752493,Croatia,Armenia,"11/09/2023, 09:00",33%,67%,1,3,6,21,11,2,3,11,10,6,358,714,7,20,6,8,1,0,No information,No information,2,11,0,0,0,7,4,3,3,12,3,9,0,1,1,2,0,1,No information,No information,No information,No information,0,3,271,639,19,16,24,78,18/51 (35%),32/41 (78%),0/4 (0%),7/38 (18%),36%,64%,6,5,18/58 (31%),40/58 (69%),11/22 (50%),11/22 (50%),6/20 (30%),12/14 (86%),86%,70%,7,20,11,14,59,60,37,5,No information,No information,7,1,0,1
https://www.sofascore.com/armenia-croatia/pUbsPUb#id:10752595,Croatia,Armenia,"21/11/2023, 11:45",67%,33%,3,1,21,6,2,11,11,3,6,10,714,358,20,7,8,6,0,1,No information,No information,11,2,0,0,7,0,3,4,12,3,9,3,1,0,2,1,1,0,No information,No information,No information,No information,3,0,639,271,16,19,78,24,32/41 (78%),18/51 (35%),7/38 (18%),0/4 (0%),64%,36%,5,6,40/58 (69%),18/58 (31%),11/22 (50%),11/22 (50%),12/14 (86%),6/20 (30%),70%,86%,20,7,14,11,60,59,5,37,No information,No information,1,7,1,0
https://www.sofascore.com/armenia-croatia/pUbsPUb#id:9529420,Croatia,Armenia,"01/06/2021, 09:00",67%,33%,3,1,21,6,2,11,11,3,6,10,714,358,20,7,8,6,0,1,No information,No information,11,2,0,0,7,0,3,4,12,3,9,3,1,0,2,1,1,0,No information,No information,No information,No information,3,0,639,271,16,19,78,24,32/41 (78%),18/51 (35%),7/38 (18%),0/4 (0%),64%,36%,5,6,40/58 (69%),18/58 (31%),11/22 (50%),11/22 (50%),12/14 (86%),6/20 (30%),70%,86%,20,7,14,11,60,59,5,37,No information,No information,1,7,1,1
https://www.sofascore.com/austria-croatia/pUbstUb#id:10023332,Croatia,Austria,"25/09/2022, 11:45",54%,46%,2,2,10,18,5,2,5,4,9,12,535,464,11,16,12,8,2,2,No information,No information,5,6,1,0,2,4,3,8,6,11,4,7,2,0,0,2,No information,No information,No information,No information,0,2,2,5,452,378,17,11,56,63,25/44 (57%),29/62 (47%),4/13 (31%),3/12 (25%),47%,53%,9,8,30/57 (53%),27/57 (47%),7/21 (33%),14/21 (67%),7/14 (50%),3/6 (50%),45%,69%,11,16,3,12,No information,No information,16,10,No information,No information,9,8,1,3
https://www.sofascore.com/austria-croatia/pUbstUb#id:10023384,Croatia,Austria,"03/06/2022, 11:45",46%,54%,2,2,18,10,2,5,4,5,12,9,464,535,16,11,8,12,2,2,No information,No information,6,5,0,1,4,2,8,3,11,6,7,4,0,2,2,0,No information,No information,No information,No information,2,0,5,2,378,452,11,17,63,56,29/62 (47%),25/44 (57%),3/12 (25%),4/13 (31%),53%,47%,8,9,27/57 (47%),30/57 (53%),14/21 (67%),7/21 (33%),3/6 (50%),7/14 (50%),69%,45%,16,11,12,3,No information,No information,10,16,No information,No information,8,9,3,0
https://www.sofascore.com/belgium-croatia/pUbsrUb#id:10230535,Croatia,Belgium,"01/12/2022, 07:00",48%,52%,0,5,11,16,3,4,2,4,7,9,554,593,9,14,9,7,0,1,No information,No information,4,3,0,1,6,8,1,5,7,13,4,3,No information,No information,0,5,0,1,No information,No information,0,1,4,0,471,521,27,15,56,66,34/56 (61%),35/62 (56%),5/21 (24%),5/24 (21%),45%,55%,6,6,21/49 (43%),28/49 (57%),10/20 (50%),10/20 (50%),3/11 (27%),7/10 (70%),22%,64%,9,14,6,7,No information,No information,22,24,1.24,1.14,7,8,0,0
https://www.sofascore.com/belgium-croatia/pUbsrUb#id:9529457,Croatia,Belgium,"06/06/2021, 11:45",52%,48%,5,0,16,11,4,3,4,2,9,7,593,554,14,9,7,9,1,0,No information,No information,3,4,1,0,8,6,5,1,13,7,3,4,No information,No information,5,0,1,0,No information,No information,1,0,0,4,521,471,15,27,66,56,35/62 (56%),34/56 (61%),5/24 (21%),5/21 (24%),55%,45%,6,6,28/49 (57%),21/49 (43%),10/20 (50%),10/20 (50%),7/10 (70%),3/11 (27%),64%,22%,14,9,7,6,No information,No information,24,22,1.14,1.24,8,7,0,1
https://www.sofascore.com/brazil-croatia/pUbsYUb#id:10230640,Croatia,Brazil,"09/12/2022, 07:00",51%,49%,0,4,9,21,11,0,3,7,22,24,694,684,28,16,22,22,2,3,No information,No information,1,11,0,0,5,3,3,7,5,15,4,6,0,1,0,3,0,1,No information,No information,1,6,3,3,613,609,12,24,73,72,36/55 (65%),19/34 (56%),6/24 (25%),7/24 (29%),55%,45%,13,14,55/99 (56%),44/99 (44%),13/25 (52%),12/25 (48%),5/8 (63%),7/21 (33%),61%,69%,28,16,9,13,No information,No information,32,15,2.20,-0.70,10,7,1,1
https://www.sofascore.com/canada-croatia/pUbscVb#id:10230550,Croatia,Canada,"27/11/2022, 08:00",48%,52%,6,1,13,8,1,6,5,2,13,5,443,473,25,15,5,13,2,2,No information,No information,10,2,0,0,3,3,0,3,9,1,4,7,2,1,4,0,2,0,No information,No information,1,2,1,3,372,399,32,25,45,49,25/45 (56%),28/52 (54%),5/21 (24%),4/16 (25%),44%,56%,7,12,36/77 (47%),41/77 (53%),6/19 (32%),13/19 (68%),6/14 (43%),13/26 (50%),56%,73%,25,15,10,6,No information,No information,19,28,-0.58,0.12,3,3,4,1
