Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223810,Czechia,Belarus,"02/09/2021, 11:45",42%,58%,0,3,6,16,4,0,1,7,12,16,416,576,10,15,16,11,3,2,No information,No information,0,6,0,0,3,5,3,5,1,11,5,5,0,1,0,2,0,3,No information,No information,1,3,1,1,323,482,19,15,58,64,30/71 (42%),33/64 (52%),2/7 (29%),7/25 (28%),49%,51%,8,5,33/69 (48%),36/69 (52%),16/32 (50%),16/32 (50%),7/14 (50%),10/15 (67%),60%,67%,10,15,10,10,No information,No information,26,5,No information,No information,6,3,1,0
https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,Czechia,Belarus,"11/10/2021, 11:45",58%,42%,3,0,16,6,0,4,7,1,16,12,576,416,15,10,11,16,2,3,No information,No information,6,0,0,0,5,3,5,3,11,1,5,5,1,0,2,0,3,0,No information,No information,3,1,1,1,482,323,15,19,64,58,33/64 (52%),30/71 (42%),7/25 (28%),2/7 (29%),51%,49%,5,8,36/69 (52%),33/69 (48%),16/32 (50%),16/32 (50%),10/15 (67%),7/14 (50%),67%,60%,15,10,10,10,No information,No information,5,26,No information,No information,3,6,0,2
https://www.sofascore.com/belgium-czech-republic/oUbsrUb#id:9223742,Czechia,Belgium,"27/03/2021, 12:45",53%,47%,4,2,16,12,4,3,4,3,8,15,560,480,14,7,12,8,3,1,No information,No information,6,4,0,0,7,4,3,4,10,8,6,4,3,0,1,2,1,1,No information,No information,0,2,2,2,479,390,15,19,51,57,32/55 (58%),25/53 (47%),3/12 (25%),4/23 (17%),62%,38%,1,7,35/56 (63%),21/56 (38%),18/30 (60%),12/30 (40%),9/15 (60%),6/13 (46%),71%,43%,14,7,7,15,No information,No information,20,12,No information,No information,6,8,1,1
https://www.sofascore.com/belgium-czech-republic/oUbsrUb#id:9223794,Czechia,Belgium,"05/09/2021, 11:45",47%,53%,2,4,12,16,3,4,3,4,15,8,480,560,7,14,8,12,1,3,No information,No information,4,6,0,0,4,7,4,3,8,10,4,6,0,3,2,1,1,1,No information,No information,2,0,2,2,390,479,19,15,57,51,25/53 (47%),32/55 (58%),4/23 (17%),3/12 (25%),38%,62%,7,1,21/56 (38%),35/56 (63%),12/30 (40%),18/30 (60%),6/13 (46%),9/15 (60%),43%,71%,7,14,15,7,No information,No information,12,20,No information,No information,8,6,0,3
https://www.sofascore.com/croatia-czech-republic/oUbspUb#id:8513117,Czechia,Croatia,"18/06/2021, 09:00",51%,49%,1,1,11,11,1,0,4,4,12,7,446,430,12,7,7,12,3,1,No information,No information,1,2,0,0,7,6,3,3,8,6,3,5,1,0,0,1,0,2,No information,No information,3,3,2,1,351,351,22,20,53,31,24/54 (44%),31/58 (53%),6/20 (30%),3/16 (19%),49%,51%,4,8,26/55 (47%),29/55 (53%),13/24 (54%),11/24 (46%),7/10 (70%),10/14 (71%),58%,43%,12,7,4,11,No information,No information,13,14,-0.53,-0.02,8,10,1,1
https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752464,Czechia,Albania,"07/09/2023, 11:45",57%,43%,3,0,12,1,0,3,4,1,14,9,498,393,16,16,8,14,2,2,No information,No information,4,1,0,0,6,0,2,0,9,0,3,1,1,0,2,0,1,1,No information,No information,2,2,3,3,393,290,22,21,71,58,26/48 (54%),28/77 (36%),10/24 (42%),1/4 (25%),48%,52%,10,10,29/67 (43%),38/67 (57%),21/38 (55%),17/38 (45%),5/11 (45%),8/14 (57%),75%,50%,16,16,2,13,74,63,8,25,No information,No information,6,12,1,1
https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752511,Czechia,Albania,"12/10/2023, 11:45",64%,36%,0,2,13,8,1,7,4,1,10,10,597,349,15,12,9,9,4,1,1,0,7,4,0,0,2,4,4,0,7,4,6,4,0,2,No information,No information,0,1,No information,No information,2,0,2,2,511,265,32,15,70,30,24/46 (52%),23/64 (36%),9/41 (22%),0/3 (0%),51%,49%,3,10,29/60 (48%),31/60 (52%),17/31 (55%),14/31 (45%),5/14 (36%),10/15 (67%),67%,83%,15,12,5,15,61,69,4,38,No information,No information,5,7,0,3
https://www.sofascore.com/czech-republic-denmark/BObsoUb#id:8594151,Czechia,Denmark,"03/07/2021, 09:00",55%,45%,1,2,16,11,4,4,9,7,9,10,452,376,12,13,9,7,2,0,No information,No information,5,7,0,0,6,2,5,2,11,8,5,3,0,1,1,1,1,0,No information,No information,3,0,3,0,362,284,15,17,62,49,24/56 (43%),37/71 (52%),7/28 (25%),4/14 (29%),48%,52%,10,8,30/58 (52%),28/58 (48%),19/44 (43%),25/44 (57%),9/12 (75%),8/12 (67%),67%,62%,12,13,12,18,No information,No information,13,31,0.60,0.37,6,12,2,1
https://www.sofascore.com/czech-republic-england/nUbsoUb#id:8513134,Czechia,England,"22/06/2021, 12:00",44%,56%,0,3,7,5,3,1,4,6,10,11,411,528,15,6,10,10,1,0,No information,No information,1,3,0,1,4,2,2,0,5,4,2,1,0,1,0,2,0,2,No information,No information,1,3,2,5,323,443,19,20,43,43,18/46 (39%),32/59 (54%),1/16 (6%),1/15 (7%),47%,53%,4,9,27/51 (53%),24/51 (47%),10/28 (36%),18/28 (64%),2/4 (50%),9/15 (60%),73%,50%,15,6,9,14,No information,No information,17,12,1.24,0.17,2,8,1,0
https://www.sofascore.com/czech-republic-germany/lUbsoUb#id:8746133,Czechia,Germany,"11/11/2020, 11:45",45%,55%,No information,No information,12,13,6,4,3,3,13,5,No information,No information,No information,No information,8,13,1,0,0,0,5,8,No information,No information,7,5,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,3,No information,No information,17,21,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,8,11,0,1
