Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/australia-denmark/BObsQUb#id:10230560,Denmark,Australia,"30/11/2022, 07:00",69%,31%,No information,No information,13,8,3,3,6,2,10,11,664,304,11,15,10,9,1,2,No information,No information,3,4,0,0,5,2,5,2,11,4,2,4,No information,No information,No information,No information,No information,No information,No information,No information,3,0,3,1,548,195,27,32,85,48,49/87 (56%),28/67 (42%),4/26 (15%),2/11 (18%),44%,56%,3,4,25/53 (47%),28/53 (53%),17/43 (40%),26/43 (60%),4/16 (25%),4/11 (36%),82%,47%,11,15,7,12,No information,No information,20,32,0.28,0.43,4,10,0,1
https://www.sofascore.com/austria-denmark/BObstUb#id:10023443,Denmark,Austria,"13/06/2022, 11:45",53%,47%,2,0,15,9,2,4,5,4,9,13,588,508,8,19,12,9,1,2,No information,No information,6,2,1,0,7,4,2,3,9,3,6,6,2,0,No information,No information,1,0,No information,No information,3,0,0,2,504,422,15,14,72,60,33/63 (52%),31/56 (55%),5/12 (42%),1/17 (6%),55%,45%,10,5,35/67 (52%),32/67 (48%),19/32 (59%),13/32 (41%),15/24 (63%),4/7 (57%),63%,58%,8,19,8,11,No information,No information,18,18,No information,No information,7,10,2,0
https://www.sofascore.com/austria-denmark/BObstUb#id:10023453,Denmark,Austria,"06/06/2022, 11:45",47%,53%,0,2,9,15,4,2,4,5,13,9,508,588,19,8,9,12,2,1,No information,No information,2,6,0,1,4,7,3,2,3,9,6,6,0,2,No information,No information,0,1,No information,No information,0,3,2,0,422,504,14,15,60,72,31/56 (55%),33/63 (52%),1/17 (6%),5/12 (42%),45%,55%,5,10,32/67 (48%),35/67 (52%),13/32 (41%),19/32 (59%),4/7 (57%),15/24 (63%),58%,63%,19,8,11,8,No information,No information,18,18,No information,No information,10,7,1,2
https://www.sofascore.com/austria-denmark/BObstUb#id:9223711,Denmark,Austria,"31/03/2021, 11:45",47%,53%,0,2,9,15,4,2,4,5,13,9,508,588,19,8,9,12,2,1,No information,No information,2,6,0,1,4,7,3,2,3,9,6,6,0,2,No information,No information,0,1,No information,No information,0,3,2,0,422,504,14,15,60,72,31/56 (55%),33/63 (52%),1/17 (6%),5/12 (42%),45%,55%,5,10,32/67 (48%),35/67 (52%),13/32 (41%),19/32 (59%),4/7 (57%),15/24 (63%),58%,63%,19,8,11,8,No information,No information,18,18,No information,No information,10,7,0,4
https://www.sofascore.com/austria-denmark/BObstUb#id:9223923,Denmark,Austria,"12/10/2021, 11:45",53%,47%,2,0,15,9,2,4,5,4,9,13,588,508,8,19,12,9,1,2,No information,No information,6,2,1,0,7,4,2,3,9,3,6,6,2,0,No information,No information,1,0,No information,No information,3,0,0,2,504,422,15,14,72,60,33/63 (52%),31/56 (55%),5/12 (42%),1/17 (6%),55%,45%,10,5,35/67 (52%),32/67 (48%),19/32 (59%),13/32 (41%),15/24 (63%),4/7 (57%),63%,58%,8,19,8,11,No information,No information,18,18,No information,No information,7,10,1,0
https://www.sofascore.com/belgium-denmark/BObsrUb#id:8513118,Denmark,Belgium,"17/06/2021, 09:00",47%,53%,1,2,21,6,2,4,2,4,8,14,489,566,13,12,14,6,3,1,No information,No information,5,5,1,0,8,1,8,0,15,3,6,3,0,1,1,1,1,1,No information,No information,5,1,2,2,415,479,14,20,68,40,17/43 (40%),32/53 (60%),8/19 (42%),1/5 (20%),56%,44%,6,9,42/72 (58%),30/72 (42%),15/29 (52%),14/29 (48%),15/21 (71%),12/16 (75%),46%,42%,13,12,12,7,No information,No information,8,16,-1.08,0.79,2,16,2,1
https://www.sofascore.com/belgium-denmark/BObsrUb#id:8600792,Denmark,Belgium,"18/11/2020, 11:45",53%,47%,2,1,6,21,4,2,4,2,14,8,566,489,12,13,6,14,1,3,No information,No information,5,5,0,1,1,8,0,8,3,15,3,6,1,0,1,1,1,1,No information,No information,1,5,2,2,479,415,20,14,40,68,32/53 (60%),17/43 (40%),1/5 (20%),8/19 (42%),44%,56%,9,6,30/72 (42%),42/72 (58%),14/29 (48%),15/29 (52%),12/16 (75%),15/21 (71%),42%,46%,12,13,7,12,No information,No information,16,8,0.79,-1.08,16,2,2,4
https://www.sofascore.com/croatia-denmark/BObspUb#id:10023425,Denmark,Croatia,"10/06/2022, 11:45",49%,51%,0,1,12,7,3,2,4,2,11,7,570,602,8,11,7,10,1,1,No information,No information,4,4,0,0,8,1,0,2,5,4,7,3,No information,No information,0,1,1,0,No information,No information,1,2,1,1,504,517,20,16,56,49,22/35 (63%),31/47 (66%),2/19 (11%),3/13 (23%),48%,52%,6,5,24/51 (47%),27/51 (53%),8/15 (53%),7/15 (47%),9/14 (64%),6/9 (67%),75%,55%,8,11,14,10,No information,No information,17,16,No information,No information,3,9,1,0
https://www.sofascore.com/croatia-denmark/BObspUb#id:10023439,Denmark,Croatia,"22/09/2022, 11:45",51%,49%,1,0,7,12,2,3,2,4,7,11,602,570,11,8,10,7,1,1,No information,No information,4,4,0,0,1,8,2,0,4,5,3,7,No information,No information,1,0,0,1,No information,No information,2,1,1,1,517,504,16,20,49,56,31/47 (66%),22/35 (63%),3/13 (23%),2/19 (11%),52%,48%,5,6,27/51 (53%),24/51 (47%),7/15 (47%),8/15 (53%),6/9 (67%),9/14 (64%),55%,75%,11,8,10,14,No information,No information,16,17,No information,No information,9,3,1,2
https://www.sofascore.com/czech-republic-denmark/BObsoUb#id:8594151,Denmark,Czechia,"03/07/2021, 09:00",45%,55%,2,1,11,16,4,4,7,9,10,9,376,452,13,12,7,9,0,2,No information,No information,7,5,0,0,2,6,2,5,8,11,3,5,1,0,1,1,0,1,No information,No information,0,3,0,3,284,362,17,15,49,62,37/71 (52%),24/56 (43%),4/14 (29%),7/28 (25%),52%,48%,8,10,28/58 (48%),30/58 (52%),25/44 (57%),19/44 (43%),8/12 (67%),9/12 (75%),62%,67%,13,12,18,12,No information,No information,31,13,0.37,0.60,12,6,1,2
