Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-england/nUbstWb#id:9223788,England,Andorra,"05/09/2021, 09:00",14%,86%,0,8,1,17,3,0,2,7,20,9,113,703,15,6,8,18,2,3,No information,No information,0,8,0,0,1,4,0,5,1,15,0,2,0,4,0,4,0,3,No information,No information,3,3,3,7,46,638,8,22,30,89,12/54 (22%),37/50 (74%),1/7 (14%),5/16 (31%),37%,63%,3,7,23/63 (37%),40/63 (63%),6/16 (38%),10/16 (63%),0/3 (0%),16/24 (67%),53%,67%,15,6,8,2,No information,No information,28,7,No information,No information,7,2,4,0
https://www.sofascore.com/andorra-england/nUbstWb#id:9223901,England,Andorra,"09/10/2021, 11:45",86%,14%,8,0,17,1,0,3,7,2,9,20,703,113,6,15,18,8,3,2,No information,No information,8,0,0,0,4,1,5,0,15,1,2,0,4,0,4,0,3,0,No information,No information,3,3,7,3,638,46,22,8,89,30,37/50 (74%),12/54 (22%),5/16 (31%),1/7 (14%),63%,37%,7,3,40/63 (63%),23/63 (37%),10/16 (63%),6/16 (38%),16/24 (67%),0/3 (0%),67%,53%,6,15,2,8,No information,No information,7,28,No information,No information,2,7,0,5
https://www.sofascore.com/australia-england/nUbsQUb#id:11400486,England,Australia,"13/10/2023, 11:45",67%,33%,2,1,9,14,4,1,7,8,8,13,649,303,6,19,12,8,2,3,No information,No information,3,4,1,1,2,7,4,3,8,12,1,2,1,0,1,1,1,0,No information,No information,2,0,2,0,570,228,17,17,53,28,36/68 (53%),16/36 (44%),2/11 (18%),7/26 (27%),43%,57%,6,2,30/62 (48%),32/62 (52%),8/26 (31%),18/26 (69%),12/25 (48%),5/9 (56%),33%,53%,6,19,6,11,52,58,20,17,No information,No information,10,2,1,0
https://www.sofascore.com/austria-england/nUbstUb#id:9529065,England,Austria,"02/06/2021, 12:00",45%,55%,No information,No information,7,6,2,3,4,4,11,19,No information,No information,No information,No information,19,11,2,3,0,0,4,2,No information,No information,3,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,0,No information,No information,20,28,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,6,1,0
https://www.sofascore.com/belgium-england/nUbsrUb#id:11900204,England,Belgium,"26/03/2024, 12:45",63%,37%,6,2,19,7,1,5,6,1,13,12,657,387,13,14,12,12,2,1,No information,No information,7,3,0,0,5,2,7,2,14,4,5,3,2,1,4,1,1,0,No information,No information,2,1,2,1,603,325,15,14,56,27,12/22 (55%),20/38 (53%),6/19 (32%),1/6 (17%),48%,52%,6,8,31/66 (47%),35/66 (53%),7/13 (54%),6/13 (46%),6/14 (43%),10/15 (67%),77%,36%,13,14,4,6,47,45,6,23,No information,No information,4,11,2,2
https://www.sofascore.com/brazil-england/nUbsYUb#id:11900203,England,Brazil,"23/03/2024, 12:00",53%,47%,1,7,14,14,3,3,7,2,11,19,497,458,14,22,19,10,1,1,No information,No information,3,5,0,1,7,6,4,3,7,12,7,2,0,1,1,6,0,2,No information,No information,11,0,2,0,441,397,19,20,59,37,20/26 (77%),23/40 (58%),8/23 (35%),1/5 (20%),51%,49%,9,8,44/85 (52%),41/85 (48%),7/15 (47%),8/15 (53%),11/24 (46%),9/15 (60%),71%,59%,14,22,7,10,45,45,7,26,No information,No information,5,9,1,0
https://www.sofascore.com/cote-divoire-england/nUbstVb#id:10152223,England,Côte d'ivoire,"29/03/2022, 11:45",60%,40%,No information,No information,13,2,0,3,7,2,14,9,No information,No information,No information,No information,10,17,0,3,0,1,6,0,No information,No information,4,2,3,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,1,No information,No information,15,11,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,5,5,3,0
https://www.sofascore.com/croatia-england/nUbspUb#id:8513120,England,Croatia,"13/06/2021, 06:00",50%,50%,2,0,8,8,2,1,1,1,9,10,453,457,11,18,9,8,1,3,No information,No information,2,2,1,0,4,5,2,1,4,4,4,4,1,0,1,0,2,0,No information,No information,3,0,2,2,381,384,14,21,54,44,17/52 (33%),24/47 (51%),1/5 (20%),2/12 (17%),46%,54%,9,8,25/57 (44%),32/57 (56%),11/21 (52%),10/21 (48%),6/15 (40%),6/9 (67%),27%,39%,11,18,11,3,No information,No information,7,10,0.33,-0.49,8,10,1,0
https://www.sofascore.com/czech-republic-england/nUbsoUb#id:8513134,England,Czechia,"22/06/2021, 12:00",56%,44%,3,0,5,7,1,3,6,4,11,10,528,411,6,15,10,10,0,1,No information,No information,3,1,1,0,2,4,0,2,4,5,1,2,1,0,2,0,2,0,No information,No information,3,1,5,2,443,323,20,19,43,43,32/59 (54%),18/46 (39%),1/15 (7%),1/16 (6%),53%,47%,9,4,24/51 (47%),27/51 (53%),18/28 (64%),10/28 (36%),9/15 (60%),2/4 (50%),50%,73%,6,15,14,9,No information,No information,12,17,0.17,1.24,8,2,0,1
https://www.sofascore.com/england-albania/PTbsnUb#id:9223730,England,Albania,"28/03/2021, 09:00",36%,64%,1,4,5,15,1,4,0,4,14,3,389,667,20,14,3,11,4,0,No information,No information,4,6,0,0,0,6,1,3,2,12,3,3,0,4,1,0,0,1,No information,No information,0,2,3,1,316,580,10,17,18,55,20/54 (37%),31/52 (60%),0/1 (0%),5/13 (38%),37%,63%,9,10,28/71 (39%),43/71 (61%),6/20 (30%),14/20 (70%),5/10 (50%),18/28 (64%),55%,57%,20,14,16,5,No information,No information,16,4,No information,No information,12,0,0,2
