Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/albania-france/GObsPTb#id:8079073,France,Albania,"17/11/2019, 11:45",58%,42%,4,1,9,9,0,3,5,2,18,12,535,397,17,11,11,18,1,1,No information,No information,5,0,1,0,4,5,0,4,7,6,2,3,1,0,3,1,1,0,No information,No information,2,6,2,2,460,326,9,21,50,38,29/50 (58%),18/38 (47%),6/18 (33%),5/17 (29%),60%,40%,7,7,32/64 (50%),32/64 (50%),23/27 (85%),4/27 (15%),4/8 (50%),3/13 (23%),47%,45%,17,11,5,8,No information,No information,14,10,No information,No information,8,8,0,2
https://www.sofascore.com/argentina-france/GObsuWb#id:10230635,France,Argentina,"18/12/2022, 07:00",46%,54%,3,5,10,20,7,2,5,6,19,26,532,635,26,23,23,18,3,5,No information,No information,5,10,0,0,2,7,3,3,7,12,3,8,2,3,1,2,1,1,No information,No information,6,1,4,4,409,525,21,26,78,58,38/75 (51%),28/64 (44%),3/24 (13%),1/17 (6%),60%,40%,10,16,66/114 (58%),48/114 (42%),22/32 (69%),10/32 (31%),17/30 (57%),8/18 (44%),58%,78%,26,23,9,10,No information,No information,18,21,0.87,-0.17,13,6,3,3
https://www.sofascore.com/australia-france/GObsQUb#id:10230563,France,Australia,"22/11/2022, 11:00",62%,38%,8,1,23,4,0,2,8,1,5,11,723,440,20,13,11,5,0,3,No information,No information,7,1,0,1,10,3,6,0,19,2,4,2,4,1,4,0,2,0,No information,No information,1,1,No information,No information,646,368,17,21,87,39,30/46 (65%),20/50 (40%),14/27 (52%),1/6 (17%),65%,35%,5,14,39/60 (65%),21/60 (35%),16/24 (67%),8/24 (33%),8/16 (50%),3/9 (33%),70%,54%,20,13,12,9,No information,No information,6,22,-0.16,-0.96,8,10,4,1
https://www.sofascore.com/austria-france/GObstUb#id:10023387,France,Austria,"22/09/2022, 11:45",52%,48%,2,2,6,14,3,3,6,2,18,11,476,453,27,15,10,18,5,2,No information,No information,3,3,0,0,2,6,1,5,4,12,2,2,No information,No information,2,2,No information,No information,19,35,3,6,0,1,401,390,18,23,68,33,14/34 (41%),24/45 (53%),4/27 (15%),2/12 (17%),43%,57%,8,15,40/85 (47%),45/85 (53%),8/27 (30%),19/27 (70%),4/11 (36%),12/24 (50%),48%,47%,27,15,3,6,51,50,19,31,-0.61,1.50,6,7,2,0
https://www.sofascore.com/austria-france/GObstUb#id:10023445,France,Austria,"10/06/2022, 11:45",48%,52%,2,2,14,6,3,3,2,6,11,18,453,476,15,27,18,10,2,5,No information,No information,3,3,0,0,6,2,5,1,12,4,2,2,No information,No information,2,2,No information,No information,35,19,6,3,1,0,390,401,23,18,33,68,24/45 (53%),14/34 (41%),2/12 (17%),4/27 (15%),57%,43%,15,8,45/85 (53%),40/85 (47%),19/27 (70%),8/27 (30%),12/24 (50%),4/11 (36%),47%,48%,15,27,6,3,50,51,31,19,1.50,-0.61,7,6,1,1
https://www.sofascore.com/austria-france/GObstUb#id:11873975,France,Austria,"17/06/2024, 12:00",48%,52%,2,2,14,6,3,3,2,6,11,18,453,476,15,27,18,10,2,5,No information,No information,3,3,0,0,6,2,5,1,12,4,2,2,No information,No information,2,2,No information,No information,35,19,6,3,1,0,390,401,23,18,33,68,24/45 (53%),14/34 (41%),2/12 (17%),4/27 (15%),57%,43%,15,8,45/85 (53%),40/85 (47%),19/27 (70%),8/27 (30%),12/24 (50%),4/11 (36%),47%,48%,15,27,6,3,50,51,31,19,1.50,-0.61,7,6,0,1
https://www.sofascore.com/belgium-france/GObsrUb#id:9212604,France,Belgium,"07/10/2021, 11:45",49%,51%,2,0,16,11,4,3,2,4,6,8,621,651,20,13,8,6,0,1,No information,No information,6,6,1,0,7,3,3,2,11,6,5,5,1,0,1,0,1,0,No information,No information,3,1,4,2,562,596,14,4,43,41,28/41 (68%),19/33 (58%),1/12 (8%),2/9 (22%),61%,39%,10,17,42/65 (65%),23/65 (35%),4/10 (40%),6/10 (60%),14/17 (82%),4/7 (57%),50%,54%,20,13,6,16,No information,No information,10,13,No information,No information,6,12,2,3
https://www.sofascore.com/bulgaria-france/GObsqUb#id:9529465,France,Bulgaria,"08/06/2021, 12:10",62%,38%,No information,No information,20,1,0,8,11,2,11,8,No information,No information,No information,No information,9,11,0,1,0,0,11,0,No information,No information,9,1,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,1,No information,No information,20,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,14,3,0
https://www.sofascore.com/canada-france/GObscVb#id:12325287,France,Canada,"09/06/2024, 12:15",51%,49%,3,0,13,7,0,4,7,1,18,7,521,513,25,28,5,18,1,1,No information,No information,4,0,0,1,6,3,3,4,10,2,3,5,No information,No information,3,0,2,0,32,16,2,3,4,2,468,457,21,16,40,51,31/43 (72%),11/34 (32%),10/19 (53%),1/14 (7%),53%,47%,11,15,45/94 (48%),49/94 (52%),15/19 (79%),4/19 (21%),15/32 (47%),4/14 (29%),56%,75%,25,28,5,6,42,42,13,15,No information,No information,8,5,0,0
https://www.sofascore.com/chile-france/GObseVb#id:12018149,France,Chile,"26/03/2024, 13:00",59%,41%,4,1,14,9,2,1,3,4,10,14,657,450,18,18,14,10,No information,No information,No information,No information,4,4,0,1,7,3,3,2,11,6,3,3,2,0,2,1,No information,No information,No information,No information,4,0,1,1,606,403,11,18,56,37,26/36 (72%),29/47 (62%),5/10 (50%),2/12 (17%),59%,41%,4,13,38/70 (54%),32/70 (46%),8/8 (100%),0/8 (0%),6/20 (30%),4/9 (44%),78%,72%,18,18,9,11,49,36,8,6,No information,No information,4,8,3,2
