Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/georgia-albania/PTbsnVb#id:10102063,Georgia,Albania,"29/03/2022, 09:00",46%,54%,No information,No information,5,15,4,1,1,7,8,13,No information,No information,No information,No information,21,10,3,2,0,0,1,4,No information,No information,2,6,2,5,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,8,No information,No information,18,22,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,4,0,0
https://www.sofascore.com/georgia-armenia/PUbsnVb#id:8600854,Georgia,Armenia,"11/10/2020, 09:00",29%,71%,3,1,10,10,3,1,4,8,12,14,263,638,19,17,12,11,1,1,No information,No information,3,4,1,0,3,1,4,5,7,6,3,4,1,1,2,0,0,1,No information,No information,1,1,1,2,175,554,26,24,48,58,14/45 (31%),37/57 (65%),3/13 (23%),8/35 (23%),46%,54%,10,12,37/72 (51%),35/72 (49%),8/26 (31%),18/26 (69%),6/13 (46%),8/15 (53%),79%,71%,19,17,12,15,No information,No information,26,8,No information,No information,5,8,2,2
https://www.sofascore.com/georgia-armenia/PUbsnVb#id:8600889,Georgia,Armenia,"15/11/2020, 09:00",71%,29%,1,3,10,10,1,3,8,4,14,12,638,263,17,19,11,12,1,1,No information,No information,4,3,0,1,1,3,5,4,6,7,4,3,1,1,0,2,1,0,No information,No information,1,1,2,1,554,175,24,26,58,48,37/57 (65%),14/45 (31%),8/35 (23%),3/13 (23%),54%,46%,12,10,35/72 (49%),37/72 (51%),18/26 (69%),8/26 (31%),8/15 (53%),6/13 (46%),71%,79%,17,19,15,12,No information,No information,8,26,No information,No information,8,5,2,1
https://www.sofascore.com/georgia-belarus/TUbsnVb#id:9040642,Georgia,Belarus,"08/10/2020, 09:00",49%,51%,1,1,7,5,1,5,5,2,17,17,390,400,23,27,17,16,4,1,No information,No information,6,1,0,0,1,4,0,0,5,4,2,1,1,0,0,1,No information,No information,No information,No information,3,3,3,0,282,296,27,28,46,70,32/65 (49%),32/70 (46%),0/12 (0%),3/16 (19%),53%,47%,16,18,58/107 (54%),49/107 (46%),19/37 (51%),18/37 (49%),18/29 (62%),7/12 (58%),74%,52%,23,27,11,22,No information,No information,19,22,No information,No information,11,3,1,0
https://www.sofascore.com/georgia-bosnia-and-herzegovina/EObsnVb#id:10151747,Georgia,Bosnia & herzegovina,"25/03/2022, 12:45",45%,55%,No information,No information,3,13,4,0,4,5,6,14,No information,No information,No information,No information,17,9,3,0,0,0,1,4,No information,No information,2,6,0,3,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,3,No information,No information,18,30,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,8,3,0,1
https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,Georgia,Bulgaria,"12/06/2022, 09:00",62%,38%,2,0,16,3,1,1,10,0,8,11,519,335,17,18,11,8,1,2,No information,No information,2,1,0,0,7,2,7,0,9,2,7,1,No information,No information,2,0,No information,No information,No information,No information,4,0,2,3,435,253,37,18,83,40,28/51 (55%),23/61 (38%),7/27 (26%),2/5 (40%),58%,42%,14,6,49/79 (62%),30/79 (38%),14/30 (47%),16/30 (53%),21/25 (84%),4/15 (27%),47%,61%,17,18,6,7,No information,No information,3,32,No information,No information,6,19,0,0
https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023401,Georgia,Bulgaria,"05/06/2022, 11:45",38%,62%,0,2,3,16,1,1,0,10,11,8,335,519,18,17,8,11,2,1,No information,No information,1,2,0,0,2,7,0,7,2,9,1,7,No information,No information,0,2,No information,No information,No information,No information,0,4,3,2,253,435,18,37,40,83,23/61 (38%),28/51 (55%),2/5 (40%),7/27 (26%),42%,58%,6,14,30/79 (38%),49/79 (62%),16/30 (53%),14/30 (47%),4/15 (27%),21/25 (84%),61%,47%,18,17,7,6,No information,No information,32,3,No information,No information,19,6,2,5
https://www.sofascore.com/georgia-croatia/pUbsnVb#id:8487767,Georgia,Croatia,"11/19/2019, 17:00",46%,54%,No information,No information,7,12,5,2,5,9,10,12,No information,No information,No information,No information,13,13,No information,No information,No information,No information,3,6,No information,No information,4,6,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,1,No information,No information,12,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,7,1,2
https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752431,Georgia,Cyprus,"17/06/2023, 11:45",40%,60%,0,2,10,12,2,5,4,2,12,16,404,622,16,12,16,10,2,1,No information,No information,5,6,0,0,5,3,0,3,5,8,5,4,0,2,No information,No information,1,2,No information,No information,6,2,1,0,335,557,17,15,43,58,26/45 (58%),32/57 (56%),4/15 (27%),2/15 (13%),62%,38%,7,6,38/66 (58%),28/66 (42%),17/23 (74%),6/23 (26%),6/11 (55%),6/16 (38%),56%,67%,16,12,12,11,53,60,9,9,No information,No information,8,9,1,2
https://www.sofascore.com/georgia-cyprus/HObsnVb#id:10752530,Georgia,Cyprus,"15/10/2023, 06:00",60%,40%,2,0,12,10,5,2,2,4,16,12,622,404,12,16,10,16,1,2,No information,No information,6,5,0,0,3,5,3,0,8,5,4,5,2,0,No information,No information,2,1,No information,No information,2,6,0,1,557,335,15,17,58,43,32/57 (56%),26/45 (58%),2/15 (13%),4/15 (27%),38%,62%,6,7,28/66 (42%),38/66 (58%),6/23 (26%),17/23 (74%),6/16 (38%),6/11 (55%),67%,56%,12,16,11,12,60,53,9,9,No information,No information,9,8,4,0
