Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/armenia-germany/lUbsPUb#id:9223804,Germany,Armenia,"05/09/2021, 11:45",26%,74%,1,5,4,20,5,0,1,8,9,7,285,828,14,12,7,9,1,2,No information,No information,1,9,0,1,2,7,1,4,3,14,1,6,1,3,0,2,0,3,No information,No information,1,3,0,1,193,739,19,20,33,99,17/57 (30%),20/32 (63%),0/6 (0%),6/21 (29%),40%,60%,6,8,27/60 (45%),33/60 (55%),4/18 (22%),14/18 (78%),6/12 (50%),12/18 (67%),50%,67%,14,12,10,8,No information,No information,19,7,No information,No information,15,3,6,0
https://www.sofascore.com/armenia-germany/lUbsPUb#id:9223963,Germany,Armenia,"14/11/2021, 09:00",74%,26%,5,1,20,4,0,5,8,1,7,9,828,285,12,14,9,7,2,1,No information,No information,9,1,1,0,7,2,4,1,14,3,6,1,3,1,2,0,3,0,No information,No information,3,1,1,0,739,193,20,19,99,33,20/32 (63%),17/57 (30%),6/21 (29%),0/6 (0%),60%,40%,8,6,33/60 (55%),27/60 (45%),14/18 (78%),4/18 (22%),12/18 (67%),6/12 (50%),67%,50%,12,14,8,10,No information,No information,7,19,No information,No information,3,15,1,4
https://www.sofascore.com/austria-germany/lUbstUb#id:11635628,Germany,Austria,"21/11/2023, 11:45",56%,44%,0,3,8,16,5,3,2,2,17,12,551,421,21,18,12,16,1,1,1,0,3,7,0,0,4,8,1,1,2,10,6,6,0,1,0,2,1,2,No information,No information,2,2,2,2,446,333,13,16,70,41,45/72 (63%),27/52 (52%),1/6 (17%),0/9 (0%),53%,47%,8,14,42/83 (51%),41/83 (49%),15/24 (63%),9/24 (38%),9/19 (47%),7/14 (50%),33%,39%,21,18,6,14,63,67,20,16,No information,No information,12,9,0,2
https://www.sofascore.com/belarus-germany/lUbsTUb#id:8079040,Germany,Belarus,"16/11/2019, 11:45",71%,29%,3,3,31,13,5,6,11,2,12,7,806,331,13,18,7,11,1,0,No information,No information,10,5,0,0,13,5,8,3,21,8,10,5,1,0,2,3,0,2,No information,No information,1,2,2,1,713,233,21,14,92,40,24/36 (67%),24/59 (41%),9/26 (35%),3/8 (38%),53%,47%,11,12,33/70 (47%),37/70 (53%),22/34 (65%),12/34 (35%),13/20 (65%),8/9 (89%),54%,61%,13,18,7,12,No information,No information,4,38,No information,No information,5,18,4,0
https://www.sofascore.com/belgium-germany/lUbsrUb#id:11090718,Germany,Belgium,"28/03/2023, 11:45",54%,46%,3,4,16,7,1,2,8,3,13,9,516,455,13,12,8,13,1,2,No information,No information,4,4,1,1,7,3,5,0,9,6,7,1,2,3,1,1,0,1,No information,No information,4,0,3,3,444,392,13,6,59,35,27/41 (66%),33/51 (65%),4/26 (15%),1/9 (11%),46%,54%,6,6,33/73 (45%),40/73 (55%),10/20 (50%),10/20 (50%),12/18 (67%),16/23 (70%),69%,58%,13,12,12,14,No information,No information,5,30,No information,No information,1,14,3,2
https://www.sofascore.com/colombia-germany/lUbsvWb#id:11239338,Germany,Colombia,"20/06/2023, 11:45",62%,38%,0,3,4,10,2,1,4,2,15,17,555,342,12,19,14,12,3,1,No information,No information,1,4,0,0,1,5,2,1,3,7,1,3,0,2,0,1,No information,No information,No information,No information,2,1,2,3,492,276,20,11,45,38,24/40 (60%),21/46 (46%),4/17 (24%),4/8 (50%),49%,51%,14,7,36/77 (47%),41/77 (53%),10/16 (63%),6/16 (38%),10/15 (67%),10/15 (67%),50%,74%,12,19,9,6,44,53,3,16,No information,No information,9,6,2,0
https://www.sofascore.com/costa-rica-germany/lUbsgVb#id:10230573,Germany,Costa rica,"01/12/2022, 11:00",68%,32%,10,3,32,8,4,7,14,1,9,3,713,337,10,21,3,9,0,1,No information,No information,11,6,3,0,15,1,6,1,24,6,8,2,4,1,6,2,No information,No information,No information,No information,0,1,3,4,638,252,18,15,85,39,30/38 (79%),28/63 (44%),9/32 (28%),3/11 (27%),44%,56%,11,5,30/68 (44%),38/68 (56%),9/21 (43%),12/21 (57%),17/27 (63%),8/13 (62%),30%,48%,10,21,5,8,No information,No information,9,42,0.61,1.04,2,14,2,4
https://www.sofascore.com/czech-republic-germany/lUbsoUb#id:8746133,Germany,Czechia,"11/11/2020, 11:45",55%,45%,No information,No information,13,12,4,6,3,3,5,13,No information,No information,No information,No information,13,8,0,1,0,0,8,5,No information,No information,5,7,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,0,No information,No information,21,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,11,8,1,0
https://www.sofascore.com/england-germany/lUbsnUb#id:10023351,Germany,England,"07/06/2022, 11:45",41%,59%,3,2,13,10,1,5,6,2,12,8,386,581,17,24,7,11,0,2,No information,No information,8,4,0,0,5,4,0,2,11,4,2,6,2,2,1,0,1,0,No information,No information,2,2,2,1,305,505,17,22,49,45,27/59 (46%),31/45 (69%),6/19 (32%),2/11 (18%),49%,51%,12,12,32/71 (45%),39/71 (55%),13/21 (62%),8/21 (38%),8/20 (40%),4/9 (44%),47%,50%,17,24,11,7,No information,No information,16,15,No information,No information,6,8,1,1
https://www.sofascore.com/england-germany/lUbsnUb#id:10023377,Germany,England,"26/09/2022, 11:45",59%,41%,2,3,10,13,5,1,2,6,8,12,581,386,24,17,11,7,2,0,No information,No information,4,8,0,0,4,5,2,0,4,11,6,2,2,2,0,1,0,1,No information,No information,2,2,1,2,505,305,22,17,45,49,31/45 (69%),27/59 (46%),2/11 (18%),6/19 (32%),51%,49%,12,12,39/71 (55%),32/71 (45%),8/21 (38%),13/21 (62%),4/9 (44%),8/20 (40%),50%,47%,24,17,7,11,No information,No information,15,16,No information,No information,8,6,3,3
