Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-hungary/jUbstWb#id:9223793,Hungary,Andorra,"31/03/2021, 11:45",17%,83%,1,2,6,14,3,1,0,8,20,8,143,725,12,14,7,19,4,3,No information,No information,2,5,0,0,3,8,1,1,4,11,2,3,1,1,0,1,No information,No information,No information,No information,2,6,1,3,68,640,15,22,35,54,12/44 (27%),35/58 (60%),3/6 (50%),8/20 (40%),34%,66%,9,4,19/61 (31%),42/61 (69%),13/33 (39%),20/33 (61%),1/6 (17%),9/17 (53%),42%,64%,12,14,9,3,No information,No information,16,11,No information,No information,10,5,1,4
https://www.sofascore.com/andorra-hungary/jUbstWb#id:9223850,Hungary,Andorra,"08/09/2021, 11:45",83%,17%,2,1,14,6,1,3,8,0,8,20,725,143,14,12,19,7,3,4,No information,No information,5,2,0,0,8,3,1,1,11,4,3,2,1,1,1,0,No information,No information,No information,No information,6,2,3,1,640,68,22,15,54,35,35/58 (60%),12/44 (27%),8/20 (40%),3/6 (50%),66%,34%,4,9,42/61 (69%),19/61 (31%),20/33 (61%),13/33 (39%),9/17 (53%),1/6 (17%),64%,42%,14,12,3,9,No information,No information,11,16,No information,No information,5,10,2,1
https://www.sofascore.com/azerbaijan-hungary/jUbsRUb#id:8079167,Hungary,Azerbaijan,"08/06/2019, 09:00",48%,52%,1,2,4,23,5,2,2,6,13,12,470,504,12,12,12,12,5,2,No information,No information,2,6,0,0,0,9,2,8,3,7,1,16,No information,No information,1,2,No information,No information,No information,No information,1,6,0,2,385,425,21,24,34,61,21/56 (38%),25/45 (56%),2/12 (17%),3/19 (16%),49%,51%,6,5,33/71 (46%),38/71 (54%),10/16 (63%),6/16 (38%),9/15 (60%),14/21 (67%),67%,50%,12,12,8,14,No information,No information,22,7,No information,No information,13,5,1,3
https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752404,Hungary,Bulgaria,"27/03/2023, 11:45",41%,59%,1,5,3,20,4,0,0,6,14,14,389,544,13,4,12,13,4,3,1,1,2,5,0,0,1,10,0,5,3,12,0,8,1,1,0,4,No information,No information,No information,No information,1,6,2,2,286,455,20,27,35,70,29/69 (42%),34/70 (49%),1/5 (20%),8/25 (32%),53%,47%,1,5,29/56 (52%),27/56 (48%),16/29 (55%),13/29 (45%),4/7 (57%),10/18 (56%),54%,75%,13,4,8,5,51,56,20,5,No information,No information,11,1,3,0
https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:10752559,Hungary,Bulgaria,"16/11/2023, 09:00",59%,41%,5,1,20,3,0,4,6,0,14,14,544,389,4,13,13,12,3,4,1,1,5,2,0,0,10,1,5,0,12,3,8,0,1,1,4,0,No information,No information,No information,No information,6,1,2,2,455,286,27,20,70,35,34/70 (49%),29/69 (42%),8/25 (32%),1/5 (20%),47%,53%,5,1,27/56 (48%),29/56 (52%),13/29 (45%),16/29 (55%),10/18 (56%),4/7 (57%),75%,54%,4,13,5,8,56,51,5,20,No information,No information,1,11,2,2
https://www.sofascore.com/bulgaria-hungary/jUbsqUb#id:9040646,Hungary,Bulgaria,"08/10/2020, 11:45",59%,41%,5,1,20,3,0,4,6,0,14,14,544,389,4,13,13,12,3,4,1,1,5,2,0,0,10,1,5,0,12,3,8,0,1,1,4,0,No information,No information,No information,No information,6,1,2,2,455,286,27,20,70,35,34/70 (49%),29/69 (42%),8/25 (32%),1/5 (20%),47%,53%,5,1,27/56 (48%),29/56 (52%),13/29 (45%),16/29 (55%),10/18 (56%),4/7 (57%),75%,54%,4,13,5,8,56,51,5,20,No information,No information,1,11,1,3
https://www.sofascore.com/croatia-hungary/jUbspUb#id:8078414,Hungary,Croatia,"24/03/2019, 10:00",68%,32%,4,0,17,5,1,5,6,5,15,13,612,281,14,10,13,14,2,3,0,1,8,1,0,0,5,2,4,2,13,3,4,2,2,0,2,0,No information,No information,No information,No information,2,5,2,2,521,186,18,21,48,42,25/54 (46%),23/63 (37%),4/13 (31%),3/8 (38%),61%,39%,4,11,40/68 (59%),28/68 (41%),22/34 (65%),12/34 (35%),13/19 (68%),4/7 (57%),79%,50%,14,10,6,3,No information,No information,10,20,No information,No information,3,13,2,1
https://www.sofascore.com/czech-republic-hungary/jUbsoUb#id:11072072,Hungary,Czechia,"10/09/2023, 09:00",50%,50%,3,1,12,9,2,2,1,4,16,17,400,399,16,22,17,15,4,4,No information,No information,3,3,0,0,6,5,3,1,5,6,7,3,1,1,2,0,0,1,No information,No information,4,3,2,1,319,325,23,16,37,54,38/70 (54%),29/59 (49%),4/10 (40%),5/21 (24%),48%,52%,7,6,38/82 (46%),44/82 (54%),14/26 (54%),12/26 (46%),5/20 (25%),8/18 (44%),50%,64%,16,22,4,9,53,58,15,11,No information,No information,12,10,1,1
https://www.sofascore.com/england-hungary/jUbsnUb#id:10023296,Hungary,England,"14/06/2022, 11:45",31%,69%,2,2,6,10,3,1,0,6,11,13,285,614,20,18,13,11,2,3,0,1,5,2,0,1,0,6,1,2,4,7,2,3,2,0,0,2,1,1,No information,No information,1,2,0,2,221,546,16,17,27,61,22/44 (50%),30/47 (64%),1/7 (14%),8/24 (33%),57%,43%,12,12,45/80 (56%),35/80 (44%),10/17 (59%),7/17 (41%),12/18 (67%),6/14 (43%),50%,67%,20,18,13,9,No information,No information,16,9,No information,No information,12,1,0,4
https://www.sofascore.com/england-hungary/jUbsnUb#id:10023447,Hungary,England,"04/06/2022, 09:00",69%,31%,2,2,10,6,1,3,6,0,13,11,614,285,18,20,11,13,3,2,1,0,2,5,1,0,6,0,2,1,7,4,3,2,0,2,2,0,1,1,No information,No information,2,1,2,0,546,221,17,16,61,27,30/47 (64%),22/44 (50%),8/24 (33%),1/7 (14%),43%,57%,12,12,35/80 (44%),45/80 (56%),7/17 (41%),10/17 (59%),6/14 (43%),12/18 (67%),67%,50%,18,20,9,13,No information,No information,9,16,No information,No information,1,12,1,0
