Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/argentina-italy/hUbsuWb#id:10239202,Italy,Argentina,"01/06/2022, 11:45",44%,56%,0,3,7,17,6,3,3,4,13,16,432,549,17,20,14,13,3,1,No information,No information,3,10,0,0,1,4,3,3,1,8,6,9,0,2,0,1,0,1,No information,No information,3,2,3,0,380,483,12,18,46,42,17/31 (55%),28/44 (64%),1/5 (20%),1/4 (25%),47%,53%,5,7,38/81 (47%),43/81 (53%),4/9 (44%),5/9 (56%),7/22 (32%),10/20 (50%),47%,45%,17,20,19,6,56,52,11,6,No information,No information,5,3,3,0
https://www.sofascore.com/austria-italy/hUbstUb#id:10751626,Italy,Austria,"11/20/2022, 19:45",60%,40%,1,2,16,17,4,3,12,5,9,15,573,380,13,17,15,7,1,2,No information,No information,3,6,0,1,11,6,2,5,10,11,6,6,0,1,1,1,No information,No information,No information,No information,4,1,1,1,496,303,18,13,47,36,26/40 (65%),22/46 (48%),7/30 (23%),1/13 (8%),53%,47%,10,7,32/64 (50%),32/64 (50%),8/11 (73%),3/11 (27%),4/11 (36%),8/14 (57%),69%,47%,13,17,8,13,No information,No information,12,31,No information,No information,8,14,0,2
https://www.sofascore.com/austria-italy/hUbstUb#id:8594165,Italy,Austria,"26/06/2021, 12:00",40%,60%,2,1,17,16,3,4,5,12,15,9,380,573,17,13,7,15,2,1,No information,No information,6,3,1,0,6,11,5,2,11,10,6,6,1,0,1,1,No information,No information,No information,No information,1,4,1,1,303,496,13,18,36,47,22/46 (48%),26/40 (65%),1/13 (8%),7/30 (23%),47%,53%,7,10,32/64 (50%),32/64 (50%),3/11 (27%),8/11 (73%),8/14 (57%),4/11 (36%),47%,69%,17,13,13,8,No information,No information,31,12,No information,No information,14,8,2,1
https://www.sofascore.com/belgium-italy/hUbsrUb#id:8594145,Italy,Belgium,"02/07/2021, 12:00",54%,46%,3,2,14,10,2,2,5,9,13,16,533,448,15,17,16,13,2,1,No information,No information,3,4,0,0,7,1,4,5,8,5,6,5,1,1,2,1,2,0,No information,No information,2,2,2,1,470,373,15,18,59,48,37/58 (64%),27/49 (55%),4/10 (40%),2/18 (11%),42%,58%,9,9,35/77 (45%),42/77 (55%),8/26 (31%),18/26 (69%),5/13 (38%),13/19 (68%),33%,59%,15,17,8,10,No information,No information,18,13,0.19,-0.59,3,6,1,2
https://www.sofascore.com/belgium-italy/hUbsrUb#id:9869231,Italy,Belgium,"10/10/2021, 06:00",40%,60%,2,2,12,13,3,3,6,5,16,9,436,665,22,20,9,16,2,3,No information,No information,5,4,0,3,3,3,4,6,8,12,4,1,1,1,1,1,1,1,No information,No information,2,1,2,1,381,596,14,25,43,52,25/40 (63%),28/46 (61%),2/14 (14%),2/12 (17%),48%,52%,6,15,43/89 (48%),46/89 (52%),5/11 (45%),6/11 (55%),12/26 (46%),10/17 (59%),45%,70%,22,20,4,4,No information,No information,19,9,No information,No information,8,7,2,1
https://www.sofascore.com/bulgaria-italy/hUbsqUb#id:9223747,Italy,Bulgaria,"28/03/2021, 11:45",21%,79%,1,3,4,27,7,1,0,10,12,9,218,811,16,15,8,11,2,2,No information,No information,2,8,0,0,1,8,1,11,3,13,1,14,1,0,0,3,0,1,No information,No information,1,2,0,5,135,730,14,22,35,74,14/53 (26%),27/40 (68%),0/2 (0%),5/29 (17%),42%,58%,9,10,28/62 (45%),34/62 (55%),16/42 (38%),26/42 (62%),5/11 (45%),9/15 (60%),56%,67%,16,15,9,6,No information,No information,37,5,No information,No information,9,1,0,2
https://www.sofascore.com/bulgaria-italy/hUbsqUb#id:9223826,Italy,Bulgaria,"02/09/2021, 11:45",79%,21%,3,1,27,4,1,7,10,0,9,12,811,218,15,16,11,8,2,2,No information,No information,8,2,0,0,8,1,11,1,13,3,14,1,0,1,3,0,1,0,No information,No information,2,1,5,0,730,135,22,14,74,35,27/40 (68%),14/53 (26%),5/29 (17%),0/2 (0%),58%,42%,10,9,34/62 (55%),28/62 (45%),26/42 (62%),16/42 (38%),9/15 (60%),5/11 (45%),67%,56%,15,16,6,9,No information,No information,5,37,No information,No information,1,9,1,1
https://www.sofascore.com/czech-republic-italy/hUbsoUb#id:9531254,Italy,Czechia,"04/06/2021, 11:45",62%,38%,No information,No information,12,5,2,3,6,2,10,11,No information,No information,No information,No information,12,14,0,0,0,0,7,2,No information,No information,5,3,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,1,No information,No information,18,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,5,9,4,0
https://www.sofascore.com/ecuador-italy/hUbshVb#id:12065503,Italy,Ecuador,"24/03/2024, 13:00",49%,51%,4,0,9,10,1,2,8,7,15,18,448,457,20,19,18,15,4,0,No information,No information,4,1,0,0,2,6,3,3,6,5,3,5,1,0,3,0,3,0,No information,No information,2,2,2,0,386,397,11,19,36,30,23/47 (49%),30/45 (67%),2/14 (14%),3/22 (14%),51%,49%,12,9,38/81 (47%),43/81 (53%),11/16 (69%),5/16 (31%),1/8 (13%),9/20 (45%),35%,53%,20,19,5,9,47,46,20,9,No information,No information,6,4,2,0
https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,Italy,England,"23/09/2022, 11:45",51%,49%,3,1,9,15,3,3,2,2,8,15,508,498,9,21,15,7,1,3,No information,No information,6,4,0,0,3,5,0,6,5,9,4,6,3,1,No information,No information,1,0,No information,No information,3,0,0,1,451,428,11,13,40,50,30/55 (55%),21/31 (68%),3/7 (43%),3/7 (43%),51%,49%,13,3,33/64 (52%),31/64 (48%),5/11 (45%),6/11 (55%),9/17 (53%),3/9 (33%),67%,57%,9,21,12,8,47,46,9,8,No information,No information,5,6,1,0
https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,Italy,England,"23/03/2023, 12:45",51%,49%,3,1,9,15,3,3,2,2,8,15,508,498,9,21,15,7,1,3,No information,No information,6,4,0,0,3,5,0,6,5,9,4,6,3,1,No information,No information,1,0,No information,No information,3,0,0,1,451,428,11,13,40,50,30/55 (55%),21/31 (68%),3/7 (43%),3/7 (43%),51%,49%,13,3,33/64 (52%),31/64 (48%),5/11 (45%),6/11 (55%),9/17 (53%),3/9 (33%),67%,57%,9,21,12,8,47,46,9,8,No information,No information,5,6,2,1
https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,Italy,England,"17/10/2023, 11:45",49%,51%,1,3,15,9,3,3,2,2,15,8,498,508,21,9,7,15,3,1,No information,No information,4,6,0,0,5,3,6,0,9,5,6,4,1,3,No information,No information,0,1,No information,No information,0,3,1,0,428,451,13,11,50,40,21/31 (68%),30/55 (55%),3/7 (43%),3/7 (43%),49%,51%,3,13,31/64 (48%),33/64 (52%),6/11 (55%),5/11 (45%),3/9 (33%),9/17 (53%),57%,67%,21,9,8,12,46,47,8,9,No information,No information,6,5,1,3
https://www.sofascore.com/england-italy/hUbsnUb#id:8594152,Italy,England,"11/07/2021, 12:00",51%,49%,3,1,9,15,3,3,2,2,8,15,508,498,9,21,15,7,1,3,No information,No information,6,4,0,0,3,5,0,6,5,9,4,6,3,1,No information,No information,1,0,No information,No information,3,0,0,1,451,428,11,13,40,50,30/55 (55%),21/31 (68%),3/7 (43%),3/7 (43%),51%,49%,13,3,33/64 (52%),31/64 (48%),5/11 (45%),6/11 (55%),9/17 (53%),3/9 (33%),67%,57%,9,21,12,8,47,46,9,8,No information,No information,5,6,1,1
https://www.sofascore.com/estonia-italy/hUbsjVb#id:9135431,Italy,Estonia,"11/11/2020, 11:45",67%,33%,No information,No information,10,3,0,2,7,4,9,8,No information,No information,No information,No information,8,10,1,2,0,0,7,0,No information,No information,3,3,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,0,No information,No information,17,15,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,12,4,0
https://www.sofascore.com/germany-italy/hUbslUb#id:10023354,Italy,Germany,"14/06/2022, 11:45",35%,65%,3,6,14,17,4,4,4,5,8,8,349,673,18,11,8,8,0,2,No information,No information,6,9,0,0,6,5,2,3,10,13,4,4,2,4,1,2,0,2,No information,No information,3,1,4,1,277,594,16,19,33,73,20/43 (47%),29/52 (56%),7/16 (44%),4/13 (31%),51%,49%,5,10,34/61 (56%),27/61 (44%),1/8 (13%),7/8 (88%),8/14 (57%),8/16 (50%),56%,36%,18,11,8,6,No information,No information,20,11,No information,No information,6,8,2,5
https://www.sofascore.com/germany-italy/hUbslUb#id:10023373,Italy,Germany,"04/06/2022, 11:45",65%,35%,6,3,17,14,4,4,5,4,8,8,673,349,11,18,8,8,2,0,No information,No information,9,6,0,0,5,6,3,2,13,10,4,4,4,2,2,1,2,0,No information,No information,1,3,1,4,594,277,19,16,73,33,29/52 (56%),20/43 (47%),4/13 (31%),7/16 (44%),49%,51%,10,5,27/61 (44%),34/61 (56%),7/8 (88%),1/8 (13%),8/16 (50%),8/14 (57%),36%,56%,11,18,6,8,No information,No information,11,20,No information,No information,8,6,1,1
https://www.sofascore.com/hungary-italy/hUbsjUb#id:10023328,Italy,Hungary,"26/09/2022, 11:45",47%,53%,2,3,11,13,6,1,2,6,12,16,465,522,13,12,15,10,1,2,No information,No information,3,6,0,0,7,2,1,5,10,6,1,7,2,0,0,3,No information,No information,No information,No information,1,3,6,2,377,417,18,19,37,52,19/48 (40%),33/63 (52%),5/13 (38%),5/23 (22%),57%,43%,5,6,35/59 (59%),24/59 (41%),10/20 (50%),10/20 (50%),7/14 (50%),2/9 (22%),54%,50%,13,12,14,10,No information,No information,26,10,No information,No information,5,9,0,2
https://www.sofascore.com/hungary-italy/hUbsjUb#id:10023370,Italy,Hungary,"07/06/2022, 11:45",53%,47%,3,2,13,11,1,6,6,2,16,12,522,465,12,13,10,15,2,1,No information,No information,6,3,0,0,2,7,5,1,6,10,7,1,0,2,3,0,No information,No information,No information,No information,3,1,2,6,417,377,19,18,52,37,33/63 (52%),19/48 (40%),5/23 (22%),5/13 (38%),43%,57%,6,5,24/59 (41%),35/59 (59%),10/20 (50%),10/20 (50%),2/9 (22%),7/14 (50%),50%,54%,12,13,10,14,No information,No information,10,26,No information,No information,9,5,2,1
https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,Italy,Albania,"16/11/2022, 11:45",32%,68%,2,5,8,17,3,0,3,5,7,7,372,809,8,9,7,7,2,2,No information,No information,1,5,0,1,5,5,2,7,4,12,4,5,1,1,1,4,No information,No information,7,34,2,0,1,2,313,747,15,17,25,72,17/41 (41%),21/36 (58%),2/9 (22%),7/15 (47%),46%,54%,4,4,16/41 (39%),25/41 (61%),10/16 (63%),6/16 (38%),2/7 (29%),9/13 (69%),63%,56%,8,9,13,15,32,37,15,6,-0.41,-0.41,8,3,1,3
https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,Italy,Albania,"15/06/2024, 12:00",68%,32%,5,2,17,8,0,3,5,3,7,7,809,372,9,8,7,7,2,2,No information,No information,5,1,1,0,5,5,7,2,12,4,5,4,1,1,4,1,No information,No information,34,7,0,2,2,1,747,313,17,15,72,25,21/36 (58%),17/41 (41%),7/15 (47%),2/9 (22%),54%,46%,4,4,25/41 (61%),16/41 (39%),6/16 (38%),10/16 (63%),9/13 (69%),2/7 (29%),56%,63%,9,8,15,13,37,32,6,15,-0.41,-0.41,3,8,2,1
https://www.sofascore.com/italy-bosnia-and-herzegovina/EObshUb#id:12076162,Italy,Bosnia & herzegovina,"09/06/2024, 11:45",64%,36%,3,1,17,8,3,4,10,3,9,10,647,376,7,11,10,7,0,1,No information,No information,6,3,0,0,6,2,5,3,13,3,4,5,No information,No information,3,1,3,0,33,8,1,1,3,0,590,316,22,13,70,20,32/48 (67%),25/59 (42%),7/24 (29%),1/4 (25%),54%,46%,5,4,21/43 (49%),22/43 (51%),9/13 (69%),4/13 (31%),4/10 (40%),4/7 (57%),71%,64%,7,11,4,8,40,32,5,19,No information,No information,2,8,1,0
https://www.sofascore.com/italy-bosnia-and-herzegovina/EObshUb#id:8079179,Italy,Bosnia & herzegovina,"15/11/2019, 11:45",36%,64%,1,3,8,17,4,3,3,10,10,9,376,647,11,7,7,10,1,0,No information,No information,3,6,0,0,2,6,3,5,3,13,5,4,No information,No information,1,3,0,3,8,33,1,1,0,3,316,590,13,22,20,70,25/59 (42%),32/48 (67%),1/4 (25%),7/24 (29%),46%,54%,4,5,22/43 (51%),21/43 (49%),4/13 (31%),9/13 (69%),4/7 (57%),4/10 (40%),64%,71%,11,7,8,4,32,40,19,5,No information,No information,8,2,0,3
