Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/argentina-netherlands/fUbsuWb#id:10230639,Netherlands,Argentina,"09/12/2022, 11:00",52%,48%,0,2,6,14,3,0,2,8,30,18,634,602,18,19,16,30,8,8,1,0,2,5,0,1,1,5,3,4,4,5,2,9,0,2,No information,No information,0,1,No information,No information,7,5,1,2,529,499,29,19,70,45,39/68 (57%),17/52 (33%),6/25 (24%),2/12 (17%),45%,55%,8,15,36/91 (40%),55/91 (60%),19/32 (59%),13/32 (41%),2/13 (15%),7/10 (70%),50%,68%,18,19,15,6,No information,No information,14,19,0.14,-1.62,9,9,2,2
https://www.sofascore.com/belarus-netherlands/fUbsTUb#id:8079180,Netherlands,Belarus,"13/10/2019, 09:00",76%,24%,3,1,21,9,0,5,6,3,5,10,768,244,12,16,10,5,0,5,No information,No information,7,1,0,0,9,5,5,3,11,5,10,4,1,1,2,0,2,0,No information,No information,1,0,1,1,689,167,23,12,96,27,39/52 (75%),24/52 (46%),6/21 (29%),1/7 (14%),64%,36%,9,11,37/62 (60%),25/62 (40%),28/39 (72%),11/39 (28%),16/23 (70%),4/5 (80%),42%,63%,12,16,6,18,No information,No information,5,22,No information,No information,6,16,1,2
https://www.sofascore.com/belgium-netherlands/fUbsrUb#id:10023378,Netherlands,Belgium,"25/09/2022, 11:45",46%,54%,3,2,13,11,4,4,4,2,12,9,454,552,16,12,9,11,2,2,No information,No information,5,4,0,1,5,5,3,2,11,7,2,4,1,0,2,2,2,1,No information,No information,2,2,3,3,393,482,13,14,43,58,25/45 (56%),36/58 (62%),3/10 (30%),2/13 (15%),53%,47%,9,11,30/61 (49%),31/61 (51%),6/7 (86%),1/7 (14%),5/8 (63%),8/13 (62%),56%,50%,16,12,7,12,No information,No information,17,11,No information,No information,7,8,1,0
https://www.sofascore.com/belgium-netherlands/fUbsrUb#id:10023414,Netherlands,Belgium,"03/06/2022, 11:45",54%,46%,2,3,11,13,4,4,2,4,9,12,552,454,12,16,11,9,2,2,No information,No information,4,5,1,0,5,5,2,3,7,11,4,2,0,1,2,2,1,2,No information,No information,2,2,3,3,482,393,14,13,58,43,36/58 (62%),25/45 (56%),2/13 (15%),3/10 (30%),47%,53%,11,9,31/61 (51%),30/61 (49%),1/7 (14%),6/7 (86%),8/13 (62%),5/8 (63%),50%,56%,12,16,12,7,No information,No information,11,17,No information,No information,8,7,1,4
https://www.sofascore.com/canada-netherlands/fUbscVb#id:12258876,Netherlands,Canada,"06/06/2024, 11:45",61%,39%,6,2,20,6,2,6,4,5,11,13,601,387,13,22,12,11,0,1,No information,No information,11,2,0,0,5,4,4,0,17,4,3,2,3,0,3,2,2,1,40,20,4,0,2,2,537,318,17,18,59,24,27/37 (73%),13/32 (41%),8/19 (42%),2/10 (20%),49%,51%,5,6,37/77 (48%),40/77 (52%),5/8 (63%),3/8 (38%),12/29 (41%),7/14 (50%),92%,45%,13,22,12,9,53,48,6,24,No information,No information,6,6,4,0
https://www.sofascore.com/croatia-netherlands/fUbspUb#id:11014034,Netherlands,Croatia,"14/06/2023, 11:45",46%,54%,1,5,14,14,1,4,4,8,25,13,557,661,21,20,11,24,3,4,No information,No information,6,5,0,1,5,5,3,4,13,9,1,5,0,3,1,2,0,3,No information,No information,2,3,1,4,449,567,35,19,81,52,45/81 (56%),33/63 (52%),5/18 (28%),2/15 (13%),45%,55%,14,11,35/88 (40%),53/88 (60%),22/39 (56%),17/39 (44%),3/9 (33%),9/19 (47%),43%,55%,21,20,15,7,60,74,11,31,No information,No information,6,9,4,2
https://www.sofascore.com/ecuador-netherlands/fUbshVb#id:10230529,Netherlands,Ecuador,"25/11/2022, 08:00",54%,46%,0,1,2,15,3,0,2,5,15,12,506,413,25,16,11,14,0,1,No information,No information,1,4,0,1,1,4,0,7,0,10,2,5,0,1,No information,No information,No information,No information,No information,No information,No information,No information,1,4,418,328,21,29,46,45,20/45 (44%),19/54 (35%),0/7 (0%),6/22 (27%),55%,45%,14,15,39/70 (56%),31/70 (44%),19/35 (54%),16/35 (46%),4/6 (67%),1/11 (9%),60%,63%,25,16,9,9,No information,No information,20,15,0.24,-0.80,7,5,1,1
https://www.sofascore.com/estonia-netherlands/fUbsjVb#id:8079053,Netherlands,Estonia,"19/11/2019, 11:45",65%,35%,4,0,22,9,2,9,6,1,5,7,740,387,24,15,7,5,No information,No information,No information,No information,14,2,0,0,5,5,3,2,16,3,6,6,3,0,1,0,4,0,No information,No information,2,0,1,1,674,323,20,9,74,26,12/22 (55%),20/46 (43%),7/29 (24%),1/3 (33%),58%,42%,7,17,39/69 (57%),30/69 (43%),7/11 (64%),4/11 (36%),8/16 (50%),10/17 (59%),46%,60%,24,15,9,15,No information,No information,6,25,No information,No information,7,12,5,0
https://www.sofascore.com/georgia-netherlands/fUbsnVb#id:9529451,Netherlands,Georgia,"06/06/2021, 09:00",58%,42%,No information,No information,14,10,4,4,8,2,17,13,No information,No information,No information,No information,16,17,0,2,0,0,7,4,No information,No information,7,6,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,3,No information,No information,9,9,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,7,8,3,0
https://www.sofascore.com/germany-netherlands/fUbslUb#id:10102067,Netherlands,Germany,"29/03/2022, 11:45",41%,59%,No information,No information,9,14,4,2,6,4,10,14,No information,No information,No information,No information,14,12,2,2,0,0,3,5,No information,No information,5,7,1,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,0,No information,No information,12,13,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,12,7,1,1
