Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-poland/dUbstWb#id:9223719,Poland,Andorra,"28/03/2021, 11:45",21%,79%,0,7,2,18,4,0,0,7,17,17,156,574,11,9,17,17,3,2,1,0,1,8,0,0,1,7,0,3,1,12,1,6,0,3,0,4,No information,No information,No information,No information,1,3,0,1,73,498,19,11,46,81,19/73 (26%),32/48 (67%),1/3 (33%),12/29 (41%),46%,54%,6,6,33/63 (52%),30/63 (48%),5/20 (25%),15/20 (75%),5/8 (63%),4/9 (44%),36%,78%,11,9,12,7,No information,No information,17,11,No information,No information,15,6,3,0
https://www.sofascore.com/argentina-poland/dUbsuWb#id:10230547,Poland,Argentina,"30/11/2022, 11:00",27%,73%,0,6,4,23,9,0,1,9,6,11,317,868,17,13,11,6,1,1,No information,No information,0,12,0,0,2,7,2,4,2,20,2,3,No information,No information,0,6,0,1,No information,No information,1,1,0,1,245,800,16,18,37,74,31/65 (48%),22/32 (69%),2/5 (40%),4/18 (22%),49%,51%,8,10,27/51 (53%),24/51 (47%),8/21 (38%),13/21 (62%),0/5 (0%),6/13 (46%),41%,69%,17,13,7,5,No information,No information,28,8,1.19,0.00,10,2,2,0
https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,Poland,Belgium,"08/06/2022, 11:45",69%,31%,2,3,12,12,2,3,4,6,11,9,780,342,9,17,8,10,0,1,No information,No information,4,2,0,1,4,6,4,4,6,8,6,4,1,0,1,3,4,1,No information,No information,0,2,8,3,719,281,23,12,61,25,31/43 (72%),16/41 (39%),1/9 (11%),5/14 (36%),39%,61%,7,2,27/66 (41%),39/66 (59%),6/18 (33%),12/18 (67%),10/20 (50%),12/19 (63%),78%,53%,9,17,4,12,No information,No information,13,17,No information,No information,8,4,1,6
https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023359,Poland,Belgium,"14/06/2022, 11:45",31%,69%,3,2,12,12,3,2,6,4,9,11,342,780,17,9,10,8,1,0,No information,No information,2,4,1,0,6,4,4,4,8,6,4,6,0,1,3,1,1,4,No information,No information,2,0,3,8,281,719,12,23,25,61,16/41 (39%),31/43 (72%),5/14 (36%),1/9 (11%),61%,39%,2,7,39/66 (59%),27/66 (41%),12/18 (67%),6/18 (33%),12/19 (63%),10/20 (50%),53%,78%,17,9,12,4,No information,No information,17,13,No information,No information,4,8,1,0
https://www.sofascore.com/chile-poland/dUbseVb#id:10723901,Poland,Chile,"16/11/2022, 09:00",27%,73%,2,1,11,9,5,6,5,5,9,11,256,742,17,14,10,9,2,3,No information,No information,7,5,0,0,3,2,1,2,8,5,3,4,1,0,1,1,No information,No information,No information,No information,1,0,4,0,194,665,15,19,30,61,21/48 (44%),32/51 (63%),4/14 (29%),6/19 (32%),53%,47%,6,15,29/57 (51%),28/57 (49%),9/15 (60%),6/15 (40%),2/10 (20%),5/7 (71%),47%,57%,17,14,14,7,No information,No information,23,7,No information,No information,4,9,1,0
https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752377,Poland,Czechia,"24/03/2023, 12:45",39%,61%,4,2,15,18,5,2,3,3,10,12,354,549,12,16,12,10,1,1,No information,No information,3,5,0,0,9,4,3,9,11,10,4,8,1,1,3,1,No information,No information,No information,No information,2,2,0,4,245,442,16,21,60,56,19/72 (26%),29/50 (58%),5/16 (31%),6/23 (26%),40%,60%,14,3,33/62 (53%),29/62 (47%),10/46 (22%),36/46 (78%),9/11 (82%),3/12 (25%),42%,50%,12,16,15,10,67,64,18,17,No information,No information,6,8,1,3
https://www.sofascore.com/czech-republic-poland/dUbsoUb#id:10752567,Poland,Czechia,"17/11/2023, 11:45",61%,39%,2,4,18,15,2,5,3,3,12,10,549,354,16,12,10,12,1,1,No information,No information,5,3,0,0,4,9,9,3,10,11,8,4,1,1,1,3,No information,No information,No information,No information,2,2,4,0,442,245,21,16,56,60,29/50 (58%),19/72 (26%),6/23 (26%),5/16 (31%),60%,40%,3,14,29/62 (47%),33/62 (53%),36/46 (78%),10/46 (22%),3/12 (25%),9/11 (82%),50%,42%,16,12,10,15,64,67,17,18,No information,No information,8,6,1,1
https://www.sofascore.com/england-poland/dUbsnUb#id:9223812,Poland,England,"31/03/2021, 11:45",63%,37%,0,1,13,11,3,1,3,1,8,16,535,312,17,13,16,8,2,5,No information,No information,2,4,0,0,5,3,6,4,7,7,6,4,0,1,No information,No information,0,1,No information,No information,2,0,3,2,463,245,19,18,61,48,40/59 (68%),26/44 (59%),4/18 (22%),4/11 (36%),56%,44%,8,6,48/77 (62%),29/77 (38%),10/26 (38%),16/26 (62%),15/20 (75%),8/19 (42%),47%,54%,17,13,4,13,No information,No information,4,22,No information,No information,4,5,1,2
https://www.sofascore.com/estonia-poland/dUbsjVb#id:11850689,Poland,Estonia,"21/03/2024, 12:45",85%,15%,5,0,25,1,0,6,17,1,6,8,718,133,5,8,8,5,1,2,0,1,10,1,1,0,7,0,8,0,14,1,11,0,3,0,2,0,1,0,No information,No information,3,0,1,0,658,76,21,15,83,31,15/22 (68%),10/46 (22%),8/45 (18%),0/3 (0%),58%,42%,7,3,19/35 (54%),16/35 (46%),23/38 (61%),15/38 (39%),7/8 (88%),4/6 (67%),80%,50%,5,8,8,12,35,22,9,51,No information,No information,0,12,5,1
https://www.sofascore.com/faroe-islands-poland/dUbskVb#id:10752465,Poland,Faroe islands,"07/09/2023, 11:45",34%,66%,0,2,2,13,2,0,4,3,13,10,327,637,15,13,9,13,2,4,1,0,0,4,0,0,2,4,0,5,2,9,0,4,0,1,0,1,0,1,No information,No information,3,1,0,1,241,553,23,24,49,74,25/59 (42%),23/40 (58%),3/15 (20%),6/16 (38%),41%,59%,6,9,29/63 (46%),34/63 (54%),8/28 (29%),20/28 (71%),5/12 (42%),8/14 (57%),60%,85%,15,13,9,3,57,56,18,18,No information,No information,5,8,2,0
