Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/azerbaijan-portugal/eUbsRUb#id:9223737,Portugal,Azerbaijan,"24/03/2021, 12:45",33%,67%,0,4,4,21,4,0,2,4,13,16,323,669,20,14,15,13,3,2,No information,No information,0,7,0,0,3,9,1,5,2,14,2,7,0,3,0,1,1,0,No information,No information,1,2,2,2,238,573,9,30,37,86,18/50 (36%),40/61 (66%),0/5 (0%),10/21 (48%),41%,59%,8,8,39/91 (43%),52/91 (57%),9/27 (33%),18/27 (67%),4/10 (40%),26/38 (68%),60%,86%,20,14,15,7,No information,No information,26,10,No information,No information,15,2,1,0
https://www.sofascore.com/azerbaijan-portugal/eUbsRUb#id:9223781,Portugal,Azerbaijan,"07/09/2021, 09:00",67%,33%,4,0,21,4,0,4,4,2,16,13,669,323,14,20,13,15,2,3,No information,No information,7,0,0,0,9,3,5,1,14,2,7,2,3,0,1,0,0,1,No information,No information,2,1,2,2,573,238,30,9,86,37,40/61 (66%),18/50 (36%),10/21 (48%),0/5 (0%),59%,41%,8,8,52/91 (57%),39/91 (43%),18/27 (67%),9/27 (33%),26/38 (68%),4/10 (40%),86%,60%,14,20,7,15,No information,No information,10,26,No information,No information,2,15,0,3
https://www.sofascore.com/belgium-portugal/eUbsrUb#id:8594144,Portugal,Belgium,"27/06/2021, 12:00",57%,43%,No information,No information,23,6,0,4,3,0,9,14,596,451,17,17,13,9,3,2,No information,No information,4,1,1,0,14,4,5,1,9,1,14,5,No information,No information,No information,No information,No information,No information,No information,No information,4,1,3,1,529,375,17,9,66,50,42/68 (62%),31/60 (52%),5/22 (23%),1/5 (20%),52%,48%,9,10,43/81 (53%),38/81 (47%),14/28 (50%),14/28 (50%),13/21 (62%),14/21 (67%),71%,41%,17,17,11,7,No information,No information,9,28,-0.90,0.79,5,13,0,1
https://www.sofascore.com/croatia-portugal/eUbspUb#id:12076183,Portugal,Croatia,"08/06/2024, 09:45",55%,45%,2,4,15,16,5,3,10,7,10,7,535,442,23,16,7,10,1,3,No information,No information,4,7,0,1,5,4,6,5,9,12,6,4,1,2,1,2,2,0,41,25,1,2,2,0,495,395,13,13,65,30,31/42 (74%),24/39 (62%),5/26 (19%),1/15 (7%),53%,47%,7,19,38/72 (53%),34/72 (47%),9/16 (56%),7/16 (44%),9/18 (50%),8/12 (67%),70%,63%,23,16,2,7,37,43,16,20,No information,No information,4,8,2,1
https://www.sofascore.com/croatia-portugal/eUbspUb#id:8600775,Portugal,Croatia,"17/11/2020, 11:45",45%,55%,4,2,16,15,3,5,7,10,7,10,442,535,16,23,10,7,3,1,No information,No information,7,4,1,0,4,5,5,6,12,9,4,6,2,1,2,1,0,2,25,41,2,1,0,2,395,495,13,13,30,65,24/39 (62%),31/42 (74%),1/15 (7%),5/26 (19%),47%,53%,19,7,34/72 (47%),38/72 (53%),7/16 (44%),9/16 (56%),8/12 (67%),9/18 (50%),63%,70%,16,23,7,2,43,37,20,16,No information,No information,8,4,2,3
https://www.sofascore.com/czech-republic-portugal/eUbsoUb#id:10023306,Portugal,Czechia,"09/06/2022, 11:45",73%,27%,4,0,19,5,0,7,13,0,6,9,704,257,10,16,7,5,2,1,No information,No information,8,1,0,0,4,2,7,2,10,3,9,2,1,0,3,0,2,0,35,8,1,0,3,1,618,169,17,12,75,37,28/46 (61%),12/49 (24%),4/29 (14%),1/8 (13%),56%,44%,6,4,26/51 (51%),25/51 (49%),24/39 (62%),15/39 (38%),10/20 (50%),4/10 (40%),80%,63%,10,16,4,11,60,49,7,31,-0.66,0.28,5,16,2,0
https://www.sofascore.com/czech-republic-portugal/eUbsoUb#id:10023353,Portugal,Czechia,"24/09/2022, 11:45",27%,73%,0,4,5,19,7,0,0,13,9,6,257,704,16,10,5,7,1,2,No information,No information,1,8,0,0,2,4,2,7,3,10,2,9,0,1,0,3,0,2,8,35,0,1,1,3,169,618,12,17,37,75,12/49 (24%),28/46 (61%),1/8 (13%),4/29 (14%),44%,56%,4,6,25/51 (49%),26/51 (51%),15/39 (38%),24/39 (62%),4/10 (40%),10/20 (50%),63%,80%,16,10,11,4,49,60,31,7,0.28,-0.66,16,5,0,4
https://www.sofascore.com/czech-republic-portugal/eUbsoUb#id:11873989,Portugal,Czechia,"18/06/2024, 12:00",73%,27%,4,0,19,5,0,7,13,0,6,9,704,257,10,16,7,5,2,1,No information,No information,8,1,0,0,4,2,7,2,10,3,9,2,1,0,3,0,2,0,35,8,1,0,3,1,618,169,17,12,75,37,28/46 (61%),12/49 (24%),4/29 (14%),1/8 (13%),56%,44%,6,4,26/51 (51%),25/51 (49%),24/39 (62%),15/39 (38%),10/20 (50%),4/10 (40%),80%,63%,10,16,4,11,60,49,7,31,-0.66,0.28,5,16,2,1
https://www.sofascore.com/finland-portugal/eUbsmUb#id:12076176,Portugal,Finland,"04/06/2024, 11:45",74%,26%,6,2,24,2,0,5,7,0,7,12,815,294,17,20,11,7,No information,No information,No information,No information,9,2,1,0,11,0,4,0,14,2,10,0,3,2,3,0,0,2,53,10,5,0,1,0,770,245,11,6,95,23,28/35 (80%),22/40 (55%),5/21 (24%),0/1 (0%),60%,40%,5,8,53/86 (62%),33/86 (38%),5/10 (50%),5/10 (50%),25/40 (63%),6/15 (40%),88%,55%,17,20,7,3,53,36,3,33,No information,No information,4,15,4,2
https://www.sofascore.com/germany-portugal/eUbslUb#id:8513113,Portugal,Germany,"19/06/2021, 09:00",43%,57%,2,3,7,12,5,0,6,3,5,15,420,581,10,11,15,5,0,2,No information,No information,2,7,1,1,3,3,2,2,4,10,3,2,2,2,0,1,2,0,No information,No information,5,0,2,1,360,524,18,9,46,57,25/47 (53%),31/48 (65%),7/18 (39%),4/15 (27%),55%,45%,5,8,31/52 (60%),21/52 (40%),7/17 (41%),10/17 (59%),6/12 (50%),5/7 (71%),50%,73%,10,11,7,8,No information,No information,16,15,-1.69,-0.09,7,5,4,2
