Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-romania/CObstWb#id:10752389,Romania,Andorra,"25/03/2023, 12:45",21%,79%,0,3,3,17,5,0,0,5,12,8,178,654,14,12,7,12,7,1,1,0,0,9,0,0,2,6,1,2,3,9,0,8,0,2,0,1,0,2,No information,No information,1,6,3,2,97,588,22,21,31,81,12/65 (18%),62/76 (82%),1/4 (25%),7/16 (44%),40%,60%,7,8,28/59 (47%),31/59 (53%),10/35 (29%),25/35 (71%),7/12 (58%),7/14 (50%),43%,42%,14,12,7,9,40,45,14,4,No information,No information,11,5,0,2
https://www.sofascore.com/andorra-romania/CObstWb#id:10752537,Romania,Andorra,"15/10/2023, 11:45",79%,21%,3,0,17,3,0,5,5,0,8,12,654,178,12,14,12,7,1,7,0,1,9,0,0,0,6,2,2,1,9,3,8,0,2,0,1,0,2,0,No information,No information,6,1,2,3,588,97,21,22,81,31,62/76 (82%),12/65 (18%),7/16 (44%),1/4 (25%),60%,40%,8,7,31/59 (53%),28/59 (47%),25/35 (71%),10/35 (29%),7/14 (50%),7/12 (58%),42%,43%,12,14,9,7,45,40,4,14,No information,No information,5,11,4,0
https://www.sofascore.com/armenia-romania/CObsPUb#id:9223833,Romania,Armenia,"31/03/2021, 09:00",41%,59%,0,1,6,15,4,1,2,8,21,9,366,544,18,20,8,21,5,2,No information,No information,1,5,0,1,3,6,2,4,3,6,3,9,0,1,No information,No information,0,1,No information,No information,1,7,3,1,281,466,24,21,29,67,18/49 (37%),38/64 (59%),4/14 (29%),4/14 (29%),37%,63%,13,9,34/93 (37%),59/93 (63%),7/19 (37%),12/19 (63%),8/15 (53%),18/27 (67%),72%,55%,18,20,7,13,No information,No information,14,7,No information,No information,11,7,2,3
https://www.sofascore.com/armenia-romania/CObsPUb#id:9223917,Romania,Armenia,"11/10/2021, 11:45",59%,41%,1,0,15,6,1,4,8,2,9,21,544,366,20,18,21,8,2,5,No information,No information,5,1,1,0,6,3,4,2,6,3,9,3,1,0,No information,No information,1,0,No information,No information,7,1,1,3,466,281,21,24,67,29,38/64 (59%),18/49 (37%),4/14 (29%),4/14 (29%),63%,37%,9,13,59/93 (63%),34/93 (37%),12/19 (63%),7/19 (37%),18/27 (67%),8/15 (53%),55%,72%,20,18,13,7,No information,No information,7,14,No information,No information,7,11,1,0
https://www.sofascore.com/austria-romania/CObstUb#id:8600786,Romania,Austria,"14/10/2020, 11:45",50%,50%,0,2,8,9,2,2,3,3,8,12,537,513,14,25,12,8,2,4,No information,No information,2,3,1,2,3,5,3,1,4,8,4,1,No information,No information,0,2,No information,No information,No information,No information,1,0,4,3,430,404,29,22,57,49,31/61 (51%),38/66 (58%),3/8 (38%),7/22 (32%),49%,51%,15,3,37/76 (49%),39/76 (51%),8/16 (50%),8/16 (50%),11/21 (52%),6/17 (35%),50%,40%,14,25,20,10,No information,No information,17,9,No information,No information,10,7,1,0
https://www.sofascore.com/austria-romania/CObstUb#id:8600877,Romania,Austria,"07/09/2020, 11:45",50%,50%,2,0,9,8,2,2,3,3,12,8,513,537,25,14,8,12,4,2,No information,No information,3,2,2,1,5,3,1,3,8,4,1,4,No information,No information,2,0,No information,No information,No information,No information,0,1,3,4,404,430,22,29,49,57,38/66 (58%),31/61 (51%),7/22 (32%),3/8 (38%),51%,49%,3,15,39/76 (51%),37/76 (49%),8/16 (50%),8/16 (50%),6/17 (35%),11/21 (52%),40%,50%,25,14,10,20,No information,No information,9,17,No information,No information,7,10,2,3
https://www.sofascore.com/belarus-romania/CObsTUb#id:10752411,Romania,Belarus,"28/03/2023, 11:45",32%,68%,0,1,9,19,5,2,4,9,14,7,318,666,13,8,7,14,2,0,No information,No information,2,5,0,0,5,10,2,4,5,10,4,9,No information,No information,0,1,0,3,No information,No information,2,3,2,3,213,557,12,31,31,94,21/69 (30%),43/59 (73%),5/13 (38%),3/33 (9%),36%,64%,4,5,27/80 (34%),53/80 (66%),12/27 (44%),15/27 (56%),7/11 (64%),32/40 (80%),62%,88%,13,8,19,5,71,73,34,7,No information,No information,17,6,2,1
https://www.sofascore.com/belarus-romania/CObsTUb#id:10752515,Romania,Belarus,"12/10/2023, 11:45",68%,32%,1,0,19,9,2,5,9,4,7,14,666,318,8,13,14,7,0,2,No information,No information,5,2,0,0,10,5,4,2,10,5,9,4,No information,No information,1,0,3,0,No information,No information,3,2,3,2,557,213,31,12,94,31,43/59 (73%),21/69 (30%),3/33 (9%),5/13 (38%),64%,36%,5,4,53/80 (66%),27/80 (34%),15/27 (56%),12/27 (44%),32/40 (80%),7/11 (64%),88%,62%,8,13,5,19,73,71,7,34,No information,No information,6,17,0,0
https://www.sofascore.com/belarus-romania/CObsTUb#id:9147434,Romania,Belarus,"11/11/2020, 17:00",32%,68%,0,1,9,19,5,2,4,9,14,7,318,666,13,8,7,14,2,0,No information,No information,2,5,0,0,5,10,2,4,5,10,4,9,No information,No information,0,1,0,3,No information,No information,2,3,2,3,213,557,12,31,31,94,21/69 (30%),43/59 (73%),5/13 (38%),3/33 (9%),36%,64%,4,5,27/80 (34%),53/80 (66%),12/27 (44%),15/27 (56%),7/11 (64%),32/40 (80%),62%,88%,13,8,19,5,71,73,34,7,No information,No information,17,6,5,3
https://www.sofascore.com/bosnia-and-herzegovina-romania/CObsEOb#id:10023376,Romania,Bosnia & herzegovina,"26/09/2022, 11:45",47%,53%,4,2,17,11,2,2,5,5,11,7,372,405,28,12,7,10,No information,No information,No information,No information,7,3,0,0,6,5,4,3,14,6,3,5,2,1,2,1,2,0,No information,No information,1,2,2,2,300,334,22,24,43,43,23/52 (44%),17/37 (46%),4/11 (36%),7/21 (33%),57%,43%,8,14,46/76 (61%),30/76 (39%),3/10 (30%),7/10 (70%),11/15 (73%),9/23 (39%),50%,75%,28,12,7,12,No information,No information,16,12,No information,No information,9,9,4,1
