Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023415,Scotland,Armenia,"08/06/2022, 11:45",30%,70%,3,2,9,14,3,3,4,7,11,11,290,693,12,8,11,11,5,2,2,0,4,7,0,0,2,3,3,4,5,8,4,6,1,2,2,0,1,0,No information,No information,1,2,2,3,234,637,14,11,41,71,31/60 (52%),40/54 (74%),1/11 (9%),1/9 (11%),45%,55%,2,8,28/60 (47%),32/60 (53%),6/16 (38%),10/16 (63%),5/11 (45%),13/17 (76%),50%,63%,12,8,3,2,No information,No information,13,6,No information,No information,11,4,2,0
https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,Scotland,Armenia,"14/06/2022, 09:00",70%,30%,2,3,14,9,3,3,7,4,11,11,693,290,8,12,11,11,2,5,0,2,7,4,0,0,3,2,4,3,8,5,6,4,2,1,0,2,0,1,No information,No information,2,1,3,2,637,234,11,14,71,41,40/54 (74%),31/60 (52%),1/9 (11%),1/11 (9%),55%,45%,8,2,32/60 (53%),28/60 (47%),10/16 (63%),6/16 (38%),13/17 (76%),5/11 (45%),63%,50%,8,12,2,3,No information,No information,6,13,No information,No information,4,11,1,4
https://www.sofascore.com/austria-scotland/VTbstUb#id:10216611,Scotland,Austria,"29/03/2022, 11:45",45%,55%,No information,No information,9,25,10,3,2,11,9,16,No information,No information,No information,No information,18,10,0,0,0,0,5,12,No information,No information,4,9,0,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,2,No information,No information,11,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,11,9,2,2
https://www.sofascore.com/england-scotland/VTbsnUb#id:11072073,Scotland,England,"12/09/2023, 11:45",40%,60%,0,4,7,11,2,0,1,5,7,12,397,610,9,7,11,7,2,2,No information,No information,0,5,0,0,5,5,2,1,3,10,4,1,0,3,0,1,0,1,No information,No information,3,0,3,2,330,546,14,14,41,46,13/43 (30%),40/68 (59%),2/10 (20%),1/11 (9%),54%,46%,3,4,28/48 (58%),20/48 (42%),11/24 (46%),13/24 (54%),9/13 (69%),6/11 (55%),56%,57%,9,7,3,3,38,38,13,15,No information,No information,6,8,3,1
https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,Scotland,Faroe islands,"12/10/2021, 11:45",68%,32%,1,2,19,9,3,4,7,1,10,15,556,267,9,15,15,10,3,1,No information,No information,5,3,0,0,8,5,6,1,7,6,12,3,No information,No information,1,2,2,0,No information,No information,4,1,3,3,469,177,30,23,68,58,26/54 (48%),24/74 (32%),5/29 (17%),3/9 (33%),48%,52%,6,2,33/63 (52%),30/63 (48%),18/43 (42%),25/43 (58%),9/18 (50%),5/12 (42%),44%,73%,9,15,2,15,No information,No information,9,32,No information,No information,4,13,0,1
https://www.sofascore.com/finland-scotland/VTbsmUb#id:12076186,Scotland,Finland,"07/06/2024, 11:45",65%,35%,2,3,16,7,2,5,7,2,10,8,702,383,10,14,8,10,1,1,No information,No information,6,4,0,0,7,2,3,1,13,6,3,1,1,2,1,1,0,1,36,11,1,1,3,3,631,308,17,17,81,39,31/50 (62%),20/52 (38%),9/36 (25%),3/7 (43%),54%,46%,4,7,28/55 (51%),27/55 (49%),13/21 (62%),8/21 (38%),10/20 (50%),3/6 (50%),70%,64%,10,14,7,6,54,49,2,33,No information,No information,2,13,2,2
https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752450,Scotland,Georgia,"20/06/2023, 11:45",37%,63%,1,2,8,16,3,4,4,4,17,15,323,553,8,17,13,17,3,3,No information,No information,6,5,0,0,1,8,1,3,6,11,2,5,1,0,0,2,1,1,No information,No information,1,5,1,0,251,495,18,27,17,59,15/56 (27%),16/33 (48%),2/8 (25%),10/24 (42%),40%,60%,5,3,30/67 (45%),37/67 (55%),5/20 (25%),15/20 (75%),11/23 (48%),3/8 (38%),50%,71%,8,17,11,4,38,43,19,8,No information,No information,10,2,2,0
https://www.sofascore.com/georgia-scotland/VTbsnVb#id:10752554,Scotland,Georgia,"16/11/2023, 09:00",63%,37%,2,1,16,8,4,3,4,4,15,17,553,323,17,8,17,13,3,3,No information,No information,5,6,0,0,8,1,3,1,11,6,5,2,0,1,2,0,1,1,No information,No information,5,1,0,1,495,251,27,18,59,17,16/33 (48%),15/56 (27%),10/24 (42%),2/8 (25%),60%,40%,3,5,37/67 (55%),30/67 (45%),15/20 (75%),5/20 (25%),3/8 (38%),11/23 (48%),71%,50%,17,8,4,11,43,38,8,19,No information,No information,2,10,2,2
https://www.sofascore.com/germany-scotland/VTbslUb#id:11873905,Scotland,Germany,"14/06/2024, 12:00",27%,73%,0,1,1,20,5,0,0,5,9,15,251,683,15,10,14,9,1,2,1,0,0,10,0,0,1,5,0,5,1,10,0,10,0,1,No information,No information,0,1,2,31,2,3,0,4,189,643,14,12,26,68,18/47 (38%),19/28 (68%),1/8 (13%),5/21 (24%),55%,45%,6,5,34/59 (58%),25/59 (42%),7/16 (44%),9/16 (56%),5/9 (56%),6/16 (38%),53%,90%,15,10,6,2,34,45,22,16,-1.67,-1.00,10,2,1,5
https://www.sofascore.com/gibraltar-scotland/VTbsoKbb#id:12076187,Scotland,Gibraltar,"03/06/2024, 09:00",76%,24%,7,0,25,1,1,3,12,0,8,8,628,212,13,20,8,8,No information,No information,No information,No information,5,1,0,0,15,0,5,0,21,0,4,1,2,0,5,0,No information,No information,No information,No information,4,0,1,2,566,135,19,13,88,27,29/35 (83%),17/62 (27%),17/47 (36%),0/1 (0%),55%,45%,8,6,27/59 (46%),32/59 (54%),23/32 (72%),9/32 (28%),6/18 (33%),4/11 (36%),77%,70%,13,20,6,5,52,42,3,28,No information,No information,1,24,0,2
