Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752405,Serbia,Montenegro,"27/03/2023, 11:45",36%,64%,0,3,9,19,4,2,3,6,13,18,340,604,11,16,18,13,3,1,No information,No information,3,7,0,1,4,8,2,4,4,10,5,9,0,1,0,2,No information,No information,No information,No information,0,3,No information,No information,266,530,17,14,58,58,28/53 (53%),21/42 (50%),4/17 (24%),9/29 (31%),43%,57%,6,4,35/71 (49%),36/71 (51%),9/32 (28%),23/32 (72%),7/17 (41%),7/14 (50%),64%,69%,11,16,8,7,52,57,25,20,No information,No information,9,7,0,2
https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,Serbia,Montenegro,"17/10/2023, 11:45",64%,36%,3,0,19,9,2,4,6,3,18,13,604,340,16,11,13,18,1,3,No information,No information,7,3,1,0,8,4,4,2,10,4,9,5,1,0,2,0,No information,No information,No information,No information,3,0,No information,No information,530,266,14,17,58,58,21/42 (50%),28/53 (53%),9/29 (31%),4/17 (24%),57%,43%,4,6,36/71 (51%),35/71 (49%),23/32 (72%),9/32 (28%),7/14 (50%),7/17 (41%),69%,64%,16,11,7,8,57,52,20,25,No information,No information,7,9,3,1
https://www.sofascore.com/serbia-austria/tUbsfCc#id:12076170,Serbia,Austria,"04/06/2024, 11:45",47%,53%,2,1,7,5,1,0,6,1,14,19,398,462,21,24,18,14,1,3,No information,No information,1,3,1,0,4,1,2,1,4,2,3,3,1,1,1,0,0,1,20,10,3,0,1,2,311,364,23,26,64,38,22/57 (39%),18/58 (31%),5/23 (22%),0/11 (0%),49%,51%,3,10,44/85 (52%),41/85 (48%),10/26 (38%),16/26 (62%),6/27 (22%),4/15 (27%),52%,54%,21,24,8,5,53,51,13,24,No information,No information,5,6,1,2
https://www.sofascore.com/serbia-azerbaijan/RUbsfCc#id:9223774,Serbia,Azerbaijan,"30/03/2021, 09:00",43%,57%,2,6,6,22,8,0,0,7,10,13,426,562,14,16,13,9,2,0,No information,No information,1,11,1,4,5,7,0,4,4,18,2,4,1,3,1,3,0,2,No information,No information,2,4,2,1,343,484,20,13,44,71,21/47 (45%),33/49 (67%),2/10 (20%),8/24 (33%),48%,52%,10,11,40/78 (51%),38/78 (49%),11/29 (38%),18/29 (62%),13/19 (68%),13/16 (81%),50%,63%,14,16,16,12,No information,No information,26,12,No information,No information,12,9,1,2
https://www.sofascore.com/serbia-azerbaijan/RUbsfCc#id:9223891,Serbia,Azerbaijan,"12/10/2021, 11:45",57%,43%,6,2,22,6,0,8,7,0,13,10,562,426,16,14,9,13,0,2,No information,No information,11,1,4,1,7,5,4,0,18,4,4,2,3,1,3,1,2,0,No information,No information,4,2,1,2,484,343,13,20,71,44,33/49 (67%),21/47 (45%),8/24 (33%),2/10 (20%),52%,48%,11,10,38/78 (49%),40/78 (51%),18/29 (62%),11/29 (38%),13/16 (81%),13/19 (68%),63%,50%,16,14,12,16,No information,No information,12,26,No information,No information,9,12,3,1
https://www.sofascore.com/serbia-bahrain/ldcsfCc#id:10751614,Serbia,Bahrain,"18/11/2022, 07:30",63%,37%,No information,No information,3,1,0,0,4,0,4,6,No information,No information,No information,No information,7,7,0,0,0,0,1,1,No information,No information,2,0,0,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,1,No information,No information,5,12,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,5,1,5
https://www.sofascore.com/serbia-belgium/rUbsfCc#id:11638298,Serbia,Belgium,"15/11/2023, 11:45",49%,51%,1,3,11,9,6,0,3,2,12,13,536,575,8,10,12,12,1,0,No information,No information,0,7,2,0,8,1,3,1,7,6,4,3,0,1,1,2,0,2,No information,No information,2,0,4,4,463,515,21,9,48,26,25/45 (56%),35/57 (61%),8/19 (42%),0/3 (0%),55%,45%,3,1,30/56 (54%),26/56 (46%),8/13 (62%),5/13 (38%),11/18 (61%),4/11 (36%),75%,50%,8,10,8,8,49,53,8,15,No information,No information,1,12,0,1
https://www.sofascore.com/serbia-brazil/YUbsfCc#id:10230567,Serbia,Brazil,"24/11/2022, 11:00",41%,59%,0,2,5,23,7,0,4,6,12,7,406,581,24,17,6,12,3,0,No information,No information,0,9,0,2,3,9,2,5,2,11,3,12,0,1,0,1,0,1,No information,No information,0,3,0,1,326,504,15,24,44,64,26/55 (47%),13/34 (38%),2/13 (15%),2/17 (12%),51%,49%,10,10,32/65 (49%),33/65 (51%),11/20 (55%),9/20 (45%),2/9 (22%),5/19 (26%),46%,59%,24,17,11,2,No information,No information,22,16,-0.03,0.00,10,6,0,2
https://www.sofascore.com/serbia-bulgaria/qUbsfCc#id:10752457,Serbia,Bulgaria,"20/06/2023, 11:45",42%,58%,1,3,4,18,6,0,3,11,10,12,393,496,20,17,12,9,1,1,No information,No information,2,8,1,1,0,6,2,4,3,15,1,3,1,2,0,1,1,0,No information,No information,3,2,2,4,303,421,19,23,46,48,33/61 (54%),29/51 (57%),1/6 (17%),10/42 (24%),56%,44%,12,12,35/66 (53%),31/66 (47%),22/35 (63%),13/35 (37%),4/9 (44%),5/13 (38%),55%,71%,20,17,11,7,46,45,30,13,No information,No information,7,4,1,1
https://www.sofascore.com/serbia-bulgaria/qUbsfCc#id:10752578,Serbia,Bulgaria,"19/11/2023, 06:00",58%,42%,3,1,18,4,0,6,11,3,12,10,496,393,17,20,9,12,1,1,No information,No information,8,2,1,1,6,0,4,2,15,3,3,1,2,1,1,0,0,1,No information,No information,2,3,4,2,421,303,23,19,48,46,29/51 (57%),33/61 (54%),10/42 (24%),1/6 (17%),44%,56%,12,12,31/66 (47%),35/66 (53%),13/35 (37%),22/35 (63%),5/13 (38%),4/9 (44%),71%,55%,17,20,7,11,45,46,13,30,No information,No information,4,7,2,2
