Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/austria-slovakia/XTbstUb#id:12021300,Slovakia,Austria,"23/03/2024, 10:00",47%,53%,3,3,13,9,2,2,1,6,12,14,442,501,12,15,14,12,0,1,No information,No information,2,5,0,0,6,2,5,2,6,5,7,4,0,1,3,2,1,1,No information,No information,4,2,1,0,381,413,26,23,44,40,20/36 (56%),25/53 (47%),2/15 (13%),3/16 (19%),52%,48%,8,9,31/63 (49%),32/63 (51%),7/10 (70%),3/10 (30%),6/13 (46%),5/8 (63%),42%,73%,12,15,12,9,56,51,13,10,No information,No information,4,9,2,0
https://www.sofascore.com/austria-slovakia/XTbstUb#id:9529446,Slovakia,Austria,"06/06/2021, 08:30",53%,47%,3,3,9,13,2,2,6,1,14,12,501,442,15,12,12,14,1,0,No information,No information,5,2,0,0,2,6,2,5,5,6,4,7,1,0,2,3,1,1,No information,No information,2,4,0,1,413,381,23,26,40,44,25/53 (47%),20/36 (56%),3/16 (19%),2/15 (13%),48%,52%,9,8,32/63 (51%),31/63 (49%),3/10 (30%),7/10 (70%),5/8 (63%),6/13 (46%),73%,42%,15,12,9,12,51,56,10,13,No information,No information,9,4,0,0
https://www.sofascore.com/azerbaijan-slovakia/XTbsRUb#id:10023365,Slovakia,Azerbaijan,"22/09/2022, 11:45",58%,42%,3,1,17,10,1,5,3,4,10,20,509,376,13,28,18,9,2,3,No information,No information,6,3,2,0,9,4,2,3,10,6,7,4,1,1,2,0,No information,No information,No information,No information,6,1,3,0,442,284,22,16,69,38,31/52 (60%),33/75 (44%),12/32 (38%),2/7 (29%),48%,52%,17,6,39/81 (48%),42/81 (52%),9/18 (50%),9/18 (50%),8/19 (42%),5/12 (42%),46%,50%,13,28,8,9,No information,No information,8,23,No information,No information,6,14,2,1
https://www.sofascore.com/azerbaijan-slovakia/XTbsRUb#id:10023422,Slovakia,Azerbaijan,"10/06/2022, 09:00",60%,40%,0,1,16,3,1,5,6,4,12,10,495,322,15,26,10,11,4,2,No information,No information,6,1,1,0,6,0,4,2,9,2,7,1,No information,No information,0,1,No information,No information,No information,No information,3,0,6,0,426,235,36,18,50,48,30/56 (54%),29/61 (48%),8/18 (44%),1/9 (11%),47%,53%,11,8,36/76 (47%),40/76 (53%),6/14 (43%),8/14 (57%),11/26 (42%),3/10 (30%),53%,54%,15,26,4,13,No information,No information,9,12,No information,No information,5,7,0,1
https://www.sofascore.com/belarus-slovakia/XTbsTUb#id:10023390,Slovakia,Belarus,"03/06/2022, 11:45",16%,84%,1,1,2,16,3,0,1,12,13,12,143,745,18,9,11,13,5,1,No information,No information,1,4,0,0,1,8,0,4,2,10,0,6,1,1,No information,No information,No information,No information,No information,No information,1,6,0,3,70,666,12,22,29,100,11/61 (18%),29/44 (66%),1/4 (25%),9/37 (24%),49%,51%,5,9,29/56 (52%),27/56 (48%),9/22 (41%),13/22 (59%),0/4 (0%),5/14 (36%),61%,78%,18,9,15,1,No information,No information,34,1,No information,No information,18,3,0,1
https://www.sofascore.com/belarus-slovakia/XTbsTUb#id:10023400,Slovakia,Belarus,"25/09/2022, 09:00",84%,16%,1,1,16,2,0,3,12,1,12,13,745,143,9,18,13,11,1,5,No information,No information,4,1,0,0,8,1,4,0,10,2,6,0,1,1,No information,No information,No information,No information,No information,No information,6,1,3,0,666,70,22,12,100,29,29/44 (66%),11/61 (18%),9/37 (24%),1/4 (25%),51%,49%,9,5,27/56 (48%),29/56 (52%),13/22 (59%),9/22 (41%),5/14 (36%),0/4 (0%),78%,61%,9,18,1,15,No information,No information,1,34,No information,No information,3,18,1,1
https://www.sofascore.com/belgium-slovakia/XTbsrUb#id:11873978,Slovakia,Belgium,"17/06/2024, 09:00",40%,60%,1,4,10,16,5,3,7,5,10,14,367,573,8,14,13,10,1,3,No information,No information,4,5,0,0,4,6,2,5,6,10,4,6,1,0,0,4,0,2,15,34,0,1,1,2,283,488,19,18,41,58,25/63 (40%),22/44 (50%),6/17 (35%),4/14 (29%),48%,52%,11,2,27/59 (46%),32/59 (54%),10/18 (56%),8/18 (44%),6/9 (67%),8/14 (57%),50%,50%,8,14,9,2,44,48,19,15,1.02,0.37,10,6,0,1
https://www.sofascore.com/bulgaria-slovakia/XTbsqUb#id:9529439,Slovakia,Bulgaria,"01/06/2021, 09:00",55%,45%,No information,No information,8,7,1,2,6,3,15,13,No information,No information,No information,No information,15,15,1,0,0,0,3,2,No information,No information,5,5,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,2,No information,No information,12,23,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,15,1,1
https://www.sofascore.com/chile-slovakia/XTbseVb#id:10830447,Slovakia,Chile,"20/11/2022, 04:30",43%,57%,1,1,10,19,6,4,5,8,9,20,458,617,14,18,19,9,0,2,No information,No information,4,7,0,0,3,5,3,7,7,9,3,10,No information,No information,1,1,1,0,No information,No information,2,2,1,0,389,546,16,5,30,63,30/49 (61%),32/49 (65%),3/16 (19%),6/26 (23%),50%,50%,17,7,36/72 (50%),36/72 (50%),10/20 (50%),10/20 (50%),3/4 (75%),9/16 (56%),50%,44%,14,18,11,16,No information,No information,20,11,No information,No information,6,6,0,0
https://www.sofascore.com/croatia-slovakia/XTbspUb#id:9223847,Slovakia,Croatia,"04/09/2021, 11:45",68%,32%,3,2,21,6,0,8,10,3,12,16,586,279,15,16,14,11,1,4,No information,No information,10,2,2,0,7,3,4,1,14,5,7,1,1,2,2,0,No information,No information,No information,No information,5,1,4,2,507,196,19,21,74,35,23/35 (66%),31/58 (53%),6/40 (15%),4/11 (36%),55%,45%,9,10,45/77 (58%),32/77 (42%),16/33 (48%),17/33 (52%),16/23 (70%),5/10 (50%),47%,44%,15,16,5,13,No information,No information,11,38,No information,No information,5,11,1,0
