Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/armenia-slovenia/JObsPUb#id:12076358,Slovenia,Armenia,"04/06/2024, 09:00",51%,49%,1,3,7,19,4,2,1,10,17,15,433,399,16,11,15,17,1,2,No information,No information,4,5,0,0,2,8,1,6,5,13,2,6,0,1,1,2,1,0,11,36,2,2,3,1,359,332,20,19,58,40,26/47 (55%),20/40 (50%),2/11 (18%),7/19 (37%),46%,54%,4,11,33/73 (45%),40/73 (55%),14/29 (48%),15/29 (52%),2/9 (22%),13/18 (72%),63%,82%,16,11,2,6,42,41,18,18,No information,No information,10,5,2,1
https://www.sofascore.com/bulgaria-slovenia/JObsqUb#id:12076340,Slovenia,Bulgaria,"08/06/2024, 06:00",55%,45%,1,2,8,9,3,5,4,2,18,10,513,425,19,13,9,17,No information,No information,No information,No information,6,4,0,0,1,3,1,2,5,6,3,3,1,1,0,1,2,0,23,10,2,3,2,1,434,354,27,18,72,43,24/47 (51%),20/49 (41%),5/16 (31%),2/8 (25%),53%,47%,5,9,32/65 (49%),33/65 (51%),14/22 (64%),8/22 (36%),5/13 (38%),3/13 (23%),53%,54%,19,13,4,8,48,49,8,26,No information,No information,4,7,1,1
https://www.sofascore.com/bulgaria-slovenia/JObsqUb#id:7697236,Slovenia,Bulgaria,"19/11/2018, 11:45",45%,55%,2,1,9,8,5,3,2,4,10,18,425,513,13,19,17,9,No information,No information,No information,No information,4,6,0,0,3,1,2,1,6,5,3,3,1,1,1,0,0,2,10,23,3,2,1,2,354,434,18,27,43,72,20/49 (41%),24/47 (51%),2/8 (25%),5/16 (31%),47%,53%,9,5,33/65 (51%),32/65 (49%),8/22 (36%),14/22 (64%),3/13 (23%),5/13 (38%),54%,53%,13,19,8,4,49,48,26,8,No information,No information,7,4,1,1
https://www.sofascore.com/croatia-slovenia/JObspUb#id:10151893,Slovenia,Croatia,"26/03/2022, 07:00",34%,66%,No information,No information,4,14,6,0,5,6,6,7,No information,No information,No information,No information,10,8,1,2,0,0,1,7,No information,No information,1,5,2,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,2,No information,No information,13,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,2,1,1
https://www.sofascore.com/croatia-slovenia/JObspUb#id:9223768,Slovenia,Croatia,"24/03/2021, 12:45",66%,34%,No information,No information,14,4,0,6,6,5,7,6,No information,No information,No information,No information,8,10,2,1,0,0,7,1,No information,No information,5,1,2,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,2,No information,No information,16,13,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,10,1,0
https://www.sofascore.com/croatia-slovenia/JObspUb#id:9223855,Slovenia,Croatia,"07/09/2021, 11:45",34%,66%,No information,No information,4,14,6,0,5,6,6,7,No information,No information,No information,No information,10,8,1,2,0,0,1,7,No information,No information,1,5,2,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,2,No information,No information,13,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,2,0,3
https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752420,Slovenia,Finland,"16/06/2023, 09:00",58%,42%,2,2,8,12,2,3,4,4,14,8,573,411,14,14,7,14,1,1,No information,No information,3,5,0,0,0,6,5,1,5,8,3,4,0,2,2,0,0,1,No information,No information,0,5,1,1,455,329,24,12,69,59,19/53 (36%),31/69 (45%),4/9 (44%),2/12 (17%),45%,55%,7,5,31/63 (49%),32/63 (51%),13/35 (37%),22/35 (63%),10/17 (59%),4/13 (31%),79%,50%,14,14,2,10,56,69,7,20,No information,No information,9,5,0,2
https://www.sofascore.com/finland-slovenia/JObsmUb#id:10752526,Slovenia,Finland,"14/10/2023, 09:00",42%,58%,2,2,12,8,3,2,4,4,8,14,411,573,14,14,14,7,1,1,No information,No information,5,3,0,0,6,0,1,5,8,5,4,3,2,0,0,2,1,0,No information,No information,5,0,1,1,329,455,12,24,59,69,31/69 (45%),19/53 (36%),2/12 (17%),4/9 (44%),55%,45%,5,7,32/63 (51%),31/63 (49%),22/35 (63%),13/35 (37%),4/13 (31%),10/17 (59%),50%,79%,14,14,10,2,69,56,20,7,No information,No information,5,9,3,0
https://www.sofascore.com/greece-slovenia/JObskUb#id:8600844,Slovenia,Greece,"03/09/2020, 11:45",63%,37%,No information,No information,15,5,1,6,7,4,18,15,541,318,13,12,14,17,4,5,1,0,7,1,1,0,4,2,4,2,9,1,6,4,No information,No information,No information,No information,No information,No information,No information,No information,3,3,4,1,448,233,23,20,54,46,28/55 (51%),19/58 (33%),5/26 (19%),2/14 (14%),47%,53%,6,5,36/69 (52%),33/69 (48%),11/32 (34%),21/32 (66%),9/15 (60%),4/12 (33%),38%,50%,13,12,3,11,No information,No information,11,24,No information,No information,3,7,0,0
https://www.sofascore.com/greece-slovenia/JObskUb#id:8600905,Slovenia,Greece,"18/11/2020, 11:45",37%,63%,No information,No information,5,15,6,1,4,7,15,18,318,541,12,13,17,14,5,4,0,1,1,7,0,1,2,4,2,4,1,9,4,6,No information,No information,No information,No information,No information,No information,No information,No information,3,3,1,4,233,448,20,23,46,54,19/58 (33%),28/55 (51%),2/14 (14%),5/26 (19%),53%,47%,5,6,33/69 (48%),36/69 (52%),21/32 (66%),11/32 (34%),4/12 (33%),9/15 (60%),50%,38%,12,13,11,3,No information,No information,24,11,No information,No information,7,3,0,0
