Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-spain/YTbstWb#id:12120202,Spain,Andorra,"05/06/2024, 12:30",84%,16%,4,0,21,4,2,4,8,1,8,5,764,147,10,14,5,8,No information,No information,No information,No information,10,2,0,0,7,1,4,1,19,1,2,3,3,0,1,0,1,0,55,1,No information,No information,3,2,694,83,18,20,101,27,31/39 (79%),10/45 (22%),7/29 (24%),0/3 (0%),56%,44%,7,4,24/48 (50%),24/48 (50%),15/22 (68%),7/22 (32%),9/16 (56%),2/8 (25%),90%,64%,10,14,6,9,51,41,8,34,No information,No information,2,8,5,0
https://www.sofascore.com/brazil-spain/YTbsYUb#id:12021308,Spain,Brazil,"26/03/2024, 13:30",59%,41%,4,4,19,12,3,5,6,2,20,16,544,389,19,13,16,17,3,6,No information,No information,8,6,0,0,9,2,2,4,9,8,10,4,3,2,1,2,1,1,No information,No information,6,2,3,1,502,328,11,15,65,22,28/42 (67%),20/38 (53%),3/18 (17%),2/4 (50%),52%,48%,7,13,51/91 (56%),40/91 (44%),3/12 (25%),9/12 (75%),16/22 (73%),10/16 (63%),58%,69%,19,13,6,8,50,40,7,13,No information,No information,2,10,3,3
https://www.sofascore.com/colombia-spain/YTbsvWb#id:12065496,Spain,Colombia,"22/03/2024, 13:30",58%,42%,1,0,13,7,4,3,6,1,15,17,565,421,18,25,17,15,No information,No information,No information,No information,3,5,0,0,6,1,4,1,10,5,3,2,No information,No information,1,0,1,0,No information,No information,3,2,0,3,481,344,16,19,57,47,27/44 (61%),28/56 (50%),10/22 (45%),1/10 (10%),46%,54%,14,5,38/87 (44%),49/87 (56%),13/25 (52%),12/25 (48%),3/14 (21%),9/22 (41%),78%,52%,18,25,4,8,53,51,9,14,No information,No information,1,11,1,0
https://www.sofascore.com/costa-rica-spain/YTbsgVb#id:10230571,Spain,Costa rica,"23/11/2022, 08:00",82%,18%,5,0,17,0,0,1,5,0,8,12,1045,230,14,21,11,7,0,2,No information,No information,8,0,0,0,7,0,2,0,13,0,4,0,4,0,1,0,5,0,No information,No information,3,1,3,7,978,165,24,13,89,33,35/46 (76%),20/47 (43%),2/15 (13%),1/4 (25%),47%,53%,8,13,29/59 (49%),30/59 (51%),9/22 (41%),13/22 (59%),4/17 (24%),2/3 (67%),50%,71%,14,21,4,14,No information,No information,4,17,0.00,-2.86,0,10,7,0
https://www.sofascore.com/croatia-spain/YTbspUb#id:11353239,Spain,Croatia,"18/06/2023, 11:45",53%,47%,3,4,16,11,2,5,0,5,13,14,517,457,14,14,13,11,0,1,No information,No information,5,5,0,0,8,3,3,3,10,8,6,3,0,2,3,2,1,1,27,21,2,2,0,2,456,383,23,14,45,41,21/39 (54%),20/43 (47%),4/14 (29%),4/9 (44%),46%,54%,11,8,37/73 (51%),36/73 (49%),10/29 (34%),19/29 (66%),10/13 (77%),12/18 (67%),71%,71%,14,14,9,5,38,48,4,10,-0.31,2.40,9,9,0,0
https://www.sofascore.com/croatia-spain/YTbspUb#id:11873907,Spain,Croatia,"15/06/2024, 09:00",47%,53%,4,3,11,16,5,2,5,0,14,13,457,517,14,14,11,13,1,0,No information,No information,5,5,0,0,3,8,3,3,8,10,3,6,2,0,2,3,1,1,21,27,2,2,2,0,383,456,14,23,41,45,20/43 (47%),21/39 (54%),4/9 (44%),4/14 (29%),54%,46%,8,11,36/73 (49%),37/73 (51%),19/29 (66%),10/29 (34%),12/18 (67%),10/13 (77%),71%,71%,14,14,5,9,48,38,10,4,2.40,-0.31,9,9,3,0
https://www.sofascore.com/croatia-spain/YTbspUb#id:8594133,Spain,Croatia,"28/06/2021, 09:00",53%,47%,3,4,16,11,2,5,0,5,13,14,517,457,14,14,13,11,0,1,No information,No information,5,5,0,0,8,3,3,3,10,8,6,3,0,2,3,2,1,1,27,21,2,2,0,2,456,383,23,14,45,41,21/39 (54%),20/43 (47%),4/14 (29%),4/9 (44%),46%,54%,11,8,37/73 (51%),36/73 (49%),10/29 (34%),19/29 (66%),10/13 (77%),12/18 (67%),71%,71%,14,14,9,5,38,48,4,10,-0.31,2.40,9,9,3,5
https://www.sofascore.com/czech-republic-spain/YTbsoUb#id:10023385,Spain,Czechia,"05/06/2022, 11:45",24%,76%,1,4,7,9,2,2,5,2,13,5,266,867,15,12,5,13,0,1,No information,No information,2,4,0,0,3,2,2,3,3,8,4,1,0,2,1,2,1,2,No information,No information,1,3,1,1,198,780,14,26,28,60,13/41 (32%),33/51 (65%),1/10 (10%),1/11 (9%),38%,62%,4,8,26/62 (42%),36/62 (58%),3/15 (20%),12/15 (80%),6/14 (43%),11/18 (61%),73%,50%,15,12,21,10,No information,No information,18,3,No information,No information,5,2,2,2
https://www.sofascore.com/czech-republic-spain/YTbsoUb#id:10023420,Spain,Czechia,"12/06/2022, 11:45",76%,24%,4,1,9,7,2,2,2,5,5,13,867,266,12,15,13,5,1,0,No information,No information,4,2,0,0,2,3,3,2,8,3,1,4,2,0,2,1,2,1,No information,No information,3,1,1,1,780,198,26,14,60,28,33/51 (65%),13/41 (32%),1/11 (9%),1/10 (10%),62%,38%,8,4,36/62 (58%),26/62 (42%),12/15 (80%),3/15 (20%),11/18 (61%),6/14 (43%),50%,73%,12,15,10,21,No information,No information,3,18,No information,No information,2,5,2,0
https://www.sofascore.com/georgia-spain/YTbsnVb#id:10752470,Spain,Georgia,"08/09/2023, 09:00",24%,76%,0,3,8,20,7,0,3,9,9,9,255,792,20,16,9,9,2,2,No information,No information,1,9,0,0,5,7,2,4,2,11,6,9,0,2,0,1,1,0,No information,No information,2,5,0,2,194,730,10,15,27,88,21/49 (43%),27/33 (82%),1/4 (25%),6/29 (21%),48%,52%,7,8,35/72 (49%),37/72 (51%),5/12 (42%),7/12 (58%),7/16 (44%),13/25 (52%),55%,63%,20,16,13,2,59,62,27,5,No information,No information,9,2,1,7
