Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/andorra-switzerland/ZTbstWb#id:10752422,Switzerland,Andorra,"16/06/2023, 11:45",15%,85%,0,4,0,22,No information,No information,2,8,7,4,131,712,11,6,4,7,2,3,No information,No information,0,3,0,0,0,16,0,3,0,12,0,10,0,2,0,2,No information,No information,No information,No information,1,4,0,3,59,649,13,34,31,105,11/62 (18%),23/38 (61%),0/5 (0%),10/39 (26%),43%,57%,4,6,16/34 (47%),18/34 (53%),9/24 (38%),15/24 (63%),1/3 (33%),5/10 (50%),27%,50%,11,6,6,3,37,52,37,8,No information,No information,20,2,1,2
https://www.sofascore.com/andorra-switzerland/ZTbstWb#id:10752504,Switzerland,Andorra,"12/09/2023, 11:45",85%,15%,4,0,22,0,No information,No information,8,2,4,7,712,131,6,11,7,4,3,2,No information,No information,3,0,0,0,16,0,3,0,12,0,10,0,2,0,2,0,No information,No information,No information,No information,4,1,3,0,649,59,34,13,105,31,23/38 (61%),11/62 (18%),10/39 (26%),0/5 (0%),57%,43%,6,4,18/34 (53%),16/34 (47%),15/24 (63%),9/24 (38%),5/10 (50%),1/3 (33%),50%,27%,6,11,3,6,52,37,8,37,No information,No information,2,20,3,0
https://www.sofascore.com/austria-switzerland/ZTbstUb#id:12076164,Switzerland,Austria,"08/06/2024, 09:00",58%,42%,1,2,4,11,2,1,3,4,12,16,560,409,15,26,15,12,2,2,No information,No information,2,3,0,0,1,2,1,6,2,5,2,6,1,1,0,1,No information,No information,14,12,4,0,2,1,488,344,18,20,50,44,28/48 (58%),12/34 (35%),3/9 (33%),0/13 (0%),50%,50%,22,10,39/80 (49%),41/80 (51%),7/12 (58%),5/12 (42%),9/13 (69%),3/8 (38%),73%,62%,15,26,8,14,58,53,10,10,No information,No information,7,6,1,1
https://www.sofascore.com/belarus-switzerland/ZTbsTUb#id:10752385,Switzerland,Belarus,"25/03/2023, 10:00",22%,78%,2,7,7,24,4,0,2,9,14,10,194,663,6,6,10,14,5,1,No information,No information,3,7,0,1,3,14,1,3,6,15,1,9,2,2,0,5,No information,No information,No information,No information,0,1,2,4,121,591,9,21,24,96,24/64 (38%),25/39 (64%),3/4 (75%),10/41 (24%),38%,62%,3,5,17/43 (40%),26/43 (60%),8/23 (35%),15/23 (65%),1/4 (25%),6/7 (86%),17%,83%,6,6,8,6,40,56,51,5,No information,No information,20,3,0,5
https://www.sofascore.com/belarus-switzerland/ZTbsTUb#id:10752532,Switzerland,Belarus,"15/10/2023, 09:00",78%,22%,7,2,24,7,0,4,9,2,10,14,663,194,6,6,14,10,1,5,No information,No information,7,3,1,0,14,3,3,1,15,6,9,1,2,2,5,0,No information,No information,No information,No information,1,0,4,2,591,121,21,9,96,24,25/39 (64%),24/64 (38%),10/41 (24%),3/4 (75%),62%,38%,5,3,26/43 (60%),17/43 (40%),15/23 (65%),8/23 (35%),6/7 (86%),1/4 (25%),83%,17%,6,6,6,8,56,40,5,51,No information,No information,3,20,3,3
https://www.sofascore.com/brazil-switzerland/ZTbsYUb#id:10230561,Switzerland,Brazil,"28/11/2022, 08:00",46%,54%,0,2,6,13,4,0,3,8,17,10,482,550,18,21,10,17,1,1,No information,No information,0,5,0,0,2,3,4,5,4,10,2,3,No information,No information,0,2,No information,No information,No information,No information,1,7,1,3,404,483,18,24,34,61,23/48 (48%),18/33 (55%),2/9 (22%),4/25 (16%),41%,59%,15,9,31/74 (42%),43/74 (58%),5/13 (38%),8/13 (62%),3/9 (33%),5/14 (36%),61%,52%,18,21,4,10,No information,No information,27,10,0.38,0.00,10,2,0,1
https://www.sofascore.com/bulgaria-switzerland/ZTbsqUb#id:9223753,Switzerland,Bulgaria,"25/03/2021, 10:00",31%,69%,0,3,1,18,5,0,1,18,5,15,263,557,15,8,15,5,2,2,No information,No information,0,9,0,2,1,7,0,2,0,13,1,5,0,3,No information,No information,0,1,No information,No information,2,1,0,3,157,466,18,25,39,71,28/71 (39%),34/56 (61%),0/5 (0%),5/38 (13%),61%,39%,0,8,34/56 (61%),22/56 (39%),16/26 (62%),10/26 (38%),4/12 (33%),9/16 (56%),47%,38%,15,8,15,12,No information,No information,35,4,No information,No information,12,3,1,3
https://www.sofascore.com/bulgaria-switzerland/ZTbsqUb#id:9223962,Switzerland,Bulgaria,"15/11/2021, 11:45",69%,31%,3,0,18,1,0,5,18,1,15,5,557,263,8,15,5,15,2,2,No information,No information,9,0,2,0,7,1,2,0,13,0,5,1,3,0,No information,No information,1,0,No information,No information,1,2,3,0,466,157,25,18,71,39,34/56 (61%),28/71 (39%),5/38 (13%),0/5 (0%),39%,61%,8,0,22/56 (39%),34/56 (61%),10/26 (38%),16/26 (62%),9/16 (56%),4/12 (33%),38%,47%,8,15,12,15,No information,No information,4,35,No information,No information,3,12,4,0
https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,Switzerland,Cameroon,"24/11/2022, 02:00",51%,49%,3,1,7,8,5,2,11,5,12,10,514,494,15,12,10,11,2,1,No information,No information,3,5,0,0,3,2,1,1,5,7,2,1,1,0,2,1,0,1,No information,No information,1,4,2,2,432,420,16,12,55,61,24/44 (55%),26/57 (46%),3/20 (15%),5/23 (22%),49%,51%,10,7,25/54 (46%),29/54 (54%),14/26 (54%),12/26 (46%),0/2 (0%),6/14 (43%),33%,50%,15,12,3,11,No information,No information,20,16,0.74,-0.06,6,9,1,0
https://www.sofascore.com/czech-republic-switzerland/ZTbsoUb#id:10023331,Switzerland,Czechia,"02/06/2022, 11:45",47%,53%,2,2,13,17,1,3,4,6,13,8,428,483,18,10,8,11,0,2,No information,No information,4,3,3,0,7,6,2,8,10,9,3,8,0,1,2,1,0,1,No information,No information,2,4,1,2,333,394,14,14,61,58,19/57 (33%),38/64 (59%),6/16 (38%),6/22 (27%),43%,57%,6,6,28/62 (45%),34/62 (55%),9/25 (36%),16/25 (64%),2/6 (33%),13/25 (52%),56%,60%,18,10,7,7,No information,No information,16,18,No information,No information,13,6,1,2
