Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023319,Ukraine,Armenia,"11/06/2022, 06:00",37%,63%,0,4,12,15,2,4,2,6,3,16,316,552,9,16,15,3,2,2,No information,No information,4,6,0,0,4,7,4,2,5,10,7,5,0,4,No information,No information,0,1,No information,No information,4,0,4,0,238,480,27,20,40,64,21/61 (34%),31/58 (53%),3/6 (50%),4/12 (33%),50%,50%,7,5,31/57 (54%),26/57 (46%),4/13 (31%),9/13 (69%),7/16 (44%),7/11 (64%),89%,56%,9,16,9,9,No information,No information,8,5,No information,No information,10,5,3,0
https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023444,Ukraine,Armenia,"24/09/2022, 06:00",63%,37%,4,0,15,12,4,2,6,2,16,3,552,316,16,9,3,15,2,2,No information,No information,6,4,0,0,7,4,2,4,10,5,5,7,4,0,No information,No information,1,0,No information,No information,0,4,0,4,480,238,20,27,64,40,31/58 (53%),21/61 (34%),4/12 (33%),3/6 (50%),50%,50%,5,7,26/57 (46%),31/57 (54%),9/13 (69%),4/13 (31%),7/11 (64%),7/16 (44%),56%,89%,16,9,9,9,No information,No information,5,8,No information,No information,5,10,0,5
https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752391,Ukraine,England,"26/03/2023, 09:00",68%,32%,1,1,11,2,0,3,2,2,7,11,695,321,10,17,11,7,2,2,No information,No information,4,1,1,0,4,1,3,0,7,1,4,1,1,1,No information,No information,1,0,No information,No information,4,1,1,0,639,256,11,14,72,37,24/36 (67%),21/50 (42%),6/20 (30%),0/5 (0%),57%,43%,9,4,27/51 (53%),24/51 (47%),12/18 (67%),6/18 (33%),6/14 (43%),0/6 (0%),60%,41%,10,17,6,5,52,48,6,22,No information,No information,4,8,0,2
https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,Ukraine,England,"09/09/2023, 09:00",32%,68%,1,1,2,11,3,0,2,2,11,7,321,695,17,10,7,11,2,2,No information,No information,1,4,0,1,1,4,0,3,1,7,1,4,1,1,No information,No information,0,1,No information,No information,1,4,0,1,256,639,14,11,37,72,21/50 (42%),24/36 (67%),0/5 (0%),6/20 (30%),43%,57%,4,9,24/51 (47%),27/51 (53%),6/18 (33%),12/18 (67%),0/6 (0%),6/14 (43%),41%,60%,17,10,5,6,48,52,22,6,No information,No information,8,4,1,1
https://www.sofascore.com/england-ukraine/bUbsnUb#id:8594149,Ukraine,England,"03/07/2021, 12:00",32%,68%,1,1,2,11,3,0,2,2,11,7,321,695,17,10,7,11,2,2,No information,No information,1,4,0,1,1,4,0,3,1,7,1,4,1,1,No information,No information,0,1,No information,No information,1,4,0,1,256,639,14,11,37,72,21/50 (42%),24/36 (67%),0/5 (0%),6/20 (30%),43%,57%,4,9,24/51 (47%),27/51 (53%),6/18 (33%),12/18 (67%),0/6 (0%),6/14 (43%),41%,60%,17,10,5,6,48,52,22,6,No information,No information,8,4,4,0
https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,Ukraine,Finland,"28/03/2021, 11:45",55%,45%,1,2,11,16,3,4,3,2,13,12,565,470,8,11,12,13,0,1,No information,No information,5,5,1,0,4,9,2,2,7,10,4,6,0,1,1,1,0,1,No information,No information,3,0,1,0,472,374,22,15,50,44,17/53 (32%),26/55 (47%),2/13 (15%),3/12 (25%),49%,51%,7,5,28/56 (50%),28/56 (50%),9/20 (45%),11/20 (55%),8/12 (67%),4/7 (57%),75%,64%,8,11,16,11,No information,No information,18,18,No information,No information,10,5,1,1
https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223860,Ukraine,Finland,"09/10/2021, 09:00",45%,55%,2,1,16,11,4,3,2,3,12,13,470,565,11,8,13,12,1,0,No information,No information,5,5,0,1,9,4,2,2,10,7,6,4,1,0,1,1,1,0,No information,No information,0,3,0,1,374,472,15,22,44,50,26/55 (47%),17/53 (32%),3/12 (25%),2/13 (15%),51%,49%,5,7,28/56 (50%),28/56 (50%),11/20 (55%),9/20 (45%),4/7 (57%),8/12 (67%),64%,75%,11,8,11,16,No information,No information,18,18,No information,No information,5,10,1,2
https://www.sofascore.com/germany-ukraine/bUbslUb#id:11239348,Ukraine,Germany,"12/06/2023, 09:00",38%,62%,0,2,6,27,5,3,2,11,4,12,456,711,6,7,12,4,No information,No information,No information,No information,3,5,0,1,2,13,1,9,5,17,1,10,No information,No information,0,2,0,1,8,44,0,1,1,2,389,658,15,19,33,85,29/55 (53%),12/17 (71%),0/5 (0%),10/34 (29%),60%,40%,5,4,24/41 (59%),17/41 (41%),8/12 (67%),4/12 (33%),7/9 (78%),6/8 (75%),50%,71%,6,7,12,5,38,48,37,13,No information,No information,14,2,3,3
https://www.sofascore.com/germany-ukraine/bUbslUb#id:12208868,Ukraine,Germany,"03/06/2024, 11:45",38%,62%,0,2,6,27,5,3,2,11,4,12,456,711,6,7,12,4,No information,No information,No information,No information,3,5,0,1,2,13,1,9,5,17,1,10,No information,No information,0,2,0,1,8,44,0,1,1,2,389,658,15,19,33,85,29/55 (53%),12/17 (71%),0/5 (0%),10/34 (29%),60%,40%,5,4,24/41 (59%),17/41 (41%),8/12 (67%),4/12 (33%),7/9 (78%),6/8 (75%),50%,71%,6,7,12,5,38,48,37,13,No information,No information,14,2,0,0
https://www.sofascore.com/iceland-ukraine/bUbsiUb#id:12182591,Ukraine,Iceland,"26/03/2024, 12:45",60%,40%,1,1,13,6,2,3,7,2,8,12,525,348,4,11,12,7,2,3,No information,No information,5,3,0,0,7,2,1,1,7,2,6,4,No information,No information,1,1,3,1,No information,No information,2,0,3,1,437,267,17,12,59,46,16/44 (36%),25/62 (40%),6/22 (27%),1/12 (8%),51%,49%,9,3,25/52 (48%),27/52 (52%),16/29 (55%),13/29 (45%),9/11 (82%),9/10 (90%),75%,64%,4,11,5,10,42,42,13,24,No information,No information,3,10,2,1
