Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
amir-abrashi,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,goal,regular,set-piece,5.6,56.5,0,head,low-left,0,53.2,12,No information,No information,90,6,5732,56.5,5.6,46.8,0,46.8,88,1,568,shot
ledian-memushaj,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,save,No information,free-kick,26.1,52.8,0,left-foot,high-right,0,47.8,27.8,No information,No information,90,6,5730,52.8,26.1,52.2,0,52.2,72.2,1,570,shot
berat-djimsiti,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,miss,No information,corner,10.1,30.5,0,right-foot,high-right,0,39.7,75,No information,No information,90,2,5461,30.5,10.1,60.3,0,60.3,25,1,839,shot
berat-djimsiti,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,miss,No information,corner,6.9,37.3,0,head,right,0,37,4.2,No information,No information,90,1,5459,37.3,6.9,63,0,63,95.8,1,841,shot
bekim-balaj,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,goal,regular,regular,12.6,63.4,0,right-foot,low-right,0,46.2,18.4,No information,No information,87,No information,5208,63.4,12.6,53.8,0,53.8,81.6,4,192,shot
armando-sadiku,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,miss,No information,assisted,20.1,62.6,0,right-foot,left,0,66.1,30.6,No information,No information,86,No information,5142,62.6,20.1,33.9,0,33.9,69.4,5,258,shot
jordi-alaez,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,andorra,miss,No information,regular,18.8,51.9,0,right-foot,right,0,38.7,26.4,No information,No information,84,No information,5027,51.9,18.8,61.3,0,61.3,73.6,7,373,shot
armando-sadiku,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,miss,No information,assisted,0.7,64.8,0,right-foot,close-high,0,45.2,54.2,No information,No information,75,No information,4489,64.8,0.7,54.8,0,54.8,45.8,16,911,shot
marc-vales,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,andorra,miss,No information,set-piece,8.4,48.2,0,head,high,0,49.1,77.8,No information,No information,67,No information,3966,48.2,8.4,50.9,0,50.9,22.2,24,1434,shot
ludovic-clemente,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,andorra,miss,No information,regular,41.4,76.9,0,right-foot,right,0,31.8,33.3,No information,No information,50,No information,2978,76.9,41.4,68.2,0,68.2,66.7,41,2422,shot
ergys-kace,https://www.sofascore.com/andorra-albania/PTbstWb#id:8078424,albania,miss,No information,free-kick,22,34.9,0,right-foot,high-left,0,59.3,61.1,No information,No information,44,No information,2607,34.9,22,40.7,0,40.7,38.9,2,93,shot
