Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
egzon-bejtulai,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,goal,own,regular,7.3,37,0,left-foot,low-centre,0,51.6,1.9,No information,No information,86,No information,5126,37,7.3,48.4,0,48.4,98.1,5,274,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,goal,regular,assisted,2.6,51.6,0,head,low-right,0,47.7,17.1,No information,No information,82,No information,4866,51.6,2.6,52.3,0,52.3,82.9,9,534,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,assisted,12.6,37.1,0,other,No information,No information,No information,No information,No information,No information,79,No information,4706,37.1,12.6,No information,No information,No information,No information,12,694,shot
stefan-lainer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,miss,No information,assisted,21.3,64.8,0,right-foot,high,0,49.7,75,No information,No information,78,No information,4623,64.8,21.3,50.3,0,50.3,25,13,777,shot
martin-hinteregger,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,save,No information,corner,13.2,48.2,0,head,high-centre,0,49.5,23.4,No information,No information,75,No information,4451,48.2,13.2,50.5,0,50.5,76.6,16,949,shot
goran-pandev,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,block,No information,regular,16.2,45.1,0,left-foot,No information,No information,No information,No information,No information,No information,73,No information,4322,45.1,16.2,No information,No information,No information,No information,18,1078,shot
enis-bardhi,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,block,No information,free-kick,27,34.3,0,right-foot,No information,No information,No information,No information,No information,No information,69,No information,4109,34.3,27,No information,No information,No information,No information,22,1291,shot
stefan-ilsanker,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,miss,No information,corner,8,47.2,0,head,left,0,65.4,22.2,No information,No information,66,No information,3916,47.2,8,34.6,0,34.6,77.8,25,1484,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,corner,12,52.1,0,right-foot,No information,No information,No information,No information,No information,No information,65,No information,3863,52.1,12,No information,No information,No information,No information,26,1537,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,goal,penalty,penalty,11.5,50,0,right-foot,high-centre,0,50.6,33.5,No information,No information,62,No information,3672,50,11.5,49.4,0,49.4,66.5,29,1728,shot
marcel-sabitzer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,assisted,18.4,55.5,0,right-foot,No information,No information,No information,No information,No information,No information,59,No information,3508,55.5,18.4,No information,No information,No information,No information,32,1892,shot
valentino-lazaro,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,miss,No information,regular,5.1,49.9,0,left-foot,right,0,29.7,2.8,No information,No information,54,No information,3221,49.9,5.1,70.3,0,70.3,97.2,37,2179,shot
valentino-lazaro,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,assisted,9.9,48.7,0,left-foot,No information,No information,No information,No information,No information,No information,50,No information,2958,48.7,9.9,No information,No information,No information,No information,41,2442,shot
marcel-sabitzer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,save,No information,assisted,7.5,44.5,0,head,high-left,0,52.3,26.6,No information,No information,50,No information,2951,44.5,7.5,47.7,0,47.7,73.4,41,2449,shot
konrad-laimer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,assisted,13.8,40.6,0,right-foot,No information,No information,No information,No information,No information,No information,50,No information,2941,40.6,13.8,No information,No information,No information,No information,41,2459,shot
marcel-sabitzer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,post,No information,assisted,8.3,64.7,0,right-foot,left,0,55.2,3.8,No information,No information,44,No information,2580,64.7,8.3,44.8,0,44.8,96.2,2,120,shot
ilija-nestorovski,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,miss,No information,assisted,9.3,66,0,head,left,0,68.7,9.7,No information,No information,41,No information,2413,66,9.3,31.3,0,31.3,90.3,5,287,shot
valentino-lazaro,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,goal,regular,assisted,3.3,59.9,0,right-foot,low-left,0,51.9,5.1,No information,No information,39,No information,2287,59.9,3.3,48.1,0,48.1,94.9,7,413,shot
darko-velkovski,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,miss,No information,set-piece,13.3,47.2,0,head,right,0,39,11.1,No information,No information,35,No information,2048,47.2,13.3,61,0,61,88.9,11,652,shot
goran-pandev,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,miss,No information,regular,10.2,36.4,0,left-foot,left,0,61.3,37.5,No information,No information,31,No information,1817,36.4,10.2,38.7,0,38.7,62.5,15,883,shot
konrad-laimer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,miss,No information,assisted,14.2,30.7,0,right-foot,close-right,0,42.2,37.5,No information,No information,26,No information,1520,30.7,14.2,57.8,0,57.8,62.5,20,1180,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,save,No information,fast-break,3.9,45.2,0,right-foot,low-centre,0,51.6,2.5,No information,No information,24,No information,1403,45.2,3.9,48.4,0,48.4,97.5,22,1297,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,save,No information,fast-break,9.4,45.8,0,left-foot,low-centre,0,49.7,6.3,No information,No information,24,No information,1401,45.8,9.4,50.3,0,50.3,93.7,22,1299,shot
martin-hinteregger,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,goal,own,regular,18.1,52.8,0,head,low-centre,0,50.2,2.5,No information,No information,18,No information,1045,52.8,18.1,49.8,0,49.8,97.5,28,1655,shot
marcel-sabitzer,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,miss,No information,fast-break,8.7,38.2,0,left-foot,close-left,0,57,2.8,No information,No information,12,No information,712,38.2,8.7,43,0,43,97.2,34,1988,shot
ilija-nestorovski,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,north macedonia,block,No information,assisted,11.8,36.7,0,left-foot,No information,No information,No information,No information,No information,No information,9,No information,523,36.7,11.8,No information,No information,No information,No information,37,2177,shot
aleksandar-dragovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,block,No information,corner,8,51.3,0,head,No information,No information,No information,No information,No information,No information,3,No information,134,51.3,8,No information,No information,No information,No information,43,2566,shot
marko-arnautovic,https://www.sofascore.com/north-macedonia-austria/tUbsCVb#id:8078494,austria,save,No information,assisted,11.2,53.6,0,left-foot,low-centre,0,48.8,0.6,No information,No information,1,No information,36,53.6,11.2,51.2,0,51.2,99.4,45,2664,shot

christoph-baumgartner,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,goal,regular,regular,8.6,54,0,head,low-centre,0,49.9,10.8,No information,No information,89,No information,5288,54,8.6,50.1,0,50.1,89.2,2,112,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,14.2,37.2,0,left-foot,low-right,0,47.9,14.6,No information,No information,89,No information,5286,37.2,14.2,52.1,0,52.1,85.4,2,114,shot
christoph-baumgartner,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,goal,regular,regular,2.4,51.2,0,right-foot,high-right,0,47.1,23.4,No information,No information,81,No information,4825,51.2,2.4,52.9,0,52.9,76.6,10,575,shot
florian-grillitsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,regular,22.4,51.3,0,right-foot,low-left,0,52,3.2,No information,No information,81,No information,4822,51.3,22.4,48,0,48,96.8,10,578,shot
marcel-sabitzer,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,assisted,25.7,42.3,0,right-foot,high-right,0,42,88.9,No information,No information,75,No information,4442,42.3,25.7,58,0,58,11.1,16,958,shot
florian-grillitsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,16.2,69.5,0,right-foot,high-right,0,46.4,23.4,No information,No information,72,No information,4299,69.5,16.2,53.6,0,53.6,76.6,19,1101,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,8.3,41.9,0,head,high-left,0,52.3,27.8,No information,No information,68,No information,4069,41.9,8.3,47.7,0,47.7,72.2,23,1331,shot
dejan-kulusevski,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,sweden,save,No information,assisted,21.9,45.6,0,right-foot,low-left,0,53.4,1.9,No information,No information,55,No information,3243,45.6,21.9,46.6,0,46.6,98.1,36,2157,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,fast-break,11.8,31.2,0,left-foot,right,0,39.8,1.4,No information,No information,50,No information,2955,31.2,11.8,60.2,0,60.2,98.6,41,2445,shot
maximilian-wober,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,2.2,36.4,0,left-foot,low-left,0,53.7,1.3,No information,No information,48,No information,2838,36.4,2.2,46.3,0,46.3,98.7,43,2562,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,corner,9,64.4,0,head,low-centre,0,49.1,15.2,No information,No information,47,No information,2781,64.4,9,50.9,0,50.9,84.8,44,2619,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,corner,12.4,53.4,0,head,low-left,0,52.7,4.4,No information,No information,47,No information,2765,53.4,12.4,47.3,0,47.3,95.6,44,2635,shot
christoph-baumgartner,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,corner,18.4,51.1,0,right-foot,right,0,40.3,18.1,No information,No information,45,1,2757,51.1,18.4,59.7,0,59.7,81.9,1,2643,shot
xaver-schlager,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,corner,9.3,39.2,0,left-foot,low-centre,0,49,19,No information,No information,45,1,2720,39.2,9.3,51,0,51,81,1,2680,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,corner,7.3,45.5,0,head,high-left,0,52.6,20.9,No information,No information,40,No information,2382,45.5,7.3,47.4,0,47.4,79.1,6,318,shot
patrick-wimmer,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,22.7,49.6,0,right-foot,high-centre,0,51.7,27.2,No information,No information,40,No information,2342,49.6,22.7,48.3,0,48.3,72.8,6,358,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,save,No information,assisted,14,66.2,0,left-foot,low-centre,0,48.5,17.1,No information,No information,35,No information,2060,66.2,14,51.5,0,51.5,82.9,11,640,shot
phillipp-mwene,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,assisted,22,34,0,right-foot,close-left,0,57,5.6,No information,No information,32,No information,1860,34,22,43,0,43,94.4,14,840,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,block,No information,assisted,8.7,70.9,0,left-foot,low-right,0,48.2,19,No information,No information,31,No information,1857,70.9,8.7,51.8,0,51.8,81,15,843,shot
emil-forsberg,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,sweden,save,No information,free-kick,19.7,33.6,0,right-foot,low-right,0,46.2,3.8,No information,No information,14,No information,782,33.6,19.7,53.8,0,53.8,96.2,32,1918,shot
victor-lindelof,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,sweden,save,No information,corner,4.3,44.5,0,head,high-centre,0,51.7,27.8,No information,No information,11,No information,608,44.5,4.3,48.3,0,48.3,72.2,35,2092,shot
seiwald-nicolas,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,set-piece,12.7,66.6,0,right-foot,left,0,66.1,13.9,No information,No information,7,No information,410,66.6,12.7,33.9,0,33.9,86.1,39,2290,shot
alexander-isak,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,sweden,block,No information,assisted,21.7,50,0,right-foot,low-centre,0,50,19,No information,No information,5,No information,290,50,21.7,50,0,50,81,41,2410,shot
michael-gregoritsch,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,assisted,19.2,44.8,0,left-foot,close-right,0,42.4,2.8,No information,No information,5,No information,241,44.8,19.2,57.6,0,57.6,97.2,41,2459,shot
chukwubuike-adamu,https://www.sofascore.com/austria-sweden/NTbstUb#id:10752454,austria,miss,No information,fast-break,18.1,56.7,0,right-foot,left,0,65.2,2.8,No information,No information,2,No information,92,56.7,18.1,34.8,0,34.8,97.2,44,2608,shot

vlasiy-sinyavskiy,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,estonia,save,No information,regular,21.9,73.2,0,left-foot,high-left,0,52.4,22.2,No information,No information,90,4,5585,73.2,21.9,47.6,0,47.6,77.8,1,715,shot
michael-gregoritsch,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,austria,goal,regular,assisted,12.7,50.1,0,left-foot,high-centre,0,48.4,22.2,No information,No information,88,No information,5262,50.1,12.7,51.6,0,51.6,77.8,3,138,shot
chukwubuike-adamu,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,austria,miss,No information,regular,4,36.9,0,left-foot,high,0,55.8,69.4,No information,No information,78,No information,4620,36.9,4,44.2,0,44.2,30.6,13,780,shot
florian-kainz,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,austria,save,No information,assisted,17.9,43.1,0,right-foot,low-right,0,47.7,12,No information,No information,71,No information,4217,43.1,17.9,52.3,0,52.3,88,20,1183,shot
joonas-tamm,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,estonia,miss,No information,set-piece,9.1,46.2,0,head,right,0,27.9,11.1,No information,No information,70,No information,4142,46.2,9.1,72.1,0,72.1,88.9,21,1258,shot
florian-kainz,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,austria,goal,regular,regular,11.1,40.6,0,right-foot,low-left,0,53.2,8.2,No information,No information,68,No information,4037,40.6,11.1,46.8,0,46.8,91.8,23,1363,shot
stefan-posch,https://www.sofascore.com/estonia-austria/tUbsjVb#id:10752403,austria,save,No information,assisted,19.1,61.8,0,left-foot,low-centre,0,50,13.3,No information,No information,68,No information,4034,61.8,19.1,50,0,50,86.7,23,1366,shot
