Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
marcus-berg,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,miss,No information,assisted,8.3,49.3,0,head,close-right,0,42,8.3,No information,No information,89,No information,5330,49.3,8.3,58,0,58,91.7,2,70,shot
dejan-kulusevski,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,block,No information,regular,18.2,49.1,0,left-foot,low-centre,0,49.2,19,No information,No information,86,No information,5144,49.1,18.2,50.8,0,50.8,81,5,256,shot
andrej-kramaric,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,croatia,goal,regular,assisted,6.9,51.9,0,left-foot,low-centre,0,50.3,1.3,No information,No information,84,No information,4990,51.9,6.9,49.7,0,49.7,98.7,7,410,shot
andrej-kramaric,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,croatia,miss,No information,assisted,23.1,48.1,0,left-foot,right,0,37,1.4,No information,No information,79,No information,4728,48.1,23.1,63,0,63,98.6,12,672,shot
viktor-claesson,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,miss,No information,corner,10.1,58.1,0,head,close-right,0,41,19.4,No information,No information,77,No information,4562,58.1,10.1,59,0,59,80.6,14,838,shot
dejan-kulusevski,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,miss,No information,assisted,12.5,64.7,0,right-foot,close-right,0,42.2,8.3,No information,No information,72,No information,4296,64.7,12.5,57.8,0,57.8,91.7,19,1104,shot
ludwig-augustinsson,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,miss,No information,assisted,26.8,35.5,0,left-foot,right,0,32.4,4.2,No information,No information,72,No information,4271,35.5,26.8,67.6,0,67.6,95.8,19,1129,shot
viktor-claesson,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,miss,No information,assisted,12.7,61.9,0,right-foot,close-right,0,42.2,8.3,No information,No information,69,No information,4121,61.9,12.7,57.8,0,57.8,91.7,22,1279,shot
marcus-berg,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,sweden,goal,regular,assisted,5.8,43.7,0,right-foot,low-centre,0,51.7,3.2,No information,No information,66,No information,3930,43.7,5.8,48.3,0,48.3,96.8,25,1470,shot
marcelo-brozovic,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,croatia,miss,No information,corner,14,61.7,0,right-foot,high,0,49.1,97.2,No information,No information,63,No information,3736,61.7,14,50.9,0,50.9,2.8,28,1664,shot
ivan-perisic,https://www.sofascore.com/croatia-sweden/NTbspUb#id:8600827,croatia,save,No information,assisted,22,31.8,0,right-foot,high-left,0,53.5,21.5,No information,No information,62,No information,3692,31.8,22,46.5,0,46.5,78.5,29,1708,shot
