Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
ondrej-celustka,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,miss,No information,set-piece,3.3,56.3,0,head,close-high,0,51.4,58.3,No information,No information,90,1,5453,56.3,3.3,48.6,0,48.6,41.7,1,847,shot
tomas-soucek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,save,No information,assisted,21.2,61,0,right-foot,low-right,0,47.4,4.4,No information,No information,87,No information,5214,61,21.2,52.6,0,52.6,95.6,4,186,shot
tomas-wiesner,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,save,No information,regular,20.1,66.6,0,right-foot,low-centre,0,49,7.6,No information,No information,87,No information,5204,66.6,20.1,51,0,51,92.4,4,196,shot
kirill-pechenin,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,belarus,block,No information,assisted,8.2,32.1,0,left-foot,low-left,0,52.9,19,No information,No information,80,No information,4750,32.1,8.2,47.1,0,47.1,81,11,650,shot
artem-bykov,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,belarus,block,No information,assisted,28.2,70.1,0,right-foot,low-centre,0,49.4,19,No information,No information,71,No information,4255,70.1,28.2,50.6,0,50.6,81,20,1145,shot
adam-hlozek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,goal,regular,assisted,12.5,35.7,0,left-foot,high-left,0,53.4,22.2,No information,No information,65,No information,3868,35.7,12.5,46.6,0,46.6,77.8,26,1532,shot
adam-hlozek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,miss,No information,assisted,8.3,32,0,left-foot,close-high-left,0,57.3,45.8,No information,No information,63,No information,3764,32,8.3,42.7,0,42.7,54.2,28,1636,shot
jakub-pesek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,block,No information,assisted,5,50.7,0,left-foot,low-centre,0,50.5,19,No information,No information,60,No information,3567,50.7,5,49.5,0,49.5,81,31,1833,shot
david-pavelka,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,block,No information,regular,15.7,49.8,0,left-foot,low-right,0,47.6,19,No information,No information,56,No information,3310,49.8,15.7,52.4,0,52.4,81,35,2090,shot
patrik-schick,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,miss,No information,fast-break,16.3,46.1,0,left-foot,right,0,38.7,5.6,No information,No information,53,No information,3170,46.1,16.3,61.3,0,61.3,94.4,38,2230,shot
michal-sadilek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,block,No information,regular,24.4,44.3,0,right-foot,low-centre,0,50.6,19,No information,No information,48,No information,2859,44.3,24.4,49.4,0,49.4,81,43,2541,shot
jakub-pesek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,miss,No information,assisted,11.5,63.7,0,right-foot,close-left,0,57.6,8.3,No information,No information,46,No information,2751,63.7,11.5,42.4,0,42.4,91.7,45,2649,shot
ruslan-yudenkov,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,belarus,miss,No information,regular,27.3,61.8,0,right-foot,right,0,40.3,26.4,No information,No information,44,No information,2618,61.8,27.3,59.7,0,59.7,73.6,2,82,shot
tomas-soucek,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,save,No information,assisted,25.5,36.4,0,right-foot,low-right,0,46.4,12,No information,No information,36,No information,2144,36.4,25.5,53.6,0,53.6,88,10,556,shot
patrik-schick,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,save,No information,assisted,15,40.6,0,left-foot,low-centre,0,51.5,1.3,No information,No information,29,No information,1681,40.6,15,48.5,0,48.5,98.7,17,1019,shot
matej-vydra,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,miss,No information,regular,5.3,40.4,0,left-foot,close-left,0,58,33.3,No information,No information,26,No information,1515,40.4,5.3,42,0,42,66.7,20,1185,shot
patrik-schick,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,czechia,goal,regular,assisted,7.9,59.9,0,left-foot,low-left,0,53.4,5.1,No information,No information,22,No information,1276,59.9,7.9,46.6,0,46.6,94.9,24,1424,shot
pavel-sedko,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,belarus,miss,No information,free-kick,28.4,28.5,0,left-foot,left,0,60.7,34.7,No information,No information,15,No information,853,28.5,28.4,39.3,0,39.3,65.3,31,1847,shot
pavel-sedko,https://www.sofascore.com/belarus-czech-republic/oUbsTUb#id:9223876,belarus,miss,No information,assisted,21.5,66.8,0,left-foot,left,0,59.3,5.6,No information,No information,9,No information,500,66.8,21.5,40.7,0,40.7,94.4,37,2200,shot
