Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
joel-pohjanpalo,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,finland,miss,No information,corner,10.3,51.6,0,head,right,0,38.3,18.1,No information,No information,90,5,5679,51.6,10.3,61.7,0,61.7,81.9,1,621,shot
pierre-emile-hojbjerg,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,goal,regular,assisted,22.5,57.9,0,right-foot,low-left,0,53.8,3.8,No information,No information,86,No information,5136,57.9,22.5,46.2,0,46.2,96.2,5,264,shot
kristiansen-victor,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,block,No information,regular,9.8,25.6,0,left-foot,low-centre,0,50.8,19,No information,No information,86,No information,5125,25.6,9.8,49.2,0,49.2,81,5,275,shot
joachim-andersen,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,miss,No information,set-piece,8.1,57.5,0,head,high-right,0,40,54.2,No information,No information,78,No information,4644,57.5,8.1,60,0,60,45.8,13,756,shot
joakim-maehle,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,miss,No information,assisted,4,40.2,0,head,high,0,54.6,66.7,No information,No information,75,No information,4460,40.2,4,45.4,0,45.4,33.3,16,940,shot
christian-norgaard,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,save,No information,assisted,26.8,41.3,0,right-foot,high-right,0,47.6,31,No information,No information,74,No information,4433,41.3,26.8,52.4,0,52.4,69,17,967,shot
jonas-wind,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,block,No information,assisted,13,41.2,0,right-foot,low-centre,0,50.5,19,No information,No information,65,No information,3894,41.2,13,49.5,0,49.5,81,26,1506,shot
andreas-skov-olsen,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,save,No information,assisted,6.3,68.6,0,right-foot,low-right,0,47.9,3.2,No information,No information,59,No information,3515,68.6,6.3,52.1,0,52.1,96.8,32,1885,shot
andreas-christensen,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,miss,No information,assisted,29.1,48.5,0,right-foot,close-high-left,0,57.8,56.9,No information,No information,51,No information,3012,48.5,29.1,42.2,0,42.2,43.1,40,2388,shot
christian-eriksen,https://www.sofascore.com/finland-denmark/BObsmUb#id:10752487,denmark,save,No information,free-kick,18.2,29.7,0,right-foot,low-right,0,46.3,13.3,No information,No information,50,No information,2981,29.7,18.2,53.7,0,53.7,86.7,41,2419,shot
