Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
mateo-kovacic,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,save,No information,assisted,14.4,39.7,0,left-foot,high-centre,0,48.8,20.3,No information,No information,90,8,5879,39.7,14.4,51.2,0,51.2,79.7,1,421,shot
klaus-gjasula,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,albania,block,No information,assisted,19.8,49.3,0,right-foot,low-left,0,52.9,19,No information,No information,90,7,5794,49.3,19.8,47.1,0,47.1,81,1,506,shot
klaus-gjasula,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,albania,goal,regular,regular,11.5,50,0,left-foot,low-left,0,52.9,4.4,No information,No information,90,5,5663,50,11.5,47.1,0,47.1,95.6,1,637,shot
mirlind-daku,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,albania,block,No information,assisted,9.5,45.8,0,right-foot,low-centre,0,48.6,19,No information,No information,90,3,5549,45.8,9.5,51.4,0,51.4,81,1,751,shot
arber-hoxha,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,albania,save,No information,assisted,21.8,56,0,right-foot,low-left,0,52,3.2,No information,No information,90,No information,5344,56,21.8,48,0,48,96.8,1,56,shot
martin-baturina,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,save,No information,fast-break,7.2,30.2,0,right-foot,low-right,0,46.8,8.9,No information,No information,89,No information,5300,30.2,7.2,53.2,0,53.2,91.1,2,100,shot
luka-modric,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,miss,No information,assisted,23.5,60.1,0,right-foot,close-left,0,57.8,15.3,No information,No information,88,No information,5259,60.1,23.5,42.2,0,42.2,84.7,3,141,shot
ante-budimir,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,save,No information,set-piece,12.5,46,0,left-foot,low-left,0,53.8,1.9,No information,No information,80,No information,4752,46,12.5,46.2,0,46.2,98.1,11,648,shot
klaus-gjasula,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,goal,own,regular,7.4,47.6,0,right-foot,high-left,0,53.6,20.3,No information,No information,76,No information,4544,47.6,7.4,46.4,0,46.4,79.7,15,856,shot
luka-sucic,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,croatia,save,No information,assisted,8.3,49.1,0,left-foot,low-centre,0,50.9,19,No information,No information,76,No information,4544,49.1,8.3,49.1,0,49.1,81,15,856,shot
