Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
ivan-ilic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,assisted,25.4,39.2,0,left-foot,low-centre,0,50.3,19,No information,No information,90,3,5554,39.2,25.4,49.7,0,49.7,81,1,746,shot
sergej-milinkovic-savic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,miss,No information,assisted,25.7,35.2,0,right-foot,close-high-right,0,40.8,45.8,No information,No information,89,No information,5297,35.2,25.7,59.2,0,59.2,54.2,2,103,shot
veljko-birmancevic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,corner,21.5,44.3,0,right-foot,low-centre,0,50.5,19,No information,No information,83,No information,4936,44.3,21.5,49.5,0,49.5,81,8,464,shot
dusan-vlahovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,save,No information,regular,21.2,40.3,0,left-foot,high-centre,0,50.3,28.5,No information,No information,82,No information,4896,40.3,21.2,49.7,0,49.7,71.5,9,504,shot
harry-kane,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,save,No information,assisted,5.1,46.2,0,head,high-centre,0,51,22.2,No information,No information,77,No information,4579,46.2,5.1,49,0,49,77.8,14,821,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,save,No information,assisted,25.7,64.8,0,right-foot,high-centre,0,50.5,25.3,No information,No information,56,No information,3346,64.8,25.7,49.5,0,49.5,74.7,35,2054,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,block,No information,free-kick,25.8,62.2,0,right-foot,low-centre,0,49.9,19,No information,No information,30,No information,1789,62.2,25.8,50.1,0,50.1,81,16,911,shot
dusan-vlahovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,assisted,19.8,56.2,0,left-foot,low-left,0,52.4,19,No information,No information,23,No information,1358,56.2,19.8,47.6,0,47.6,81,23,1342,shot
aleksandar-mitrovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,miss,No information,assisted,15.2,59,0,right-foot,close-right,0,43.5,12.5,No information,No information,20,No information,1180,59,15.2,56.5,0,56.5,87.5,26,1520,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,miss,No information,assisted,21.3,68.9,0,right-foot,left,0,63,5.6,No information,No information,19,No information,1083,68.9,21.3,37,0,37,94.4,27,1617,shot
jude-bellingham,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,goal,regular,regular,5.4,49.6,0,head,high-left,0,53,27.2,No information,No information,13,No information,731,49.6,5.4,47,0,47,72.8,33,1969,shot

conor-gallagher,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,block,No information,assisted,23.5,32.5,0,right-foot,low-centre,0,49.3,19,No information,No information,90,4,5613,32.5,23.5,50.7,0,50.7,81,1,687,shot
harry-maguire,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,save,No information,corner,9,40.7,0,head,high-centre,0,51.3,30.4,No information,No information,72,No information,4294,40.7,9,48.7,0,48.7,69.6,19,1106,shot
harry-kane,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,assisted,22.6,40.2,0,left-foot,right,0,39.7,8.3,No information,No information,64,No information,3787,40.2,22.6,60.3,0,60.3,91.7,27,1613,shot
bukayo-saka,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,block,No information,regular,12.2,55.3,0,left-foot,low-centre,0,50.3,19,No information,No information,63,No information,3727,55.3,12.2,49.7,0,49.7,81,28,1673,shot
bukayo-saka,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,save,No information,assisted,17.4,59.4,0,left-foot,high-centre,0,50.7,28.5,No information,No information,59,No information,3527,59.4,17.4,49.3,0,49.3,71.5,32,1873,shot
georgiy-sudakov,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,ukraine,miss,No information,assisted,21.5,59.8,0,left-foot,left,0,67.9,29.2,No information,No information,57,No information,3386,59.8,21.5,32.1,0,32.1,70.8,34,2014,shot
harry-maguire,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,corner,7.2,55.3,0,right-foot,left,0,64.2,11.1,No information,No information,54,No information,3204,55.3,7.2,35.8,0,35.8,88.9,37,2196,shot
harry-maguire,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,set-piece,8.5,40.2,0,head,close-high,0,48.7,56.9,No information,No information,51,No information,3055,40.2,8.5,51.3,0,51.3,43.1,40,2345,shot
jude-bellingham,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,save,No information,assisted,10.7,47,0,head,high-right,0,46.1,24.7,No information,No information,48,No information,2857,47,10.7,53.9,0,53.9,75.3,43,2543,shot
kyle-walker,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,goal,regular,assisted,5.2,56.1,0,right-foot,low-right,0,46.8,4.4,No information,No information,41,No information,2417,56.1,5.2,53.2,0,53.2,95.6,5,283,shot
jordan-henderson,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,assisted,19.1,52.2,0,right-foot,high,0,47.6,73.6,No information,No information,29,No information,1686,52.2,19.1,52.4,0,52.4,26.4,17,1014,shot
oleksandr-zinchenko,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,ukraine,goal,regular,assisted,8.8,51.8,0,left-foot,low-right,0,47.4,0.6,No information,No information,26,No information,1515,51.8,8.8,52.6,0,52.6,99.4,20,1185,shot
bukayo-saka,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,block,No information,regular,15.5,61.3,0,left-foot,low-centre,0,50.8,19,No information,No information,13,No information,763,61.3,15.5,49.2,0,49.2,81,33,1937,shot

jude-bellingham,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,assisted,8,51.4,0,head,close-high,0,50.6,55.6,No information,No information,90,6,5716,51.4,8,49.4,0,49.4,44.4,1,584,shot
