Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
nathan-collins,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,save,No information,corner,8.3,49,0,head,high-left,0,52.6,27.8,No information,No information,90,No information,5345,49,8.3,47.4,0,47.4,72.2,1,55,shot
kylian-mbappe,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,miss,No information,assisted,11.6,32.9,0,right-foot,high-left,0,60.5,86.1,No information,No information,88,No information,5235,32.9,11.6,39.5,0,39.5,13.9,3,165,shot
alan-browne,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,miss,No information,regular,15.3,71.5,0,right-foot,left,0,61.2,8.3,No information,No information,85,No information,5089,71.5,15.3,38.8,0,38.8,91.7,6,311,shot
nathan-collins,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,regular,22.9,53.7,0,right-foot,low-left,0,52.7,19,No information,No information,85,No information,5078,53.7,22.9,47.3,0,47.3,81,6,322,shot
alan-browne,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,miss,No information,corner,11.3,63.4,0,left-foot,right,0,16.8,5.6,No information,No information,84,No information,5012,63.4,11.3,83.2,0,83.2,94.4,7,388,shot
james-mcclean,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,save,No information,assisted,7.8,31.1,0,left-foot,low-left,0,54.4,11.4,No information,No information,84,No information,4981,31.1,7.8,45.6,0,45.6,88.6,7,419,shot
jayson-molumby,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,regular,5.2,66.1,0,right-foot,low-right,0,46.8,19,No information,No information,82,No information,4886,66.1,5.2,53.2,0,53.2,81,9,514,shot
randal-kolo-muani,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,save,No information,assisted,12.8,68.8,0,right-foot,low-centre,0,49.6,1.9,No information,No information,77,No information,4561,68.8,12.8,50.4,0,50.4,98.1,14,839,shot
adrien-rabiot,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,save,No information,assisted,23.8,47.6,0,left-foot,low-right,0,47.1,1.9,No information,No information,75,No information,4479,47.6,23.8,52.9,0,52.9,98.1,16,921,shot
diaby-moussa,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,save,No information,assisted,14.2,69,0,left-foot,low-centre,0,51.6,11.4,No information,No information,69,No information,4125,69,14.2,48.4,0,48.4,88.6,22,1275,shot
jason-knight,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,assisted,17.9,38,0,right-foot,low-right,0,48,19,No information,No information,58,No information,3444,38,17.9,52,0,52,81,33,1956,shot
antoine-griezmann,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,block,No information,free-kick,20.7,59.2,0,left-foot,low-centre,0,49.7,19,No information,No information,54,No information,3238,59.2,20.7,50.3,0,50.3,81,37,2162,shot
john-egan,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,corner,9.1,58.8,0,head,low-centre,0,50.5,19,No information,No information,52,No information,3096,58.8,9.1,49.5,0,49.5,81,39,2304,shot
jason-knight,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,assisted,23.2,44.1,0,right-foot,low-right,0,45.8,19,No information,No information,51,No information,3059,44.1,23.2,54.2,0,54.2,81,40,2341,shot
benjamin-pavard,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,goal,regular,regular,20.1,60.6,0,right-foot,high-left,0,52.3,31,No information,No information,50,No information,2967,60.6,20.1,47.7,0,47.7,69,41,2433,shot
dara-oshea,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,block,No information,set-piece,8.1,35.6,0,right-foot,low-centre,0,50.6,19,No information,No information,40,No information,2369,35.6,8.1,49.4,0,49.4,81,6,331,shot
john-egan,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,ireland,miss,No information,set-piece,12.7,56.8,0,head,left,0,69.4,13.9,No information,No information,40,No information,2367,56.8,12.7,30.6,0,30.6,86.1,6,333,shot
antoine-griezmann,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,miss,No information,assisted,8.4,63.2,0,head,close-right,0,42.2,30.6,No information,No information,38,No information,2276,63.2,8.4,57.8,0,57.8,69.4,8,424,shot
antoine-griezmann,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,block,No information,assisted,11.3,46.1,0,left-foot,low-centre,0,51.7,19,No information,No information,32,No information,1878,46.1,11.3,48.3,0,48.3,81,14,822,shot
theo-hernandez,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,block,No information,assisted,25.2,31.3,0,left-foot,low-centre,0,49.3,19,No information,No information,32,No information,1877,31.3,25.2,50.7,0,50.7,81,14,823,shot
olivier-giroud,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,miss,No information,corner,9,49.7,0,head,right,0,37,11.1,No information,No information,24,No information,1417,49.7,9,63,0,63,88.9,22,1283,shot
kylian-mbappe,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,block,No information,assisted,18.9,52.1,0,right-foot,low-right,0,47.2,19,No information,No information,16,No information,942,52.1,18.9,52.8,0,52.8,81,30,1758,shot
olivier-giroud,https://www.sofascore.com/ireland-france/GObsTTb#id:10752399,france,block,No information,assisted,7.8,37.1,0,left-foot,low-left,0,53.3,19,No information,No information,9,No information,482,37.1,7.8,46.7,0,46.7,81,37,2218,shot

joakim-maehle,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,miss,No information,throw-in-set-piece,27.6,52.2,0,right-foot,high,0,48.6,77.8,No information,No information,90,7,5796,52.2,27.6,51.4,0,51.4,22.2,1,504,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,save,No information,fast-break,19.3,31.3,0,right-foot,low-centre,0,51.6,7.6,No information,No information,90,1,5418,31.3,19.3,48.4,0,48.4,92.4,1,882,shot
joachim-andersen,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,block,No information,assisted,25,66.1,0,left-foot,low-centre,0,49.5,19,No information,No information,89,No information,5298,66.1,25,50.5,0,50.5,81,2,102,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,goal,regular,assisted,2,46.4,0,right-foot,low-left,0,53.6,19.6,No information,No information,86,No information,5109,46.4,2,46.4,0,46.4,80.4,5,291,shot
pierre-emile-hojbjerg,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,miss,No information,assisted,27.5,59.8,0,right-foot,left,0,61.7,5.6,No information,No information,84,No information,5037,59.8,27.5,38.3,0,38.3,94.4,7,363,shot
martin-braithwaite,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,post,No information,assisted,10.3,60,0,right-foot,right,0,44.5,12.7,No information,No information,81,No information,4815,60,10.3,55.5,0,55.5,87.3,10,585,shot
adrien-rabiot,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,corner,7.5,63.7,0,left-foot,close-high-right,0,42.2,56.9,No information,No information,80,No information,4742,63.7,7.5,57.8,0,57.8,43.1,11,658,shot
jules-kounde,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,corner,8.1,50.5,0,head,low-centre,0,50.6,19,No information,No information,79,No information,4700,50.5,8.1,49.4,0,49.4,81,12,700,shot
aurelien-tchouameni,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,corner,5.4,47.2,0,head,low-centre,0,49.6,19,No information,No information,78,No information,4657,47.2,5.4,50.4,0,50.4,81,13,743,shot
christian-eriksen,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,block,No information,corner,25.2,53.9,0,left-foot,low-centre,0,48.9,19,No information,No information,74,No information,4397,53.9,25.2,51.1,0,51.1,81,17,1003,shot
jesper-lindstrom,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,save,No information,assisted,11.4,40.2,0,right-foot,low-centre,0,49.7,17.1,No information,No information,73,No information,4340,40.2,11.4,50.3,0,50.3,82.9,18,1060,shot
andreas-christensen,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,goal,regular,corner,6.1,48.2,0,head,high-centre,0,49.7,25.9,No information,No information,68,No information,4035,48.2,6.1,50.3,0,50.3,74.1,23,1365,shot
joachim-andersen,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,miss,No information,corner,8.1,56,0,head,left,0,85.2,6.9,No information,No information,68,No information,4034,56,8.1,14.8,0,14.8,93.1,23,1366,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,goal,regular,assisted,8.3,40.1,0,right-foot,low-centre,0,50,7,No information,No information,61,No information,3625,40.1,8.3,50,0,50,93,30,1775,shot
antoine-griezmann,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,assisted,15.2,47.9,0,left-foot,high-left,0,57.1,84.7,No information,No information,60,No information,3541,47.9,15.2,42.9,0,42.9,15.3,31,1859,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,save,No information,assisted,13.6,32.2,0,left-foot,high-left,0,52.4,29.1,No information,No information,56,No information,3359,32.2,13.6,47.6,0,47.6,70.9,35,2041,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,21.9,24.4,0,right-foot,low-centre,0,49.6,19,No information,No information,45,3,2845,24.4,21.9,50.4,0,50.4,81,1,2555,shot
christian-eriksen,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,miss,No information,regular,33,52.7,0,right-foot,left,0,61.2,5.6,No information,No information,45,No information,2683,52.7,33,38.8,0,38.8,94.4,1,17,shot
kylian-mbappe,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,assisted,13.9,53.3,0,right-foot,high,0,44.9,93.1,No information,No information,40,No information,2374,53.3,13.9,55.1,0,55.1,6.9,6,326,shot
olivier-giroud,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,assisted,9.5,56.3,0,head,right,0,40.3,5.6,No information,No information,37,No information,2193,56.3,9.5,59.7,0,59.7,94.4,9,507,shot
andreas-cornelius,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,denmark,miss,No information,fast-break,13.8,70.9,0,right-foot,close-right,0,43,19.4,No information,No information,36,No information,2117,70.9,13.8,57,0,57,80.6,10,583,shot
adrien-rabiot,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,regular,18.2,25.5,0,left-foot,low-right,0,46.8,19,No information,No information,34,No information,2016,25.5,18.2,53.2,0,53.2,81,12,684,shot
ousmane-dembele,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,10.5,59.4,0,left-foot,low-right,0,47.8,19,No information,No information,33,No information,1975,59.4,10.5,52.2,0,52.2,81,13,725,shot
aurelien-tchouameni,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,19.5,48.9,0,right-foot,low-left,0,52.7,19,No information,No information,33,No information,1972,48.9,19.5,47.3,0,47.3,81,13,728,shot
antoine-griezmann,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,save,No information,assisted,3.6,28.7,0,left-foot,low-centre,0,51.3,3.2,No information,No information,33,No information,1968,28.7,3.6,48.7,0,48.7,96.8,13,732,shot
jules-kounde,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,9.5,68.6,0,right-foot,low-left,0,53.6,19,No information,No information,30,No information,1793,68.6,9.5,46.4,0,46.4,81,16,907,shot
adrien-rabiot,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,save,No information,set-piece,9.3,54.6,0,head,low-centre,0,51.8,16.5,No information,No information,21,No information,1218,54.6,9.3,48.2,0,48.2,83.5,25,1482,shot
olivier-giroud,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,regular,7.9,49.7,0,head,left,0,71.1,11.1,No information,No information,15,No information,893,49.7,7.9,28.9,0,28.9,88.9,31,1807,shot
raphael-varane,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,miss,No information,corner,7.3,55.7,0,head,left,0,60.5,15.3,No information,No information,13,No information,755,55.7,7.3,39.5,0,39.5,84.7,33,1945,shot
adrien-rabiot,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,4.9,56.3,0,head,low-centre,0,48.3,19,No information,No information,10,No information,549,56.3,4.9,51.7,0,51.7,81,36,2151,shot
ousmane-dembele,https://www.sofascore.com/france-denmark/BObsGOb#id:10230577,france,block,No information,assisted,20.8,48.5,0,right-foot,low-centre,0,50.9,19,No information,No information,6,No information,321,48.5,20.8,49.1,0,49.1,81,40,2379,shot

miralem-pjanic,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,bosnia & herzegovina,miss,No information,free-kick,27.1,54.6,0,right-foot,close-high,0,48.4,59.7,No information,No information,90,No information,5369,54.6,27.1,51.6,0,51.6,40.3,1,31,shot
smail-prevljak,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,bosnia & herzegovina,miss,No information,assisted,15,40.6,0,right-foot,high-right,0,43,88.9,No information,No information,86,No information,5114,40.6,15,57,0,57,11.1,5,286,shot
edin-dzeko,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,bosnia & herzegovina,miss,No information,assisted,6.5,69.7,0,right-foot,left,0,99.5,6.9,No information,No information,80,No information,4788,69.7,6.5,0.5,0,0.5,93.1,11,612,shot
paul-pogba,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,france,block,No information,regular,23.1,32.6,0,right-foot,low-right,0,47.7,19,No information,No information,77,No information,4590,32.6,23.1,52.3,0,52.3,81,14,810,shot
leo-dubois,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,france,miss,No information,assisted,28.7,50,0,right-foot,right,0,39.7,13.9,No information,No information,61,No information,3640,50,28.7,60.3,0,60.3,86.1,30,1760,shot
raphael-varane,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,france,miss,No information,corner,7.9,48.1,0,head,left,0,99.8,4.2,No information,No information,45,1,2715,48.1,7.9,0.2,0,0.2,95.8,1,2685,shot
antoine-griezmann,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,france,miss,No information,regular,22.6,56.1,0,left-foot,close-left,0,57.6,6.9,No information,No information,44,No information,2628,56.1,22.6,42.4,0,42.4,93.1,2,72,shot
antoine-griezmann,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,france,goal,regular,corner,3.3,40.9,0,other,low-centre,0,51.8,8.2,No information,No information,39,No information,2289,40.9,3.3,48.2,0,48.2,91.8,7,411,shot
edin-dzeko,https://www.sofascore.com/france-bosnia-and-herzegovina/EObsGOb#id:9223803,bosnia & herzegovina,goal,regular,regular,22,39.5,0,left-foot,low-right,0,47.3,3.8,No information,No information,36,No information,2112,39.5,22,52.7,0,52.7,96.2,10,588,shot
