Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
enis-bardhi,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,save,No information,free-kick,22.5,19.4,0,right-foot,low-left,0,52.3,3.8,No information,No information,88,No information,5235,19.4,22.5,47.7,0,47.7,96.2,3,165,shot
otar-kiteishvili,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,goal,regular,set-piece,4.3,54.6,0,right-foot,low-right,0,46,3.2,No information,No information,84,No information,4992,54.6,4.3,54,0,54,96.8,7,408,shot
eljif-elmas,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,miss,No information,assisted,15.7,26,0,left-foot,right,0,29.4,2.8,No information,No information,77,No information,4569,26,15.7,70.6,0,70.6,97.2,14,831,shot
enis-bardhi,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,miss,No information,assisted,22.5,24.4,0,right-foot,high-right,0,37.8,91.7,No information,No information,69,No information,4138,24.4,22.5,62.2,0,62.2,8.3,22,1262,shot
otar-kakabadze,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,miss,No information,assisted,15.4,65.8,0,right-foot,close-high-right,0,43.2,58.3,No information,No information,68,No information,4024,65.8,15.4,56.8,0,56.8,41.7,23,1376,shot
khvicha-kvaratskhelia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,goal,regular,assisted,29.6,51.8,0,right-foot,low-centre,0,51.6,15.8,No information,No information,62,No information,3673,51.8,29.6,48.4,0,48.4,84.2,29,1727,shot
eljif-elmas,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,block,No information,assisted,19.4,38,0,right-foot,low-centre,0,50.7,19,No information,No information,58,No information,3470,38,19.4,49.3,0,49.3,81,33,1930,shot
zuriko-davitashvili,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,miss,No information,fast-break,8.1,54,0,head,close-high-left,0,58.5,56.9,No information,No information,53,No information,3175,54,8.1,41.5,0,41.5,43.1,38,2225,shot
budu-zivzivadze,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,goal,regular,regular,12.8,48.7,0,left-foot,low-right,0,46.1,2.5,No information,No information,52,No information,3081,48.7,12.8,53.9,0,53.9,97.5,39,2319,shot
stefan-askovski,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,miss,No information,assisted,23.8,76.3,0,left-foot,left,0,99.8,1.4,No information,No information,51,No information,3034,76.3,23.8,0.2,0,0.2,98.6,40,2366,shot
