Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
serge-gnabry,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,block,No information,assisted,18.7,69.9,0,left-foot,low-centre,0,48.8,19,No information,No information,90,3,5531,69.9,18.7,51.2,0,51.2,81,1,769,shot
serge-gnabry,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,block,No information,corner,14.6,67.6,0,right-foot,low-right,0,47.7,19,No information,No information,90,No information,5380,67.6,14.6,52.3,0,52.3,81,1,20,shot
ridvan-kardesoglu,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,liechtenstein,miss,No information,set-piece,12.5,61.3,0,head,left,0,67.2,2.8,No information,No information,88,No information,5271,61.3,12.5,32.8,0,32.8,97.2,3,129,shot
niklas-sule,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,miss,No information,corner,9.3,47,0,head,high,0,51.3,75,No information,No information,80,No information,4755,47,9.3,48.7,0,48.7,25,11,645,shot
leroy-sane,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,goal,regular,assisted,11.5,34,0,left-foot,low-right,0,45.5,1.3,No information,No information,77,No information,4602,34,11.5,54.5,0,54.5,98.7,14,798,shot
timo-werner,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,miss,No information,assisted,8.6,42.7,0,head,high,0,52.8,73.6,No information,No information,75,No information,4453,42.7,8.6,47.2,0,47.2,26.4,16,947,shot
marco-reus,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,block,No information,corner,14.7,31.8,0,right-foot,low-left,0,54.7,19,No information,No information,73,No information,4361,31.8,14.7,45.3,0,45.3,81,18,1039,shot
thilo-kehrer,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,miss,No information,corner,8.8,40.6,0,other,high,0,51.1,68.1,No information,No information,71,No information,4242,40.6,8.8,48.9,0,48.9,31.9,20,1158,shot
robin-gosens,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,block,No information,regular,15.3,41.6,0,right-foot,low-left,0,52.2,19,No information,No information,68,No information,4035,41.6,15.3,47.8,0,47.8,81,23,1365,shot
niklas-sule,https://www.sofascore.com/liechtenstein-germany/lUbsFWb#id:9223820,germany,miss,No information,assisted,24.1,29.9,0,right-foot,high-right,0,41.3,77.8,No information,No information,67,No information,3981,29.9,24.1,58.7,0,58.7,22.2,24,1419,shot
