Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
willi-orban,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,block,No information,corner,12.1,63.3,0,head,low-left,0,52.2,19,No information,No information,88,No information,5225,63.3,12.1,47.8,0,47.8,81,3,175,shot
filip-holender,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,save,No information,regular,18.3,33.5,0,right-foot,high-right,0,47.4,24.1,No information,No information,85,No information,5041,33.5,18.3,52.6,0,52.6,75.9,6,359,shot
filip-holender,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,save,No information,assisted,20.5,25.4,0,right-foot,low-centre,0,50.7,9.5,No information,No information,79,No information,4737,25.4,20.5,49.3,0,49.3,90.5,12,663,shot
nemanja-nikolics,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,goal,regular,assisted,2.9,46.1,0,right-foot,high-left,0,52.6,24.7,No information,No information,70,No information,4190,46.1,2.9,47.4,0,47.4,75.3,21,1210,shot
dominik-szoboszlai,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,miss,No information,free-kick,29,35.3,0,right-foot,high,0,46.7,75,No information,No information,67,No information,4015,35.3,29,53.3,0,53.3,25,24,1385,shot
roland-sallai,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,goal,regular,assisted,13.7,48.7,0,left-foot,low-centre,0,51.5,18.4,No information,No information,62,No information,3698,48.7,13.7,48.5,0,48.5,81.6,29,1702,shot
roman-zobnin,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,miss,No information,assisted,22.4,60.6,0,right-foot,close-left,0,57.5,22.2,No information,No information,56,No information,3356,60.6,22.4,42.5,0,42.5,77.8,35,2044,shot
dominik-szoboszlai,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,save,No information,fast-break,11.2,38.8,0,left-foot,low-centre,0,50.3,0.6,No information,No information,51,No information,3037,38.8,11.2,49.7,0,49.7,99.4,40,2363,shot
mario-fernandes,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,goal,regular,assisted,7.1,56.9,0,right-foot,low-centre,0,51,1.3,No information,No information,46,No information,2740,56.9,7.1,49,0,49,98.7,45,2660,shot
magomed-ozdoev,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,miss,No information,assisted,24.2,56.9,0,right-foot,high-right,0,43,79.2,No information,No information,40,No information,2343,56.9,24.2,57,0,57,20.8,6,357,shot
magomed-ozdoev,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,goal,regular,set-piece,15.5,51,0,left-foot,low-left,0,54.3,10.8,No information,No information,33,No information,1974,51,15.5,45.7,0,45.7,89.2,13,726,shot
david-siger,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,miss,No information,assisted,25.7,40.4,0,left-foot,right,0,35.8,2.8,No information,No information,29,No information,1724,40.4,25.7,64.2,0,64.2,97.2,17,976,shot
barnabas-bese,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,save,No information,corner,10.4,57.6,0,head,low-centre,0,50.4,13.9,No information,No information,26,No information,1558,57.6,10.4,49.6,0,49.6,86.1,20,1142,shot
roland-sallai,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,hungary,block,No information,regular,11.7,58.5,0,right-foot,low-right,0,48,19,No information,No information,22,No information,1269,58.5,11.7,52,0,52,81,24,1431,shot
anton-miranchuk,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,goal,regular,assisted,11,45.4,0,right-foot,low-right,0,47.8,1.3,No information,No information,15,No information,890,45.4,11,52.2,0,52.2,98.7,31,1810,shot
anton-miranchuk,https://www.sofascore.com/hungary-russia/UTbsjUb#id:8600811,russia,miss,No information,assisted,11.7,56.9,0,right-foot,close-right,0,43.2,1.4,No information,No information,5,No information,294,56.9,11.7,56.8,0,56.8,98.6,41,2406,shot

cristiano-ronaldo,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,goal,regular,assisted,4.8,52.8,0,left-foot,low-centre,0,48.6,1.3,No information,No information,90,2,5502,52.8,4.8,51.4,0,51.4,98.7,1,798,shot
cristiano-ronaldo,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,goal,penalty,penalty,11.5,50,0,right-foot,low-right,0,46.6,9.5,No information,No information,87,No information,5201,50,11.5,53.4,0,53.4,90.5,4,199,shot
raphael-guerreiro,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,goal,regular,regular,12.6,54.5,0,left-foot,low-left,0,54.5,1.3,No information,No information,84,No information,5023,54.5,12.6,45.5,0,45.5,98.7,7,377,shot
adam-szalai,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,hungary,miss,No information,regular,27.8,32.1,0,right-foot,high-right,0,33.1,43.1,No information,No information,75,No information,4469,32.1,27.8,66.9,0,66.9,56.9,16,931,shot
bruno-fernandes,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,miss,No information,assisted,7.4,74.2,0,left-foot,left,0,62.5,18.1,No information,No information,70,No information,4160,74.2,7.4,37.5,0,37.5,81.9,21,1240,shot
roland-sallai,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,hungary,miss,No information,assisted,15.5,49.7,0,right-foot,close-left,0,57.3,5.6,No information,No information,69,No information,4131,49.7,15.5,42.7,0,42.7,94.4,22,1269,shot
bruno-fernandes,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,save,No information,assisted,27.1,54,0,right-foot,low-right,0,47.5,8.2,No information,No information,68,No information,4031,54,27.1,52.5,0,52.5,91.8,23,1369,shot
roland-sallai,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,hungary,save,No information,regular,19.5,33.4,0,left-foot,high-left,0,51.9,21.5,No information,No information,57,No information,3387,33.4,19.5,48.1,0,48.1,78.5,34,2013,shot
adam-szalai,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,hungary,save,No information,assisted,28.5,34.4,0,right-foot,low-centre,0,50,8.2,No information,No information,50,No information,2968,34.4,28.5,50,0,50,91.8,41,2432,shot
pepe,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,save,No information,corner,9.9,43.7,0,head,low-left,0,53.9,13.3,No information,No information,47,No information,2812,43.7,9.9,46.1,0,46.1,86.7,44,2588,shot
cristiano-ronaldo,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,miss,No information,assisted,6.3,49.3,0,right-foot,close-high,0,51.4,58.3,No information,No information,43,No information,2561,49.3,6.3,48.6,0,48.6,41.7,3,139,shot
diogo-jota,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,save,No information,assisted,8,54.2,0,left-foot,low-centre,0,50.1,5.1,No information,No information,40,No information,2377,54.2,8,49.9,0,49.9,94.9,6,323,shot
adam-szalai,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,hungary,save,No information,set-piece,12.1,44.5,0,head,high-centre,0,48.8,21.5,No information,No information,37,No information,2163,44.5,12.1,51.2,0,51.2,78.5,9,537,shot
cristiano-ronaldo,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,miss,No information,assisted,7,46.4,0,head,left,0,69.9,25,No information,No information,30,No information,1787,46.4,7,30.1,0,30.1,75,16,913,shot
diogo-jota,https://www.sofascore.com/hungary-portugal/eUbsjUb#id:8602461,portugal,miss,No information,set-piece,12.2,54.2,0,right-foot,high-right,0,41.3,93.1,No information,No information,9,No information,494,54.2,12.2,58.7,0,58.7,6.9,37,2206,shot
