Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
jude-bellingham,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,assisted,8,51.4,0,head,close-high,0,50.6,55.6,No information,No information,90,6,5716,51.4,8,49.4,0,49.4,44.4,1,584,shot
declan-rice,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,assisted,22.1,27.9,0,right-foot,low-right,0,47.1,10.1,No information,No information,90,3,5541,27.9,22.1,52.9,0,52.9,89.9,1,759,shot
wilfried-gnonto,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,assisted,9.8,28.4,0,left-foot,low-centre,0,49,19,No information,No information,90,1,5401,28.4,9.8,51,0,51,81,1,899,shot
bryan-cristante,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,miss,No information,assisted,15.2,56.5,0,left-foot,high-left,0,57.3,91.7,No information,No information,88,No information,5249,56.5,15.2,42.7,0,42.7,8.3,3,151,shot
manolo-gabbiadini,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,save,No information,assisted,13.8,34.7,0,left-foot,low-centre,0,51.1,2.5,No information,No information,85,No information,5041,34.7,13.8,48.9,0,48.9,97.5,6,359,shot
jude-bellingham,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,assisted,19.6,35,0,left-foot,high-left,0,61.8,83.3,No information,No information,83,No information,4974,35,19.6,38.2,0,38.2,16.7,8,426,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,regular,5.7,69.5,0,right-foot,low-centre,0,48.6,15.8,No information,No information,77,No information,4566,69.5,5.7,51.4,0,51.4,84.2,14,834,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,assisted,6.5,71.8,0,right-foot,low-centre,0,51.6,15.8,No information,No information,77,No information,4564,71.8,6.5,48.4,0,48.4,84.2,14,836,shot
eric-dier,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,set-piece,13.1,49.7,0,head,high-right,0,40.7,79.2,No information,No information,71,No information,4236,49.7,13.1,59.3,0,59.3,20.8,20,1164,shot
giacomo-raspadori,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,goal,regular,assisted,15.6,32.1,0,right-foot,low-right,0,45.6,16.5,No information,No information,68,No information,4055,32.1,15.6,54.4,0,54.4,83.5,23,1345,shot
wilfried-gnonto,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,corner,12.7,76.7,0,right-foot,low-left,0,52.8,19,No information,No information,65,No information,3898,76.7,12.7,47.2,0,47.2,81,26,1502,shot
