Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
yunus-musah,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,block,No information,assisted,14.7,54.6,0,right-foot,low-right,0,48,19,No information,No information,90,4,5609,54.6,14.7,52,0,52,81,1,691,shot
giovanni-reyna,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,block,No information,assisted,15.8,67.7,0,left-foot,low-right,0,46.2,19,No information,No information,89,No information,5328,67.7,15.8,53.8,0,53.8,81,2,72,shot
zimmerman-walker,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,miss,No information,corner,13.1,54.4,0,right-foot,left,0,60.5,36.1,No information,No information,86,No information,5125,54.4,13.1,39.5,0,39.5,63.9,5,275,shot
denzel-dumfries,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,netherlands,goal,regular,assisted,7.6,54.7,0,left-foot,low-left,0,53,10.8,No information,No information,81,No information,4829,54.7,7.6,47,0,47,89.2,10,571,shot
christian-pulisic,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,save,No information,assisted,19.5,29.7,0,left-foot,low-centre,0,50.8,3.2,No information,No information,79,No information,4687,29.7,19.5,49.2,0,49.2,96.8,12,713,shot
steven-bergwijn,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,netherlands,miss,No information,assisted,9,41.8,0,right-foot,left,0,59.3,9.7,No information,No information,78,No information,4641,41.8,9,40.7,0,40.7,90.3,13,759,shot
haji-wright,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,goal,regular,assisted,4.4,56,0,right-foot,low-left,0,53.6,15.2,No information,No information,76,No information,4522,56,4.4,46.4,0,46.4,84.8,15,878,shot
haji-wright,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,block,No information,regular,3.9,72.2,0,right-foot,low-right,0,46.7,6.9,No information,No information,75,No information,4454,72.2,3.9,53.3,0,53.3,93.1,16,946,shot
giovanni-reyna,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,miss,No information,assisted,20.2,64.3,0,left-foot,high-left,0,75.5,47.2,No information,No information,74,No information,4393,64.3,20.2,24.5,0,24.5,52.8,17,1007,shot
memphis-depay,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,netherlands,save,No information,regular,5.3,42.7,0,head,low-centre,0,50.6,8.2,No information,No information,71,No information,4254,42.7,5.3,49.4,0,49.4,91.8,20,1146,shot
