Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
lois-openda,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,assisted,3.9,57.9,0,right-foot,low-centre,0,50,1.9,No information,No information,90,3,5570,57.9,3.9,50,0,50,98.1,1,730,shot
matty-cash,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,miss,No information,assisted,13.1,68.4,0,left-foot,high,0,54.3,63.9,No information,No information,90,2,5480,68.4,13.1,45.7,0,45.7,36.1,1,820,shot
adam-buksa,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,block,No information,assisted,7.8,43.7,0,left-foot,low-centre,0,49,19,No information,No information,88,No information,5240,43.7,7.8,51,0,51,81,3,160,shot
nicola-zalewski,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,miss,No information,regular,10.8,42.7,0,right-foot,close-right,0,42.4,8.3,No information,No information,87,No information,5209,42.7,10.8,57.6,0,57.6,91.7,4,191,shot
leander-dendoncker,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,assisted,27.3,67,0,right-foot,low-left,0,54,4.4,No information,No information,83,No information,4977,67,27.3,46,0,46,95.6,8,423,shot
leandro-trossard,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,corner,13.4,21.5,0,right-foot,high-right,0,46.1,30.4,No information,No information,80,No information,4779,21.5,13.4,53.9,0,53.9,69.6,11,621,shot
michy-batshuayi,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,miss,No information,assisted,4.3,52,0,other,close-high,0,50.3,56.9,No information,No information,77,No information,4595,52,4.3,49.7,0,49.7,43.1,14,805,shot
leandro-trossard,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,assisted,6.5,62.9,0,left-foot,low-right,0,46.3,3.2,No information,No information,73,No information,4326,62.9,6.5,53.7,0,53.7,96.8,18,1074,shot
eden-hazard,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,save,No information,assisted,10.9,53.1,0,left-foot,low-centre,0,49.6,7.6,No information,No information,63,No information,3774,53.1,10.9,50.4,0,50.4,92.4,28,1626,shot
yannick-carrasco,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,block,No information,assisted,21.5,34.3,0,right-foot,low-centre,0,50.8,19,No information,No information,62,No information,3680,34.3,21.5,49.2,0,49.2,81,29,1720,shot
kevin-de-bruyne,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,assisted,11.2,39.5,0,right-foot,low-right,0,47.7,5.7,No information,No information,59,No information,3524,39.5,11.2,52.3,0,52.3,94.3,32,1876,shot
timothy-castagne,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,miss,No information,assisted,20.1,73.8,0,right-foot,close-left,0,58.7,1.4,No information,No information,59,No information,3484,73.8,20.1,41.3,0,41.3,98.6,32,1916,shot
eden-hazard,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,save,No information,corner,17.7,32.6,0,right-foot,low-right,0,46.7,6.3,No information,No information,57,No information,3390,32.6,17.7,53.3,0,53.3,93.7,34,2010,shot
leander-dendoncker,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,save,No information,corner,7.3,50.2,0,head,low-left,0,53,14.6,No information,No information,57,No information,3384,50.2,7.3,47,0,47,85.4,34,2016,shot
yannick-carrasco,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,block,No information,regular,19.6,32.8,0,right-foot,low-right,0,46.4,19,No information,No information,56,No information,3347,32.8,19.6,53.6,0,53.6,81,35,2053,shot
piotr-zielinski,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,block,No information,assisted,20.1,51.3,0,left-foot,low-centre,0,49.2,19,No information,No information,56,No information,3308,51.3,20.1,50.8,0,50.8,81,35,2092,shot
timothy-castagne,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,save,No information,assisted,9.9,61.7,0,head,low-left,0,54.5,13.3,No information,No information,44,No information,2586,61.7,9.9,45.5,0,45.5,86.7,2,114,shot
axel-witsel,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,goal,regular,assisted,19.2,59,0,right-foot,low-right,0,46,19,No information,No information,42,No information,2469,59,19.2,54,0,54,81,4,231,shot
kevin-de-bruyne,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,save,No information,assisted,5.1,31.5,0,right-foot,low-centre,0,51.6,8.9,No information,No information,42,No information,2464,31.5,5.1,48.4,0,48.4,91.1,4,236,shot
robert-lewandowski,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,goal,regular,assisted,7.8,46.4,0,left-foot,low-left,0,53,13.9,No information,No information,28,No information,1658,46.4,7.8,47,0,47,86.1,18,1042,shot
kevin-de-bruyne,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,miss,No information,assisted,28.8,28.3,0,right-foot,high-right,0,40.2,84.7,No information,No information,11,No information,626,28.3,28.8,59.8,0,59.8,15.3,35,2074,shot
grzegorz-krychowiak,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,poland,block,No information,assisted,21.9,48.2,0,left-foot,low-right,0,46.4,19,No information,No information,5,No information,275,48.2,21.9,53.6,0,53.6,81,41,2425,shot
eden-hazard,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,miss,No information,regular,9.7,51.3,0,right-foot,right,0,39.7,6.9,No information,No information,4,No information,212,51.3,9.7,60.3,0,60.3,93.1,42,2488,shot
michy-batshuayi,https://www.sofascore.com/belgium-poland/dUbsrUb#id:10023334,belgium,post,No information,assisted,12.2,62.7,0,right-foot,left,0,55.1,3.2,No information,No information,4,No information,210,62.7,12.2,44.9,0,44.9,96.8,42,2490,shot

arkadiusz-milik,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,free-kick,27.8,61,0,left-foot,close-right,0,42.4,13.9,No information,No information,90,4,5588,61,27.8,57.6,0,57.6,86.1,1,712,shot
karol-linetty,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,block,No information,assisted,12.4,60.8,0,right-foot,low-centre,0,48.4,19,No information,No information,89,No information,5323,60.8,12.4,51.6,0,51.6,81,2,77,shot
mateusz-klich,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,save,No information,assisted,10.8,45.8,0,head,low-centre,0,48.4,2.5,No information,No information,87,No information,5213,45.8,10.8,51.6,0,51.6,97.5,4,187,shot
maciej-rybus,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,regular,25.4,29.3,0,left-foot,high-left,0,62.4,51.4,No information,No information,84,No information,5034,29.3,25.4,37.6,0,37.6,48.6,7,366,shot
edin-dzeko,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,save,No information,assisted,11.5,38.6,0,left-foot,low-centre,0,48.5,2.5,No information,No information,78,No information,4622,38.6,11.5,51.5,0,51.5,97.5,13,778,shot
elvir-koljic,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,miss,No information,assisted,13,57.9,0,right-foot,close-high,0,51.3,59.7,No information,No information,72,No information,4300,57.9,13,48.7,0,48.7,40.3,19,1100,shot
kamil-grosicki,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,goal,regular,assisted,12,44.1,0,head,low-left,0,53.9,12.7,No information,No information,67,No information,3981,44.1,12,46.1,0,46.1,87.3,24,1419,shot
haris-hajradinovic,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,miss,No information,assisted,14.8,34,0,right-foot,right,0,33.1,9.7,No information,No information,66,No information,3950,34,14.8,66.9,0,66.9,90.3,25,1450,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,regular,22.6,70.7,0,left-foot,high-left,0,64.2,51.4,No information,No information,63,No information,3778,70.7,22.6,35.8,0,35.8,48.6,28,1622,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,regular,25.6,44.1,0,right-foot,close-left,0,59.2,23.6,No information,No information,60,No information,3549,44.1,25.6,40.8,0,40.8,76.4,31,1851,shot
edin-visca,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,miss,No information,assisted,8.5,57.7,0,left-foot,close-right,0,41.8,11.1,No information,No information,59,No information,3505,57.7,8.5,58.2,0,58.2,88.9,32,1895,shot
amir-hadziahmetovic,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,block,No information,regular,28.8,57.9,0,right-foot,low-centre,0,50.9,19,No information,No information,59,No information,3493,57.9,28.8,49.1,0,49.1,81,32,1907,shot
kamil-grosicki,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,regular,26.5,36.7,0,right-foot,left,0,59.3,4.2,No information,No information,57,No information,3367,36.7,26.5,40.7,0,40.7,95.8,34,2033,shot
kamil-glik,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,goal,regular,corner,9.4,50.3,0,head,high-left,0,54.1,26.6,No information,No information,45,No information,2662,50.3,9.4,45.9,0,45.9,73.4,1,38,shot
arkadiusz-milik,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,block,No information,assisted,11.8,34.2,0,left-foot,low-left,0,52.6,19,No information,No information,44,No information,2634,34.2,11.8,47.4,0,47.4,81,2,66,shot
kamil-grosicki,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,save,No information,assisted,7,56.1,0,head,low-centre,0,50.1,10.8,No information,No information,42,No information,2464,56.1,7,49.9,0,49.9,89.2,4,236,shot
kamil-glik,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,corner,9.4,47.8,0,head,close-right,0,43.2,23.6,No information,No information,36,No information,2119,47.8,9.4,56.8,0,56.8,76.4,10,581,shot
piotr-zielinski,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,save,No information,assisted,24.6,60,0,left-foot,low-right,0,45.9,0.6,No information,No information,30,No information,1798,60,24.6,54.1,0,54.1,99.4,16,902,shot
haris-hajradinovic,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,bosnia & herzegovina,goal,penalty,penalty,11.5,50,0,left-foot,low-right,0,45.8,3.2,No information,No information,24,No information,1385,50,11.5,54.2,0,54.2,96.8,22,1315,shot
kamil-jozwiak,https://www.sofascore.com/poland-bosnia-and-herzegovina/EObsdUb#id:8600876,poland,miss,No information,assisted,22.6,67,0,left-foot,right,0,39.2,5.6,No information,No information,21,No information,1223,67,22.6,60.8,0,60.8,94.4,25,1477,shot

smith-matthew,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,miss,No information,corner,11.1,64.3,0,right-foot,high,0,49.6,72.2,No information,No information,90,1,5448,64.3,11.1,50.4,0,50.4,27.8,1,852,shot
smith-matthew,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,block,No information,assisted,8.3,53.1,0,head,low-centre,0,51.4,19,No information,No information,90,1,5416,53.1,8.3,48.6,0,48.6,81,1,884,shot
chris-gunter,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,miss,No information,assisted,17.9,64.5,0,right-foot,left,0,83.4,5.6,No information,No information,89,No information,5306,64.5,17.9,16.6,0,16.6,94.4,2,94,shot
karol-swiderski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,goal,regular,regular,3.1,48.5,0,right-foot,low-centre,0,49.5,8.2,No information,No information,85,No information,5064,48.5,3.1,50.5,0,50.5,91.8,6,336,shot
robert-lewandowski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,assisted,9.7,33.8,0,right-foot,low-centre,0,51.4,19,No information,No information,85,No information,5061,33.8,9.7,48.6,0,48.6,81,6,339,shot
piotr-zielinski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,miss,No information,assisted,22.2,35.6,0,left-foot,left,0,69.9,30.6,No information,No information,83,No information,4922,35.6,22.2,30.1,0,30.1,69.4,8,478,shot
williams-neco,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,miss,No information,assisted,25.7,30.1,0,right-foot,high-right,0,36.8,66.7,No information,No information,81,No information,4811,30.1,25.7,63.2,0,63.2,33.3,10,589,shot
sorba-thomas,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,block,No information,assisted,25.9,31.6,0,right-foot,low-centre,0,50.5,19,No information,No information,78,No information,4645,31.6,25.9,49.5,0,49.5,81,13,755,shot
jakub-kaminski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,goal,regular,assisted,10.1,41,0,right-foot,low-right,0,45.9,7,No information,No information,72,No information,4304,41,10.1,54.1,0,54.1,93,19,1096,shot
piotr-zielinski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,miss,No information,regular,21.2,27.7,0,left-foot,right,0,34.5,5.6,No information,No information,71,No information,4245,27.7,21.2,65.5,0,65.5,94.4,20,1155,shot
mark-harris,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,miss,No information,assisted,25.4,57.5,0,right-foot,left,0,60.7,19.4,No information,No information,65,No information,3885,57.5,25.4,39.3,0,39.3,80.6,26,1515,shot
jacek-goralski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,assisted,14.1,51.8,0,right-foot,low-centre,0,51.6,19,No information,No information,57,No information,3379,51.8,14.1,48.4,0,48.4,81,34,2021,shot
adam-buksa,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,corner,8,56.9,0,head,low-centre,0,49.8,19,No information,No information,57,No information,3375,56.9,8,50.2,0,50.2,81,34,2025,shot
jonathan-williams,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,goal,regular,assisted,22.7,69.4,0,right-foot,low-left,0,53.9,13.9,No information,No information,52,No information,3093,69.4,22.7,46.1,0,46.1,86.1,39,2307,shot
mark-harris,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,block,No information,assisted,18.4,63.7,0,left-foot,low-centre,0,48.3,19,No information,No information,51,No information,3056,63.7,18.4,51.7,0,51.7,81,40,2344,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,regular,20.1,50.9,0,left-foot,low-left,0,52.1,19,No information,No information,45,No information,2670,50.9,20.1,47.9,0,47.9,81,1,30,shot
mateusz-klich,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,assisted,11.4,53.6,0,left-foot,low-centre,0,50.8,19,No information,No information,45,No information,2668,53.6,11.4,49.2,0,49.2,81,1,32,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,block,No information,regular,19.7,56.7,0,left-foot,low-centre,0,48.5,19,No information,No information,40,No information,2371,56.7,19.7,51.5,0,51.5,81,6,329,shot
jacek-goralski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,miss,No information,regular,21.9,52,0,left-foot,close-right,0,41.5,5.6,No information,No information,35,No information,2098,52,21.9,58.5,0,58.5,94.4,11,602,shot
daniel-james,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,miss,No information,fast-break,13.7,35.1,0,right-foot,close-left,0,58.2,9.7,No information,No information,31,No information,1809,35.1,13.7,41.8,0,41.8,90.3,15,891,shot
wes-burns,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,wales,block,No information,corner,16,42.5,0,right-foot,low-centre,0,49.5,19,No information,No information,26,No information,1516,42.5,16,50.5,0,50.5,81,20,1184,shot
robert-lewandowski,https://www.sofascore.com/poland-wales/cUbsdUb#id:10023336,poland,save,No information,regular,12.6,42.8,0,right-foot,low-right,0,47.3,3.2,No information,No information,21,No information,1216,42.8,12.6,52.7,0,52.7,96.8,25,1484,shot
