Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
antoine-griezmann,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,miss,No information,assisted,24,58.4,0,left-foot,high,0,49.1,86.1,No information,No information,86,No information,5128,58.4,24,50.9,0,50.9,13.9,5,272,shot
antoine-griezmann,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,block,No information,assisted,26.2,36.9,0,left-foot,low-left,0,51.9,19,No information,No information,76,No information,4553,36.9,26.2,48.1,0,48.1,81,15,847,shot
joao-palhinha,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,miss,No information,assisted,27.8,72.9,0,right-foot,high-left,0,61.7,94.4,No information,No information,72,No information,4272,72.9,27.8,38.3,0,38.3,5.6,19,1128,shot
karim-benzema,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,miss,No information,assisted,18.9,29.5,0,right-foot,right,0,40,33.3,No information,No information,71,No information,4211,29.5,18.9,60,0,60,66.7,20,1189,shot
paul-pogba,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,miss,No information,assisted,24.2,35.1,0,right-foot,right,0,38.5,5.6,No information,No information,68,No information,4027,35.1,24.2,61.5,0,61.5,94.4,23,1373,shot
antoine-griezmann,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,save,No information,regular,5.3,68.2,0,right-foot,high-left,0,52.3,30.4,No information,No information,68,No information,4020,68.2,5.3,47.7,0,47.7,69.6,23,1380,shot
paul-pogba,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,save,No information,assisted,24.6,58.5,0,right-foot,high-right,0,47.7,27.2,No information,No information,67,No information,4016,58.5,24.6,52.3,0,52.3,72.8,24,1384,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,goal,penalty,penalty,11.5,50,0,right-foot,low-left,0,53.5,1.3,No information,No information,60,No information,3570,50,11.5,46.5,0,46.5,98.7,31,1830,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,miss,No information,assisted,6.3,58.3,0,head,close-right,0,41.2,26.4,No information,No information,49,No information,2918,58.3,6.3,58.8,0,58.8,73.6,42,2482,shot
karim-benzema,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,goal,regular,assisted,9,63.1,0,right-foot,low-left,0,53.9,1.3,No information,No information,47,No information,2804,63.1,9,46.1,0,46.1,98.7,44,2596,shot
karim-benzema,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,miss,No information,assisted,1.2,31.5,0,left-foot,close-left,0,56.6,8.3,No information,No information,45,5,2955,31.5,1.2,43.4,0,43.4,91.7,1,2445,shot
karim-benzema,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,goal,penalty,penalty,11.5,50,0,right-foot,high-left,0,52.9,22.2,No information,No information,45,2,2803,50,11.5,47.1,0,47.1,77.8,1,2597,shot
joao-moutinho,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,miss,No information,assisted,25.6,50.5,0,right-foot,high-right,0,31.4,77.8,No information,No information,41,No information,2404,50.5,25.6,68.6,0,68.6,22.2,5,296,shot
antoine-griezmann,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,miss,No information,assisted,5.1,28.7,0,left-foot,high,0,44.9,97.2,No information,No information,37,No information,2215,28.7,5.1,55.1,0,55.1,2.8,9,485,shot
joao-moutinho,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,miss,No information,assisted,23.2,66.8,0,left-foot,high-left,0,70.9,54.2,No information,No information,34,No information,2009,66.8,23.2,29.1,0,29.1,45.8,12,691,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,goal,penalty,penalty,11.5,50,0,right-foot,low-left,0,52,5.1,No information,No information,31,No information,1800,50,11.5,48,0,48,94.9,15,900,shot
danilo-pereira,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,save,No information,set-piece,7.6,49.8,0,head,high-centre,0,50.4,31,No information,No information,27,No information,1613,49.8,7.6,49.6,0,49.6,69,19,1087,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,miss,No information,regular,14.5,32,0,left-foot,right,0,29.1,8.3,No information,No information,20,No information,1170,32,14.5,70.9,0,70.9,91.7,26,1530,shot
kylian-mbappe,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,france,save,No information,assisted,18.4,40.4,0,right-foot,high-right,0,47.1,27.8,No information,No information,16,No information,949,40.4,18.4,52.9,0,52.9,72.2,30,1751,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,save,No information,assisted,11.8,46.7,0,head,high-centre,0,49.6,32.3,No information,No information,6,No information,326,46.7,11.8,50.4,0,50.4,67.7,40,2374,shot
renato-sanches,https://www.sofascore.com/portugal-france/GObseUb#id:8513116,portugal,save,No information,assisted,26.8,55.1,0,right-foot,high-centre,0,50,22.8,No information,No information,4,No information,195,55.1,26.8,50,0,50,77.2,42,2505,shot

cristiano-ronaldo,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,save,No information,assisted,5.9,67.8,0,right-foot,low-right,0,46.4,1.9,No information,No information,90,No information,5393,67.8,5.9,53.6,0,53.6,98.1,1,7,shot
alvaro-morata,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,goal,regular,assisted,2.1,50.5,0,left-foot,high-centre,0,50.1,24.7,No information,No information,88,No information,5252,50.5,2.1,49.9,0,49.9,75.3,3,148,shot
nico-williams,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,21.8,72.8,0,left-foot,low-right,0,47.1,3.2,No information,No information,84,No information,5012,72.8,21.8,52.9,0,52.9,96.8,7,388,shot
alvaro-morata,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,24.2,58.5,0,left-foot,low-left,0,52.7,1.3,No information,No information,77,No information,4572,58.5,24.2,47.3,0,47.3,98.7,14,828,shot
nico-williams,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,14.7,25.8,0,right-foot,low-right,0,47.1,1.3,No information,No information,74,No information,4385,25.8,14.7,52.9,0,52.9,98.7,17,1015,shot
