Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
dennis-man,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,miss,No information,regular,27.6,81.6,0,left-foot,high,0,54.5,76.4,No information,No information,89,No information,5332,81.6,27.6,45.5,0,45.5,23.6,2,68,shot
dennis-man,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,block,No information,corner,18.1,69.7,0,left-foot,low-centre,0,49.9,19,No information,No information,87,No information,5211,69.7,18.1,50.1,0,50.1,81,4,189,shot
alexandru-cicaldau,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,save,No information,regular,21.8,43.3,0,right-foot,low-left,0,53.2,1.9,No information,No information,85,No information,5041,43.3,21.8,46.8,0,46.8,98.1,6,359,shot
deian-sorescu,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,miss,No information,regular,17.5,41.2,0,right-foot,close-left,0,58.7,5.6,No information,No information,83,No information,4965,41.2,17.5,41.3,0,41.3,94.4,8,435,shot
dennis-man,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,miss,No information,assisted,8.8,54.2,0,left-foot,left,0,66.1,9.7,No information,No information,81,No information,4851,54.2,8.8,33.9,0,33.9,90.3,10,549,shot
alexandru-cicaldau,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,block,No information,set-piece,19,50.7,0,right-foot,low-centre,0,49.9,19,No information,No information,79,No information,4696,50.7,19,50.1,0,50.1,81,12,704,shot
razvan-marin,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,block,No information,assisted,7.5,42.7,0,right-foot,low-centre,0,51.3,19,No information,No information,74,No information,4392,42.7,7.5,48.7,0,48.7,81,17,1008,shot
razvan-marin,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,save,No information,assisted,16.1,55,0,left-foot,low-centre,0,49,1.3,No information,No information,73,No information,4336,55,16.1,51,0,51,98.7,18,1064,shot
razvan-marin,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,post,No information,corner,27.5,55.5,0,right-foot,left,0,55.4,10.1,No information,No information,61,No information,3601,55.5,27.5,44.6,0,44.6,89.9,30,1799,shot
jovan-markovic,https://www.sofascore.com/liechtenstein-romania/CObsFWb#id:9223815,romania,block,No information,assisted,24.8,29.5,0,right-foot,low-left,0,54.2,19,No information,No information,59,No information,3512,29.5,24.8,45.8,0,45.8,81,32,1888,shot
