Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
lawrence-shankland,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,save,No information,fast-break,11.8,35.3,0,left-foot,low-left,0,52.6,3.2,No information,No information,90,6,5734,35.3,11.8,47.4,0,47.4,96.8,1,566,shot
yeremy-pino,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,spain,miss,No information,corner,22.7,54.8,0,right-foot,right,0,40.5,23.6,No information,No information,90,3,5560,54.8,22.7,59.5,0,59.5,76.4,1,740,shot
ryan-christie,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,miss,No information,corner,26.1,49.8,0,right-foot,right,0,31.3,26.4,No information,No information,66,No information,3942,49.8,26.1,68.7,0,68.7,73.6,25,1458,shot
iago-aspas,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,spain,miss,No information,assisted,8.8,58.9,0,left-foot,high,0,49.2,76.4,No information,No information,62,No information,3678,58.9,8.8,50.8,0,50.8,23.6,29,1722,shot
john-mcginn,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,post,No information,free-kick,11.6,93.1,0,left-foot,high,0,46.1,38.6,No information,No information,57,No information,3402,93.1,11.6,53.9,0,53.9,61.4,34,1998,shot
scott-mctominay,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,goal,regular,fast-break,13.7,42,0,left-foot,low-left,0,53.2,8.2,No information,No information,51,No information,3054,42,13.7,46.8,0,46.8,91.8,40,2346,shot
ryan-christie,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,miss,No information,set-piece,18.6,46.2,0,left-foot,left,0,68.6,9.7,No information,No information,50,No information,2955,46.2,18.6,31.4,0,31.4,90.3,41,2445,shot
rodri,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,spain,save,No information,assisted,21.9,58.7,0,left-foot,low-centre,0,50.2,5.1,No information,No information,47,No information,2763,58.7,21.9,49.8,0,49.8,94.9,44,2637,shot
lyndon-dykes,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,scotland,miss,No information,fast-break,9.7,37.6,0,right-foot,high,0,45.2,62.5,No information,No information,45,2,2777,37.6,9.7,54.8,0,54.8,37.5,1,2623,shot
yeremy-pino,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,spain,miss,No information,corner,15.2,58.8,0,right-foot,high,0,48.6,65.3,No information,No information,30,No information,1769,58.8,15.2,51.4,0,51.4,34.7,16,931,shot
