Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
ivan-ilic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,assisted,25.4,39.2,0,left-foot,low-centre,0,50.3,19,No information,No information,90,3,5554,39.2,25.4,49.7,0,49.7,81,1,746,shot
sergej-milinkovic-savic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,miss,No information,assisted,25.7,35.2,0,right-foot,close-high-right,0,40.8,45.8,No information,No information,89,No information,5297,35.2,25.7,59.2,0,59.2,54.2,2,103,shot
veljko-birmancevic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,corner,21.5,44.3,0,right-foot,low-centre,0,50.5,19,No information,No information,83,No information,4936,44.3,21.5,49.5,0,49.5,81,8,464,shot
dusan-vlahovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,save,No information,regular,21.2,40.3,0,left-foot,high-centre,0,50.3,28.5,No information,No information,82,No information,4896,40.3,21.2,49.7,0,49.7,71.5,9,504,shot
harry-kane,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,save,No information,assisted,5.1,46.2,0,head,high-centre,0,51,22.2,No information,No information,77,No information,4579,46.2,5.1,49,0,49,77.8,14,821,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,save,No information,assisted,25.7,64.8,0,right-foot,high-centre,0,50.5,25.3,No information,No information,56,No information,3346,64.8,25.7,49.5,0,49.5,74.7,35,2054,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,block,No information,free-kick,25.8,62.2,0,right-foot,low-centre,0,49.9,19,No information,No information,30,No information,1789,62.2,25.8,50.1,0,50.1,81,16,911,shot
dusan-vlahovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,block,No information,assisted,19.8,56.2,0,left-foot,low-left,0,52.4,19,No information,No information,23,No information,1358,56.2,19.8,47.6,0,47.6,81,23,1342,shot
aleksandar-mitrovic,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,serbia,miss,No information,assisted,15.2,59,0,right-foot,close-right,0,43.5,12.5,No information,No information,20,No information,1180,59,15.2,56.5,0,56.5,87.5,26,1520,shot
trent-alexander-arnold,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,miss,No information,assisted,21.3,68.9,0,right-foot,left,0,63,5.6,No information,No information,19,No information,1083,68.9,21.3,37,0,37,94.4,27,1617,shot
jude-bellingham,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,england,goal,regular,regular,5.4,49.6,0,head,high-left,0,53,27.2,No information,No information,13,No information,731,49.6,5.4,47,0,47,72.8,33,1969,shot

sergej-milinkovic-savic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,block,No information,assisted,19.4,61.1,0,right-foot,low-centre,0,50.7,19,No information,No information,90,3,5538,61.1,19.4,49.3,0,49.3,81,1,762,shot
lazar-samardzic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,block,No information,assisted,17.4,52.8,0,right-foot,low-right,0,46.8,19,No information,No information,90,2,5513,52.8,17.4,53.2,0,53.2,81,1,787,shot
arvydas-novikovas,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,save,No information,assisted,12.7,70.5,0,left-foot,low-centre,0,51.8,0.6,No information,No information,77,No information,4618,70.5,12.7,48.2,0,48.2,99.4,14,782,shot
fedor-cernych,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,save,No information,assisted,10,33.2,0,right-foot,low-centre,0,49.6,3.8,No information,No information,76,No information,4558,33.2,10,50.4,0,50.4,96.2,15,842,shot
sergej-milinkovic-savic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,save,No information,assisted,10.1,39.1,0,left-foot,low-centre,0,48.2,12,No information,No information,75,No information,4444,39.1,10.1,51.8,0,51.8,88,16,956,shot
dusan-tadic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,block,No information,assisted,10.6,58.8,0,right-foot,low-centre,0,50.1,19,No information,No information,65,No information,3861,58.8,10.6,49.9,0,49.9,81,26,1539,shot
marko-grujic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,regular,24.7,55.8,0,right-foot,high,0,51.6,80.6,No information,No information,65,No information,3840,55.8,24.7,48.4,0,48.4,19.4,26,1560,shot
dusan-vlahovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,goal,regular,assisted,9,49.1,0,left-foot,high-left,0,53.2,25.9,No information,No information,53,No information,3149,49.1,9,46.8,0,46.8,74.1,38,2251,shot
jankauskas-eligijus,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,save,No information,assisted,19.1,39.6,0,left-foot,low-right,0,47.5,8.9,No information,No information,51,No information,3033,39.6,19.1,52.5,0,52.5,91.1,40,2367,shot
aleksandar-mitrovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,block,No information,assisted,7.2,41.5,0,head,high-centre,0,49.2,22.2,No information,No information,44,No information,2628,41.5,7.2,50.8,0,50.8,77.8,2,72,shot
marko-grujic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,post,No information,corner,11.1,51.5,0,right-foot,left,0,55.5,4.4,No information,No information,34,No information,2026,51.5,11.1,44.5,0,44.5,95.6,12,674,shot
andrija-zivkovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,corner,22.6,66.7,0,left-foot,left,0,66.4,11.1,No information,No information,34,No information,2025,66.7,22.6,33.6,0,33.6,88.9,12,675,shot
aleksandar-mitrovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,block,No information,regular,10.4,38.6,0,right-foot,low-centre,0,49.6,19,No information,No information,33,No information,1976,38.6,10.4,50.4,0,50.4,81,13,724,shot
dusan-vlahovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,assisted,8.5,51.3,0,head,high,0,50.9,79.2,No information,No information,29,No information,1725,51.3,8.5,49.1,0,49.1,20.8,17,975,shot
