Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
matej-vydra,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,save,No information,assisted,14.3,42.4,0,left-foot,low-right,0,48.1,1.3,No information,No information,87,No information,5173,42.4,14.3,51.9,0,51.9,98.7,4,227,shot
pavol-safranko,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,save,No information,assisted,13.5,45.5,0,right-foot,low-centre,0,51,0.6,No information,No information,86,No information,5125,45.5,13.5,49,0,49,99.4,5,275,shot
patrik-hrosovsky,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,block,No information,assisted,27.7,47,0,left-foot,low-centre,0,49.1,19,No information,No information,83,No information,4970,47,27.7,50.9,0,50.9,81,8,430,shot
jakub-jankto,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,miss,No information,fast-break,16.1,46.4,0,left-foot,left,0,64.7,5.6,No information,No information,71,No information,4201,46.4,16.1,35.3,0,35.3,94.4,20,1199,shot
milan-skriniar,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,miss,No information,set-piece,10.7,44.3,0,head,right,0,32.1,12.5,No information,No information,66,No information,3907,44.3,10.7,67.9,0,67.9,87.5,25,1493,shot
robert-mak,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,miss,No information,assisted,14.4,62.1,0,right-foot,close-right,0,42.4,19.4,No information,No information,61,No information,3653,62.1,14.4,57.6,0,57.6,80.6,30,1747,shot
zdenek-ondrasek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,goal,regular,assisted,10.3,51.5,0,right-foot,high-right,0,47,21.5,No information,No information,55,No information,3244,51.5,10.3,53,0,53,78.5,36,2156,shot
peter-pekarik,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,save,No information,assisted,12.1,68.9,0,right-foot,low-centre,0,48.7,2.5,No information,No information,49,No information,2919,68.9,12.1,51.3,0,51.3,97.5,42,2481,shot
vladimir-darida,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,save,No information,assisted,26.5,35.2,0,right-foot,low-centre,0,49.9,8.9,No information,No information,46,No information,2749,35.2,26.5,50.1,0,50.1,91.1,45,2651,shot
vaclav-cerny,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,block,No information,assisted,11.1,40.8,0,left-foot,low-centre,0,50.9,19,No information,No information,46,No information,2725,40.8,11.1,49.1,0,49.1,81,45,2675,shot
tomas-soucek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,miss,No information,assisted,10.9,39.2,0,right-foot,high,0,54.8,80.6,No information,No information,41,No information,2443,39.2,10.9,45.2,0,45.2,19.4,5,257,shot
tomas-hubocan,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,miss,No information,regular,29.6,36.3,0,right-foot,high-right,0,40.3,80.6,No information,No information,22,No information,1318,36.3,29.6,59.7,0,59.7,19.4,24,1382,shot
tomas-soucek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,goal,regular,corner,9.3,57.2,0,head,low-left,0,53.6,5.7,No information,No information,17,No information,998,57.2,9.3,46.4,0,46.4,94.3,29,1702,shot
zdenek-ondrasek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,save,No information,assisted,10.5,52.5,0,head,high-right,0,46.7,25.3,No information,No information,17,No information,968,52.5,10.5,53.3,0,53.3,74.7,29,1732,shot
juraj-kucka,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,slovakia,block,No information,set-piece,28.9,47.8,0,right-foot,low-centre,0,49,19,No information,No information,14,No information,835,47.8,28.9,51,0,51,81,32,1865,shot
vladimir-darida,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,miss,No information,assisted,31.5,50.5,0,right-foot,right,0,36.8,16.7,No information,No information,9,No information,523,50.5,31.5,63.2,0,63.2,83.3,37,2177,shot
zdenek-ondrasek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,save,No information,assisted,9.8,60.5,0,right-foot,high-right,0,46.4,28.5,No information,No information,6,No information,330,60.5,9.8,53.6,0,53.6,71.5,40,2370,shot
ales-mateju,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,miss,No information,assisted,3.3,40.4,0,left-foot,close-high-left,0,58,59.7,No information,No information,3,No information,159,40.4,3.3,42,0,42,40.3,43,2541,shot
zdenek-ondrasek,https://www.sofascore.com/czech-republic-slovakia/XTbsoUb#id:8600784,czechia,miss,No information,assisted,10,61.8,0,head,left,0,61.7,16.7,No information,No information,3,No information,158,61.8,10,38.3,0,38.3,83.3,43,2542,shot

leigh-griffiths,https://www.sofascore.com/slovakia-scotland/VTbsXTb#id:8600825,scotland,save,No information,assisted,13.4,33.6,0,left-foot,low-right,0,48,13.9,No information,No information,90,4,5616,33.6,13.4,52,0,52,86.1,1,684,shot
leigh-griffiths,https://www.sofascore.com/slovakia-scotland/VTbsXTb#id:8600825,scotland,save,No information,assisted,23.1,64.9,0,left-foot,low-left,0,52.3,8.9,No information,No information,90,2,5492,64.9,23.1,47.7,0,47.7,91.1,1,808,shot
stuart-armstrong,https://www.sofascore.com/slovakia-scotland/VTbsXTb#id:8600825,scotland,block,No information,assisted,18.2,55,0,right-foot,low-right,0,46.4,8.3,No information,No information,75,No information,4487,55,18.2,53.6,0,53.6,91.7,16,913,shot
